name,site,layer,date_in,date_out,hobo_id,sensor_depth,site_depth,acryllic,lat,lon,flag,comments,,,,,
cs_ben_20Aug2018_04Jun2019_A,cs,ben,2018-08-20,2019-06-04,A,,,n,NA,NA,1,hobo affixed to top of rack,,,,,
cs_ben_20Aug2018_04Jun2019_B,cs,ben,2018-08-20,2019-06-04,B,,,n,NA,NA,1,hobo affixed to top of rack,,,,,
e1_ben_22Aug2017_29May2018_A,e1,ben,2017-08-22,2018-05-29,A,,2.7,,NA,NA,1,hobo attached gray box?,,,,,
e1_ben_22Aug2017_29May2018_B,e1,ben,2017-08-22,2018-05-29,B,,2.7,,NA,NA,1,hobo attached gray box?,,,,,
e1_ben_20Aug2018_04Jun2019_A,e1,ben,2018-08-20,2019-06-04,A,2.2,2.7,n,NA,NA,0,hobo affixed to top of rack,,,,,
e1_ben_20Aug2018_04Jun2019_B,e1,ben,2018-08-20,2019-06-04,B,2.2,2.7,n,NA,NA,0,hobo affixed to top of rack,,,,,
e5_ben_20Aug2018_03Jun2019_B,e5,ben,2018-08-20,2019-06-03,B,2,2.5,n,NA,NA,0,hobo affixed to top of rack,,,,,
e5_ben_20Aug2018_04Jun2019_A,e5,ben,2018-08-20,2019-06-04,A,2,2.5,n,NA,NA,0,hobo affixed to top of rack,,,,,
e5_ben_13Jun2019_15Aug2019,e5,ben,2019-06-13,2019-08-15,NA,2,2.5,n,NA,NA,0,hobo affixed to top of rack,,,,,
e5_pel_13Jun2019_15Aug2019,e5,pel,2019-06-13,2019-08-15,NA,1,2.5,y,NA,NA,0,hobo in tube on cord,,,,,
grim_ben_13Jun2018_18Jul2018,grim,ben,2018-06-13,2018-07-18,NA,5.1,5.1,y,NA,NA,0,hobo attached to base of minidot rack,,,,,
grim_ben_17Jul2018_16Aug2018,grim,ben,2018-07-17,2018-08-16,NA,5.1,5.1,y,NA,NA,0,hobo attached to base of minidot rack,,,,,
grim_ben_16Jun2019_15Aug2019,grim,ben,2019-06-16,2019-08-15,NA,6,6.5,n,NA,NA,0,hobo affixed to top of rack,,,,,
grim_pel_13Jun2018_18Jul2018,grim,pel,2018-06-13,2018-07-18,NA,1,5.1,y,NA,NA,0,hobo in tube on cord,,,,,
grim_pel_17Jul2018_16Aug2018,grim,pel,2018-07-17,2018-08-16,NA,1,5.1,y,NA,NA,0,hobo in tube on cord,,,,,
grim_pel_16Jun2019_15Aug2019,grim,pel,2019-06-16,2019-08-15,NA,1,6.5,y,NA,NA,0,hobo in tube on cord,,,,,
reyk_ben_13Jun2018_18Jul2018,reyk,ben,2018-06-13,2018-07-18,NA,4.25,4.25,y,NA,NA,0,hobo attached to base of minidot rack,,,,,
reyk_ben_17Jul2018_16Aug2018,reyk,ben,2018-07-17,2018-08-16,NA,4.25,4.25,y,NA,NA,0,hobo attached to base of minidot rack,,,,,
reyk_ben_20Aug2018_04Jun2019_A,reyk,ben,2018-08-20,2019-06-04,A,3.8,4.3,n,NA,NA,1,rack covered in macrophytes when retrieved; hobo affixed to top of rack,,,,,
reyk_ben_20Aug2018_04Jun2019_B,reyk,ben,2018-08-20,2019-06-04,B,3.8,4.3,n,NA,NA,1,rack covered in macrophytes when retrieved; hobo affixed to top of rack,,,,,
reyk_ben_16Jun2019_15Aug2019,reyk,ben,2019-06-16,2019-08-15,NA,3.8,4.3,n,NA,NA,0,hobo affixed to top of rack,,,,,
reyk_pel_13Jun2018_18Jul2018,reyk,pel,2018-06-13,2018-07-18,NA,1,4.25,y,NA,NA,0,hobo in tube on cord,,,,,
reyk_pel_17Jul2018_16Aug2018,reyk,pel,2018-07-17,2018-08-16,NA,1,4.25,y,NA,NA,0,hobo in tube on cord,,,,,
reyk_pel_16Jun2019_15Aug2019,reyk,pel,2019-06-16,2019-08-15,NA,1,4.3,y,NA,NA,0,hobo in tube on cord,,,,,
st33_ben_22Aug2017_29May2018_B,st33,ben,2017-08-22,2018-05-29,B,,3.3,,NA,NA,1,hobo attached gray box?,,,,,
st33_ben_22Aug2017_31May2018_A,st33,ben,2017-08-22,2018-05-31,A,,3.3,,NA,NA,1,hobo attached gray box?,,,,,
st33_ben_13Jun2018_16Aug2018,st33,ben,2018-06-13,2018-08-16,NA,3.3,3.3,y,NA,NA,0,hobo attached to base of minidot rack,,,,,
st33_ben_20Aug2018_04Jun2019_A,st33,ben,2018-08-20,2019-06-04,A,2.8,3.3,n,NA,NA,0,hobo affixed to top of rack,,,,,
st33_ben_20Aug2018_04Jun2019_B,st33,ben,2018-08-20,2019-06-04,B,2.8,3.3,n,NA,NA,0,hobo affixed to top of rack,,,,,
st33_ben_13Jun2019_15Aug2019,st33,ben,2019-06-13,2019-08-15,NA,2.8,3.3,n,NA,NA,0,hobo affixed to top of rack,,,,,
