name,date_in,time_in,date_out,time_out
cs_ben_20Aug2018_04Jun2019_A,2018-08-20,00:00:00,2019-06-04,19:00:00
cs_ben_20Aug2018_04Jun2019_B,2018-08-20,00:00:00,2019-06-04,19:00:00
e1_ben_20Aug2018_04Jun2019_A,2018-08-20,00:00:00,2019-06-04,19:00:00
e1_ben_20Aug2018_04Jun2019_B,2018-08-20,00:00:00,2019-06-04,19:00:00
e1_ben_22Aug2017_29May2018_A,2017-08-22,00:00:00,2018-05-29,16:00:00
e1_ben_22Aug2017_29May2018_B,2017-08-22,00:00:00,2018-05-29,16:00:00
e5_ben_13Jun2019_15Aug2019,2019-06-15,15:00:00,2019-08-15,08:00:00
e5_ben_20Aug2018_03Jun2019_B,2018-08-20,00:00:00,2019-06-04,19:00:00
e5_ben_20Aug2018_04Jun2019_A,2018-08-20,00:00:00,2019-06-04,19:00:00
e5_pel_13Jun2019_15Aug2019,2019-06-15,15:00:00,2019-08-15,08:00:00
grim_ben_13Jun2018_18Jul2018,2018-06-13,12:00:00,2018-06-23,10:30:00
grim_ben_13Jun2018_18Jul2018,2018-06-23,12:00:00,2018-07-17,18:30:00
grim_ben_17Jul2018_16Aug2018,2018-07-17,19:45:00,2018-08-15,21:15:00
grim_ben_16Jun2019_15Aug2019,2019-06-16,18:00:00,2019-08-15,08:00:00
grim_pel_13Jun2018_18Jul2018,2018-06-13,11:30:00,2018-06-23,10:30:00
grim_pel_13Jun2018_18Jul2018,2018-06-23,12:00:00,2018-07-17,18:30:00
grim_pel_17Jul2018_16Aug2018,2018-07-17,19:45:00,2018-08-15,21:00:00
grim_pel_16Jun2019_15Aug2019,2019-06-16,18:00:00,2019-08-15,08:00:00
reyk_ben_13Jun2018_18Jul2018,2018-06-13,12:00:00,2018-07-17,19:30:00
reyk_ben_17Jul2018_16Aug2018,2018-07-17,20:45:00,2018-08-15,21:00:00
reyk_ben_16Jun2019_15Aug2019,2019-06-16,18:00:00,2019-08-15,08:00:00
reyk_ben_20Aug2018_04Jun2019_A,2018-08-20,00:00:00,2019-06-04,19:00:00
reyk_ben_20Aug2018_04Jun2019_B,2018-08-20,00:00:00,2019-06-04,19:00:00
reyk_pel_13Jun2018_18Jul2018,2018-06-13,12:00:00,2018-07-17,19:00:00
reyk_pel_17Jul2018_16Aug2018,2018-07-17,21:30:00,2018-08-15,21:00:00
reyk_pel_16Jun2019_15Aug2019,2019-06-16,18:00:00,2019-08-15,08:00:00
st33_ben_13Jun2018_16Aug2018,2018-06-13,13:00:00,2018-07-21,11:00:00
st33_ben_13Jun2018_16Aug2018,2018-07-21,12:00:00,2018-08-15,18:00:00
st33_ben_13Jun2019_15Aug2019,2019-06-15,14:00:00,2019-08-15,10:00:00
st33_ben_20Aug2018_04Jun2019_A,2018-08-20,00:00:00,2019-06-04,19:00:00
st33_ben_20Aug2018_04Jun2019_B,2018-08-20,00:00:00,2019-06-04,19:00:00
st33_ben_22Aug2017_29May2018_B,2017-08-22,00:00:00,2018-05-29,12:00:00
st33_ben_22Aug2017_31May2018_A,2017-08-22,00:00:00,2018-05-31,12:00:00
st33_out_13May2013_21Aug2013,2013-06-13,12:30:00,2013-08-21,00:00:00
st33_out_17Jul2017_20Aug2017,2017-07-17,14:30:00,2017-08-20,11:30:00
st33_out_20Aug2017_05Oct2017,2017-08-20,11:30:00,2017-10-04,12:00:00
st33_out_21Jul2018_18Aug2018,2018-07-21,11:15:00,2018-08-17,12:00:00
st33_out_21May2018_21Jul2018,2018-05-21,21:00:00,2018-07-21,11:15:00
st33_out_22Jul2019_15Aug2019,2019-07-22,13:00:00,2019-08-14,20:00:00
st33_out_24May2015_15Jul2015,2015-05-25,00:00:00,2015-07-12,12:12:00
st33_out_11Jul2015_21Aug2015,2015-07-12,12:42:00,2015-08-18,12:00:00
st33_out_25May2017_17Jul2017,2017-05-25,00:00:00,2017-07-17,14:30:00
st33_out_27May2016_21Jul2016,2016-05-29,12:30:00,2016-07-19,10:00:00
st33_out_31May2019_23Jul2019,2019-05-31,20:00:00,2019-07-22,13:00:00
st33_pel_13Jun2018_16Aug2018,2018-06-13,13:00:00,2018-07-21,11:00:00
st33_pel_13Jun2018_16Aug2018,2018-07-21,12:00:00,2018-08-15,17:30:00
st33_out_08Jun2014_19Aug2014,2014-06-08,12:30:00,2014-08-19,12:00:00
