"Plot Title: MD_CSb_19August18"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)","Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)","End Of File (LGR S/N: 10349970)"
1,08/20/18 01:00:00,9.373,0.0,
2,08/20/18 03:00:00,9.373,0.0,
3,08/20/18 05:00:00,9.373,21.5,
4,08/20/18 07:00:00,9.373,1377.8,
5,08/20/18 09:00:00,9.768,4822.3,
6,08/20/18 11:00:00,10.357,3788.9,
7,08/20/18 13:00:00,10.748,11022.3,
8,08/20/18 15:00:00,10.846,2755.6,
9,08/20/18 17:00:00,10.944,1722.2,
10,08/20/18 19:00:00,11.041,1808.3,
11,08/20/18 21:00:00,10.944,75.3,
12,08/20/18 23:00:00,10.846,0.0,
13,08/21/18 01:00:00,10.846,0.0,
14,08/21/18 03:00:00,10.846,0.0,
15,08/21/18 05:00:00,10.846,0.0,
16,08/21/18 07:00:00,10.748,279.9,
17,08/21/18 09:00:00,9.965,2583.4,
18,08/21/18 11:00:00,9.669,4133.4,
19,08/21/18 13:00:00,9.866,2238.9,
20,08/21/18 15:00:00,9.768,3616.7,
21,08/21/18 17:00:00,9.373,1894.5,
22,08/21/18 19:00:00,9.373,1022.6,
23,08/21/18 21:00:00,9.571,10.8,
24,08/21/18 23:00:00,9.571,0.0,
25,08/22/18 01:00:00,9.571,0.0,
26,08/22/18 03:00:00,9.571,0.0,
27,08/22/18 05:00:00,9.571,0.0,
28,08/22/18 07:00:00,9.472,312.2,
29,08/22/18 09:00:00,9.472,925.7,
30,08/22/18 11:00:00,9.373,3616.7,
31,08/22/18 13:00:00,9.275,1808.3,
32,08/22/18 15:00:00,9.472,1270.1,
33,08/22/18 17:00:00,9.768,527.4,
34,08/22/18 19:00:00,9.866,75.3,
35,08/22/18 21:00:00,9.965,0.0,
36,08/22/18 23:00:00,9.077,0.0,
37,08/23/18 01:00:00,8.779,0.0,
38,08/23/18 03:00:00,8.680,0.0,
39,08/23/18 05:00:00,8.581,0.0,
40,08/23/18 07:00:00,8.779,64.6,
41,08/23/18 09:00:00,8.879,387.5,
42,08/23/18 11:00:00,9.373,279.9,
43,08/23/18 13:00:00,9.571,613.5,
44,08/23/18 15:00:00,9.571,419.8,
45,08/23/18 17:00:00,9.571,150.7,
46,08/23/18 19:00:00,9.472,139.9,
47,08/23/18 21:00:00,9.472,0.0,
48,08/23/18 23:00:00,8.779,0.0,
49,08/24/18 01:00:00,7.983,0.0,
50,08/24/18 03:00:00,7.882,0.0,
51,08/24/18 05:00:00,7.882,0.0,
52,08/24/18 07:00:00,7.983,366.0,
53,08/24/18 09:00:00,8.282,2325.0,
54,08/24/18 11:00:00,8.282,2325.0,
55,08/24/18 13:00:00,8.481,3616.7,
56,08/24/18 15:00:00,8.581,4822.3,
57,08/24/18 17:00:00,8.581,1808.3,
58,08/24/18 19:00:00,8.779,505.9,
59,08/24/18 21:00:00,8.779,10.8,
60,08/24/18 23:00:00,8.779,0.0,
61,08/25/18 01:00:00,8.581,0.0,
62,08/25/18 03:00:00,7.782,0.0,
63,08/25/18 05:00:00,7.582,0.0,
64,08/25/18 07:00:00,7.481,409.0,
65,08/25/18 09:00:00,7.582,1550.0,
66,08/25/18 11:00:00,7.882,6544.5,
67,08/25/18 13:00:00,7.983,5166.7,
68,08/25/18 15:00:00,8.581,9300.1,
69,08/25/18 17:00:00,8.680,2583.4,
70,08/25/18 19:00:00,8.680,1076.4,
71,08/25/18 21:00:00,8.382,43.1,
72,08/25/18 23:00:00,8.082,0.0,
73,08/26/18 01:00:00,7.882,0.0,
74,08/26/18 03:00:00,7.782,0.0,
75,08/26/18 05:00:00,7.882,0.0,
76,08/26/18 07:00:00,7.983,1894.5,
77,08/26/18 09:00:00,8.082,4822.3,
78,08/26/18 11:00:00,7.882,5166.7,
79,08/26/18 13:00:00,8.182,9644.5,
80,08/26/18 15:00:00,8.282,11022.3,
81,08/26/18 17:00:00,8.082,4305.6,
82,08/26/18 19:00:00,8.082,1291.7,
83,08/26/18 21:00:00,8.182,21.5,
84,08/26/18 23:00:00,8.481,0.0,
85,08/27/18 01:00:00,8.481,0.0,
86,08/27/18 03:00:00,8.481,0.0,
87,08/27/18 05:00:00,8.382,0.0,
88,08/27/18 07:00:00,8.182,1550.0,
89,08/27/18 09:00:00,8.182,3100.0,
90,08/27/18 11:00:00,8.182,11022.3,
91,08/27/18 13:00:00,8.182,10677.8,
92,08/27/18 15:00:00,8.282,11711.2,
93,08/27/18 17:00:00,8.082,3961.1,
94,08/27/18 19:00:00,8.082,753.5,
95,08/27/18 21:00:00,7.782,21.5,
96,08/27/18 23:00:00,7.882,0.0,
97,08/28/18 01:00:00,7.682,0.0,
98,08/28/18 03:00:00,7.782,0.0,
99,08/28/18 05:00:00,7.782,0.0,
100,08/28/18 07:00:00,7.782,312.2,
101,08/28/18 09:00:00,7.682,1173.3,
102,08/28/18 11:00:00,7.682,2325.0,
103,08/28/18 13:00:00,7.782,5511.1,
104,08/28/18 15:00:00,7.983,6200.0,
105,08/28/18 17:00:00,7.882,2325.0,
106,08/28/18 19:00:00,7.882,495.1,
107,08/28/18 21:00:00,7.782,0.0,
108,08/28/18 23:00:00,7.682,0.0,
109,08/29/18 01:00:00,7.882,0.0,
110,08/29/18 03:00:00,7.983,0.0,
111,08/29/18 05:00:00,7.983,0.0,
112,08/29/18 07:00:00,7.882,818.1,
113,08/29/18 09:00:00,7.782,1377.8,
114,08/29/18 11:00:00,7.882,8266.7,
115,08/29/18 13:00:00,7.179,7577.8,
116,08/29/18 15:00:00,7.682,14466.8,
117,08/29/18 17:00:00,7.280,2583.4,
118,08/29/18 19:00:00,7.381,1550.0,
119,08/29/18 21:00:00,7.280,10.8,
120,08/29/18 23:00:00,7.079,0.0,
121,08/30/18 01:00:00,6.877,0.0,
122,08/30/18 03:00:00,6.775,0.0,
123,08/30/18 05:00:00,6.573,0.0,
124,08/30/18 07:00:00,6.573,1463.9,
125,08/30/18 09:00:00,6.775,4650.0,
126,08/30/18 11:00:00,6.978,7577.8,
127,08/30/18 13:00:00,7.280,15155.7,
128,08/30/18 15:00:00,6.573,4650.0,
129,08/30/18 17:00:00,6.877,2927.8,
130,08/30/18 19:00:00,7.179,32.3,
131,08/30/18 21:00:00,6.978,0.0,
132,08/30/18 23:00:00,6.978,0.0,
133,08/31/18 01:00:00,7.179,0.0,
134,08/31/18 03:00:00,7.179,0.0,
135,08/31/18 05:00:00,7.179,0.0,
136,08/31/18 07:00:00,7.179,118.4,
137,08/31/18 09:00:00,7.280,398.3,
138,08/31/18 11:00:00,7.682,10.8,
139,08/31/18 13:00:00,8.082,43.1,
140,08/31/18 15:00:00,7.682,505.9,
141,08/31/18 17:00:00,7.782,3616.7,
142,08/31/18 19:00:00,7.682,613.5,
143,08/31/18 21:00:00,7.782,0.0,
144,08/31/18 23:00:00,7.882,0.0,
145,09/01/18 01:00:00,7.782,0.0,
146,09/01/18 03:00:00,7.682,0.0,
147,09/01/18 05:00:00,7.682,0.0,
148,09/01/18 07:00:00,7.682,10.8,
149,09/01/18 09:00:00,7.179,1894.5,
150,09/01/18 11:00:00,7.079,1636.1,
151,09/01/18 13:00:00,7.882,32.3,
152,09/01/18 15:00:00,8.282,64.6,
153,09/01/18 17:00:00,8.382,32.3,
154,09/01/18 19:00:00,8.382,0.0,
155,09/01/18 21:00:00,8.282,0.0,
156,09/01/18 23:00:00,8.182,0.0,
157,09/02/18 01:00:00,8.082,0.0,
158,09/02/18 03:00:00,7.983,0.0,
159,09/02/18 05:00:00,7.782,0.0,
160,09/02/18 07:00:00,7.179,419.8,
161,09/02/18 09:00:00,6.978,2152.8,
162,09/02/18 11:00:00,7.179,4822.3,
163,09/02/18 13:00:00,7.582,7577.8,
164,09/02/18 15:00:00,7.481,1894.5,
165,09/02/18 17:00:00,7.582,1894.5,
166,09/02/18 19:00:00,7.481,183.0,
167,09/02/18 21:00:00,7.481,0.0,
168,09/02/18 23:00:00,7.481,0.0,
169,09/03/18 01:00:00,7.381,0.0,
170,09/03/18 03:00:00,7.179,0.0,
171,09/03/18 05:00:00,7.179,0.0,
172,09/03/18 07:00:00,7.280,107.6,
173,09/03/18 09:00:00,7.481,1377.8,
174,09/03/18 11:00:00,7.782,3961.1,
175,09/03/18 13:00:00,8.082,4477.8,
176,09/03/18 15:00:00,8.481,3272.2,
177,09/03/18 17:00:00,8.581,1808.3,
