"Plot Title: MD_CSa_19August18"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349969, SEN S/N: 10349969)","Intensity, Lux (LGR S/N: 10349969, SEN S/N: 10349969)","End Of File (LGR S/N: 10349969)"
1,08/20/18 00:00:00,9.373,0.0,
2,08/20/18 02:00:00,9.472,0.0,
3,08/20/18 04:00:00,9.275,0.0,
4,08/20/18 06:00:00,9.472,527.4,
5,08/20/18 08:00:00,9.571,2238.9,
6,08/20/18 10:00:00,10.259,9644.5,
7,08/20/18 12:00:00,10.748,9644.5,
8,08/20/18 14:00:00,11.041,11022.3,
9,08/20/18 16:00:00,10.944,2755.6,
10,08/20/18 18:00:00,11.139,2755.6,
11,08/20/18 20:00:00,11.041,678.1,
12,08/20/18 22:00:00,10.944,0.0,
13,08/21/18 00:00:00,10.944,0.0,
14,08/21/18 02:00:00,10.944,0.0,
15,08/21/18 04:00:00,10.944,0.0,
16,08/21/18 06:00:00,10.846,53.8,
17,08/21/18 08:00:00,10.357,1033.3,
18,08/21/18 10:00:00,9.866,6200.0,
19,08/21/18 12:00:00,9.866,3100.0,
20,08/21/18 14:00:00,9.866,3100.0,
21,08/21/18 16:00:00,9.669,3788.9,
22,08/21/18 18:00:00,9.472,1722.2,
23,08/21/18 20:00:00,9.373,129.2,
24,08/21/18 22:00:00,9.571,0.0,
25,08/22/18 00:00:00,9.669,0.0,
26,08/22/18 02:00:00,9.669,0.0,
27,08/22/18 04:00:00,9.571,0.0,
28,08/22/18 06:00:00,9.571,107.6,
29,08/22/18 08:00:00,9.571,570.5,
30,08/22/18 10:00:00,9.373,1463.9,
31,08/22/18 12:00:00,9.373,2755.6,
32,08/22/18 14:00:00,9.472,1302.4,
33,08/22/18 16:00:00,9.571,764.2,
34,08/22/18 18:00:00,9.965,376.7,
35,08/22/18 20:00:00,9.965,10.8,
36,08/22/18 22:00:00,9.866,0.0,
37,08/23/18 00:00:00,8.879,0.0,
38,08/23/18 02:00:00,8.779,0.0,
39,08/23/18 04:00:00,8.680,0.0,
40,08/23/18 06:00:00,8.779,32.3,
41,08/23/18 08:00:00,8.879,419.8,
42,08/23/18 10:00:00,9.176,387.5,
43,08/23/18 12:00:00,9.571,409.0,
44,08/23/18 14:00:00,9.669,505.9,
45,08/23/18 16:00:00,9.669,409.0,
46,08/23/18 18:00:00,9.571,688.9,
47,08/23/18 20:00:00,9.472,21.5,
48,08/23/18 22:00:00,9.571,0.0,
49,08/24/18 00:00:00,8.182,0.0,
50,08/24/18 02:00:00,7.983,0.0,
51,08/24/18 04:00:00,7.882,0.0,
52,08/24/18 06:00:00,7.983,139.9,
53,08/24/18 08:00:00,8.282,1894.5,
54,08/24/18 10:00:00,8.382,2755.6,
55,08/24/18 12:00:00,8.481,3616.7,
56,08/24/18 14:00:00,8.779,8611.2,
57,08/24/18 16:00:00,8.779,5338.9,
58,08/24/18 18:00:00,8.879,1033.3,
59,08/24/18 20:00:00,8.779,193.8,
60,08/24/18 22:00:00,8.879,0.0,
61,08/25/18 00:00:00,8.779,0.0,
62,08/25/18 02:00:00,8.182,0.0,
63,08/25/18 04:00:00,7.782,0.0,
64,08/25/18 06:00:00,7.582,118.4,
65,08/25/18 08:00:00,7.582,1550.0,
66,08/25/18 10:00:00,7.782,4994.5,
67,08/25/18 12:00:00,8.082,8611.2,
68,08/25/18 14:00:00,8.481,14466.8,
69,08/25/18 16:00:00,8.581,2669.5,
70,08/25/18 18:00:00,8.779,1808.3,
71,08/25/18 20:00:00,8.680,462.9,
72,08/25/18 22:00:00,8.282,0.0,
73,08/26/18 00:00:00,8.082,0.0,
74,08/26/18 02:00:00,7.882,0.0,
75,08/26/18 04:00:00,7.882,0.0,
76,08/26/18 06:00:00,7.983,602.8,
77,08/26/18 08:00:00,8.082,3961.1,
78,08/26/18 10:00:00,8.082,8266.7,
79,08/26/18 12:00:00,7.983,7233.4,
80,08/26/18 14:00:00,8.382,14466.8,
81,08/26/18 16:00:00,8.182,9644.5,
82,08/26/18 18:00:00,8.182,3788.9,
83,08/26/18 20:00:00,8.282,441.3,
84,08/26/18 22:00:00,8.382,0.0,
85,08/27/18 00:00:00,8.481,0.0,
86,08/27/18 02:00:00,8.481,0.0,
87,08/27/18 04:00:00,8.481,0.0,
88,08/27/18 06:00:00,8.382,462.9,
89,08/27/18 08:00:00,8.182,2927.8,
90,08/27/18 10:00:00,8.382,9300.1,
91,08/27/18 12:00:00,8.282,11022.3,
92,08/27/18 14:00:00,8.382,23422.4,
93,08/27/18 16:00:00,8.382,7233.4,
94,08/27/18 18:00:00,7.983,1722.2,
95,08/27/18 20:00:00,8.182,258.3,
96,08/27/18 22:00:00,7.882,0.0,
97,08/28/18 00:00:00,7.782,0.0,
98,08/28/18 02:00:00,7.782,0.0,
99,08/28/18 04:00:00,7.983,0.0,
100,08/28/18 06:00:00,7.782,21.5,
101,08/28/18 08:00:00,7.882,2755.6,
102,08/28/18 10:00:00,7.782,1377.8,
103,08/28/18 12:00:00,7.782,3788.9,
