Plot Title: JP_Ice_2_21Aug17							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349969, SEN S/N: 10349969)"	"Intensity, Lux (LGR S/N: 10349969, SEN S/N: 10349969)"	Coupler Attached (LGR S/N: 10349969)	Host Connected (LGR S/N: 10349969)	Stopped (LGR S/N: 10349969)	End Of File (LGR S/N: 10349969)
1	8/22/2017 0:00	10.944	0				
2	8/22/2017 2:00	10.846	0				
3	8/22/2017 4:00	10.748	0				
4	8/22/2017 6:00	10.748	290.6				
5	8/22/2017 8:00	10.846	2583.4				
6	8/22/2017 10:00	11.139	6544.5				
7	8/22/2017 12:00	11.139	6544.5				
8	8/22/2017 14:00	11.334	6544.5				
9	8/22/2017 16:00	11.431	2927.8				
10	8/22/2017 18:00	11.528	1980.6				
11	8/22/2017 20:00	11.431	441.3				
12	8/22/2017 22:00	11.334	0				
13	8/23/2017 0:00	11.236	0				
14	8/23/2017 2:00	11.139	0				
15	8/23/2017 4:00	11.139	0				
16	8/23/2017 6:00	11.139	96.9				
17	8/23/2017 8:00	11.139	688.9				
18	8/23/2017 10:00	11.139	1463.9				
19	8/23/2017 12:00	11.236	2755.6				
20	8/23/2017 14:00	11.528	6544.5				
21	8/23/2017 16:00	11.625	4822.3				
22	8/23/2017 18:00	11.722	1894.5				
23	8/23/2017 20:00	11.722	441.3				
24	8/23/2017 22:00	11.528	0				
25	8/24/2017 0:00	11.528	0				
26	8/24/2017 2:00	11.431	0				
27	8/24/2017 4:00	11.334	0				
28	8/24/2017 6:00	11.334	204.5				
29	8/24/2017 8:00	11.334	1377.8				
30	8/24/2017 10:00	11.431	3100				
31	8/24/2017 12:00	11.431	2755.6				
32	8/24/2017 14:00	11.722	6544.5				
33	8/24/2017 16:00	11.916	4650				
34	8/24/2017 18:00	11.916	1334.7				
35	8/24/2017 20:00	11.819	258.3				
36	8/24/2017 22:00	11.722	0				
37	8/25/2017 0:00	11.722	0				
38	8/25/2017 2:00	11.528	0				
39	8/25/2017 4:00	11.528	0				
40	8/25/2017 6:00	11.431	172.2				
41	8/25/2017 8:00	11.528	1636.1				
42	8/25/2017 10:00	11.722	4822.3				
43	8/25/2017 12:00	11.916	5338.9				
44	8/25/2017 14:00	12.207	5511.1				
45	8/25/2017 16:00	12.401	4133.4				
46	8/25/2017 18:00	12.401	1324				
47	8/25/2017 20:00	12.304	161.5				
48	8/25/2017 22:00	12.207	0				
49	8/26/2017 0:00	12.207	0				
50	8/26/2017 2:00	12.207	0				
51	8/26/2017 4:00	12.11	0				
52	8/26/2017 6:00	12.013	107.6				
53	8/26/2017 8:00	12.11	667.4				
54	8/26/2017 10:00	12.11	1463.9				
55	8/26/2017 12:00	12.304	2755.6				
56	8/26/2017 14:00	12.304	2583.4				
57	8/26/2017 16:00	12.304	1011.8				
58	8/26/2017 18:00	12.207	247.6				
59	8/26/2017 20:00	12.11	32.3				
60	8/26/2017 22:00	12.013	0				
61	8/27/2017 0:00	11.819	0				
62	8/27/2017 2:00	11.819	0				
63	8/27/2017 4:00	11.722	0				
64	8/27/2017 6:00	11.625	96.9				
65	8/27/2017 8:00	11.722	1463.9				
66	8/27/2017 10:00	11.722	1377.8				
67	8/27/2017 12:00	11.819	2152.8				
68	8/27/2017 14:00	12.013	3272.2				
69	8/27/2017 16:00	12.207	4477.8				
70	8/27/2017 18:00	12.11	2411.1				
71	8/27/2017 20:00	12.013	107.6				
72	8/27/2017 22:00	12.013	0				
73	8/28/2017 0:00	12.013	0				
74	8/28/2017 2:00	11.916	0				
75	8/28/2017 4:00	11.916	0				
76	8/28/2017 6:00	11.819	21.5				
77	8/28/2017 8:00	11.916	1463.9				
78	8/28/2017 10:00	11.819	1377.8				
79	8/28/2017 12:00	11.916	1550				
80	8/28/2017 14:00	11.916	914.9				
81	8/28/2017 16:00	11.916	925.7				
82	8/28/2017 18:00	11.819	312.2				
83	8/28/2017 20:00	11.819	21.5				
84	8/28/2017 22:00	11.722	0				
85	8/29/2017 0:00	11.625	0				
86	8/29/2017 2:00	11.528	0				
87	8/29/2017 4:00	11.431	0				
88	8/29/2017 6:00	11.334	32.3				
89	8/29/2017 8:00	11.334	204.5				
90	8/29/2017 10:00	11.139	1033.3				
91	8/29/2017 12:00	11.139	721.2				
92	8/29/2017 14:00	11.041	1227.1				
93	8/29/2017 16:00	11.041	1463.9				
94	8/29/2017 18:00	11.139	1377.8				
95	8/29/2017 20:00	10.944	172.2				
96	8/29/2017 22:00	10.944	0				
97	8/30/2017 0:00	10.748	0				
98	8/30/2017 2:00	10.651	0				
99	8/30/2017 4:00	10.553	0				
100	8/30/2017 6:00	10.455	107.6				
101	8/30/2017 8:00	10.455	1636.1				
102	8/30/2017 10:00	10.651	5166.7				
103	8/30/2017 12:00	10.944	8266.7				
104	8/30/2017 14:00	10.748	7233.4				
105	8/30/2017 16:00	10.748	4477.8				
106	8/30/2017 18:00	11.139	1550				
107	8/30/2017 20:00	11.236	333.7				
108	8/30/2017 22:00	11.139	0				
109	8/31/2017 0:00	11.041	0				
110	8/31/2017 2:00	10.846	0				
111	8/31/2017 4:00	10.748	0				
112	8/31/2017 6:00	10.651	129.2				
113	8/31/2017 8:00	10.651	2152.8				
114	8/31/2017 10:00	10.748	1636.1				
115	8/31/2017 12:00	10.748	4133.4				
116	8/31/2017 14:00	10.944	7233.4				
117	8/31/2017 16:00	11.139	5166.7				
118	8/31/2017 18:00	10.944	2152.8				
119	8/31/2017 20:00	11.041	172.2				
120	8/31/2017 22:00	10.944	0				
121	9/1/2017 0:00	10.748	0				
122	9/1/2017 2:00	10.748	0				
123	9/1/2017 4:00	10.553	0				
124	9/1/2017 6:00	10.455	86.1				
125	9/1/2017 8:00	10.455	1324				
126	9/1/2017 10:00	10.651	3616.7				
127	9/1/2017 12:00	10.944	5511.1				
128	9/1/2017 14:00	11.236	4822.3				
129	9/1/2017 16:00	11.431	3444.5				
130	9/1/2017 18:00	11.431	1065.6				
131	9/1/2017 20:00	11.334	107.6				
132	9/1/2017 22:00	11.236	0				
133	9/2/2017 0:00	11.041	0				
134	9/2/2017 2:00	10.944	0				
135	9/2/2017 4:00	10.748	0				
136	9/2/2017 6:00	10.748	21.5				
137	9/2/2017 8:00	10.846	1227.1				
138	9/2/2017 10:00	10.944	2411.1				
139	9/2/2017 12:00	10.944	1141				
140	9/2/2017 14:00	10.944	688.9				
141	9/2/2017 16:00	11.041	893.4				
142	9/2/2017 18:00	10.944	322.9				
143	9/2/2017 20:00	10.944	21.5				
144	9/2/2017 22:00	10.944	0				
145	9/3/2017 0:00	10.944	0				
146	9/3/2017 2:00	10.846	0				
147	9/3/2017 4:00	10.846	0				
148	9/3/2017 6:00	10.846	21.5				
149	9/3/2017 8:00	10.846	699.7				
150	9/3/2017 10:00	11.041	3961.1				
151	9/3/2017 12:00	11.139	2411.1				
152	9/3/2017 14:00	11.139	2583.4				
153	9/3/2017 16:00	11.139	3616.7				
154	9/3/2017 18:00	11.139	731.9				
155	9/3/2017 20:00	11.139	21.5				
156	9/3/2017 22:00	11.236	0				
157	9/4/2017 0:00	11.334	0				
158	9/4/2017 2:00	11.236	0				
159	9/4/2017 4:00	11.236	0				
160	9/4/2017 6:00	11.139	0				
161	9/4/2017 8:00	11.236	279.9				
162	9/4/2017 10:00	11.236	979.5				
163	9/4/2017 12:00	11.334	645.8				
164	9/4/2017 14:00	11.334	807.3				
165	9/4/2017 16:00	11.334	344.4				
166	9/4/2017 18:00	11.431	312.2				
167	9/4/2017 20:00	11.334	53.8				
168	9/4/2017 22:00	11.236	0				
169	9/5/2017 0:00	11.139	0				
170	9/5/2017 2:00	11.139	0				
171	9/5/2017 4:00	11.041	0				
172	9/5/2017 6:00	11.041	21.5				
173	9/5/2017 8:00	10.944	818.1				
174	9/5/2017 10:00	11.041	4133.4				
175	9/5/2017 12:00	11.236	5166.7				
176	9/5/2017 14:00	11.334	5166.7				
177	9/5/2017 16:00	11.431	3272.2				
178	9/5/2017 18:00	11.334	430.6				
179	9/5/2017 20:00	11.236	43.1				
180	9/5/2017 22:00	11.139	0				
181	9/6/2017 0:00	11.139	0				
182	9/6/2017 2:00	11.041	0				
183	9/6/2017 4:00	10.944	0				
184	9/6/2017 6:00	10.846	10.8				
185	9/6/2017 8:00	10.846	484.4				
186	9/6/2017 10:00	10.944	3272.2				
187	9/6/2017 12:00	11.139	4650				
188	9/6/2017 14:00	11.041	1377.8				
189	9/6/2017 16:00	11.041	1291.7				
190	9/6/2017 18:00	11.041	538.2				
191	9/6/2017 20:00	11.041	32.3				
192	9/6/2017 22:00	11.041	0				
193	9/7/2017 0:00	10.944	0				
194	9/7/2017 2:00	10.846	0				
195	9/7/2017 4:00	10.846	0				
196	9/7/2017 6:00	10.748	10.8				
197	9/7/2017 8:00	10.748	613.5				
198	9/7/2017 10:00	10.748	2411.1				
199	9/7/2017 12:00	10.846	2325				
200	9/7/2017 14:00	10.944	1980.6				
201	9/7/2017 16:00	10.944	785.8				
