Plot Title: JP_ICE_St1_Hobo3_21Aug17							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349968, SEN S/N: 10349968)"	"Intensity, Lux (LGR S/N: 10349968, SEN S/N: 10349968)"	Coupler Attached (LGR S/N: 10349968)	Host Connected (LGR S/N: 10349968)	Stopped (LGR S/N: 10349968)	End Of File (LGR S/N: 10349968)
1	8/22/2017 0:00	10.651	0				
2	8/22/2017 2:00	10.553	0				
3	8/22/2017 4:00	10.455	0				
4	8/22/2017 6:00	10.357	193.8				
5	8/22/2017 8:00	10.553	1808.3				
6	8/22/2017 10:00	10.748	4994.5				
7	8/22/2017 12:00	10.748	4822.3				
8	8/22/2017 14:00	10.846	4133.4				
9	8/22/2017 16:00	11.041	2066.7				
10	8/22/2017 18:00	11.041	1636.1				
11	8/22/2017 20:00	10.944	376.7				
12	8/22/2017 22:00	10.944	0				
13	8/23/2017 0:00	10.748	0				
14	8/23/2017 2:00	10.748	0				
15	8/23/2017 4:00	10.748	0				
16	8/23/2017 6:00	10.748	64.6				
17	8/23/2017 8:00	10.748	656.6				
18	8/23/2017 10:00	10.846	1184				
19	8/23/2017 12:00	10.944	2411.1				
20	8/23/2017 14:00	11.139	5166.7				
21	8/23/2017 16:00	10.944	3272.2				
22	8/23/2017 18:00	11.236	1377.8				
23	8/23/2017 20:00	11.236	355.2				
24	8/23/2017 22:00	11.139	0				
25	8/24/2017 0:00	11.139	0				
26	8/24/2017 2:00	11.139	0				
27	8/24/2017 4:00	10.944	0				
28	8/24/2017 6:00	10.944	172.2				
29	8/24/2017 8:00	10.944	1356.3				
30	8/24/2017 10:00	11.041	2927.8				
31	8/24/2017 12:00	11.041	2927.8				
32	8/24/2017 14:00	11.236	6200				
33	8/24/2017 16:00	11.431	3616.7				
34	8/24/2017 18:00	11.528	1463.9				
35	8/24/2017 20:00	11.431	279.9				
36	8/24/2017 22:00	11.431	0				
37	8/25/2017 0:00	11.334	0				
38	8/25/2017 2:00	11.236	0				
39	8/25/2017 4:00	11.236	0				
40	8/25/2017 6:00	11.139	172.2				
41	8/25/2017 8:00	11.139	1808.3				
42	8/25/2017 10:00	11.431	4305.6				
43	8/25/2017 12:00	11.625	6200				
44	8/25/2017 14:00	11.625	5338.9				
45	8/25/2017 16:00	11.916	4994.5				
46	8/25/2017 18:00	11.916	1313.2				
47	8/25/2017 20:00	11.819	183				
48	8/25/2017 22:00	11.722	0				
49	8/26/2017 0:00	11.722	0				
50	8/26/2017 2:00	11.722	0				
51	8/26/2017 4:00	11.625	0				
52	8/26/2017 6:00	11.625	139.9				
53	8/26/2017 8:00	11.625	828.8				
54	8/26/2017 10:00	11.722	1894.5				
55	8/26/2017 12:00	11.819	4133.4				
56	8/26/2017 14:00	11.916	3272.2				
57	8/26/2017 16:00	11.916	882.6				
58	8/26/2017 18:00	11.916	290.6				
59	8/26/2017 20:00	11.916	43.1				
60	8/26/2017 22:00	11.916	0				
61	8/27/2017 0:00	11.819	0				
62	8/27/2017 2:00	11.722	0				
63	8/27/2017 4:00	11.722	0				
64	8/27/2017 6:00	11.625	118.4				
65	8/27/2017 8:00	11.625	1980.6				
66	8/27/2017 10:00	11.819	6200				
67	8/27/2017 12:00	11.722	1636.1				
68	8/27/2017 14:00	11.819	4133.4				
69	8/27/2017 16:00	11.916	3961.1				
70	8/27/2017 18:00	11.916	893.4				
71	8/27/2017 20:00	11.819	86.1				
72	8/27/2017 22:00	11.819	0				
73	8/28/2017 0:00	11.722	0				
74	8/28/2017 2:00	11.722	0				
75	8/28/2017 4:00	11.625	0				
76	8/28/2017 6:00	11.625	10.8				
77	8/28/2017 8:00	11.722	947.2				
78	8/28/2017 10:00	11.625	1065.6				
79	8/28/2017 12:00	11.625	775				
80	8/28/2017 14:00	11.625	871.9				
