"Plot Title: e1_90cm_22Aug21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10724102, SEN S/N: 10724102)","Intensity, Lux (LGR S/N: 10724102, SEN S/N: 10724102)","Coupler Attached (LGR S/N: 10724102)","Host Connected (LGR S/N: 10724102)","Stopped (LGR S/N: 10724102)","End Of File (LGR S/N: 10724102)"
1,08/23/21 07:30:00 PM,15.187,247.6,,,,
2,08/23/21 09:30:00 PM,15.187,0.0,,,,
3,08/23/21 11:30:00 PM,15.091,0.0,,,,
4,08/24/21 01:30:00 AM,15.187,0.0,,,,
5,08/24/21 03:30:00 AM,15.187,0.0,,,,
6,08/24/21 05:30:00 AM,15.187,0.0,,,,
7,08/24/21 07:30:00 AM,15.091,549.0,,,,
8,08/24/21 09:30:00 AM,15.282,2497.2,,,,
9,08/24/21 11:30:00 AM,15.569,2669.5,,,,
10,08/24/21 01:30:00 PM,15.760,3444.5,,,,
11,08/24/21 03:30:00 PM,15.951,3788.9,,,,
12,08/24/21 05:30:00 PM,16.046,2927.8,,,,
13,08/24/21 07:30:00 PM,16.046,495.1,,,,
14,08/24/21 09:30:00 PM,16.046,0.0,,,,
15,08/24/21 11:30:00 PM,16.046,0.0,,,,
16,08/25/21 01:30:00 AM,15.951,0.0,,,,
17,08/25/21 03:30:00 AM,15.951,0.0,,,,
18,08/25/21 05:30:00 AM,15.951,43.1,,,,
19,08/25/21 07:30:00 AM,16.046,1248.6,,,,
20,08/25/21 09:30:00 AM,16.237,3961.1,,,,
21,08/25/21 11:30:00 AM,16.427,5511.1,,,,
22,08/25/21 01:30:00 PM,16.523,5511.1,,,,
23,08/25/21 03:30:00 PM,16.713,4133.4,,,,
24,08/25/21 05:30:00 PM,16.618,1980.6,,,,
25,08/25/21 07:30:00 PM,16.523,344.4,,,,
26,08/25/21 09:30:00 PM,16.332,0.0,,,,
27,08/25/21 11:30:00 PM,16.523,0.0,,,,
28,08/26/21 01:30:00 AM,16.523,0.0,,,,
29,08/26/21 03:30:00 AM,15.951,0.0,,,,
30,08/26/21 05:30:00 AM,15.569,21.5,,,,
31,08/26/21 07:30:00 AM,15.569,1377.8,,,,
32,08/26/21 09:30:00 AM,15.378,2152.8,,,,
33,08/26/21 11:30:00 AM,15.664,6200.0,,,,
34,08/26/21 01:30:00 PM,15.664,4133.4,,,,
35,08/26/21 03:30:00 PM,15.855,1980.6,,,,
36,08/26/21 05:30:00 PM,15.664,1130.2,,,,
37,08/26/21 07:30:00 PM,15.664,366.0,,,,
38,08/26/21 09:30:00 PM,15.473,0.0,,,,
39,08/26/21 11:30:00 PM,15.378,0.0,,,,
40,08/27/21 01:30:00 AM,15.378,0.0,,,,
41,08/27/21 03:30:00 AM,15.378,0.0,,,,
42,08/27/21 05:30:00 AM,15.282,32.3,,,,
43,08/27/21 07:30:00 AM,15.187,861.1,,,,
44,08/27/21 09:30:00 AM,15.187,2927.8,,,,
45,08/27/21 11:30:00 AM,15.378,3444.5,,,,
46,08/27/21 01:30:00 PM,15.282,2669.5,,,,
47,08/27/21 03:30:00 PM,15.187,1280.9,,,,
48,08/27/21 05:30:00 PM,15.187,1065.6,,,,
49,08/27/21 07:30:00 PM,15.187,344.4,,,,
50,08/27/21 09:30:00 PM,15.187,0.0,,,,
51,08/27/21 11:30:00 PM,14.996,0.0,,,,
52,08/28/21 01:30:00 AM,14.709,0.0,,,,
53,08/28/21 03:30:00 AM,14.613,0.0,,,,
54,08/28/21 05:30:00 AM,14.421,21.5,,,,
55,08/28/21 07:30:00 AM,14.230,947.2,,,,
56,08/28/21 09:30:00 AM,14.230,3788.9,,,,
57,08/28/21 11:30:00 AM,14.421,7577.8,,,,
58,08/28/21 01:30:00 PM,14.421,5166.7,,,,
59,08/28/21 03:30:00 PM,14.804,5166.7,,,,
60,08/28/21 05:30:00 PM,14.900,1324.0,,,,
61,08/28/21 07:30:00 PM,14.613,290.6,,,,
62,08/28/21 09:30:00 PM,14.421,0.0,,,,
63,08/28/21 11:30:00 PM,13.846,0.0,,,,
64,08/29/21 01:30:00 AM,13.750,0.0,,,,
65,08/29/21 03:30:00 AM,13.269,0.0,,,,
66,08/29/21 05:30:00 AM,12.883,0.0,,,,
67,08/29/21 07:30:00 AM,12.980,473.6,,,,
68,08/29/21 09:30:00 AM,13.173,215.3,,,,
69,08/29/21 11:30:00 AM,13.076,527.4,,,,
70,08/29/21 01:30:00 PM,12.980,925.7,,,,
71,08/29/21 03:30:00 PM,12.883,968.8,,,,
72,08/29/21 05:30:00 PM,12.787,968.8,,,,
73,08/29/21 07:30:00 PM,12.401,204.5,,,,
74,08/29/21 09:30:00 PM,12.594,0.0,,,,
75,08/29/21 11:30:00 PM,12.110,0.0,,,,
76,08/30/21 01:30:00 AM,12.110,0.0,,,,
77,08/30/21 03:30:00 AM,11.916,0.0,,,,
78,08/30/21 05:30:00 AM,12.013,0.0,,,,
79,08/30/21 07:30:00 AM,12.013,279.9,,,,
80,08/30/21 09:30:00 AM,12.110,990.3,,,,
81,08/30/21 11:30:00 AM,12.401,2927.8,,,,
82,08/30/21 01:30:00 PM,12.304,3788.9,,,,
83,08/30/21 03:30:00 PM,12.497,645.8,,,,
84,08/30/21 05:30:00 PM,12.401,322.9,,,,
85,08/30/21 07:30:00 PM,12.401,204.5,,,,
86,08/30/21 09:30:00 PM,12.304,0.0,,,,
87,08/30/21 11:30:00 PM,12.497,0.0,,,,
88,08/31/21 01:30:00 AM,12.401,0.0,,,,
89,08/31/21 03:30:00 AM,12.304,0.0,,,,
90,08/31/21 05:30:00 AM,12.110,0.0,,,,
91,08/31/21 07:30:00 AM,12.304,387.5,,,,
92,08/31/21 09:30:00 AM,12.207,1722.2,,,,
93,08/31/21 11:30:00 AM,12.304,2583.4,,,,
94,08/31/21 01:30:00 PM,12.594,3788.9,,,,
95,08/31/21 03:30:00 PM,12.690,2927.8,,,,
96,08/31/21 05:30:00 PM,12.787,914.9,,,,
97,08/31/21 07:30:00 PM,12.690,204.5,,,,
98,08/31/21 09:30:00 PM,12.594,0.0,,,,
99,08/31/21 11:30:00 PM,12.594,0.0,,,,
100,09/01/21 01:30:00 AM,12.401,0.0,,,,
101,09/01/21 03:30:00 AM,12.207,0.0,,,,
102,09/01/21 05:30:00 AM,12.013,0.0,,,,
103,09/01/21 07:30:00 AM,11.916,322.9,,,,
104,09/01/21 09:30:00 AM,12.013,1550.0,,,,
105,09/01/21 11:30:00 AM,12.207,2669.5,,,,
106,09/01/21 01:30:00 PM,12.207,2755.6,,,,
107,09/01/21 03:30:00 PM,12.594,2238.9,,,,
108,09/01/21 05:30:00 PM,12.690,1173.3,,,,
109,09/01/21 07:30:00 PM,12.594,193.8,,,,
110,09/01/21 09:30:00 PM,12.497,0.0,,,,
111,09/01/21 11:30:00 PM,12.497,0.0,,,,
112,09/02/21 01:30:00 AM,12.497,0.0,,,,
113,09/02/21 03:30:00 AM,12.497,0.0,,,,
