"Plot Title: MD_E1_pel_29Jul20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","Coupler Attached (LGR S/N: 10517215)","Host Connected (LGR S/N: 10517215)","Stopped (LGR S/N: 10517215)","End Of File (LGR S/N: 10517215)"
1,07/29/20 12:00:00,10.651,505.9,,,,
2,07/29/20 12:30:00,10.357,1377.8,,,,
3,07/29/20 13:00:00,10.259,1054.9,,,,
4,07/29/20 13:30:00,10.748,1550.0,,,,
5,07/29/20 14:00:00,10.944,2066.7,,,,
6,07/29/20 14:30:00,10.944,1636.1,,,,
7,07/29/20 15:00:00,11.041,3444.5,,,,
8,07/29/20 15:30:00,11.236,570.5,,,,
9,07/29/20 16:00:00,11.334,1463.9,,,,
10,07/29/20 16:30:00,11.431,269.1,,,,
11,07/29/20 17:00:00,11.431,161.5,,,,
12,07/29/20 17:30:00,11.431,753.5,,,,
13,07/29/20 18:00:00,11.431,624.3,,,,
14,07/29/20 18:30:00,11.528,796.5,,,,
15,07/29/20 19:00:00,11.528,172.2,,,,
16,07/29/20 19:30:00,11.528,247.6,,,,
17,07/29/20 20:00:00,11.528,344.4,,,,
18,07/29/20 20:30:00,11.625,75.3,,,,
19,07/29/20 21:00:00,11.528,107.6,,,,
20,07/29/20 21:30:00,11.528,64.6,,,,
21,07/29/20 22:00:00,11.528,21.5,,,,
22,07/29/20 22:30:00,11.431,10.8,,,,
23,07/29/20 23:00:00,11.431,0.0,,,,
24,07/29/20 23:30:00,11.334,0.0,,,,
25,07/30/20 00:00:00,11.334,0.0,,,,
26,07/30/20 00:30:00,11.236,0.0,,,,
27,07/30/20 01:00:00,11.236,0.0,,,,
28,07/30/20 01:30:00,11.236,0.0,,,,
29,07/30/20 02:00:00,11.236,0.0,,,,
30,07/30/20 02:30:00,11.236,0.0,,,,
31,07/30/20 03:00:00,11.236,0.0,,,,
32,07/30/20 03:30:00,11.236,0.0,,,,
33,07/30/20 04:00:00,11.139,21.5,,,,
34,07/30/20 04:30:00,11.041,0.0,,,,
35,07/30/20 05:00:00,11.139,21.5,,,,
36,07/30/20 05:30:00,11.139,53.8,,,,
37,07/30/20 06:00:00,11.236,86.1,,,,
38,07/30/20 06:30:00,11.236,172.2,,,,
39,07/30/20 07:00:00,11.236,183.0,,,,
40,07/30/20 07:30:00,11.139,484.4,,,,
41,07/30/20 08:00:00,11.139,699.7,,,,
42,07/30/20 08:30:00,11.139,1463.9,,,,
43,07/30/20 09:00:00,11.139,1194.8,,,,
44,07/30/20 09:30:00,11.139,1808.3,,,,
45,07/30/20 10:00:00,11.236,3272.2,,,,
46,07/30/20 10:30:00,11.334,3100.0,,,,
47,07/30/20 11:00:00,11.528,1894.5,,,,
48,07/30/20 11:30:00,11.722,4305.6,,,,
49,07/30/20 12:00:00,11.819,4650.0,,,,
50,07/30/20 12:30:00,11.819,4822.3,,,,
51,07/30/20 13:00:00,11.819,2411.1,,,,
52,07/30/20 13:30:00,12.207,5166.7,,,,
53,07/30/20 14:00:00,12.304,2152.8,,,,
54,07/30/20 14:30:00,12.304,1636.1,,,,
55,07/30/20 15:00:00,12.304,2152.8,,,,
56,07/30/20 15:30:00,12.401,1334.7,,,,
57,07/30/20 16:00:00,12.980,1377.8,,,,
58,07/30/20 16:30:00,12.787,1248.6,,,,
