"Plot Title: MD_e1_7Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349969, SEN S/N: 10349969)","Intensity, Lux (LGR S/N: 10349969, SEN S/N: 10349969)","Coupler Attached (LGR S/N: 10349969)","Host Connected (LGR S/N: 10349969)","Stopped (LGR S/N: 10349969)","End Of File (LGR S/N: 10349969)"
1,06/07/21 10:00:00,23.677,0.0,,,,
2,06/07/21 11:00:00,22.812,0.0,,,,
3,06/07/21 12:00:00,22.717,0.0,,,,
4,06/07/21 13:00:00,23.100,0.0,,,,
5,06/07/21 14:00:00,23.196,0.0,,,,
6,06/07/21 15:00:00,22.621,0.0,,,,
7,06/07/21 16:00:00,22.717,0.0,,,,
8,06/07/21 17:00:00,22.812,0.0,,,,
9,06/07/21 18:00:00,22.621,0.0,,,,
10,06/07/21 19:00:00,22.717,0.0,,,,
11,06/07/21 20:00:00,22.525,10.8,,,,
12,06/07/21 21:00:00,21.760,0.0,,,,
13,06/07/21 22:00:00,22.046,0.0,,,,
14,06/07/21 23:00:00,22.046,0.0,,,,
15,06/08/21 00:00:00,21.664,0.0,,,,
16,06/08/21 01:00:00,21.187,0.0,,,,
17,06/08/21 02:00:00,20.424,0.0,,,,
18,06/08/21 03:00:00,20.138,0.0,,,,
19,06/08/21 04:00:00,19.853,0.0,,,,
20,06/08/21 05:00:00,20.234,0.0,,,,
21,06/08/21 06:00:00,20.615,0.0,,,,
22,06/08/21 07:00:00,20.424,0.0,,,,
23,06/08/21 08:00:00,20.519,0.0,,,,
24,06/08/21 09:00:00,21.187,0.0,,,,
25,06/08/21 10:00:00,21.569,0.0,,,,
26,06/08/21 11:00:00,20.138,818.1,,,,
27,06/08/21 12:00:00,16.523,53.8,,,,
28,06/08/21 13:00:00,23.581,1550.0,,,,
29,06/08/21 14:00:00,25.319,107.6,,,,
30,06/08/21 15:00:00,26.683,2755.6,,,,
31,06/08/21 16:00:00,17.950,4650.0,,,,
32,06/08/21 17:00:00,13.654,204.5,,,,
33,06/08/21 18:00:00,13.269,6200.0,,,,
34,06/08/21 19:00:00,11.916,667.4,,,,
35,06/08/21 20:00:00,15.187,0.0,,,,
36,06/08/21 21:00:00,18.045,0.0,,,,
