"Plot Title: E2 pelagic"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)","Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)","Good Battery (LGR S/N: 10349970)","Coupler Attached (LGR S/N: 10349970)","Coupler Detached (LGR S/N: 10349970)","Host Connected (LGR S/N: 10349970)","Stopped (LGR S/N: 10349970)","End Of File (LGR S/N: 10349970)"
1,07/28/20 12:00:00,17.760,1894.5,Logged,,,,,
2,07/28/20 12:30:00,16.523,43.1,,,,,,
3,07/28/20 13:00:00,18.140,2927.8,,,,,,
4,07/28/20 13:30:00,15.760,1636.1,,,,,,
5,07/28/20 14:00:00,10.259,1463.9,,,,,,
6,07/28/20 14:30:00,10.259,2497.2,,,,,,
7,07/28/20 15:00:00,10.357,5166.7,,,,,,
8,07/28/20 15:30:00,10.357,5338.9,,,,,,
9,07/28/20 16:00:00,10.259,1894.5,,,,,,
10,07/28/20 16:30:00,10.259,807.3,,,,,,
11,07/28/20 17:00:00,10.161,839.6,,,,,,
12,07/28/20 17:30:00,10.161,699.7,,,,,,
13,07/28/20 18:00:00,10.161,1463.9,,,,,,
14,07/28/20 18:30:00,10.161,1130.2,,,,,,
15,07/28/20 19:00:00,10.063,1722.2,,,,,,
16,07/28/20 19:30:00,10.944,1636.1,,,,,,
17,07/28/20 20:00:00,10.748,613.5,,,,,,
18,07/28/20 20:30:00,10.651,721.2,,,,,,
19,07/28/20 21:00:00,10.553,688.9,,,,,,
20,07/28/20 21:30:00,10.553,559.7,,,,,,
21,07/28/20 22:00:00,10.455,355.2,,,,,,
22,07/28/20 22:30:00,10.357,107.6,,,,,,
23,07/28/20 23:00:00,10.259,32.3,,,,,,
24,07/28/20 23:30:00,10.161,0.0,,,,,,
25,07/29/20 00:00:00,10.161,0.0,,,,,,
26,07/29/20 00:30:00,10.161,0.0,,,,,,
27,07/29/20 01:00:00,10.161,0.0,,,,,,
28,07/29/20 01:30:00,10.161,0.0,,,,,,
29,07/29/20 02:00:00,10.161,0.0,,,,,,
30,07/29/20 02:30:00,10.161,0.0,,,,,,
31,07/29/20 03:00:00,10.161,0.0,,,,,,
32,07/29/20 03:30:00,10.161,0.0,,,,,,
33,07/29/20 04:00:00,10.161,21.5,,,,,,
34,07/29/20 04:30:00,10.063,86.1,,,,,,
35,07/29/20 05:00:00,10.063,118.4,,,,,,
36,07/29/20 05:30:00,10.161,430.6,,,,,,
37,07/29/20 06:00:00,10.161,968.8,,,,,,
38,07/29/20 06:30:00,10.161,1001.0,,,,,,
39,07/29/20 07:00:00,10.161,1194.8,,,,,,
