"Plot Title: e4_benthic"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 2409637, SEN S/N: 2409637, LBL: temp)","Intensity, Lux (LGR S/N: 2409637, SEN S/N: 2409637, LBL: light)","Coupler Attached (LGR S/N: 2409637)","Host Connected (LGR S/N: 2409637)","Stopped (LGR S/N: 2409637)","End Of File (LGR S/N: 2409637)"
1,06/19/21 10:00:00,23.484,10.8,,,,
2,06/19/21 11:00:00,18.996,0.0,,,,
3,06/19/21 12:00:00,25.513,14466.8,,,,
4,06/19/21 13:00:00,32.086,21355.7,,,,
5,06/19/21 14:00:00,23.388,46844.8,,,,
6,06/19/21 15:00:00,8.581,1550.0,,,,
7,06/19/21 16:00:00,8.481,592.0,,,,
8,06/19/21 17:00:00,8.481,1248.6,,,,
9,06/19/21 18:00:00,8.581,2152.8,,,,
10,06/19/21 19:00:00,8.481,807.3,,,,
11,06/19/21 20:00:00,8.581,2583.4,,,,
12,06/19/21 21:00:00,8.481,656.6,,,,
13,06/19/21 22:00:00,8.481,452.1,,,,
14,06/19/21 23:00:00,8.481,150.7,,,,
15,06/20/21 00:00:00,8.382,32.3,,,,
16,06/20/21 01:00:00,8.382,10.8,,,,
17,06/20/21 02:00:00,8.282,32.3,,,,
18,06/20/21 03:00:00,8.282,64.6,,,,
19,06/20/21 04:00:00,8.282,107.6,,,,
20,06/20/21 05:00:00,8.182,462.9,,,,
21,06/20/21 06:00:00,8.182,624.3,,,,
22,06/20/21 07:00:00,8.182,1173.3,,,,
23,06/20/21 08:00:00,8.282,3616.7,,,,
24,06/20/21 09:00:00,8.382,2238.9,,,,
25,06/20/21 10:00:00,8.481,3444.5,,,,
26,06/20/21 11:00:00,8.481,2669.5,,,,
27,06/20/21 12:00:00,8.481,2755.6,,,,
28,06/20/21 13:00:00,8.581,3961.1,,,,
29,06/20/21 14:00:00,8.680,4133.4,,,,
30,06/20/21 15:00:00,8.680,3616.7,,,,
31,06/20/21 16:00:00,8.879,5166.7,,,,
32,06/20/21 17:00:00,8.978,1636.1,,,,
33,06/20/21 18:00:00,9.077,1377.8,,,,
34,06/20/21 19:00:00,9.077,1463.9,,,,
35,06/20/21 20:00:00,9.176,1636.1,,,,
36,06/20/21 21:00:00,9.077,667.4,,,,
37,06/20/21 22:00:00,9.077,279.9,,,,
38,06/20/21 23:00:00,8.978,75.3,,,,
39,06/21/21 00:00:00,8.978,32.3,,,,
40,06/21/21 01:00:00,8.879,10.8,,,,
41,06/21/21 02:00:00,8.879,21.5,,,,
42,06/21/21 03:00:00,8.779,75.3,,,,
43,06/21/21 04:00:00,8.680,409.0,,,,
44,06/21/21 05:00:00,8.680,828.8,,,,
45,06/21/21 06:00:00,8.680,893.4,,,,
46,06/21/21 07:00:00,8.680,764.2,,,,
47,06/21/21 08:00:00,8.779,1980.6,,,,
48,06/21/21 09:00:00,8.779,1722.2,,,,
49,06/21/21 10:00:00,8.779,1227.1,,,,
50,06/21/21 11:00:00,8.779,1377.8,,,,
51,06/21/21 12:00:00,8.779,818.1,,,,
52,06/21/21 13:00:00,8.779,958.0,,,,
53,06/21/21 14:00:00,8.879,1334.7,,,,
54,06/21/21 15:00:00,8.879,710.4,,,,
55,06/21/21 16:00:00,8.879,527.4,,,,
56,06/21/21 17:00:00,8.879,538.2,,,,
57,06/21/21 18:00:00,8.879,290.6,,,,
58,06/21/21 19:00:00,8.879,193.8,,,,
59,06/21/21 20:00:00,8.779,129.2,,,,
60,06/21/21 21:00:00,8.779,32.3,,,,
61,06/21/21 22:00:00,8.779,21.5,,,,
62,06/21/21 23:00:00,8.779,0.0,,,,
63,06/22/21 00:00:00,8.680,0.0,,,,
64,06/22/21 01:00:00,8.680,0.0,,,,
65,06/22/21 02:00:00,8.581,0.0,,,,
66,06/22/21 03:00:00,8.581,10.8,,,,
