"Plot Title: E4_30cm_22Aug21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 2409646, SEN S/N: 2409646)","Intensity, Lux (LGR S/N: 2409646, SEN S/N: 2409646)","Bad Battery (LGR S/N: 2409646)","End Of File (LGR S/N: 2409646)"
1,08/23/21 19:30:00,14.804,129.2,,
2,08/23/21 21:30:00,14.804,0.0,,
3,08/23/21 23:30:00,14.804,0.0,,
4,08/24/21 01:30:00,14.804,0.0,,
5,08/24/21 03:30:00,14.804,0.0,,
6,08/24/21 05:30:00,14.804,0.0,,
7,08/24/21 07:30:00,14.804,21.5,,
8,08/24/21 09:30:00,14.900,516.7,,
9,08/24/21 11:30:00,14.900,1463.9,,
10,08/24/21 13:30:00,14.900,1087.2,,
11,08/24/21 15:30:00,14.709,1011.8,,
12,08/24/21 17:30:00,14.613,667.4,,
13,08/24/21 19:30:00,14.517,247.6,,
14,08/24/21 21:30:00,14.517,0.0,,
15,08/24/21 23:30:00,14.517,0.0,,
16,08/25/21 01:30:00,15.187,0.0,,
17,08/25/21 03:30:00,15.187,0.0,,
18,08/25/21 05:30:00,15.187,0.0,,
19,08/25/21 07:30:00,15.187,495.1,,
20,08/25/21 09:30:00,15.187,1324.0,,
21,08/25/21 11:30:00,15.282,2669.5,,
22,08/25/21 13:30:00,15.473,2755.6,,
23,08/25/21 15:30:00,15.569,2411.1,,
24,08/25/21 17:30:00,16.237,1205.6,,
25,08/25/21 19:30:00,16.332,53.8,,
26,08/25/21 21:30:00,16.141,0.0,,
27,08/25/21 23:30:00,15.855,0.0,,
28,08/26/21 01:30:00,15.664,0.0,,
29,08/26/21 03:30:00,15.569,0.0,,
30,08/26/21 05:30:00,15.378,0.0,,
31,08/26/21 07:30:00,15.473,21.5,,
32,08/26/21 09:30:00,15.473,344.4,,
33,08/26/21 11:30:00,15.473,1259.4,,
34,08/26/21 13:30:00,15.760,387.5,,
35,08/26/21 15:30:00,15.951,581.3,,
36,08/26/21 17:30:00,15.951,398.3,,
37,08/26/21 19:30:00,15.855,129.2,,
38,08/26/21 21:30:00,15.760,0.0,,
39,08/26/21 23:30:00,15.569,0.0,,
40,08/27/21 01:30:00,15.569,0.0,,
41,08/27/21 03:30:00,15.282,0.0,,
42,08/27/21 05:30:00,15.282,0.0,,
43,08/27/21 07:30:00,15.187,312.2,,
44,08/27/21 09:30:00,15.187,1076.4,,
45,08/27/21 11:30:00,15.282,1345.5,,
46,08/27/21 13:30:00,15.282,96.9,,
47,08/27/21 15:30:00,15.187,0.0,,
48,08/27/21 17:30:00,15.187,258.3,,
49,08/27/21 19:30:00,15.187,43.1,,
50,08/27/21 21:30:00,14.900,0.0,,
51,08/27/21 23:30:00,14.900,0.0,,
52,08/28/21 01:30:00,14.804,0.0,,
53,08/28/21 03:30:00,14.613,0.0,,
54,08/28/21 05:30:00,14.421,0.0,,
55,08/28/21 07:30:00,14.230,43.1,,
56,08/28/21 09:30:00,14.230,258.3,,
57,08/28/21 11:30:00,14.230,818.1,,
58,08/28/21 13:30:00,14.421,1636.1,,
59,08/28/21 15:30:00,14.517,538.2,,
60,08/28/21 17:30:00,14.421,452.1,,
61,08/28/21 19:30:00,14.230,0.0,,
62,08/28/21 21:30:00,13.942,0.0,,
63,08/28/21 23:30:00,13.750,0.0,,
64,08/29/21 01:30:00,13.558,0.0,,
65,08/29/21 03:30:00,13.269,0.0,,
66,08/29/21 05:30:00,13.076,0.0,,
67,08/29/21 07:30:00,12.883,0.0,,
68,08/29/21 09:30:00,12.787,0.0,,
69,08/29/21 11:30:00,12.690,0.0,,
70,08/29/21 13:30:00,12.690,86.1,,
71,08/29/21 15:30:00,12.401,64.6,,
72,08/29/21 17:30:00,12.207,21.5,,
73,08/29/21 19:30:00,12.013,0.0,,
74,08/29/21 21:30:00,12.207,0.0,,
75,08/29/21 23:30:00,12.013,0.0,,
76,08/30/21 01:30:00,11.916,0.0,,
77,08/30/21 03:30:00,11.819,0.0,,
78,08/30/21 05:30:00,11.819,0.0,,
79,08/30/21 07:30:00,11.819,10.8,,
80,08/30/21 09:30:00,11.916,53.8,,
81,08/30/21 11:30:00,12.110,226.0,,
82,08/30/21 13:30:00,12.207,764.2,,
83,08/30/21 15:30:00,11.819,1076.4,,
84,08/30/21 17:30:00,12.013,183.0,,
85,08/30/21 19:30:00,12.207,64.6,,
86,08/30/21 21:30:00,12.304,0.0,,
87,08/30/21 23:30:00,12.207,0.0,,
88,08/31/21 01:30:00,12.304,0.0,,
89,08/31/21 03:30:00,12.207,0.0,,
90,08/31/21 05:30:00,12.207,0.0,,
91,08/31/21 07:30:00,12.207,75.3,,
92,08/31/21 09:30:00,12.207,452.1,,
93,08/31/21 11:30:00,12.304,828.8,,
94,08/31/21 13:30:00,12.497,1184.0,,
95,08/31/21 15:30:00,12.690,1141.0,,
96,08/31/21 17:30:00,12.787,538.2,,
97,08/31/21 19:30:00,12.690,86.1,,
98,08/31/21 21:30:00,12.690,0.0,,
99,08/31/21 23:30:00,12.497,0.0,,
100,09/01/21 01:30:00,12.401,0.0,,
101,09/01/21 03:30:00,12.207,0.0,,
102,09/01/21 05:30:00,11.916,0.0,,
103,09/01/21 07:30:00,11.916,0.0,,
104,09/01/21 09:30:00,11.819,21.5,,
105,09/01/21 11:30:00,11.916,226.0,,
106,09/01/21 13:30:00,12.013,796.5,,
107,09/01/21 15:30:00,12.110,742.7,,
108,09/01/21 17:30:00,12.497,527.4,,
109,09/01/21 19:30:00,12.497,86.1,,
110,09/01/21 21:30:00,12.401,0.0,,
111,09/01/21 23:30:00,12.401,0.0,,
112,09/02/21 01:30:00,12.401,0.0,,
113,09/02/21 03:30:00,12.401,0.0,,
114,09/02/21 05:30:00,12.401,0.0,,
115,09/02/21 07:30:00,12.304,64.6,,
116,09/02/21 09:30:00,12.304,430.6,,
117,09/02/21 11:30:00,12.304,667.4,,
118,09/02/21 13:30:00,12.401,1151.7,,
119,09/02/21 15:30:00,12.401,1636.1,,
120,09/02/21 17:30:00,12.690,150.7,,
121,09/02/21 19:30:00,12.787,21.5,,
122,09/02/21 21:30:00,12.787,0.0,,
123,09/02/21 23:30:00,12.690,0.0,,
124,09/03/21 01:30:00,12.690,0.0,,
125,09/03/21 03:30:00,12.594,0.0,,
126,09/03/21 05:30:00,12.497,0.0,,
127,09/03/21 07:30:00,12.497,86.1,,
128,09/03/21 09:30:00,12.401,635.1,,
129,09/03/21 11:30:00,12.497,753.5,,
130,09/03/21 13:30:00,12.594,549.0,,
131,09/03/21 15:30:00,12.594,409.0,,
132,09/03/21 17:30:00,12.690,322.9,,
133,09/03/21 19:30:00,12.690,53.8,,
134,09/03/21 21:30:00,12.594,0.0,,
135,09/03/21 23:30:00,12.497,0.0,,
136,09/04/21 01:30:00,12.401,0.0,,
137,09/04/21 03:30:00,12.304,0.0,,
138,09/04/21 05:30:00,12.207,0.0,,
139,09/04/21 07:30:00,12.110,161.5,,
140,09/04/21 09:30:00,12.110,129.2,,
141,09/04/21 11:30:00,12.110,355.2,,
142,09/04/21 13:30:00,12.304,366.0,,
143,09/04/21 15:30:00,12.304,150.7,,
