"Plot Title: MD_e4_7Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517222, SEN S/N: 10517222, LBL: temp)","Intensity, Lux (LGR S/N: 10517222, SEN S/N: 10517222, LBL: light)","Coupler Attached (LGR S/N: 10517222)","Host Connected (LGR S/N: 10517222)","Stopped (LGR S/N: 10517222)","End Of File (LGR S/N: 10517222)"
1,06/07/21 10:00:00,23.292,0.0,,,,
2,06/07/21 11:00:00,22.717,0.0,,,,
3,06/07/21 12:00:00,22.621,0.0,,,,
4,06/07/21 13:00:00,23.004,0.0,,,,
5,06/07/21 14:00:00,23.100,0.0,,,,
6,06/07/21 15:00:00,22.621,0.0,,,,
7,06/07/21 16:00:00,22.717,0.0,,,,
8,06/07/21 17:00:00,22.812,0.0,,,,
9,06/07/21 18:00:00,22.525,0.0,,,,
10,06/07/21 19:00:00,22.717,0.0,,,,
11,06/07/21 20:00:00,22.333,21.5,,,,
12,06/07/21 21:00:00,21.473,0.0,,,,
13,06/07/21 22:00:00,21.951,0.0,,,,
14,06/07/21 23:00:00,21.855,0.0,,,,
15,06/08/21 00:00:00,21.473,0.0,,,,
16,06/08/21 01:00:00,20.901,0.0,,,,
17,06/08/21 02:00:00,20.138,0.0,,,,
18,06/08/21 03:00:00,19.853,0.0,,,,
19,06/08/21 04:00:00,19.567,0.0,,,,
20,06/08/21 05:00:00,20.043,0.0,,,,
21,06/08/21 06:00:00,20.424,0.0,,,,
22,06/08/21 07:00:00,20.234,0.0,,,,
23,06/08/21 08:00:00,20.329,0.0,,,,
24,06/08/21 09:00:00,21.091,0.0,,,,
25,06/08/21 10:00:00,21.378,0.0,,,,
26,06/08/21 11:00:00,20.519,258.3,,,,
27,06/08/21 12:00:00,15.760,21.5,,,,
28,06/08/21 13:00:00,21.187,366.0,,,,
29,06/08/21 14:00:00,24.158,10.8,,,,
30,06/08/21 15:00:00,12.304,14466.8,,,,
31,06/08/21 16:00:00,12.304,5511.1,,,,
32,06/08/21 17:00:00,12.110,4994.5,,,,
33,06/08/21 18:00:00,12.110,6544.5,,,,
34,06/08/21 19:00:00,12.013,2411.1,,,,
35,06/08/21 20:00:00,12.013,4305.6,,,,
36,06/08/21 21:00:00,12.013,387.5,,,,
37,06/08/21 22:00:00,11.916,549.0,,,,
38,06/08/21 23:00:00,11.916,129.2,,,,
39,06/09/21 00:00:00,11.916,96.9,,,,
40,06/09/21 01:00:00,11.819,43.1,,,,
41,06/09/21 02:00:00,11.819,43.1,,,,
42,06/09/21 03:00:00,11.722,269.1,,,,
43,06/09/21 04:00:00,11.819,839.6,,,,
44,06/09/21 05:00:00,11.819,1550.0,,,,
45,06/09/21 06:00:00,11.722,2066.7,,,,
46,06/09/21 07:00:00,11.722,1636.1,,,,
47,06/09/21 08:00:00,11.722,2583.4,,,,
48,06/09/21 09:00:00,11.819,5511.1,,,,
49,06/09/21 10:00:00,11.819,8266.7,,,,
50,06/09/21 11:00:00,11.819,7577.8,,,,
51,06/09/21 12:00:00,11.916,8611.2,,,,
52,06/09/21 13:00:00,11.819,4477.8,,,,
53,06/09/21 14:00:00,11.916,8266.7,,,,
54,06/09/21 15:00:00,11.916,5511.1,,,,
55,06/09/21 16:00:00,11.916,6200.0,,,,
56,06/09/21 17:00:00,11.916,5166.7,,,,
57,06/09/21 18:00:00,11.916,3961.1,,,,
58,06/09/21 19:00:00,11.916,3100.0,,,,
59,06/09/21 20:00:00,11.916,4994.5,,,,
60,06/09/21 21:00:00,11.916,1550.0,,,,
61,06/09/21 22:00:00,11.819,850.4,,,,
62,06/09/21 23:00:00,11.722,430.6,,,,
63,06/10/21 00:00:00,11.722,172.2,,,,
