Plot Title: md_e5_benthic_13Jun19,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349966, SEN S/N: 10349966, LBL: Temp)","Intensity, Lux (LGR S/N: 10349966, SEN S/N: 10349966, LBL: Light)",Coupler Detached (LGR S/N: 10349966),Coupler Attached (LGR S/N: 10349966),Host Connected (LGR S/N: 10349966),Stopped (LGR S/N: 10349966),End Of File (LGR S/N: 10349966)
1,6/13/2019 13:46,22.717,0,,,,,
2,6/13/2019 13:50,,,Logged,,,,
3,6/13/2019 14:16,22.812,0,,,,,
4,6/13/2019 14:46,23.004,129.2,,,,,
5,6/13/2019 15:16,21.187,2152.8,,,,,
6,6/13/2019 15:46,16.427,96.9,,,,,
7,6/13/2019 16:16,14.996,46844.8,,,,,
8,6/13/2019 16:46,19.187,46844.8,,,,,
9,6/13/2019 17:16,21.951,871.9,,,,,
10,6/13/2019 17:46,23.966,1108.7,,,,,
11,6/13/2019 18:16,24.062,893.4,,,,,
12,6/13/2019 18:46,23.773,925.7,,,,,
13,6/13/2019 19:16,23.869,753.5,,,,,
14,6/13/2019 19:46,23.677,645.8,,,,,
15,6/13/2019 20:16,23.581,624.3,,,,,
16,6/13/2019 20:46,23.484,484.4,,,,,
17,6/13/2019 21:16,23.292,344.4,,,,,
18,6/13/2019 21:46,23.196,226,,,,,
19,6/13/2019 22:16,23.004,129.2,,,,,
20,6/13/2019 22:46,22.621,64.6,,,,,
21,6/13/2019 23:16,22.429,32.3,,,,,
22,6/13/2019 23:46,22.333,10.8,,,,,
23,6/14/2019 0:16,22.429,0,,,,,
24,6/14/2019 0:46,22.333,0,,,,,
25,6/14/2019 1:16,22.046,0,,,,,
26,6/14/2019 1:46,21.855,0,,,,,
27,6/14/2019 2:16,21.664,0,,,,,
28,6/14/2019 2:46,21.569,10.8,,,,,
29,6/14/2019 3:16,21.378,21.5,,,,,
30,6/14/2019 3:46,21.378,32.3,,,,,
31,6/14/2019 4:16,21.378,43.1,,,,,
32,6/14/2019 4:46,21.378,21.5,,,,,
33,6/14/2019 5:16,21.282,43.1,,,,,
34,6/14/2019 5:46,21.187,32.3,,,,,
35,6/14/2019 6:16,21.282,32.3,,,,,
