"Plot Title: e5_benthic_19Jun21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 2409645, SEN S/N: 2409645, LBL: temp)","Intensity, Lux (LGR S/N: 2409645, SEN S/N: 2409645, LBL: light)","Coupler Detached (LGR S/N: 2409645)","Coupler Attached (LGR S/N: 2409645)","Host Connected (LGR S/N: 2409645)","Stopped (LGR S/N: 2409645)","End Of File (LGR S/N: 2409645)"
1,06/19/21 09:44:30,23.196,0.0,,,,,
2,06/19/21 09:44:45,,,Logged,,,,
3,06/19/21 10:44:30,19.187,43.1,,,,,
4,06/19/21 11:44:30,22.908,10333.4,,,,,
5,06/19/21 12:44:30,27.567,8611.2,,,,,
6,06/19/21 13:44:30,24.931,5511.1,,,,,
7,06/19/21 14:44:30,22.621,4650.0,,,,,
8,06/19/21 15:44:30,8.382,839.6,,,,,
9,06/19/21 16:44:30,8.382,1636.1,,,,,
10,06/19/21 17:44:30,8.382,1808.3,,,,,
11,06/19/21 18:44:30,8.382,958.0,,,,,
12,06/19/21 19:44:30,8.382,1894.5,,,,,
13,06/19/21 20:44:30,8.282,656.6,,,,,
14,06/19/21 21:44:30,8.282,839.6,,,,,
15,06/19/21 22:44:30,8.282,204.5,,,,,
16,06/19/21 23:44:30,8.182,43.1,,,,,
17,06/20/21 00:44:30,8.182,32.3,,,,,
18,06/20/21 01:44:30,8.082,53.8,,,,,
19,06/20/21 02:44:30,7.983,96.9,,,,,
20,06/20/21 03:44:30,7.983,161.5,,,,,
21,06/20/21 04:44:30,7.983,699.7,,,,,
22,06/20/21 05:44:30,7.983,1237.9,,,,,
23,06/20/21 06:44:30,8.082,1894.5,,,,,
24,06/20/21 07:44:30,8.182,1980.6,,,,,
25,06/20/21 08:44:30,8.581,5166.7,,,,,
26,06/20/21 09:44:30,8.382,3788.9,,,,,
27,06/20/21 10:44:30,8.481,4477.8,,,,,
28,06/20/21 11:44:30,8.581,4650.0,,,,,
29,06/20/21 12:44:30,8.680,5511.1,,,,,
