"Plot Title: MD_E5a_19August18"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","End Of File (LGR S/N: 10517216)"
1,08/20/18 00:00:00,10.161,0.0,
2,08/20/18 02:00:00,10.259,0.0,
3,08/20/18 04:00:00,10.455,0.0,
4,08/20/18 06:00:00,10.357,86.1,
5,08/20/18 08:00:00,10.455,322.9,
6,08/20/18 10:00:00,10.651,269.1,
7,08/20/18 12:00:00,10.846,549.0,
8,08/20/18 14:00:00,11.041,1808.3,
9,08/20/18 16:00:00,10.944,635.1,
10,08/20/18 18:00:00,10.748,635.1,
11,08/20/18 20:00:00,10.651,215.3,
12,08/20/18 22:00:00,10.455,0.0,
13,08/21/18 00:00:00,10.357,0.0,
14,08/21/18 02:00:00,10.063,0.0,
15,08/21/18 04:00:00,10.063,0.0,
16,08/21/18 06:00:00,10.063,86.1,
17,08/21/18 08:00:00,9.768,355.2,
18,08/21/18 10:00:00,10.063,1205.6,
19,08/21/18 12:00:00,10.455,430.6,
20,08/21/18 14:00:00,10.455,581.3,
21,08/21/18 16:00:00,10.357,1011.8,
22,08/21/18 18:00:00,10.455,387.5,
23,08/21/18 20:00:00,10.259,53.8,
24,08/21/18 22:00:00,10.161,0.0,
25,08/22/18 00:00:00,9.965,0.0,
26,08/22/18 02:00:00,10.063,0.0,
27,08/22/18 04:00:00,10.063,0.0,
28,08/22/18 06:00:00,10.063,43.1,
29,08/22/18 08:00:00,10.063,301.4,
30,08/22/18 10:00:00,10.063,1001.0,
31,08/22/18 12:00:00,10.161,1463.9,
32,08/22/18 14:00:00,9.965,1367.0,
33,08/22/18 16:00:00,9.965,979.5,
34,08/22/18 18:00:00,9.965,1377.8,
35,08/22/18 20:00:00,10.063,64.6,
36,08/22/18 22:00:00,9.866,0.0,
37,08/23/18 00:00:00,9.768,0.0,
38,08/23/18 02:00:00,9.669,0.0,
39,08/23/18 04:00:00,9.669,0.0,
40,08/23/18 06:00:00,9.669,75.3,
41,08/23/18 08:00:00,9.669,904.2,
42,08/23/18 10:00:00,9.373,1291.7,
43,08/23/18 12:00:00,9.275,2669.5,
44,08/23/18 14:00:00,9.472,1722.2,
45,08/23/18 16:00:00,9.275,764.2,
46,08/23/18 18:00:00,9.472,1291.7,
47,08/23/18 20:00:00,9.373,75.3,
48,08/23/18 22:00:00,9.077,0.0,
49,08/24/18 00:00:00,8.779,0.0,
50,08/24/18 02:00:00,8.581,0.0,
51,08/24/18 04:00:00,8.680,0.0,
52,08/24/18 06:00:00,8.779,53.8,
53,08/24/18 08:00:00,8.879,1227.1,
54,08/24/18 10:00:00,8.779,1636.1,
55,08/24/18 12:00:00,8.978,2325.0,
56,08/24/18 14:00:00,9.077,4477.8,
57,08/24/18 16:00:00,9.176,2152.8,
58,08/24/18 18:00:00,9.275,871.9,
59,08/24/18 20:00:00,9.077,183.0,
60,08/24/18 22:00:00,8.978,0.0,
61,08/25/18 00:00:00,8.978,0.0,
62,08/25/18 02:00:00,8.879,0.0,
63,08/25/18 04:00:00,8.680,0.0,
64,08/25/18 06:00:00,8.581,64.6,
65,08/25/18 08:00:00,8.581,1001.0,
66,08/25/18 10:00:00,8.581,2927.8,
67,08/25/18 12:00:00,8.680,2669.5,
68,08/25/18 14:00:00,8.879,1722.2,
69,08/25/18 16:00:00,9.077,1550.0,
70,08/25/18 18:00:00,9.077,968.8,
71,08/25/18 20:00:00,9.077,236.8,
72,08/25/18 22:00:00,8.978,0.0,
73,08/26/18 00:00:00,8.879,0.0,
74,08/26/18 02:00:00,8.680,0.0,
75,08/26/18 04:00:00,8.481,0.0,
76,08/26/18 06:00:00,8.282,279.9,
77,08/26/18 08:00:00,8.382,1894.5,
78,08/26/18 10:00:00,8.481,2927.8,
79,08/26/18 12:00:00,8.581,2669.5,
80,08/26/18 14:00:00,8.779,3100.0,
81,08/26/18 16:00:00,8.779,1980.6,
82,08/26/18 18:00:00,8.879,1097.9,
83,08/26/18 20:00:00,9.077,150.7,
84,08/26/18 22:00:00,9.275,0.0,
85,08/27/18 00:00:00,8.978,0.0,
86,08/27/18 02:00:00,8.779,0.0,
