"Plot Title: e5_60cm_22Aug21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 2409650, SEN S/N: 2409650, LBL: temp)","Intensity, Lux (LGR S/N: 2409650, SEN S/N: 2409650, LBL: light)","End Of File (LGR S/N: 2409650)"
1,08/23/21 19:30:00,14.134,279.9,
2,08/23/21 21:30:00,14.134,0.0,
3,08/23/21 23:30:00,14.230,0.0,
4,08/24/21 01:30:00,14.038,0.0,
5,08/24/21 03:30:00,13.461,0.0,
6,08/24/21 05:30:00,13.846,0.0,
7,08/24/21 07:30:00,13.461,419.8,
8,08/24/21 09:30:00,13.654,2152.8,
9,08/24/21 11:30:00,13.558,2325.0,
10,08/24/21 13:30:00,13.365,4822.3,
11,08/24/21 15:30:00,13.269,2755.6,
12,08/24/21 17:30:00,13.076,1463.9,
13,08/24/21 19:30:00,13.461,699.7,
14,08/24/21 21:30:00,13.750,0.0,
15,08/24/21 23:30:00,14.134,0.0,
16,08/25/21 01:30:00,14.709,0.0,
17,08/25/21 03:30:00,14.517,0.0,
18,08/25/21 05:30:00,14.421,53.8,
19,08/25/21 07:30:00,14.613,1463.9,
20,08/25/21 09:30:00,14.709,2755.6,
21,08/25/21 11:30:00,14.900,8266.7,
22,08/25/21 13:30:00,14.996,8266.7,
23,08/25/21 15:30:00,14.996,5511.1,
24,08/25/21 17:30:00,15.378,2325.0,
25,08/25/21 19:30:00,15.760,398.3,
26,08/25/21 21:30:00,15.473,0.0,
27,08/25/21 23:30:00,15.378,0.0,
28,08/26/21 01:30:00,15.091,0.0,
29,08/26/21 03:30:00,14.900,0.0,
30,08/26/21 05:30:00,14.421,10.8,
31,08/26/21 07:30:00,14.230,1248.6,
32,08/26/21 09:30:00,14.517,1980.6,
33,08/26/21 11:30:00,14.900,7233.4,
34,08/26/21 13:30:00,15.187,3444.5,
35,08/26/21 15:30:00,14.230,4477.8,
36,08/26/21 17:30:00,14.900,1463.9,
37,08/26/21 19:30:00,15.091,462.9,
38,08/26/21 21:30:00,14.996,0.0,
39,08/26/21 23:30:00,14.996,0.0,
40,08/27/21 01:30:00,14.804,0.0,
41,08/27/21 03:30:00,14.613,0.0,
42,08/27/21 05:30:00,14.134,21.5,
43,08/27/21 07:30:00,14.421,1076.4,
44,08/27/21 09:30:00,14.421,2238.9,
45,08/27/21 11:30:00,14.421,7577.8,
46,08/27/21 13:30:00,14.230,1463.9,
47,08/27/21 15:30:00,14.038,183.0,
48,08/27/21 17:30:00,14.038,1054.9,
49,08/27/21 19:30:00,14.421,322.9,
50,08/27/21 21:30:00,14.134,0.0,
51,08/27/21 23:30:00,14.134,0.0,
52,08/28/21 01:30:00,13.846,0.0,
53,08/28/21 03:30:00,13.846,0.0,
54,08/28/21 05:30:00,13.654,10.8,
55,08/28/21 07:30:00,12.980,990.3,
56,08/28/21 09:30:00,13.173,3444.5,
57,08/28/21 11:30:00,13.461,7577.8,
58,08/28/21 13:30:00,12.594,8611.2,
59,08/28/21 15:30:00,13.076,2152.8,
60,08/28/21 17:30:00,13.461,1194.8,
61,08/28/21 19:30:00,13.365,43.1,
62,08/28/21 21:30:00,12.497,0.0,
63,08/28/21 23:30:00,12.304,0.0,
64,08/29/21 01:30:00,12.401,0.0,
65,08/29/21 03:30:00,11.431,0.0,
66,08/29/21 05:30:00,11.528,0.0,
67,08/29/21 07:30:00,11.625,333.7,
68,08/29/21 09:30:00,12.304,43.1,
69,08/29/21 11:30:00,12.207,43.1,
70,08/29/21 13:30:00,12.110,678.1,
71,08/29/21 15:30:00,12.110,409.0,
72,08/29/21 17:30:00,11.334,96.9,
73,08/29/21 19:30:00,12.304,21.5,
74,08/29/21 21:30:00,12.013,0.0,
75,08/29/21 23:30:00,12.110,0.0,
76,08/30/21 01:30:00,11.431,0.0,
77,08/30/21 03:30:00,12.110,0.0,
78,08/30/21 05:30:00,11.819,0.0,
79,08/30/21 07:30:00,11.916,129.2,
80,08/30/21 09:30:00,12.013,387.5,
81,08/30/21 11:30:00,12.207,452.1,
82,08/30/21 13:30:00,12.013,1636.1,
83,08/30/21 15:30:00,12.401,2927.8,
84,08/30/21 17:30:00,12.497,613.5,
85,08/30/21 19:30:00,12.304,226.0,
86,08/30/21 21:30:00,12.594,0.0,
87,08/30/21 23:30:00,12.594,0.0,
88,08/31/21 01:30:00,12.110,0.0,
89,08/31/21 03:30:00,11.916,0.0,
90,08/31/21 05:30:00,12.304,0.0,
91,08/31/21 07:30:00,12.401,527.4,
92,08/31/21 09:30:00,12.497,1463.9,
93,08/31/21 11:30:00,12.304,2583.4,
94,08/31/21 13:30:00,11.819,5511.1,
95,08/31/21 15:30:00,12.304,3444.5,
96,08/31/21 17:30:00,12.497,947.2,
97,08/31/21 19:30:00,12.497,215.3,
98,08/31/21 21:30:00,12.401,0.0,
99,08/31/21 23:30:00,12.497,0.0,
100,09/01/21 01:30:00,11.431,0.0,
101,09/01/21 03:30:00,11.334,0.0,
102,09/01/21 05:30:00,11.334,0.0,
103,09/01/21 07:30:00,11.431,161.5,
104,09/01/21 09:30:00,11.916,592.0,
105,09/01/21 11:30:00,11.916,602.8,
106,09/01/21 13:30:00,11.139,2927.8,
107,09/01/21 15:30:00,11.819,2583.4,
108,09/01/21 17:30:00,12.401,871.9,
109,09/01/21 19:30:00,12.110,226.0,
110,09/01/21 21:30:00,12.304,0.0,
111,09/01/21 23:30:00,12.207,0.0,
112,09/02/21 01:30:00,12.207,0.0,
113,09/02/21 03:30:00,12.304,0.0,
114,09/02/21 05:30:00,12.207,0.0,
115,09/02/21 07:30:00,12.207,107.6,
116,09/02/21 09:30:00,12.304,333.7,
117,09/02/21 11:30:00,12.110,1001.0,
118,09/02/21 13:30:00,11.916,1377.8,
119,09/02/21 15:30:00,11.916,2411.1,
120,09/02/21 17:30:00,12.401,258.3,
121,09/02/21 19:30:00,12.304,43.1,
122,09/02/21 21:30:00,12.304,0.0,
123,09/02/21 23:30:00,12.304,0.0,
124,09/03/21 01:30:00,12.207,0.0,
125,09/03/21 03:30:00,12.110,0.0,
126,09/03/21 05:30:00,12.013,0.0,
127,09/03/21 07:30:00,11.916,387.5,
128,09/03/21 09:30:00,12.013,2411.1,
129,09/03/21 11:30:00,12.013,2325.0,
130,09/03/21 13:30:00,12.013,1011.8,
131,09/03/21 15:30:00,12.110,753.5,
132,09/03/21 17:30:00,12.207,570.5,
133,09/03/21 19:30:00,11.916,139.9,
134,09/03/21 21:30:00,11.819,0.0,
135,09/03/21 23:30:00,11.819,0.0,
136,09/04/21 01:30:00,11.236,0.0,
137,09/04/21 03:30:00,10.748,0.0,
138,09/04/21 05:30:00,10.846,0.0,
139,09/04/21 07:30:00,11.041,635.1,
140,09/04/21 09:30:00,11.236,1550.0,
141,09/04/21 11:30:00,11.528,4650.0,
142,09/04/21 13:30:00,11.625,1722.2,
143,09/04/21 15:30:00,11.139,1173.3,
144,09/04/21 17:30:00,10.944,1550.0,
145,09/04/21 19:30:00,10.944,322.9,
146,09/04/21 21:30:00,10.846,0.0,
147,09/04/21 23:30:00,11.139,0.0,
148,09/05/21 01:30:00,11.041,0.0,
149,09/05/21 03:30:00,11.528,0.0,
150,09/05/21 05:30:00,11.431,0.0,
151,09/05/21 07:30:00,10.944,0.0,
152,09/05/21 09:30:00,11.722,333.7,
153,09/05/21 11:30:00,11.722,635.1,
154,09/05/21 13:30:00,11.916,2411.1,
155,09/05/21 15:30:00,11.625,1894.5,
156,09/05/21 17:30:00,11.431,86.1,
157,09/05/21 19:30:00,11.431,96.9,
158,09/05/21 21:30:00,11.528,0.0,
159,09/05/21 23:30:00,10.651,0.0,
160,09/06/21 01:30:00,10.846,0.0,
161,09/06/21 03:30:00,10.455,0.0,
162,09/06/21 05:30:00,10.161,0.0,
163,09/06/21 07:30:00,9.866,269.1,
164,09/06/21 09:30:00,9.965,527.4,
165,09/06/21 11:30:00,9.965,721.2,
166,09/06/21 13:30:00,9.669,882.6,
167,09/06/21 15:30:00,9.965,1377.8,
168,09/06/21 17:30:00,9.965,473.6,
169,09/06/21 19:30:00,9.965,96.9,
170,09/06/21 21:30:00,9.866,0.0,
171,09/06/21 23:30:00,9.669,0.0,
172,09/07/21 01:30:00,9.866,0.0,
173,09/07/21 03:30:00,9.866,0.0,
174,09/07/21 05:30:00,10.259,0.0,
175,09/07/21 07:30:00,10.161,258.3,
176,09/07/21 09:30:00,10.063,1194.8,
177,09/07/21 11:30:00,10.161,1722.2,
