"Plot Title: e5_30cm_22Aug21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517222, SEN S/N: 10517222, LBL: temp)","Intensity, Lux (LGR S/N: 10517222, SEN S/N: 10517222, LBL: light)","End Of File (LGR S/N: 10517222)"
1,08/23/21 19:30:00,14.230,269.1,
2,08/23/21 21:30:00,14.230,0.0,
3,08/23/21 23:30:00,14.325,0.0,
4,08/24/21 01:30:00,14.134,0.0,
5,08/24/21 03:30:00,13.558,0.0,
6,08/24/21 05:30:00,13.942,0.0,
7,08/24/21 07:30:00,13.558,333.7,
8,08/24/21 09:30:00,13.750,1636.1,
9,08/24/21 11:30:00,13.654,1550.0,
10,08/24/21 13:30:00,13.461,3616.7,
11,08/24/21 15:30:00,13.365,2066.7,
12,08/24/21 17:30:00,13.173,1173.3,
13,08/24/21 19:30:00,13.461,581.3,
14,08/24/21 21:30:00,13.654,0.0,
15,08/24/21 23:30:00,14.038,0.0,
16,08/25/21 01:30:00,14.804,0.0,
17,08/25/21 03:30:00,14.613,0.0,
18,08/25/21 05:30:00,14.517,32.3,
19,08/25/21 07:30:00,14.709,1108.7,
20,08/25/21 09:30:00,14.804,2066.7,
21,08/25/21 11:30:00,14.900,5338.9,
22,08/25/21 13:30:00,15.091,5166.7,
23,08/25/21 15:30:00,15.091,4305.6,
24,08/25/21 17:30:00,15.473,1894.5,
25,08/25/21 19:30:00,15.760,333.7,
26,08/25/21 21:30:00,15.569,0.0,
27,08/25/21 23:30:00,15.473,0.0,
28,08/26/21 01:30:00,15.187,0.0,
29,08/26/21 03:30:00,14.996,0.0,
30,08/26/21 05:30:00,14.517,10.8,
31,08/26/21 07:30:00,14.230,861.1,
32,08/26/21 09:30:00,14.613,1463.9,
33,08/26/21 11:30:00,14.900,4650.0,
34,08/26/21 13:30:00,15.282,2238.9,
35,08/26/21 15:30:00,14.230,3100.0,
36,08/26/21 17:30:00,14.996,1173.3,
37,08/26/21 19:30:00,15.091,344.4,
38,08/26/21 21:30:00,15.091,0.0,
39,08/26/21 23:30:00,14.996,0.0,
40,08/27/21 01:30:00,14.900,0.0,
41,08/27/21 03:30:00,14.709,0.0,
42,08/27/21 05:30:00,14.134,21.5,
43,08/27/21 07:30:00,14.517,699.7,
44,08/27/21 09:30:00,14.517,1377.8,
45,08/27/21 11:30:00,14.421,5166.7,
46,08/27/21 13:30:00,14.325,914.9,
47,08/27/21 15:30:00,14.134,96.9,
48,08/27/21 17:30:00,14.038,764.2,
49,08/27/21 19:30:00,14.517,258.3,
50,08/27/21 21:30:00,14.230,0.0,
