"Plot Title: MD_E5Pel_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Temp)","Intensity, Lux (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Light)","Coupler Attached (LGR S/N: 10517219)","Coupler Detached (LGR S/N: 10517219)","Host Connected (LGR S/N: 10517219)","Stopped (LGR S/N: 10517219)","End Of File (LGR S/N: 10517219)"
1,06/13/19 14:00:00,23.004,96.9,,,,,
2,06/13/19 14:30:00,25.222,21.5,,,,,
3,06/13/19 15:00:00,29.552,0.0,,,,,
4,06/13/19 15:30:00,21.282,53.8,,,,,
5,06/13/19 16:00:00,20.234,12400.1,,,,,
6,06/13/19 16:30:00,17.665,5166.7,,,,,
7,06/13/19 17:00:00,18.045,0.0,,,,,
8,06/13/19 17:30:00,18.806,0.0,,,,,
9,06/13/19 18:00:00,19.948,0.0,,,,,
10,06/13/19 18:30:00,20.710,0.0,,,,,
11,06/13/19 19:00:00,21.378,10.8,,,,,
12,06/13/19 19:30:00,21.760,10.8,,,,,
13,06/13/19 20:00:00,22.046,21.5,,,,,
14,06/13/19 20:30:00,22.333,32.3,,,,,
15,06/13/19 21:00:00,22.429,53.8,,,,,
16,06/13/19 21:30:00,22.525,43.1,,,,,
17,06/13/19 22:00:00,22.525,53.8,,,,,
18,06/13/19 22:30:00,22.525,75.3,,,,,
19,06/13/19 23:00:00,22.429,86.1,,,,,
20,06/13/19 23:30:00,22.429,21.5,,,,,
21,06/14/19 00:00:00,22.429,0.0,,,,,
22,06/14/19 00:30:00,22.429,0.0,,,,,
23,06/14/19 01:00:00,22.429,0.0,,,,,
24,06/14/19 01:30:00,22.333,0.0,,,,,
25,06/14/19 02:00:00,22.333,0.0,,,,,
26,06/14/19 02:30:00,22.238,0.0,,,,,
27,06/14/19 03:00:00,22.142,0.0,,,,,
28,06/14/19 03:30:00,22.046,0.0,,,,,
29,06/14/19 04:00:00,22.046,0.0,,,,,
30,06/14/19 04:30:00,21.951,0.0,,,,,
31,06/14/19 05:00:00,21.951,0.0,,,,,
32,06/14/19 05:30:00,21.951,0.0,,,,,
33,06/14/19 06:00:00,21.951,0.0,,,,,
34,06/14/19 06:30:00,21.951,0.0,,,,,
35,06/14/19 07:00:00,21.951,0.0,,,,,
36,06/14/19 07:30:00,21.855,0.0,,,,,
37,06/14/19 08:00:00,21.855,0.0,,,,,
38,06/14/19 08:30:00,21.760,0.0,,,,,
39,06/14/19 09:00:00,21.569,0.0,,,,,
40,06/14/19 09:30:00,21.569,0.0,,,,,
41,06/14/19 10:00:00,21.569,0.0,,,,,
42,06/14/19 10:30:00,21.664,0.0,,,,,
43,06/14/19 11:00:00,21.664,0.0,,,,,
44,06/14/19 11:30:00,21.760,0.0,,,,,
45,06/14/19 12:00:00,21.855,0.0,,,,,
46,06/14/19 12:30:00,21.855,0.0,,,,,
47,06/14/19 13:00:00,21.855,10.8,,,,,
48,06/14/19 13:30:00,21.951,0.0,,,,,
49,06/14/19 14:00:00,21.951,0.0,,,,,
50,06/14/19 14:30:00,22.046,10.8,,,,,
51,06/14/19 15:00:00,22.238,0.0,,,,,
52,06/14/19 15:30:00,22.238,0.0,,,,,
53,06/14/19 16:00:00,22.333,0.0,,,,,
54,06/14/19 16:30:00,22.333,0.0,,,,,
55,06/14/19 17:00:00,22.429,0.0,,,,,
56,06/14/19 17:30:00,22.429,0.0,,,,,
57,06/14/19 18:00:00,22.333,0.0,,,,,
58,06/14/19 18:30:00,22.238,0.0,,,,,
