"Plot Title: E5 pelagic 28Jul20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Temp)","Intensity, Lux (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Light)","Coupler Attached (LGR S/N: 10517219)","Host Connected (LGR S/N: 10517219)","Stopped (LGR S/N: 10517219)","End Of File (LGR S/N: 10517219)"
1,07/28/20 12:00:00,16.141,2066.7,,,,
2,07/28/20 12:30:00,15.664,667.4,,,,
3,07/28/20 13:00:00,18.711,4133.4,,,,
4,07/28/20 13:30:00,16.999,1173.3,,,,
5,07/28/20 14:00:00,20.519,13777.9,,,,
6,07/28/20 14:30:00,19.092,5511.1,,,,
7,07/28/20 15:00:00,19.853,74400.5,,,,
8,07/28/20 15:30:00,9.669,7233.4,,,,
9,07/28/20 16:00:00,9.768,7233.4,,,,
10,07/28/20 16:30:00,9.768,8266.7,,,,
11,07/28/20 17:00:00,9.768,5511.1,,,,
12,07/28/20 17:30:00,9.571,1722.2,,,,
13,07/28/20 18:00:00,9.571,2669.5,,,,
14,07/28/20 18:30:00,9.669,4305.6,,,,
15,07/28/20 19:00:00,9.965,1097.9,,,,
16,07/28/20 19:30:00,10.161,1808.3,,,,
17,07/28/20 20:00:00,10.063,1011.8,,,,
18,07/28/20 20:30:00,10.063,968.8,,,,
19,07/28/20 21:00:00,10.063,688.9,,,,
20,07/28/20 21:30:00,10.063,527.4,,,,
21,07/28/20 22:00:00,10.063,312.2,,,,
22,07/28/20 22:30:00,10.063,43.1,,,,
23,07/28/20 23:00:00,9.965,21.5,,,,
24,07/28/20 23:30:00,9.866,0.0,,,,
25,07/29/20 00:00:00,9.965,0.0,,,,
26,07/29/20 00:30:00,9.866,0.0,,,,
27,07/29/20 01:00:00,9.866,0.0,,,,
28,07/29/20 01:30:00,9.866,0.0,,,,
29,07/29/20 02:00:00,9.965,0.0,,,,
30,07/29/20 02:30:00,9.965,0.0,,,,
31,07/29/20 03:00:00,9.866,0.0,,,,
32,07/29/20 03:30:00,9.866,0.0,,,,
33,07/29/20 04:00:00,9.768,21.5,,,,
34,07/29/20 04:30:00,9.768,64.6,,,,
35,07/29/20 05:00:00,9.669,96.9,,,,
36,07/29/20 05:30:00,9.472,312.2,,,,
37,07/29/20 06:00:00,9.472,1097.9,,,,
38,07/29/20 06:30:00,9.571,2325.0,,,,
39,07/29/20 07:00:00,9.472,1550.0,,,,
40,07/29/20 07:30:00,9.571,2583.4,,,,
41,07/29/20 08:00:00,9.669,3961.1,,,,
42,07/29/20 08:30:00,9.571,2927.8,,,,
43,07/29/20 09:00:00,9.571,4650.0,,,,
44,07/29/20 09:30:00,9.571,4650.0,,,,
45,07/29/20 10:00:00,9.669,6200.0,,,,
46,07/29/20 10:30:00,9.768,10333.4,,,,
47,07/29/20 11:00:00,9.571,5166.7,,,,
48,07/29/20 11:30:00,9.472,4822.3,,,,
49,07/29/20 12:00:00,9.571,1463.9,,,,
50,07/29/20 12:30:00,9.571,5511.1,,,,
51,07/29/20 13:00:00,9.866,20666.8,,,,
52,07/29/20 13:30:00,9.768,8611.2,,,,
53,07/29/20 14:00:00,10.357,10677.8,,,,
54,07/29/20 14:30:00,10.455,8266.7,,,,
55,07/29/20 15:00:00,10.553,8611.2,,,,
56,07/29/20 15:30:00,10.651,18600.1,,,,
57,07/29/20 16:00:00,10.846,22044.6,,,,
58,07/29/20 16:30:00,10.651,9300.1,,,,
59,07/29/20 17:00:00,10.553,11022.3,,,,
60,07/29/20 17:30:00,10.748,15155.7,,,,
61,07/29/20 18:00:00,10.651,11711.2,,,,
62,07/29/20 18:30:00,10.651,5511.1,,,,
63,07/29/20 19:00:00,10.553,3444.5,,,,
64,07/29/20 19:30:00,10.553,3100.0,,,,
65,07/29/20 20:00:00,10.944,1722.2,,,,
66,07/29/20 20:30:00,11.334,2152.8,,,,
67,07/29/20 21:00:00,11.334,1334.7,,,,
68,07/29/20 21:30:00,11.431,635.1,,,,
69,07/29/20 22:00:00,11.334,236.8,,,,
70,07/29/20 22:30:00,11.236,96.9,,,,
71,07/29/20 23:00:00,11.139,21.5,,,,
72,07/29/20 23:30:00,11.139,0.0,,,,
73,07/30/20 00:00:00,11.041,0.0,,,,
74,07/30/20 00:30:00,11.041,0.0,,,,
75,07/30/20 01:00:00,10.944,0.0,,,,
76,07/30/20 01:30:00,10.944,0.0,,,,
77,07/30/20 02:00:00,10.944,0.0,,,,
78,07/30/20 02:30:00,10.944,0.0,,,,
79,07/30/20 03:00:00,10.846,0.0,,,,
80,07/30/20 03:30:00,10.846,21.5,,,,
81,07/30/20 04:00:00,10.748,75.3,,,,
82,07/30/20 04:30:00,10.748,204.5,,,,
83,07/30/20 05:00:00,10.846,279.9,,,,
84,07/30/20 05:30:00,10.846,409.0,,,,
85,07/30/20 06:00:00,10.846,742.7,,,,
