"Plot Title: e6_benthic_19Jun21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10419469, SEN S/N: 10419469, LBL: temp)","Intensity, Lux (LGR S/N: 10419469, SEN S/N: 10419469, LBL: light)","Coupler Attached (LGR S/N: 10419469)","Host Connected (LGR S/N: 10419469)","Stopped (LGR S/N: 10419469)","End Of File (LGR S/N: 10419469)"
1,06/19/21 10:00:00,22.621,215.3,,,,
2,06/19/21 11:00:00,18.711,43.1,,,,
3,06/19/21 12:00:00,21.760,9644.5,,,,
4,06/19/21 13:00:00,34.058,44089.2,,,,
5,06/19/21 14:00:00,23.004,46844.8,,,,
6,06/19/21 15:00:00,11.334,2755.6,,,,
7,06/19/21 16:00:00,7.983,1808.3,,,,
8,06/19/21 17:00:00,8.082,3616.7,,,,
9,06/19/21 18:00:00,8.082,2497.2,,,,
10,06/19/21 19:00:00,7.983,1636.1,,,,
11,06/19/21 20:00:00,8.082,2152.8,,,,
12,06/19/21 21:00:00,8.082,495.1,,,,
13,06/19/21 22:00:00,8.082,495.1,,,,
14,06/19/21 23:00:00,8.082,150.7,,,,
15,06/20/21 00:00:00,8.182,43.1,,,,
16,06/20/21 01:00:00,8.082,43.1,,,,
17,06/20/21 02:00:00,7.983,86.1,,,,
18,06/20/21 03:00:00,7.983,129.2,,,,
19,06/20/21 04:00:00,7.983,226.0,,,,
20,06/20/21 05:00:00,7.983,775.0,,,,
21,06/20/21 06:00:00,7.983,1636.1,,,,
22,06/20/21 07:00:00,7.983,2411.1,,,,
23,06/20/21 08:00:00,8.282,10677.8,,,,
24,06/20/21 09:00:00,8.282,4650.0,,,,
25,06/20/21 10:00:00,8.581,7233.4,,,,
26,06/20/21 11:00:00,8.481,6200.0,,,,
27,06/20/21 12:00:00,8.481,4133.4,,,,
28,06/20/21 13:00:00,8.382,6544.5,,,,
29,06/20/21 14:00:00,8.282,4477.8,,,,
30,06/20/21 15:00:00,8.382,5166.7,,,,
31,06/20/21 16:00:00,8.382,4650.0,,,,
32,06/20/21 17:00:00,8.581,3788.9,,,,
33,06/20/21 18:00:00,8.481,2238.9,,,,
34,06/20/21 19:00:00,8.581,3100.0,,,,
35,06/20/21 20:00:00,8.680,1980.6,,,,
36,06/20/21 21:00:00,8.680,1280.9,,,,
37,06/20/21 22:00:00,8.680,462.9,,,,
38,06/20/21 23:00:00,8.581,236.8,,,,
39,06/21/21 00:00:00,8.581,96.9,,,,
40,06/21/21 01:00:00,8.581,64.6,,,,
41,06/21/21 02:00:00,8.481,86.1,,,,
42,06/21/21 03:00:00,8.382,215.3,,,,
43,06/21/21 04:00:00,8.382,613.5,,,,
44,06/21/21 05:00:00,8.282,1313.2,,,,
45,06/21/21 06:00:00,8.382,3100.0,,,,
46,06/21/21 07:00:00,8.382,4650.0,,,,
47,06/21/21 08:00:00,8.581,10333.4,,,,
48,06/21/21 09:00:00,8.481,8611.2,,,,
49,06/21/21 10:00:00,8.382,3272.2,,,,
50,06/21/21 11:00:00,8.481,5511.1,,,,
51,06/21/21 12:00:00,8.481,3616.7,,,,
52,06/21/21 13:00:00,8.680,6544.5,,,,
53,06/21/21 14:00:00,8.779,5338.9,,,,
54,06/21/21 15:00:00,8.779,2927.8,,,,
55,06/21/21 16:00:00,8.879,2238.9,,,,
56,06/21/21 17:00:00,8.779,4822.3,,,,
57,06/21/21 18:00:00,8.581,1722.2,,,,
58,06/21/21 19:00:00,8.581,1377.8,,,,
59,06/21/21 20:00:00,8.680,710.4,,,,
60,06/21/21 21:00:00,8.680,183.0,,,,
61,06/21/21 22:00:00,8.581,139.9,,,,
62,06/21/21 23:00:00,8.481,32.3,,,,
63,06/22/21 00:00:00,8.581,10.8,,,,
64,06/22/21 01:00:00,8.680,0.0,,,,
65,06/22/21 02:00:00,8.680,10.8,,,,
66,06/22/21 03:00:00,8.481,32.3,,,,
67,06/22/21 04:00:00,8.282,204.5,,,,
68,06/22/21 05:00:00,8.282,581.3,,,,
69,06/22/21 06:00:00,8.282,775.0,,,,
70,06/22/21 07:00:00,8.382,1894.5,,,,
71,06/22/21 08:00:00,8.581,4133.4,,,,
72,06/22/21 09:00:00,8.382,4477.8,,,,
73,06/22/21 10:00:00,8.282,936.5,,,,
74,06/22/21 11:00:00,8.382,3444.5,,,,
75,06/22/21 12:00:00,8.581,4305.6,,,,
76,06/22/21 13:00:00,8.879,5166.7,,,,
77,06/22/21 14:00:00,9.077,8611.2,,,,
78,06/22/21 15:00:00,9.472,11711.2,,,,
79,06/22/21 16:00:00,9.373,8266.7,,,,
80,06/22/21 17:00:00,9.472,5511.1,,,,
81,06/22/21 18:00:00,9.472,3616.7,,,,
82,06/22/21 19:00:00,9.571,1722.2,,,,
83,06/22/21 20:00:00,9.275,1194.8,,,,
84,06/22/21 21:00:00,9.571,581.3,,,,
85,06/22/21 22:00:00,8.879,161.5,,,,
86,06/22/21 23:00:00,8.879,21.5,,,,
87,06/23/21 00:00:00,9.077,75.3,,,,
88,06/23/21 01:00:00,8.978,32.3,,,,
89,06/23/21 02:00:00,8.978,32.3,,,,
90,06/23/21 03:00:00,8.779,21.5,,,,
91,06/23/21 04:00:00,8.581,269.1,,,,
92,06/23/21 05:00:00,8.481,312.2,,,,
93,06/23/21 06:00:00,8.481,990.3,,,,
94,06/23/21 07:00:00,8.581,2238.9,,,,
95,06/23/21 08:00:00,8.581,2325.0,,,,
96,06/23/21 09:00:00,8.581,2325.0,,,,
97,06/23/21 10:00:00,8.581,2927.8,,,,
98,06/23/21 11:00:00,8.481,1722.2,,,,
99,06/23/21 12:00:00,8.581,2497.2,,,,
100,06/23/21 13:00:00,8.680,5338.9,,,,
101,06/23/21 14:00:00,8.978,8611.2,,,,
102,06/23/21 15:00:00,8.779,4994.5,,,,
103,06/23/21 16:00:00,8.680,3272.2,,,,
104,06/23/21 17:00:00,8.680,1377.8,,,,
105,06/23/21 18:00:00,8.779,3616.7,,,,
106,06/23/21 19:00:00,8.879,2755.6,,,,
107,06/23/21 20:00:00,8.779,1463.9,,,,
108,06/23/21 21:00:00,8.779,764.2,,,,
109,06/23/21 22:00:00,8.680,775.0,,,,
110,06/23/21 23:00:00,8.680,269.1,,,,
111,06/24/21 00:00:00,8.581,96.9,,,,
112,06/24/21 01:00:00,8.581,53.8,,,,
113,06/24/21 02:00:00,8.382,75.3,,,,
114,06/24/21 03:00:00,8.282,183.0,,,,
115,06/24/21 04:00:00,8.282,538.2,,,,
116,06/24/21 05:00:00,8.082,1302.4,,,,
117,06/24/21 06:00:00,8.182,2497.2,,,,
118,06/24/21 07:00:00,8.182,2755.6,,,,
119,06/24/21 08:00:00,8.481,5511.1,,,,
120,06/24/21 09:00:00,8.779,8611.2,,,,
121,06/24/21 10:00:00,9.176,16533.4,,,,
122,06/24/21 11:00:00,9.373,17911.2,,,,
123,06/24/21 12:00:00,9.472,19289.0,,,,
124,06/24/21 13:00:00,9.571,22044.6,,,,
125,06/24/21 14:00:00,9.571,17911.2,,,,
126,06/24/21 15:00:00,9.571,21355.7,,,,
127,06/24/21 16:00:00,9.472,13089.0,,,,
128,06/24/21 17:00:00,9.373,3616.7,,,,
129,06/24/21 18:00:00,9.472,2927.8,,,,
130,06/24/21 19:00:00,9.472,2583.4,,,,
131,06/24/21 20:00:00,9.472,1237.9,,,,
132,06/24/21 21:00:00,9.472,624.3,,,,
133,06/24/21 22:00:00,9.373,376.7,,,,
134,06/24/21 23:00:00,9.176,86.1,,,,
135,06/25/21 00:00:00,9.077,21.5,,,,
136,06/25/21 01:00:00,8.978,10.8,,,,
137,06/25/21 02:00:00,9.077,0.0,,,,
138,06/25/21 03:00:00,9.176,0.0,,,,
139,06/25/21 04:00:00,9.176,0.0,,,,
140,06/25/21 05:00:00,8.879,0.0,,,,
141,06/25/21 06:00:00,9.176,10.8,,,,
142,06/25/21 07:00:00,9.373,32.3,,,,
143,06/25/21 08:00:00,9.472,21.5,,,,
144,06/25/21 09:00:00,9.472,0.0,,,,
145,06/25/21 10:00:00,9.472,10.8,,,,
146,06/25/21 11:00:00,9.571,10.8,,,,
147,06/25/21 12:00:00,9.669,10.8,,,,
148,06/25/21 13:00:00,9.472,0.0,,,,
149,06/25/21 14:00:00,9.571,0.0,,,,
150,06/25/21 15:00:00,9.571,0.0,,,,
151,06/25/21 16:00:00,9.571,0.0,,,,
152,06/25/21 17:00:00,9.571,0.0,,,,
153,06/25/21 18:00:00,9.472,0.0,,,,
154,06/25/21 19:00:00,9.472,0.0,,,,
155,06/25/21 20:00:00,9.472,10.8,,,,
156,06/25/21 21:00:00,9.571,21.5,,,,
157,06/25/21 22:00:00,9.571,0.0,,,,
158,06/25/21 23:00:00,9.472,0.0,,,,
159,06/26/21 00:00:00,9.472,0.0,,,,
160,06/26/21 01:00:00,9.373,0.0,,,,
161,06/26/21 02:00:00,9.373,0.0,,,,
162,06/26/21 03:00:00,9.275,0.0,,,,
163,06/26/21 04:00:00,9.176,0.0,,,,
164,06/26/21 05:00:00,9.077,0.0,,,,
165,06/26/21 06:00:00,9.077,0.0,,,,
166,06/26/21 07:00:00,9.077,0.0,,,,
167,06/26/21 08:00:00,9.077,0.0,,,,
168,06/26/21 09:00:00,9.275,0.0,,,,
169,06/26/21 10:00:00,9.373,0.0,,,,
170,06/26/21 11:00:00,9.472,0.0,,,,
171,06/26/21 12:00:00,9.669,0.0,,,,
172,06/26/21 13:00:00,9.866,32.3,,,,
173,06/26/21 14:00:00,10.063,269.1,,,,
174,06/26/21 15:00:00,10.161,516.7,,,,
175,06/26/21 16:00:00,10.357,645.8,,,,
176,06/26/21 17:00:00,10.553,581.3,,,,
177,06/26/21 18:00:00,10.651,807.3,,,,
178,06/26/21 19:00:00,10.748,538.2,,,,
179,06/26/21 20:00:00,10.748,441.3,,,,
180,06/26/21 21:00:00,10.748,204.5,,,,
181,06/26/21 22:00:00,10.748,107.6,,,,
182,06/26/21 23:00:00,10.748,43.1,,,,
183,06/27/21 00:00:00,10.748,0.0,,,,
184,06/27/21 01:00:00,10.748,0.0,,,,
185,06/27/21 02:00:00,10.651,0.0,,,,
186,06/27/21 03:00:00,10.553,0.0,,,,
187,06/27/21 04:00:00,10.553,21.5,,,,
188,06/27/21 05:00:00,10.553,75.3,,,,
189,06/27/21 06:00:00,10.455,161.5,,,,
190,06/27/21 07:00:00,10.553,462.9,,,,
191,06/27/21 08:00:00,10.651,581.3,,,,
192,06/27/21 09:00:00,10.846,721.2,,,,
193,06/27/21 10:00:00,10.846,914.9,,,,
194,06/27/21 11:00:00,10.846,2066.7,,,,
195,06/27/21 12:00:00,10.651,1808.3,,,,
196,06/27/21 13:00:00,10.651,914.9,,,,
197,06/27/21 14:00:00,10.651,1227.1,,,,
198,06/27/21 15:00:00,10.651,1894.5,,,,
199,06/27/21 16:00:00,10.651,419.8,,,,
200,06/27/21 17:00:00,10.651,387.5,,,,
201,06/27/21 18:00:00,10.748,764.2,,,,
202,06/27/21 19:00:00,10.748,699.7,,,,
203,06/27/21 20:00:00,10.846,678.1,,,,
204,06/27/21 21:00:00,11.041,301.4,,,,
205,06/27/21 22:00:00,11.236,193.8,,,,
206,06/27/21 23:00:00,11.139,96.9,,,,
207,06/28/21 00:00:00,11.139,21.5,,,,
208,06/28/21 01:00:00,11.139,0.0,,,,
209,06/28/21 02:00:00,11.139,0.0,,,,
210,06/28/21 03:00:00,11.139,10.8,,,,
211,06/28/21 04:00:00,11.139,21.5,,,,
212,06/28/21 05:00:00,11.041,21.5,,,,
213,06/28/21 06:00:00,11.139,53.8,,,,
214,06/28/21 07:00:00,11.041,172.2,,,,
215,06/28/21 08:00:00,11.041,635.1,,,,
216,06/28/21 09:00:00,11.041,882.6,,,,
217,06/28/21 10:00:00,11.041,1033.3,,,,
218,06/28/21 11:00:00,11.041,505.9,,,,
219,06/28/21 12:00:00,11.041,516.7,,,,
220,06/28/21 13:00:00,11.041,678.1,,,,
221,06/28/21 14:00:00,10.944,807.3,,,,
222,06/28/21 15:00:00,11.236,2669.5,,,,
223,06/28/21 16:00:00,11.334,1894.5,,,,
224,06/28/21 17:00:00,11.236,1356.3,,,,
225,06/28/21 18:00:00,11.139,1280.9,,,,
226,06/28/21 19:00:00,11.139,785.8,,,,
227,06/28/21 20:00:00,11.041,398.3,,,,
228,06/28/21 21:00:00,11.041,559.7,,,,
229,06/28/21 22:00:00,11.139,129.2,,,,
230,06/28/21 23:00:00,11.236,32.3,,,,
231,06/29/21 00:00:00,11.236,0.0,,,,
232,06/29/21 01:00:00,11.236,0.0,,,,
233,06/29/21 02:00:00,11.139,0.0,,,,
234,06/29/21 03:00:00,11.236,21.5,,,,
235,06/29/21 04:00:00,11.625,312.2,,,,
236,06/29/21 05:00:00,11.819,387.5,,,,
237,06/29/21 06:00:00,11.528,452.1,,,,
238,06/29/21 07:00:00,11.625,1302.4,,,,
239,06/29/21 08:00:00,11.625,2066.7,,,,
240,06/29/21 09:00:00,11.625,1377.8,,,,
241,06/29/21 10:00:00,11.528,1259.4,,,,
242,06/29/21 11:00:00,11.722,409.0,,,,
243,06/29/21 12:00:00,11.819,710.4,,,,
244,06/29/21 13:00:00,12.013,2755.6,,,,
245,06/29/21 14:00:00,12.594,3616.7,,,,
246,06/29/21 15:00:00,13.076,5166.7,,,,
247,06/29/21 16:00:00,13.269,3100.0,,,,
248,06/29/21 17:00:00,13.365,3272.2,,,,
249,06/29/21 18:00:00,13.365,2497.2,,,,
250,06/29/21 19:00:00,13.461,1377.8,,,,
251,06/29/21 20:00:00,13.558,904.2,,,,
252,06/29/21 21:00:00,13.558,236.8,,,,
253,06/29/21 22:00:00,13.558,0.0,,,,
254,06/29/21 23:00:00,13.461,0.0,,,,
255,06/30/21 00:00:00,13.461,0.0,,,,
256,06/30/21 01:00:00,13.269,0.0,,,,
257,06/30/21 02:00:00,12.883,0.0,,,,
258,06/30/21 03:00:00,12.883,0.0,,,,
259,06/30/21 04:00:00,12.787,0.0,,,,
260,06/30/21 05:00:00,12.304,0.0,,,,
261,06/30/21 06:00:00,12.304,0.0,,,,
262,06/30/21 07:00:00,12.304,0.0,,,,
263,06/30/21 08:00:00,12.304,0.0,,,,
264,06/30/21 09:00:00,12.207,0.0,,,,
265,06/30/21 10:00:00,12.401,21.5,,,,
266,06/30/21 11:00:00,12.497,43.1,,,,
267,06/30/21 12:00:00,12.594,0.0,,,,
268,06/30/21 13:00:00,12.787,10.8,,,,
269,06/30/21 14:00:00,13.076,0.0,,,,
270,06/30/21 15:00:00,13.269,0.0,,,,
271,06/30/21 16:00:00,13.461,0.0,,,,
272,06/30/21 17:00:00,13.654,0.0,,,,
273,06/30/21 18:00:00,13.750,10.8,,,,
274,06/30/21 19:00:00,13.750,64.6,,,,
275,06/30/21 20:00:00,13.750,53.8,,,,
276,06/30/21 21:00:00,13.750,10.8,,,,
277,06/30/21 22:00:00,13.846,0.0,,,,
278,06/30/21 23:00:00,13.654,0.0,,,,
279,07/01/21 00:00:00,13.365,0.0,,,,
280,07/01/21 01:00:00,13.269,0.0,,,,
281,07/01/21 02:00:00,13.269,0.0,,,,
282,07/01/21 03:00:00,13.173,0.0,,,,
283,07/01/21 04:00:00,13.076,0.0,,,,
284,07/01/21 05:00:00,13.076,0.0,,,,
285,07/01/21 06:00:00,13.076,32.3,,,,
286,07/01/21 07:00:00,12.883,96.9,,,,
287,07/01/21 08:00:00,12.883,215.3,,,,
288,07/01/21 09:00:00,12.883,279.9,,,,
289,07/01/21 10:00:00,12.980,398.3,,,,
290,07/01/21 11:00:00,13.076,484.4,,,,
291,07/01/21 12:00:00,13.173,731.9,,,,
292,07/01/21 13:00:00,13.269,2497.2,,,,
293,07/01/21 14:00:00,13.365,2669.5,,,,
294,07/01/21 15:00:00,13.365,1980.6,,,,
295,07/01/21 16:00:00,13.461,1894.5,,,,
296,07/01/21 17:00:00,13.365,1259.4,,,,
297,07/01/21 18:00:00,13.365,828.8,,,,
298,07/01/21 19:00:00,13.558,1033.3,,,,
299,07/01/21 20:00:00,13.750,721.2,,,,
300,07/01/21 21:00:00,13.846,301.4,,,,
301,07/01/21 22:00:00,13.942,139.9,,,,
302,07/01/21 23:00:00,13.942,75.3,,,,
303,07/02/21 00:00:00,13.750,10.8,,,,
304,07/02/21 01:00:00,13.750,0.0,,,,
305,07/02/21 02:00:00,13.654,0.0,,,,
306,07/02/21 03:00:00,13.654,21.5,,,,
307,07/02/21 04:00:00,13.558,118.4,,,,
308,07/02/21 05:00:00,13.558,322.9,,,,
309,07/02/21 06:00:00,13.654,495.1,,,,
310,07/02/21 07:00:00,13.654,678.1,,,,
311,07/02/21 08:00:00,13.750,1377.8,,,,
312,07/02/21 09:00:00,13.750,2325.0,,,,
313,07/02/21 10:00:00,13.750,2669.5,,,,
314,07/02/21 11:00:00,13.365,4305.6,,,,
315,07/02/21 12:00:00,13.269,5338.9,,,,
316,07/02/21 13:00:00,13.461,5511.1,,,,
317,07/02/21 14:00:00,13.269,3961.1,,,,
318,07/02/21 15:00:00,13.365,4822.3,,,,
319,07/02/21 16:00:00,13.269,3272.2,,,,
320,07/02/21 17:00:00,13.269,2238.9,,,,
321,07/02/21 18:00:00,13.365,2238.9,,,,
322,07/02/21 19:00:00,13.750,1377.8,,,,
323,07/02/21 20:00:00,14.038,785.8,,,,
324,07/02/21 21:00:00,14.613,581.3,,,,
325,07/02/21 22:00:00,14.709,387.5,,,,
326,07/02/21 23:00:00,14.709,75.3,,,,
327,07/03/21 00:00:00,14.709,21.5,,,,
328,07/03/21 01:00:00,14.709,10.8,,,,
329,07/03/21 02:00:00,14.517,10.8,,,,
330,07/03/21 03:00:00,14.230,53.8,,,,
