"Plot Title: MD_E6_MED_20AUG19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349962, SEN S/N: 10349962)","Intensity, Lux (LGR S/N: 10349962, SEN S/N: 10349962)","Bad Battery (LGR S/N: 10349962)","End Of File (LGR S/N: 10349962)"
1,08/21/19 12:05:00 AM,7.983,0.0,,
2,08/21/19 02:05:00 AM,7.983,0.0,,
3,08/21/19 04:05:00 AM,7.782,0.0,,
4,08/21/19 06:05:00 AM,7.782,215.3,,
5,08/21/19 08:05:00 AM,7.983,656.6,,
6,08/21/19 10:05:00 AM,8.282,1184.0,,
7,08/21/19 12:05:00 PM,8.581,1550.0,,
8,08/21/19 02:05:00 PM,8.879,2755.6,,
9,08/21/19 04:05:00 PM,8.978,3272.2,,
10,08/21/19 06:05:00 PM,8.978,2583.4,,
11,08/21/19 08:05:00 PM,8.680,635.1,,
12,08/21/19 10:05:00 PM,9.077,0.0,,
13,08/22/19 12:05:00 AM,9.077,0.0,,
14,08/22/19 02:05:00 AM,9.077,0.0,,
15,08/22/19 04:05:00 AM,9.077,0.0,,
16,08/22/19 06:05:00 AM,9.077,64.6,,
17,08/22/19 08:05:00 AM,8.879,462.9,,
18,08/22/19 10:05:00 AM,8.978,1377.8,,
19,08/22/19 12:05:00 PM,9.077,1894.5,,
20,08/22/19 02:05:00 PM,9.275,3272.2,,
21,08/22/19 04:05:00 PM,9.373,947.2,,
22,08/22/19 06:05:00 PM,9.373,441.3,,
23,08/22/19 08:05:00 PM,9.275,64.6,,
24,08/22/19 10:05:00 PM,9.275,0.0,,
25,08/23/19 12:05:00 AM,9.275,0.0,,
26,08/23/19 02:05:00 AM,9.176,0.0,,
27,08/23/19 04:05:00 AM,9.275,0.0,,
28,08/23/19 06:05:00 AM,9.275,86.1,,
29,08/23/19 08:05:00 AM,9.373,236.8,,
30,08/23/19 10:05:00 AM,9.472,1636.1,,
31,08/23/19 12:05:00 PM,9.373,2325.0,,
32,08/23/19 02:05:00 PM,9.472,2755.6,,
33,08/23/19 04:05:00 PM,9.768,2497.2,,
34,08/23/19 06:05:00 PM,9.866,1894.5,,
35,08/23/19 08:05:00 PM,9.768,871.9,,
36,08/23/19 10:05:00 PM,9.571,0.0,,
37,08/24/19 12:05:00 AM,9.571,0.0,,
38,08/24/19 02:05:00 AM,9.571,0.0,,
