"Plot Title: MD_E6_LOW_20AUG19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Bad Battery (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
1,08/21/19 12:05:00 AM,7.882,0.0,,
2,08/21/19 02:05:00 AM,7.882,0.0,,
3,08/21/19 04:05:00 AM,7.682,0.0,,
4,08/21/19 06:05:00 AM,7.782,0.0,,
5,08/21/19 08:05:00 AM,8.082,129.2,,
6,08/21/19 10:05:00 AM,8.779,301.4,,
7,08/21/19 12:05:00 PM,9.077,430.6,,
8,08/21/19 02:05:00 PM,9.077,366.0,,
9,08/21/19 04:05:00 PM,9.077,193.8,,
10,08/21/19 06:05:00 PM,8.879,86.1,,
11,08/21/19 08:05:00 PM,8.680,0.0,,
12,08/21/19 10:05:00 PM,8.978,0.0,,
13,08/22/19 12:05:00 AM,8.978,0.0,,
14,08/22/19 02:05:00 AM,9.077,0.0,,
15,08/22/19 04:05:00 AM,9.077,0.0,,
16,08/22/19 06:05:00 AM,8.978,0.0,,
17,08/22/19 08:05:00 AM,8.779,21.5,,
18,08/22/19 10:05:00 AM,8.978,86.1,,
19,08/22/19 12:05:00 PM,9.077,139.9,,
20,08/22/19 02:05:00 PM,9.571,269.1,,
21,08/22/19 04:05:00 PM,9.275,53.8,,
22,08/22/19 06:05:00 PM,9.275,10.8,,
23,08/22/19 08:05:00 PM,9.176,0.0,,
24,08/22/19 10:05:00 PM,9.176,0.0,,
25,08/23/19 12:05:00 AM,9.176,0.0,,
26,08/23/19 02:05:00 AM,9.176,0.0,,
27,08/23/19 04:05:00 AM,9.176,0.0,,
28,08/23/19 06:05:00 AM,9.275,0.0,,
29,08/23/19 08:05:00 AM,9.373,0.0,,
30,08/23/19 10:05:00 AM,9.669,226.0,,
31,08/23/19 12:05:00 PM,9.571,193.8,,
32,08/23/19 02:05:00 PM,9.571,183.0,,
33,08/23/19 04:05:00 PM,9.965,139.9,,
34,08/23/19 06:05:00 PM,9.768,64.6,,
35,08/23/19 08:05:00 PM,9.669,0.0,,
36,08/23/19 10:05:00 PM,9.571,0.0,,
37,08/24/19 12:05:00 AM,9.571,0.0,,
38,08/24/19 02:05:00 AM,9.472,0.0,,
39,08/24/19 04:05:00 AM,9.373,0.0,,
40,08/24/19 06:05:00 AM,9.373,0.0,,
41,08/24/19 08:05:00 AM,9.472,107.6,,
42,08/24/19 10:05:00 AM,9.373,139.9,,
43,08/24/19 12:05:00 PM,9.472,204.5,,
44,08/24/19 02:05:00 PM,9.472,118.4,,
45,08/24/19 04:05:00 PM,9.176,64.6,,
46,08/24/19 06:05:00 PM,9.571,43.1,,
47,08/24/19 08:05:00 PM,9.472,0.0,,
48,08/24/19 10:05:00 PM,9.373,0.0,,
49,08/25/19 12:05:00 AM,9.275,0.0,,
50,08/25/19 02:05:00 AM,9.077,0.0,,
51,08/25/19 04:05:00 AM,8.978,0.0,,
52,08/25/19 06:05:00 AM,8.978,0.0,,
53,08/25/19 08:05:00 AM,8.879,0.0,,
54,08/25/19 10:05:00 AM,9.275,139.9,,
55,08/25/19 12:05:00 PM,9.275,129.2,,
56,08/25/19 02:05:00 PM,9.176,64.6,,
57,08/25/19 04:05:00 PM,9.373,139.9,,
58,08/25/19 06:05:00 PM,9.275,43.1,,
59,08/25/19 08:05:00 PM,9.373,0.0,,
60,08/25/19 10:05:00 PM,9.472,0.0,,
61,08/26/19 12:05:00 AM,9.373,0.0,,
62,08/26/19 02:05:00 AM,9.571,0.0,,
63,08/26/19 04:05:00 AM,9.571,0.0,,
64,08/26/19 06:05:00 AM,9.571,0.0,,
65,08/26/19 08:05:00 AM,9.866,96.9,,
66,08/26/19 10:05:00 AM,9.669,53.8,,
67,08/26/19 12:05:00 PM,9.768,473.6,,
68,08/26/19 02:05:00 PM,9.768,376.7,,
69,08/26/19 04:05:00 PM,9.768,75.3,,
70,08/26/19 06:05:00 PM,9.669,96.9,,
71,08/26/19 08:05:00 PM,9.571,0.0,,
72,08/26/19 10:05:00 PM,10.357,0.0,,
73,08/27/19 12:05:00 AM,9.866,0.0,,
74,08/27/19 02:05:00 AM,10.161,0.0,,
75,08/27/19 04:05:00 AM,9.965,0.0,,
76,08/27/19 06:05:00 AM,9.866,0.0,,
77,08/27/19 08:05:00 AM,9.866,0.0,,
78,08/27/19 10:05:00 AM,10.063,215.3,,
79,08/27/19 12:05:00 PM,10.357,409.0,,
80,08/27/19 02:05:00 PM,10.259,86.1,,
81,08/27/19 04:05:00 PM,10.161,43.1,,
82,08/27/19 06:05:00 PM,10.161,0.0,,
83,08/27/19 08:05:00 PM,10.063,0.0,,
84,08/27/19 10:05:00 PM,9.965,0.0,,
85,08/28/19 12:05:00 AM,9.965,0.0,,
86,08/28/19 02:05:00 AM,9.965,0.0,,
87,08/28/19 04:05:00 AM,9.768,0.0,,
88,08/28/19 06:05:00 AM,9.472,0.0,,
89,08/28/19 08:05:00 AM,9.176,0.0,,
90,08/28/19 10:05:00 AM,8.978,43.1,,
91,08/28/19 12:05:00 PM,8.978,32.3,,
92,08/28/19 02:05:00 PM,9.866,215.3,,
93,08/28/19 04:05:00 PM,9.768,64.6,,
94,08/28/19 06:05:00 PM,9.866,0.0,,
95,08/28/19 08:05:00 PM,9.768,0.0,,
96,08/28/19 10:05:00 PM,9.472,0.0,,
97,08/29/19 12:05:00 AM,9.373,0.0,,
98,08/29/19 02:05:00 AM,9.176,0.0,,
99,08/29/19 04:05:00 AM,8.978,0.0,,
100,08/29/19 06:05:00 AM,9.176,0.0,,
101,08/29/19 08:05:00 AM,8.879,0.0,,
102,08/29/19 10:05:00 AM,8.978,10.8,,
103,08/29/19 12:05:00 PM,9.176,32.3,,
104,08/29/19 02:05:00 PM,9.275,43.1,,
105,08/29/19 04:05:00 PM,9.077,21.5,,
106,08/29/19 06:05:00 PM,8.779,21.5,,
107,08/29/19 08:05:00 PM,8.879,0.0,,
108,08/29/19 10:05:00 PM,9.275,0.0,,
109,08/30/19 12:05:00 AM,8.978,0.0,,
110,08/30/19 02:05:00 AM,8.879,0.0,,
111,08/30/19 04:05:00 AM,8.581,0.0,,
112,08/30/19 06:05:00 AM,8.382,0.0,,
113,08/30/19 08:05:00 AM,8.282,10.8,,
114,08/30/19 10:05:00 AM,7.983,32.3,,
115,08/30/19 12:05:00 PM,8.382,86.1,,
116,08/30/19 02:05:00 PM,8.282,43.1,,
117,08/30/19 04:05:00 PM,8.581,96.9,,
118,08/30/19 06:05:00 PM,8.581,0.0,,
119,08/30/19 08:05:00 PM,8.581,0.0,,
120,08/30/19 10:05:00 PM,8.779,0.0,,
121,08/31/19 12:05:00 AM,8.680,0.0,,
122,08/31/19 02:05:00 AM,8.581,0.0,,
123,08/31/19 04:05:00 AM,8.382,0.0,,
124,08/31/19 06:05:00 AM,8.182,0.0,,
125,08/31/19 08:05:00 AM,7.381,0.0,,
126,08/31/19 10:05:00 AM,7.582,96.9,,
127,08/31/19 12:05:00 PM,7.882,118.4,,
128,08/31/19 02:05:00 PM,7.983,118.4,,
129,08/31/19 04:05:00 PM,8.282,64.6,,
130,08/31/19 06:05:00 PM,8.282,64.6,,
131,08/31/19 08:05:00 PM,8.082,0.0,,
132,08/31/19 10:05:00 PM,8.182,0.0,,
133,09/01/19 12:05:00 AM,8.082,0.0,,
134,09/01/19 02:05:00 AM,7.682,0.0,,
135,09/01/19 04:05:00 AM,7.582,0.0,,
136,09/01/19 06:05:00 AM,7.381,0.0,,
137,09/01/19 08:05:00 AM,7.481,32.3,,
138,09/01/19 10:05:00 AM,7.481,43.1,,
139,09/01/19 12:05:00 PM,7.582,43.1,,
140,09/01/19 02:05:00 PM,7.682,64.6,,
141,09/01/19 04:05:00 PM,7.280,32.3,,
142,09/01/19 06:05:00 PM,7.481,0.0,,
143,09/01/19 08:05:00 PM,7.582,0.0,,
144,09/01/19 10:05:00 PM,7.481,0.0,,
145,09/02/19 12:05:00 AM,7.381,0.0,,
146,09/02/19 02:05:00 AM,7.079,0.0,,
147,09/02/19 04:05:00 AM,6.877,0.0,,
148,09/02/19 06:05:00 AM,6.978,0.0,,
149,09/02/19 08:05:00 AM,7.079,0.0,,
150,09/02/19 10:05:00 AM,7.179,32.3,,
151,09/02/19 12:05:00 PM,7.179,53.8,,
152,09/02/19 02:05:00 PM,7.481,64.6,,
153,09/02/19 04:05:00 PM,7.481,53.8,,
154,09/02/19 06:05:00 PM,7.481,0.0,,
155,09/02/19 08:05:00 PM,6.978,0.0,Logged,
156,09/02/19 10:05:00 PM,6.775,0.0,,
157,09/03/19 12:05:00 AM,6.573,0.0,,
158,09/03/19 02:05:00 AM,6.471,0.0,,
159,09/03/19 04:05:00 AM,6.370,0.0,,
160,09/03/19 06:05:00 AM,6.166,0.0,,
161,09/03/19 08:05:00 AM,6.268,10.8,,
162,09/03/19 10:05:00 AM,6.471,64.6,,
163,09/03/19 12:05:00 PM,6.674,96.9,,
164,09/03/19 02:05:00 PM,6.978,96.9,,
165,09/03/19 04:05:00 PM,7.079,64.6,,
166,09/03/19 06:05:00 PM,6.877,0.0,,
167,09/03/19 08:05:00 PM,6.775,0.0,,
168,09/03/19 10:05:00 PM,6.471,0.0,,
169,09/04/19 12:05:00 AM,6.471,0.0,,
170,09/04/19 02:05:00 AM,6.471,0.0,,
171,09/04/19 04:05:00 AM,6.471,0.0,,
172,09/04/19 06:05:00 AM,6.370,0.0,,
173,09/04/19 08:05:00 AM,6.573,86.1,,
174,09/04/19 10:05:00 AM,6.573,21.5,,
175,09/04/19 12:05:00 PM,6.674,64.6,,
176,09/04/19 02:05:00 PM,6.674,53.8,,
177,09/04/19 04:05:00 PM,6.775,53.8,,
178,09/04/19 06:05:00 PM,6.877,21.5,,
179,09/04/19 08:05:00 PM,6.775,0.0,,
180,09/04/19 10:05:00 PM,6.674,0.0,,
181,09/05/19 12:05:00 AM,6.674,0.0,,
182,09/05/19 02:05:00 AM,6.674,0.0,,
183,09/05/19 04:05:00 AM,6.471,0.0,,
184,09/05/19 06:05:00 AM,6.370,0.0,,
185,09/05/19 08:05:00 AM,6.573,0.0,,
186,09/05/19 10:05:00 AM,6.674,32.3,,
187,09/05/19 12:05:00 PM,6.978,96.9,,
188,09/05/19 02:05:00 PM,7.079,86.1,,
189,09/05/19 04:05:00 PM,6.978,10.8,,
190,09/05/19 06:05:00 PM,7.079,0.0,,
191,09/05/19 08:05:00 PM,7.179,0.0,,
192,09/05/19 10:05:00 PM,7.079,0.0,,
193,09/06/19 12:05:00 AM,6.877,0.0,,
194,09/06/19 02:05:00 AM,6.877,0.0,,
195,09/06/19 04:05:00 AM,6.877,0.0,,
196,09/06/19 06:05:00 AM,6.877,0.0,,
197,09/06/19 08:05:00 AM,7.079,43.1,,
198,09/06/19 10:05:00 AM,7.179,86.1,,
199,09/06/19 12:05:00 PM,7.481,150.7,,
200,09/06/19 02:05:00 PM,7.682,129.2,,
201,09/06/19 04:05:00 PM,7.682,64.6,,
202,09/06/19 06:05:00 PM,7.582,21.5,,
203,09/06/19 08:05:00 PM,7.381,0.0,,
204,09/06/19 10:05:00 PM,7.582,0.0,,
205,09/07/19 12:05:00 AM,7.582,0.0,,
206,09/07/19 02:05:00 AM,7.582,0.0,,
207,09/07/19 04:05:00 AM,7.582,0.0,,
208,09/07/19 06:05:00 AM,7.481,0.0,,
209,09/07/19 08:05:00 AM,7.582,10.8,,
210,09/07/19 10:05:00 AM,7.782,10.8,,
211,09/07/19 12:05:00 PM,7.782,0.0,,
212,09/07/19 02:05:00 PM,7.782,10.8,,
213,09/07/19 04:05:00 PM,7.782,0.0,,
214,09/07/19 06:05:00 PM,7.983,0.0,,
215,09/07/19 08:05:00 PM,8.182,0.0,,
216,09/07/19 10:05:00 PM,8.481,0.0,,
217,09/08/19 12:05:00 AM,8.382,0.0,,
218,09/08/19 02:05:00 AM,8.382,0.0,,
219,09/08/19 04:05:00 AM,8.382,0.0,,
220,09/08/19 06:05:00 AM,8.481,0.0,,
221,09/08/19 08:05:00 AM,8.481,0.0,,
222,09/08/19 10:05:00 AM,8.779,10.8,,
223,09/08/19 12:05:00 PM,8.779,21.5,,
224,09/08/19 02:05:00 PM,8.978,53.8,,
225,09/08/19 04:05:00 PM,8.879,21.5,,
226,09/08/19 06:05:00 PM,8.779,0.0,,
227,09/08/19 08:05:00 PM,8.779,0.0,,
228,09/08/19 10:05:00 PM,8.879,0.0,,
229,09/09/19 12:05:00 AM,8.779,0.0,,
230,09/09/19 02:05:00 AM,8.879,0.0,,
231,09/09/19 04:05:00 AM,8.879,0.0,,
232,09/09/19 06:05:00 AM,8.879,0.0,,
233,09/09/19 08:05:00 AM,8.779,0.0,,
234,09/09/19 10:05:00 AM,8.879,43.1,,
235,09/09/19 12:05:00 PM,9.176,64.6,,
236,09/09/19 02:05:00 PM,8.978,0.0,,
237,09/09/19 04:05:00 PM,9.077,32.3,,
238,09/09/19 06:05:00 PM,8.978,0.0,,
239,09/09/19 08:05:00 PM,8.779,0.0,,
240,09/09/19 10:05:00 PM,8.779,0.0,,
241,09/10/19 12:05:00 AM,8.879,0.0,,
242,09/10/19 02:05:00 AM,8.879,0.0,,
243,09/10/19 04:05:00 AM,8.879,0.0,,
244,09/10/19 06:05:00 AM,8.879,0.0,,
245,09/10/19 08:05:00 AM,8.978,0.0,,
246,09/10/19 10:05:00 AM,8.481,53.8,,
247,09/10/19 12:05:00 PM,8.182,10.8,,
248,09/10/19 02:05:00 PM,8.879,0.0,,
249,09/10/19 04:05:00 PM,8.978,0.0,,
250,09/10/19 06:05:00 PM,8.779,0.0,,
251,09/10/19 08:05:00 PM,8.581,0.0,,
252,09/10/19 10:05:00 PM,8.581,0.0,,
253,09/11/19 12:05:00 AM,8.680,0.0,,
254,09/11/19 02:05:00 AM,8.581,0.0,,
255,09/11/19 04:05:00 AM,8.680,0.0,,
256,09/11/19 06:05:00 AM,8.581,0.0,,
257,09/11/19 08:05:00 AM,8.581,0.0,,
258,09/11/19 10:05:00 AM,8.680,10.8,,
259,09/11/19 12:05:00 PM,7.983,21.5,,
260,09/11/19 02:05:00 PM,7.983,43.1,,
261,09/11/19 04:05:00 PM,8.082,10.8,,
262,09/11/19 06:05:00 PM,8.082,0.0,,
263,09/11/19 08:05:00 PM,8.082,0.0,,
264,09/11/19 10:05:00 PM,8.082,0.0,,
265,09/12/19 12:05:00 AM,7.983,0.0,,
