"Plot Title: e6_90cm_22Aug21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","End Of File (LGR S/N: 10517215)"
1,08/23/21 19:30:00,13.269,215.3,
2,08/23/21 21:30:00,13.365,0.0,
3,08/23/21 23:30:00,13.461,0.0,
4,08/24/21 01:30:00,12.883,0.0,
5,08/24/21 03:30:00,12.883,0.0,
6,08/24/21 05:30:00,12.013,0.0,
7,08/24/21 07:30:00,12.304,559.7,
8,08/24/21 09:30:00,12.594,2583.4,
9,08/24/21 11:30:00,13.365,2066.7,
10,08/24/21 13:30:00,13.461,3272.2,
11,08/24/21 15:30:00,12.980,3788.9,
12,08/24/21 17:30:00,14.325,1980.6,
13,08/24/21 19:30:00,14.325,688.9,
14,08/24/21 21:30:00,14.517,0.0,
15,08/24/21 23:30:00,14.517,0.0,
16,08/25/21 01:30:00,14.517,0.0,
17,08/25/21 03:30:00,14.421,0.0,
18,08/25/21 05:30:00,14.325,53.8,
19,08/25/21 07:30:00,14.421,1345.5,
20,08/25/21 09:30:00,14.517,2583.4,
21,08/25/21 11:30:00,14.613,3616.7,
22,08/25/21 13:30:00,14.996,3616.7,
23,08/25/21 15:30:00,15.187,3100.0,
24,08/25/21 17:30:00,15.569,2583.4,
25,08/25/21 19:30:00,15.760,236.8,
26,08/25/21 21:30:00,15.282,0.0,
27,08/25/21 23:30:00,14.996,0.0,
28,08/26/21 01:30:00,14.709,0.0,
29,08/26/21 03:30:00,14.421,0.0,
30,08/26/21 05:30:00,14.038,10.8,
31,08/26/21 07:30:00,14.709,667.4,
32,08/26/21 09:30:00,14.421,947.2,
33,08/26/21 11:30:00,14.900,2497.2,
34,08/26/21 13:30:00,15.569,2755.6,
35,08/26/21 15:30:00,15.569,1808.3,
36,08/26/21 17:30:00,15.282,1237.9,
37,08/26/21 19:30:00,15.473,409.0,
38,08/26/21 21:30:00,15.091,0.0,
39,08/26/21 23:30:00,14.804,0.0,
40,08/27/21 01:30:00,14.613,0.0,
41,08/27/21 03:30:00,13.942,0.0,
42,08/27/21 05:30:00,14.038,32.3,
43,08/27/21 07:30:00,14.230,1377.8,
44,08/27/21 09:30:00,14.038,1894.5,
45,08/27/21 11:30:00,14.230,3961.1,
46,08/27/21 13:30:00,14.230,538.2,
47,08/27/21 15:30:00,14.038,344.4,
48,08/27/21 17:30:00,13.942,1087.2,
49,08/27/21 19:30:00,13.558,484.4,
50,08/27/21 21:30:00,13.461,0.0,
51,08/27/21 23:30:00,13.750,0.0,
52,08/28/21 01:30:00,13.750,0.0,
53,08/28/21 03:30:00,13.558,0.0,
54,08/28/21 05:30:00,13.269,10.8,
55,08/28/21 07:30:00,12.980,990.3,
56,08/28/21 09:30:00,12.787,2927.8,
57,08/28/21 11:30:00,12.497,3961.1,
58,08/28/21 13:30:00,13.365,3616.7,
59,08/28/21 15:30:00,13.461,1894.5,
60,08/28/21 17:30:00,13.076,1377.8,
61,08/28/21 19:30:00,12.594,129.2,
62,08/28/21 21:30:00,12.787,0.0,
63,08/28/21 23:30:00,13.558,0.0,
64,08/29/21 01:30:00,13.558,0.0,
65,08/29/21 03:30:00,13.365,0.0,
66,08/29/21 05:30:00,13.173,0.0,
67,08/29/21 07:30:00,12.304,312.2,
68,08/29/21 09:30:00,12.594,172.2,
69,08/29/21 11:30:00,12.690,150.7,
70,08/29/21 13:30:00,12.594,742.7,
71,08/29/21 15:30:00,12.207,785.8,
72,08/29/21 17:30:00,11.722,172.2,
73,08/29/21 19:30:00,12.304,21.5,
74,08/29/21 21:30:00,12.110,0.0,
75,08/29/21 23:30:00,11.722,0.0,
76,08/30/21 01:30:00,12.207,0.0,
77,08/30/21 03:30:00,12.110,0.0,
78,08/30/21 05:30:00,12.013,0.0,
79,08/30/21 07:30:00,12.110,118.4,
80,08/30/21 09:30:00,12.207,441.3,
81,08/30/21 11:30:00,12.207,947.2,
82,08/30/21 13:30:00,12.594,775.0,
83,08/30/21 15:30:00,12.594,1119.5,
84,08/30/21 17:30:00,12.013,581.3,
85,08/30/21 19:30:00,12.013,269.1,
86,08/30/21 21:30:00,12.401,0.0,
87,08/30/21 23:30:00,12.110,0.0,
88,08/31/21 01:30:00,12.304,0.0,
89,08/31/21 03:30:00,12.304,0.0,
90,08/31/21 05:30:00,12.304,0.0,
91,08/31/21 07:30:00,12.304,592.0,
92,08/31/21 09:30:00,12.304,1130.2,
93,08/31/21 11:30:00,12.304,753.5,
94,08/31/21 13:30:00,12.110,2583.4,
95,08/31/21 15:30:00,11.916,2755.6,
96,08/31/21 17:30:00,12.401,828.8,
97,08/31/21 19:30:00,12.401,215.3,
98,08/31/21 21:30:00,12.207,0.0,
99,08/31/21 23:30:00,12.110,0.0,
100,09/01/21 01:30:00,12.110,0.0,
101,09/01/21 03:30:00,11.625,0.0,
102,09/01/21 05:30:00,12.013,0.0,
103,09/01/21 07:30:00,11.819,150.7,
104,09/01/21 09:30:00,11.236,667.4,
105,09/01/21 11:30:00,11.819,925.7,
106,09/01/21 13:30:00,12.110,839.6,
107,09/01/21 15:30:00,12.013,1894.5,
108,09/01/21 17:30:00,12.304,1184.0,
109,09/01/21 19:30:00,12.594,236.8,
110,09/01/21 21:30:00,12.594,0.0,
111,09/01/21 23:30:00,12.207,0.0,
112,09/02/21 01:30:00,12.304,0.0,
113,09/02/21 03:30:00,12.304,0.0,
114,09/02/21 05:30:00,12.207,0.0,
115,09/02/21 07:30:00,12.110,150.7,
116,09/02/21 09:30:00,11.916,484.4,
117,09/02/21 11:30:00,12.207,1248.6,
118,09/02/21 13:30:00,11.916,1550.0,
119,09/02/21 15:30:00,11.528,2152.8,
120,09/02/21 17:30:00,12.013,290.6,
121,09/02/21 19:30:00,12.207,64.6,
122,09/02/21 21:30:00,12.013,0.0,
123,09/02/21 23:30:00,11.819,0.0,
124,09/03/21 01:30:00,11.334,0.0,
125,09/03/21 03:30:00,11.722,0.0,
126,09/03/21 05:30:00,11.625,0.0,
127,09/03/21 07:30:00,11.528,516.7,
128,09/03/21 09:30:00,11.431,2238.9,
129,09/03/21 11:30:00,11.431,2669.5,
130,09/03/21 13:30:00,11.431,1377.8,
131,09/03/21 15:30:00,11.431,1097.9,
132,09/03/21 17:30:00,11.334,1065.6,
133,09/03/21 19:30:00,11.431,290.6,
134,09/03/21 21:30:00,11.334,0.0,
135,09/03/21 23:30:00,11.819,0.0,
136,09/04/21 01:30:00,12.207,0.0,
137,09/04/21 03:30:00,12.110,0.0,
138,09/04/21 05:30:00,12.013,0.0,
139,09/04/21 07:30:00,11.819,183.0,
140,09/04/21 09:30:00,11.625,753.5,
141,09/04/21 11:30:00,11.625,2325.0,
142,09/04/21 13:30:00,12.110,1001.0,
143,09/04/21 15:30:00,12.110,462.9,
144,09/04/21 17:30:00,11.916,645.8,
145,09/04/21 19:30:00,11.528,172.2,
146,09/04/21 21:30:00,11.334,0.0,
147,09/04/21 23:30:00,11.236,0.0,
148,09/05/21 01:30:00,11.041,0.0,
149,09/05/21 03:30:00,10.944,0.0,
150,09/05/21 05:30:00,10.748,0.0,
151,09/05/21 07:30:00,11.528,0.0,
152,09/05/21 09:30:00,11.041,1248.6,
153,09/05/21 11:30:00,11.139,699.7,
154,09/05/21 13:30:00,10.259,2497.2,
155,09/05/21 15:30:00,11.041,1141.0,
156,09/05/21 17:30:00,10.944,107.6,
157,09/05/21 19:30:00,10.944,204.5,
158,09/05/21 21:30:00,10.357,0.0,
159,09/05/21 23:30:00,11.041,0.0,
160,09/06/21 01:30:00,11.041,0.0,
161,09/06/21 03:30:00,10.944,0.0,
162,09/06/21 05:30:00,9.965,0.0,
163,09/06/21 07:30:00,10.259,150.7,
164,09/06/21 09:30:00,10.161,387.5,
165,09/06/21 11:30:00,10.161,516.7,
166,09/06/21 13:30:00,10.259,484.4,
167,09/06/21 15:30:00,9.866,1011.8,
168,09/06/21 17:30:00,9.373,484.4,
169,09/06/21 19:30:00,9.571,75.3,
170,09/06/21 21:30:00,9.373,0.0,
171,09/06/21 23:30:00,8.779,0.0,
172,09/07/21 01:30:00,8.779,0.0,
173,09/07/21 03:30:00,8.680,0.0,
174,09/07/21 05:30:00,9.275,0.0,
175,09/07/21 07:30:00,9.373,247.6,
176,09/07/21 09:30:00,9.472,1141.0,
177,09/07/21 11:30:00,9.275,1980.6,
178,09/07/21 13:30:00,9.571,1894.5,
179,09/07/21 15:30:00,9.768,3272.2,
180,09/07/21 17:30:00,9.768,1377.8,
181,09/07/21 19:30:00,9.669,118.4,
182,09/07/21 21:30:00,9.373,0.0,
183,09/07/21 23:30:00,8.978,0.0,
184,09/08/21 01:30:00,8.779,0.0,
185,09/08/21 03:30:00,8.779,0.0,
186,09/08/21 05:30:00,8.481,0.0,
187,09/08/21 07:30:00,8.481,269.1,
188,09/08/21 09:30:00,8.581,775.0,
189,09/08/21 11:30:00,8.879,2411.1,
190,09/08/21 13:30:00,8.879,1636.1,
191,09/08/21 15:30:00,8.879,2152.8,
192,09/08/21 17:30:00,9.077,2066.7,
193,09/08/21 19:30:00,9.176,172.2,
194,09/08/21 21:30:00,9.176,0.0,
195,09/08/21 23:30:00,8.879,0.0,
196,09/09/21 01:30:00,8.382,0.0,
197,09/09/21 03:30:00,8.082,0.0,
198,09/09/21 05:30:00,7.882,0.0,
199,09/09/21 07:30:00,7.782,721.2,
200,09/09/21 09:30:00,7.882,1550.0,
201,09/09/21 11:30:00,8.182,2669.5,
202,09/09/21 13:30:00,8.282,1894.5,
203,09/09/21 15:30:00,8.182,1722.2,
204,09/09/21 17:30:00,8.182,979.5,
205,09/09/21 19:30:00,8.182,107.6,
206,09/09/21 21:30:00,8.282,0.0,
207,09/09/21 23:30:00,8.481,0.0,
208,09/10/21 01:30:00,8.680,0.0,
209,09/10/21 03:30:00,8.581,0.0,
210,09/10/21 05:30:00,8.581,0.0,
211,09/10/21 07:30:00,8.082,635.1,
212,09/10/21 09:30:00,8.481,1894.5,
213,09/10/21 11:30:00,8.978,1808.3,
214,09/10/21 13:30:00,9.275,1184.0,
215,09/10/21 15:30:00,9.768,495.1,
216,09/10/21 17:30:00,9.965,333.7,
217,09/10/21 19:30:00,9.571,10.8,
218,09/10/21 21:30:00,9.373,0.0,
219,09/10/21 23:30:00,9.275,0.0,
220,09/11/21 01:30:00,9.275,0.0,
221,09/11/21 03:30:00,8.779,0.0,
222,09/11/21 05:30:00,8.581,0.0,
223,09/11/21 07:30:00,9.077,183.0,
224,09/11/21 09:30:00,9.176,775.0,
225,09/11/21 11:30:00,8.978,1141.0,
226,09/11/21 13:30:00,8.879,1087.2,
227,09/11/21 15:30:00,8.779,796.5,
228,09/11/21 17:30:00,8.680,312.2,
229,09/11/21 19:30:00,8.978,64.6,
230,09/11/21 21:30:00,8.680,0.0,
231,09/11/21 23:30:00,8.978,0.0,
232,09/12/21 01:30:00,8.481,0.0,
233,09/12/21 03:30:00,8.182,0.0,
234,09/12/21 05:30:00,8.282,0.0,
235,09/12/21 07:30:00,8.481,344.4,
236,09/12/21 09:30:00,8.481,947.2,
237,09/12/21 11:30:00,8.581,1463.9,
238,09/12/21 13:30:00,8.581,807.3,
239,09/12/21 15:30:00,8.382,183.0,
240,09/12/21 17:30:00,8.382,43.1,
241,09/12/21 19:30:00,8.182,0.0,
242,09/12/21 21:30:00,7.682,0.0,
243,09/12/21 23:30:00,7.582,0.0,
244,09/13/21 01:30:00,7.079,0.0,
245,09/13/21 03:30:00,7.882,0.0,
246,09/13/21 05:30:00,7.381,0.0,
247,09/13/21 07:30:00,8.282,43.1,
248,09/13/21 09:30:00,8.282,204.5,
249,09/13/21 11:30:00,7.882,699.7,
250,09/13/21 13:30:00,8.182,430.6,
251,09/13/21 15:30:00,8.182,473.6,
252,09/13/21 17:30:00,8.581,172.2,
253,09/13/21 19:30:00,8.879,0.0,
254,09/13/21 21:30:00,8.282,0.0,
255,09/13/21 23:30:00,8.182,0.0,
256,09/14/21 01:30:00,7.983,0.0,
257,09/14/21 03:30:00,8.481,0.0,
258,09/14/21 05:30:00,8.382,0.0,
259,09/14/21 07:30:00,7.381,193.8,
260,09/14/21 09:30:00,7.481,914.9,
261,09/14/21 11:30:00,7.882,958.0,
262,09/14/21 13:30:00,7.983,958.0,
263,09/14/21 15:30:00,7.682,527.4,
264,09/14/21 17:30:00,7.782,549.0,
265,09/14/21 19:30:00,7.381,64.6,
266,09/14/21 21:30:00,6.978,0.0,
267,09/14/21 23:30:00,6.775,0.0,
268,09/15/21 01:30:00,6.775,0.0,
269,09/15/21 03:30:00,6.775,0.0,
270,09/15/21 05:30:00,7.079,0.0,
271,09/15/21 07:30:00,7.481,172.2,
272,09/15/21 09:30:00,7.481,688.9,
273,09/15/21 11:30:00,7.280,1141.0,
274,09/15/21 13:30:00,7.782,1033.3,
275,09/15/21 15:30:00,8.282,613.5,
276,09/15/21 17:30:00,8.481,279.9,
277,09/15/21 19:30:00,8.382,0.0,
278,09/15/21 21:30:00,8.182,0.0,
279,09/15/21 23:30:00,8.182,0.0,
280,09/16/21 01:30:00,8.182,0.0,
281,09/16/21 03:30:00,7.882,0.0,
282,09/16/21 05:30:00,7.882,0.0,
283,09/16/21 07:30:00,7.481,75.3,
284,09/16/21 09:30:00,7.481,215.3,
285,09/16/21 11:30:00,7.882,667.4,
286,09/16/21 13:30:00,7.983,1097.9,
287,09/16/21 15:30:00,8.282,667.4,
288,09/16/21 17:30:00,7.782,366.0,
289,09/16/21 19:30:00,7.381,0.0,
290,09/16/21 21:30:00,7.280,0.0,
291,09/16/21 23:30:00,7.782,0.0,
292,09/17/21 01:30:00,7.481,0.0,
293,09/17/21 03:30:00,7.481,0.0,
294,09/17/21 05:30:00,7.381,0.0,
295,09/17/21 07:30:00,7.582,86.1,
296,09/17/21 09:30:00,7.682,1216.3,
297,09/17/21 11:30:00,7.983,1248.6,
298,09/17/21 13:30:00,8.182,1463.9,
299,09/17/21 15:30:00,8.182,839.6,
300,09/17/21 17:30:00,8.182,344.4,
301,09/17/21 19:30:00,8.082,0.0,
302,09/17/21 21:30:00,7.983,0.0,
303,09/17/21 23:30:00,7.882,0.0,
304,09/18/21 01:30:00,7.983,0.0,
305,09/18/21 03:30:00,7.983,0.0,
306,09/18/21 05:30:00,7.882,0.0,
307,09/18/21 07:30:00,7.882,215.3,
308,09/18/21 09:30:00,7.882,968.8,
309,09/18/21 11:30:00,7.983,1377.8,
310,09/18/21 13:30:00,8.182,2238.9,
311,09/18/21 15:30:00,8.082,398.3,
312,09/18/21 17:30:00,8.082,139.9,
313,09/18/21 19:30:00,7.983,0.0,
314,09/18/21 21:30:00,7.983,0.0,
315,09/18/21 23:30:00,7.882,0.0,
316,09/19/21 01:30:00,7.782,0.0,
317,09/19/21 03:30:00,7.782,0.0,
318,09/19/21 05:30:00,7.782,0.0,
319,09/19/21 07:30:00,7.682,193.8,
320,09/19/21 09:30:00,7.682,742.7,
321,09/19/21 11:30:00,7.682,1377.8,
322,09/19/21 13:30:00,7.682,979.5,
323,09/19/21 15:30:00,7.983,2755.6,
324,09/19/21 17:30:00,7.782,1313.2,
325,09/19/21 19:30:00,7.782,21.5,
326,09/19/21 21:30:00,7.682,0.0,
327,09/19/21 23:30:00,7.782,0.0,
328,09/20/21 01:30:00,8.182,0.0,
329,09/20/21 03:30:00,8.182,0.0,
330,09/20/21 05:30:00,8.282,0.0,
331,09/20/21 07:30:00,8.282,86.1,
332,09/20/21 09:30:00,8.282,366.0,
333,09/20/21 11:30:00,7.882,1108.7,
334,09/20/21 13:30:00,7.983,1345.5,
335,09/20/21 15:30:00,8.082,2066.7,
336,09/20/21 17:30:00,8.182,279.9,
337,09/20/21 19:30:00,8.182,0.0,
338,09/20/21 21:30:00,8.182,0.0,
339,09/20/21 23:30:00,8.082,0.0,
340,09/21/21 01:30:00,7.882,0.0,
341,09/21/21 03:30:00,7.381,0.0,
342,09/21/21 05:30:00,7.280,0.0,
343,09/21/21 07:30:00,7.179,10.8,
344,09/21/21 09:30:00,7.079,118.4,
345,09/21/21 11:30:00,6.978,183.0,
346,09/21/21 13:30:00,6.877,1550.0,
347,09/21/21 15:30:00,6.775,1722.2,
348,09/21/21 17:30:00,6.471,0.0,
349,09/21/21 19:30:00,6.978,0.0,
350,09/21/21 21:30:00,6.978,0.0,
351,09/21/21 23:30:00,6.877,0.0,
352,09/22/21 01:30:00,6.674,0.0,
353,09/22/21 03:30:00,6.471,0.0,
354,09/22/21 05:30:00,6.370,0.0,
355,09/22/21 07:30:00,6.268,0.0,
356,09/22/21 09:30:00,6.166,129.2,
357,09/22/21 11:30:00,5.962,172.2,
358,09/22/21 13:30:00,5.860,430.6,
359,09/22/21 15:30:00,6.064,710.4,
360,09/22/21 17:30:00,6.064,75.3,
361,09/22/21 19:30:00,5.962,0.0,
362,09/22/21 21:30:00,5.655,0.0,
363,09/22/21 23:30:00,5.552,0.0,
364,09/23/21 01:30:00,5.552,0.0,
365,09/23/21 03:30:00,5.450,0.0,
366,09/23/21 05:30:00,5.347,0.0,
367,09/23/21 07:30:00,4.934,247.6,
368,09/23/21 09:30:00,4.623,742.7,
369,09/23/21 11:30:00,4.831,2152.8,
370,09/23/21 13:30:00,4.623,1550.0,
371,09/23/21 15:30:00,4.623,1259.4,
372,09/23/21 17:30:00,4.623,398.3,
373,09/23/21 19:30:00,5.141,0.0,
374,09/23/21 21:30:00,5.141,0.0,
375,09/23/21 23:30:00,4.934,0.0,
376,09/24/21 01:30:00,4.623,0.0,
377,09/24/21 03:30:00,4.311,0.0,
378,09/24/21 05:30:00,4.519,0.0,
379,09/24/21 07:30:00,4.311,10.8,
380,09/24/21 09:30:00,4.519,215.3,
381,09/24/21 11:30:00,4.415,764.2,
382,09/24/21 13:30:00,4.519,269.1,
383,09/24/21 15:30:00,4.415,559.7,
384,09/24/21 17:30:00,4.415,193.8,
385,09/24/21 19:30:00,4.415,0.0,
386,09/24/21 21:30:00,4.415,0.0,
387,09/24/21 23:30:00,4.311,0.0,
388,09/25/21 01:30:00,4.311,0.0,
389,09/25/21 03:30:00,4.207,0.0,
390,09/25/21 05:30:00,4.207,0.0,
391,09/25/21 07:30:00,3.998,64.6,
392,09/25/21 09:30:00,3.998,559.7,
393,09/25/21 11:30:00,3.998,1194.8,
394,09/25/21 13:30:00,3.893,1377.8,
395,09/25/21 15:30:00,3.998,1463.9,
396,09/25/21 17:30:00,3.998,559.7,
397,09/25/21 19:30:00,3.893,0.0,
398,09/25/21 21:30:00,3.893,0.0,
399,09/25/21 23:30:00,3.893,0.0,
400,09/26/21 01:30:00,3.788,0.0,
401,09/26/21 03:30:00,3.788,0.0,
402,09/26/21 05:30:00,4.102,0.0,
403,09/26/21 07:30:00,3.893,53.8,
404,09/26/21 09:30:00,3.788,516.7,
405,09/26/21 11:30:00,3.683,430.6,
406,09/26/21 13:30:00,3.683,592.0,
407,09/26/21 15:30:00,3.998,279.9,
408,09/26/21 17:30:00,3.893,75.3,
409,09/26/21 19:30:00,3.893,0.0,
410,09/26/21 21:30:00,3.683,0.0,
411,09/26/21 23:30:00,3.472,0.0,
