"Plot Title: e6_60cm_22Aug21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349963, SEN S/N: 10349963)","Intensity, Lux (LGR S/N: 10349963, SEN S/N: 10349963)","End Of File (LGR S/N: 10349963)"
1,08/22/21 18:00:00,20.805,0.0,
2,08/22/21 20:00:00,20.043,0.0,
3,08/22/21 22:00:00,19.758,0.0,
4,08/23/21 00:00:00,19.662,0.0,
5,08/23/21 02:00:00,19.472,0.0,
6,08/23/21 04:00:00,19.567,0.0,
7,08/23/21 06:00:00,19.567,0.0,
8,08/23/21 08:00:00,19.948,0.0,
9,08/23/21 10:00:00,18.140,936.5,
10,08/23/21 12:00:00,13.269,4994.5,
11,08/23/21 14:00:00,13.173,2152.8,
12,08/23/21 16:00:00,13.269,1237.9,
13,08/23/21 18:00:00,13.269,1291.7,
14,08/23/21 20:00:00,13.365,570.5,
15,08/23/21 22:00:00,13.461,0.0,
16,08/24/21 00:00:00,13.654,0.0,
17,08/24/21 02:00:00,13.076,0.0,
18,08/24/21 04:00:00,12.980,0.0,
19,08/24/21 06:00:00,12.207,64.6,
20,08/24/21 08:00:00,12.497,1550.0,
21,08/24/21 10:00:00,12.497,3100.0,
22,08/24/21 12:00:00,13.558,3272.2,
23,08/24/21 14:00:00,13.076,3616.7,
24,08/24/21 16:00:00,13.365,3961.1,
25,08/24/21 18:00:00,14.230,1894.5,
26,08/24/21 20:00:00,14.230,602.8,
27,08/24/21 22:00:00,13.269,0.0,
28,08/25/21 00:00:00,14.517,0.0,
29,08/25/21 02:00:00,14.613,0.0,
30,08/25/21 04:00:00,14.517,0.0,
31,08/25/21 06:00:00,14.517,236.8,
32,08/25/21 08:00:00,14.517,1808.3,
33,08/25/21 10:00:00,14.134,3788.9,
34,08/25/21 12:00:00,14.421,5166.7,
35,08/25/21 14:00:00,14.900,5511.1,
36,08/25/21 16:00:00,15.282,4994.5,
37,08/25/21 18:00:00,15.664,1302.4,
38,08/25/21 20:00:00,15.855,10.8,
39,08/25/21 22:00:00,15.378,0.0,
40,08/26/21 00:00:00,15.091,0.0,
41,08/26/21 02:00:00,14.804,0.0,
42,08/26/21 04:00:00,14.230,0.0,
43,08/26/21 06:00:00,14.038,86.1,
