"Plot Title: e6_30cm_22Aug21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Temp)","Intensity, Lux (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Light)","End Of File (LGR S/N: 10517219)"
1,08/23/21 19:30:00,13.365,183.0,
2,08/23/21 21:30:00,13.365,0.0,
3,08/23/21 23:30:00,13.558,0.0,
4,08/24/21 01:30:00,12.980,0.0,
5,08/24/21 03:30:00,12.883,0.0,
6,08/24/21 05:30:00,12.110,0.0,
7,08/24/21 07:30:00,12.304,441.3,
8,08/24/21 09:30:00,12.401,2066.7,
9,08/24/21 11:30:00,13.269,1636.1,
10,08/24/21 13:30:00,12.980,2927.8,
11,08/24/21 15:30:00,12.980,4822.3,
12,08/24/21 17:30:00,13.269,2066.7,
13,08/24/21 19:30:00,13.076,731.9,
14,08/24/21 21:30:00,13.076,0.0,
15,08/24/21 23:30:00,14.421,0.0,
16,08/25/21 01:30:00,14.517,0.0,
17,08/25/21 03:30:00,14.421,0.0,
18,08/25/21 05:30:00,14.421,32.3,
19,08/25/21 07:30:00,14.421,904.2,
20,08/25/21 09:30:00,14.613,1636.1,
21,08/25/21 11:30:00,14.230,2927.8,
22,08/25/21 13:30:00,14.038,3444.5,
23,08/25/21 15:30:00,14.613,3961.1,
24,08/25/21 17:30:00,15.569,2497.2,
25,08/25/21 19:30:00,15.855,139.9,
26,08/25/21 21:30:00,15.378,0.0,
27,08/25/21 23:30:00,15.091,0.0,
28,08/26/21 01:30:00,14.804,0.0,
29,08/26/21 03:30:00,14.517,0.0,
30,08/26/21 05:30:00,13.942,0.0,
31,08/26/21 07:30:00,14.709,247.6,
32,08/26/21 09:30:00,14.421,441.3,
33,08/26/21 11:30:00,14.900,1550.0,
34,08/26/21 13:30:00,15.569,1377.8,
35,08/26/21 15:30:00,15.569,1184.0,
36,08/26/21 17:30:00,15.091,839.6,
37,08/26/21 19:30:00,15.569,247.6,
38,08/26/21 21:30:00,14.325,0.0,
39,08/26/21 23:30:00,14.325,0.0,
40,08/27/21 01:30:00,14.038,0.0,
41,08/27/21 03:30:00,13.942,0.0,
42,08/27/21 05:30:00,13.750,10.8,
43,08/27/21 07:30:00,13.942,667.4,
44,08/27/21 09:30:00,13.942,1076.4,
45,08/27/21 11:30:00,14.230,2755.6,
46,08/27/21 13:30:00,14.325,247.6,
47,08/27/21 15:30:00,14.038,118.4,
48,08/27/21 17:30:00,13.942,430.6,
49,08/27/21 19:30:00,12.980,279.9,
50,08/27/21 21:30:00,13.558,0.0,
51,08/27/21 23:30:00,13.750,0.0,
52,08/28/21 01:30:00,13.846,0.0,
53,08/28/21 03:30:00,13.558,0.0,
54,08/28/21 05:30:00,13.365,0.0,
55,08/28/21 07:30:00,12.980,516.7,
56,08/28/21 09:30:00,12.787,1636.1,
57,08/28/21 11:30:00,12.401,2755.6,
58,08/28/21 13:30:00,13.269,2755.6,
59,08/28/21 15:30:00,13.461,1270.1,
60,08/28/21 17:30:00,12.980,1108.7,
61,08/28/21 19:30:00,12.690,64.6,
62,08/28/21 21:30:00,12.883,0.0,
63,08/28/21 23:30:00,13.558,0.0,
64,08/29/21 01:30:00,13.558,0.0,
65,08/29/21 03:30:00,13.461,0.0,
66,08/29/21 05:30:00,13.269,0.0,
67,08/29/21 07:30:00,12.304,139.9,
68,08/29/21 09:30:00,12.594,64.6,
69,08/29/21 11:30:00,12.787,32.3,
70,08/29/21 13:30:00,12.690,301.4,
71,08/29/21 15:30:00,12.207,322.9,
72,08/29/21 17:30:00,11.819,43.1,
73,08/29/21 19:30:00,12.401,0.0,
74,08/29/21 21:30:00,12.110,0.0,
75,08/29/21 23:30:00,11.722,0.0,
76,08/30/21 01:30:00,12.304,0.0,
77,08/30/21 03:30:00,12.207,0.0,
78,08/30/21 05:30:00,12.110,0.0,
79,08/30/21 07:30:00,12.110,43.1,
80,08/30/21 09:30:00,12.304,215.3,
81,08/30/21 11:30:00,12.304,301.4,
82,08/30/21 13:30:00,12.690,344.4,
83,08/30/21 15:30:00,12.594,549.0,
84,08/30/21 17:30:00,10.846,279.9,
85,08/30/21 19:30:00,12.110,118.4,
86,08/30/21 21:30:00,12.497,0.0,
87,08/30/21 23:30:00,12.207,0.0,
88,08/31/21 01:30:00,12.304,0.0,
89,08/31/21 03:30:00,12.401,0.0,
90,08/31/21 05:30:00,12.401,0.0,
91,08/31/21 07:30:00,12.304,247.6,
92,08/31/21 09:30:00,12.304,462.9,
93,08/31/21 11:30:00,12.304,376.7,
94,08/31/21 13:30:00,10.846,1636.1,
95,08/31/21 15:30:00,12.013,1808.3,
96,08/31/21 17:30:00,12.497,441.3,
97,08/31/21 19:30:00,12.401,118.4,
98,08/31/21 21:30:00,12.207,0.0,
99,08/31/21 23:30:00,12.207,0.0,
100,09/01/21 01:30:00,12.207,0.0,
101,09/01/21 03:30:00,11.722,0.0,
102,09/01/21 05:30:00,12.110,0.0,
103,09/01/21 07:30:00,11.916,43.1,
104,09/01/21 09:30:00,11.334,279.9,
105,09/01/21 11:30:00,11.819,269.1,
106,09/01/21 13:30:00,12.110,549.0,
107,09/01/21 15:30:00,12.013,1141.0,
108,09/01/21 17:30:00,12.304,688.9,
109,09/01/21 19:30:00,12.594,118.4,
110,09/01/21 21:30:00,12.690,0.0,
111,09/01/21 23:30:00,12.110,0.0,
112,09/02/21 01:30:00,12.401,0.0,
113,09/02/21 03:30:00,12.401,0.0,
114,09/02/21 05:30:00,12.304,0.0,
115,09/02/21 07:30:00,12.207,53.8,
116,09/02/21 09:30:00,12.013,204.5,
117,09/02/21 11:30:00,12.110,559.7,
118,09/02/21 13:30:00,11.916,828.8,
119,09/02/21 15:30:00,10.944,1463.9,
120,09/02/21 17:30:00,10.846,161.5,
121,09/02/21 19:30:00,10.651,21.5,
122,09/02/21 21:30:00,10.651,0.0,
123,09/02/21 23:30:00,10.748,0.0,
124,09/03/21 01:30:00,10.846,0.0,
125,09/03/21 03:30:00,11.041,0.0,
126,09/03/21 05:30:00,11.625,0.0,
127,09/03/21 07:30:00,11.625,161.5,
128,09/03/21 09:30:00,11.431,775.0,
129,09/03/21 11:30:00,11.334,1001.0,
130,09/03/21 13:30:00,11.431,516.7,
131,09/03/21 15:30:00,11.528,419.8,
132,09/03/21 17:30:00,11.431,495.1,
133,09/03/21 19:30:00,11.528,150.7,
134,09/03/21 21:30:00,11.334,0.0,
135,09/03/21 23:30:00,11.916,0.0,
136,09/04/21 01:30:00,12.304,0.0,
137,09/04/21 03:30:00,12.207,0.0,
138,09/04/21 05:30:00,12.110,0.0,
139,09/04/21 07:30:00,11.334,75.3,
140,09/04/21 09:30:00,11.625,333.7,
141,09/04/21 11:30:00,11.625,1636.1,
142,09/04/21 13:30:00,12.110,473.6,
143,09/04/21 15:30:00,12.110,226.0,
144,09/04/21 17:30:00,11.819,301.4,
145,09/04/21 19:30:00,11.528,86.1,
146,09/04/21 21:30:00,11.334,0.0,
147,09/04/21 23:30:00,10.553,0.0,
148,09/05/21 01:30:00,11.139,0.0,
149,09/05/21 03:30:00,10.944,0.0,
150,09/05/21 05:30:00,10.846,0.0,
151,09/05/21 07:30:00,11.625,0.0,
152,09/05/21 09:30:00,11.139,527.4,
153,09/05/21 11:30:00,11.139,279.9,
154,09/05/21 13:30:00,10.259,2411.1,
155,09/05/21 15:30:00,11.041,592.0,
156,09/05/21 17:30:00,11.041,53.8,
157,09/05/21 19:30:00,11.041,107.6,
158,09/05/21 21:30:00,10.455,0.0,
159,09/05/21 23:30:00,11.041,0.0,
160,09/06/21 01:30:00,11.041,0.0,
161,09/06/21 03:30:00,11.041,0.0,
162,09/06/21 05:30:00,9.472,0.0,
163,09/06/21 07:30:00,9.176,75.3,
164,09/06/21 09:30:00,10.259,172.2,
165,09/06/21 11:30:00,10.259,215.3,
166,09/06/21 13:30:00,10.259,204.5,
167,09/06/21 15:30:00,9.965,484.4,
168,09/06/21 17:30:00,9.373,258.3,
169,09/06/21 19:30:00,8.978,32.3,
170,09/06/21 21:30:00,8.978,0.0,
171,09/06/21 23:30:00,8.879,0.0,
172,09/07/21 01:30:00,8.779,0.0,
173,09/07/21 03:30:00,8.680,0.0,
174,09/07/21 05:30:00,8.978,0.0,
175,09/07/21 07:30:00,9.472,107.6,
176,09/07/21 09:30:00,9.472,527.4,
177,09/07/21 11:30:00,9.275,1022.6,
178,09/07/21 13:30:00,9.472,968.8,
179,09/07/21 15:30:00,9.768,1894.5,
180,09/07/21 17:30:00,9.768,721.2,
181,09/07/21 19:30:00,9.669,43.1,
182,09/07/21 21:30:00,9.373,0.0,
183,09/07/21 23:30:00,9.077,0.0,
184,09/08/21 01:30:00,8.879,0.0,
185,09/08/21 03:30:00,8.879,0.0,
186,09/08/21 05:30:00,8.481,0.0,
187,09/08/21 07:30:00,8.581,129.2,
188,09/08/21 09:30:00,8.680,366.0,
189,09/08/21 11:30:00,8.779,1280.9,
190,09/08/21 13:30:00,8.879,785.8,
191,09/08/21 15:30:00,8.879,1259.4,
192,09/08/21 17:30:00,9.077,1087.2,
193,09/08/21 19:30:00,9.176,64.6,
194,09/08/21 21:30:00,9.176,0.0,
195,09/08/21 23:30:00,8.978,0.0,
196,09/09/21 01:30:00,8.481,0.0,
197,09/09/21 03:30:00,8.182,0.0,
198,09/09/21 05:30:00,7.983,0.0,
199,09/09/21 07:30:00,7.882,742.7,
200,09/09/21 09:30:00,7.983,1722.2,
201,09/09/21 11:30:00,8.182,2669.5,
202,09/09/21 13:30:00,8.282,2325.0,
203,09/09/21 15:30:00,8.282,2497.2,
204,09/09/21 17:30:00,8.182,1151.7,
205,09/09/21 19:30:00,8.182,118.4,
206,09/09/21 21:30:00,8.282,0.0,
207,09/09/21 23:30:00,8.581,0.0,
208,09/10/21 01:30:00,8.779,0.0,
209,09/10/21 03:30:00,8.680,0.0,
210,09/10/21 05:30:00,8.680,0.0,
211,09/10/21 07:30:00,8.182,398.3,
212,09/10/21 09:30:00,8.581,1119.5,
213,09/10/21 11:30:00,8.978,1151.7,
214,09/10/21 13:30:00,8.978,785.8,
215,09/10/21 15:30:00,9.472,279.9,
216,09/10/21 17:30:00,9.965,172.2,
217,09/10/21 19:30:00,9.669,0.0,
218,09/10/21 21:30:00,9.472,0.0,
219,09/10/21 23:30:00,9.176,0.0,
220,09/11/21 01:30:00,9.275,0.0,
221,09/11/21 03:30:00,8.879,0.0,
222,09/11/21 05:30:00,8.581,0.0,
223,09/11/21 07:30:00,8.779,129.2,
224,09/11/21 09:30:00,8.978,538.2,
225,09/11/21 11:30:00,8.978,764.2,
226,09/11/21 13:30:00,8.879,850.4,
227,09/11/21 15:30:00,8.879,624.3,
228,09/11/21 17:30:00,8.082,279.9,
229,09/11/21 19:30:00,8.581,53.8,
230,09/11/21 21:30:00,8.680,0.0,
231,09/11/21 23:30:00,9.077,0.0,
232,09/12/21 01:30:00,8.581,0.0,
233,09/12/21 03:30:00,8.182,0.0,
234,09/12/21 05:30:00,8.082,0.0,
235,09/12/21 07:30:00,8.382,258.3,
236,09/12/21 09:30:00,8.581,721.2,
237,09/12/21 11:30:00,8.581,1184.0,
238,09/12/21 13:30:00,8.581,592.0,
239,09/12/21 15:30:00,8.282,107.6,
240,09/12/21 17:30:00,8.382,10.8,
241,09/12/21 19:30:00,8.182,0.0,
242,09/12/21 21:30:00,7.682,0.0,
243,09/12/21 23:30:00,7.582,0.0,
244,09/13/21 01:30:00,7.179,0.0,
245,09/13/21 03:30:00,7.782,0.0,
246,09/13/21 05:30:00,7.280,0.0,
247,09/13/21 07:30:00,8.382,10.8,
248,09/13/21 09:30:00,8.282,75.3,
249,09/13/21 11:30:00,7.882,430.6,
250,09/13/21 13:30:00,8.282,215.3,
251,09/13/21 15:30:00,8.182,258.3,
252,09/13/21 17:30:00,8.581,64.6,
253,09/13/21 19:30:00,8.978,0.0,
254,09/13/21 21:30:00,8.382,0.0,
255,09/13/21 23:30:00,8.182,0.0,
256,09/14/21 01:30:00,8.082,0.0,
257,09/14/21 03:30:00,8.481,0.0,
258,09/14/21 05:30:00,8.481,0.0,
259,09/14/21 07:30:00,7.481,129.2,
260,09/14/21 09:30:00,7.481,656.6,
261,09/14/21 11:30:00,7.882,538.2,
262,09/14/21 13:30:00,8.082,473.6,
263,09/14/21 15:30:00,7.782,279.9,
264,09/14/21 17:30:00,7.782,279.9,
265,09/14/21 19:30:00,7.481,32.3,
266,09/14/21 21:30:00,7.079,0.0,
267,09/14/21 23:30:00,6.877,0.0,
268,09/15/21 01:30:00,6.877,0.0,
269,09/15/21 03:30:00,6.877,0.0,
270,09/15/21 05:30:00,7.079,0.0,
271,09/15/21 07:30:00,7.582,64.6,
272,09/15/21 09:30:00,7.481,312.2,
273,09/15/21 11:30:00,7.280,688.9,
274,09/15/21 13:30:00,7.782,516.7,
275,09/15/21 15:30:00,8.382,269.1,
276,09/15/21 17:30:00,8.481,107.6,
277,09/15/21 19:30:00,8.481,0.0,
278,09/15/21 21:30:00,8.282,0.0,
279,09/15/21 23:30:00,8.282,0.0,
280,09/16/21 01:30:00,8.182,0.0,
281,09/16/21 03:30:00,7.682,0.0,
282,09/16/21 05:30:00,7.481,0.0,
283,09/16/21 07:30:00,7.381,43.1,
284,09/16/21 09:30:00,7.381,129.2,
285,09/16/21 11:30:00,7.983,301.4,
286,09/16/21 13:30:00,8.082,538.2,
287,09/16/21 15:30:00,8.382,322.9,
288,09/16/21 17:30:00,7.882,215.3,
289,09/16/21 19:30:00,7.381,0.0,
290,09/16/21 21:30:00,7.280,0.0,
291,09/16/21 23:30:00,7.782,0.0,
292,09/17/21 01:30:00,7.582,0.0,
293,09/17/21 03:30:00,7.481,0.0,
294,09/17/21 05:30:00,7.481,0.0,
295,09/17/21 07:30:00,7.582,64.6,
296,09/17/21 09:30:00,7.682,947.2,
297,09/17/21 11:30:00,7.983,785.8,
298,09/17/21 13:30:00,8.082,914.9,
299,09/17/21 15:30:00,8.282,505.9,
300,09/17/21 17:30:00,8.282,204.5,
301,09/17/21 19:30:00,8.182,0.0,
302,09/17/21 21:30:00,8.082,0.0,
303,09/17/21 23:30:00,7.983,0.0,
304,09/18/21 01:30:00,7.983,0.0,
305,09/18/21 03:30:00,7.983,0.0,
306,09/18/21 05:30:00,7.983,0.0,
307,09/18/21 07:30:00,7.882,129.2,
308,09/18/21 09:30:00,7.882,570.5,
309,09/18/21 11:30:00,7.983,893.4,
310,09/18/21 13:30:00,8.182,1550.0,
311,09/18/21 15:30:00,8.082,258.3,
312,09/18/21 17:30:00,8.082,86.1,
313,09/18/21 19:30:00,8.082,0.0,
314,09/18/21 21:30:00,7.983,0.0,
315,09/18/21 23:30:00,7.882,0.0,
316,09/19/21 01:30:00,7.882,0.0,
317,09/19/21 03:30:00,7.882,0.0,
318,09/19/21 05:30:00,7.782,0.0,
319,09/19/21 07:30:00,7.782,150.7,
320,09/19/21 09:30:00,7.682,538.2,
321,09/19/21 11:30:00,7.782,904.2,
322,09/19/21 13:30:00,7.782,914.9,
323,09/19/21 15:30:00,7.983,2411.1,
324,09/19/21 17:30:00,7.882,1205.6,
325,09/19/21 19:30:00,7.882,21.5,
326,09/19/21 21:30:00,7.782,0.0,
327,09/19/21 23:30:00,7.882,0.0,
328,09/20/21 01:30:00,8.182,0.0,
329,09/20/21 03:30:00,8.282,0.0,
330,09/20/21 05:30:00,8.282,0.0,
331,09/20/21 07:30:00,8.382,32.3,
332,09/20/21 09:30:00,8.282,150.7,
333,09/20/21 11:30:00,7.983,731.9,
334,09/20/21 13:30:00,7.882,914.9,
335,09/20/21 15:30:00,8.082,1334.7,
336,09/20/21 17:30:00,8.282,139.9,
337,09/20/21 19:30:00,8.282,0.0,
338,09/20/21 21:30:00,8.182,0.0,
339,09/20/21 23:30:00,8.082,0.0,
340,09/21/21 01:30:00,7.983,0.0,
341,09/21/21 03:30:00,7.481,0.0,
342,09/21/21 05:30:00,7.381,0.0,
343,09/21/21 07:30:00,7.179,0.0,
344,09/21/21 09:30:00,7.179,64.6,
345,09/21/21 11:30:00,6.978,96.9,
346,09/21/21 13:30:00,6.978,871.9,
347,09/21/21 15:30:00,6.775,1065.6,
348,09/21/21 17:30:00,6.573,0.0,
349,09/21/21 19:30:00,7.079,0.0,
350,09/21/21 21:30:00,6.978,0.0,
351,09/21/21 23:30:00,6.978,0.0,
352,09/22/21 01:30:00,6.775,0.0,
353,09/22/21 03:30:00,6.573,0.0,
354,09/22/21 05:30:00,6.471,0.0,
355,09/22/21 07:30:00,6.268,0.0,
356,09/22/21 09:30:00,6.268,21.5,
357,09/22/21 11:30:00,6.064,32.3,
358,09/22/21 13:30:00,5.860,107.6,
359,09/22/21 15:30:00,6.064,172.2,
360,09/22/21 17:30:00,6.064,10.8,
361,09/22/21 19:30:00,5.962,0.0,
362,09/22/21 21:30:00,5.757,0.0,
363,09/22/21 23:30:00,5.552,0.0,
364,09/23/21 01:30:00,5.552,0.0,
365,09/23/21 03:30:00,5.552,0.0,
366,09/23/21 05:30:00,5.450,0.0,
367,09/23/21 07:30:00,5.037,53.8,
368,09/23/21 09:30:00,4.727,172.2,
369,09/23/21 11:30:00,4.831,527.4,
370,09/23/21 13:30:00,4.623,473.6,
371,09/23/21 15:30:00,4.623,398.3,
372,09/23/21 17:30:00,4.727,96.9,
373,09/23/21 19:30:00,5.141,0.0,
374,09/23/21 21:30:00,5.141,0.0,
375,09/23/21 23:30:00,5.037,0.0,
376,09/24/21 01:30:00,4.623,0.0,
377,09/24/21 03:30:00,4.415,0.0,
378,09/24/21 05:30:00,4.519,0.0,
379,09/24/21 07:30:00,4.415,0.0,
380,09/24/21 09:30:00,4.623,53.8,
381,09/24/21 11:30:00,4.415,247.6,
382,09/24/21 13:30:00,4.623,75.3,
383,09/24/21 15:30:00,4.519,172.2,
384,09/24/21 17:30:00,4.519,53.8,
385,09/24/21 19:30:00,4.415,0.0,
386,09/24/21 21:30:00,4.415,0.0,
387,09/24/21 23:30:00,4.415,0.0,
388,09/25/21 01:30:00,4.415,0.0,
389,09/25/21 03:30:00,4.311,0.0,
390,09/25/21 05:30:00,4.311,0.0,
391,09/25/21 07:30:00,4.102,10.8,
392,09/25/21 09:30:00,4.102,215.3,
393,09/25/21 11:30:00,3.998,441.3,
