"Plot Title: MD_E6_high_3Sep20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517222, SEN S/N: 10517222, LBL: temp)","Intensity, Lux (LGR S/N: 10517222, SEN S/N: 10517222, LBL: light)","Coupler Attached (LGR S/N: 10517222)","Host Connected (LGR S/N: 10517222)","Stopped (LGR S/N: 10517222)","End Of File (LGR S/N: 10517222)"
1,09/03/20 00:00:00,15.951,0.0,,,,
2,09/03/20 02:00:00,15.951,0.0,,,,
3,09/03/20 04:00:00,15.855,0.0,,,,
4,09/03/20 06:00:00,15.951,0.0,,,,
5,09/03/20 08:00:00,15.951,10.8,,,,
6,09/03/20 10:00:00,16.141,43.1,,,,
7,09/03/20 12:00:00,16.713,64.6,,,,
8,09/03/20 14:00:00,19.567,21.5,,,,
9,09/03/20 16:00:00,20.329,32.3,,,,
10,09/03/20 18:00:00,19.853,53.8,,,,
11,09/03/20 20:00:00,18.996,0.0,,,,
12,09/03/20 22:00:00,19.092,0.0,,,,
13,09/04/20 00:00:00,18.806,0.0,,,,
14,09/04/20 02:00:00,18.901,0.0,,,,
15,09/04/20 04:00:00,18.806,0.0,,,,
16,09/04/20 06:00:00,18.901,0.0,,,,
17,09/04/20 08:00:00,18.521,10.8,,,,
18,09/04/20 10:00:00,18.901,43.1,,,,
19,09/04/20 12:00:00,19.853,32.3,,,,
20,09/04/20 14:00:00,19.853,21.5,,,,
21,09/04/20 16:00:00,18.711,10.8,,,,
22,09/04/20 18:00:00,20.043,0.0,,,,
23,09/04/20 20:00:00,19.567,0.0,,,,
24,09/04/20 22:00:00,19.662,0.0,,,,
25,09/05/20 00:00:00,18.616,0.0,,,,
26,09/05/20 02:00:00,18.331,0.0,,,,
27,09/05/20 04:00:00,18.426,0.0,,,,
28,09/05/20 06:00:00,18.901,0.0,,,,
29,09/05/20 08:00:00,18.140,0.0,,,,
30,09/05/20 10:00:00,19.187,0.0,,,,
31,09/05/20 12:00:00,19.377,0.0,,,,
32,09/05/20 14:00:00,19.472,0.0,,,,
33,09/05/20 16:00:00,11.722,398.3,,,,
34,09/05/20 18:00:00,6.471,839.6,,,,
35,09/05/20 20:00:00,6.471,43.1,,,,
36,09/05/20 22:00:00,6.370,0.0,,,,
37,09/06/20 00:00:00,6.166,0.0,,,,
38,09/06/20 02:00:00,5.860,0.0,,,,
39,09/06/20 04:00:00,5.552,0.0,,,,
40,09/06/20 06:00:00,5.655,32.3,,,,
41,09/06/20 08:00:00,5.552,871.9,,,,
42,09/06/20 10:00:00,5.655,333.7,,,,
43,09/06/20 12:00:00,5.962,387.5,,,,
44,09/06/20 14:00:00,5.757,688.9,,,,
45,09/06/20 16:00:00,5.757,1237.9,,,,
46,09/06/20 18:00:00,5.757,161.5,,,,
47,09/06/20 20:00:00,5.757,32.3,,,,
48,09/06/20 22:00:00,5.860,0.0,,,,
49,09/07/20 00:00:00,5.860,0.0,,,,
50,09/07/20 02:00:00,5.962,0.0,,,,
51,09/07/20 04:00:00,6.064,0.0,,,,
52,09/07/20 06:00:00,5.962,0.0,,,,
53,09/07/20 08:00:00,6.064,3100.0,,,,
54,09/07/20 10:00:00,6.064,1377.8,,,,
55,09/07/20 12:00:00,6.064,2066.7,,,,
56,09/07/20 14:00:00,6.370,6544.5,,,,
57,09/07/20 16:00:00,6.775,1054.9,,,,
