"Plot Title: MD_e6_low_3sep20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)","Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)","Coupler Attached (LGR S/N: 10349970)","Host Connected (LGR S/N: 10349970)","Stopped (LGR S/N: 10349970)","End Of File (LGR S/N: 10349970)"
1,09/03/20 00:00:00,16.141,0.0,,,,
2,09/03/20 02:00:00,16.046,0.0,,,,
3,09/03/20 04:00:00,15.951,0.0,,,,
4,09/03/20 06:00:00,16.046,0.0,,,,
5,09/03/20 08:00:00,16.141,0.0,,,,
6,09/03/20 10:00:00,16.427,21.5,,,,
7,09/03/20 12:00:00,16.903,32.3,,,,
8,09/03/20 14:00:00,19.567,0.0,,,,
9,09/03/20 16:00:00,20.329,10.8,,,,
10,09/03/20 18:00:00,20.043,10.8,,,,
11,09/03/20 20:00:00,19.472,0.0,,,,
12,09/03/20 22:00:00,19.567,0.0,,,,
13,09/04/20 00:00:00,19.282,0.0,,,,
14,09/04/20 02:00:00,19.187,0.0,,,,
15,09/04/20 04:00:00,19.187,0.0,,,,
16,09/04/20 06:00:00,19.377,0.0,,,,
17,09/04/20 08:00:00,18.996,0.0,,,,
18,09/04/20 10:00:00,19.377,10.8,,,,
19,09/04/20 12:00:00,20.138,10.8,,,,
20,09/04/20 14:00:00,20.138,0.0,,,,
21,09/04/20 16:00:00,18.426,86.1,,,,
22,09/04/20 18:00:00,19.948,10.8,,,,
23,09/04/20 20:00:00,19.567,0.0,,,,
24,09/04/20 22:00:00,19.853,0.0,,,,
25,09/05/20 00:00:00,18.806,0.0,,,,
26,09/05/20 02:00:00,18.616,0.0,,,,
27,09/05/20 04:00:00,18.711,0.0,,,,
28,09/05/20 06:00:00,19.092,0.0,,,,
29,09/05/20 08:00:00,18.426,10.8,,,,
30,09/05/20 10:00:00,19.282,0.0,,,,
31,09/05/20 12:00:00,19.377,0.0,,,,
32,09/05/20 14:00:00,19.472,0.0,,,,
33,09/05/20 16:00:00,11.334,688.9,,,,
34,09/05/20 18:00:00,6.471,258.3,,,,
35,09/05/20 20:00:00,6.471,0.0,,,,
36,09/05/20 22:00:00,6.370,0.0,,,,
37,09/06/20 00:00:00,6.166,0.0,,,,
38,09/06/20 02:00:00,5.860,0.0,,,,
39,09/06/20 04:00:00,5.552,0.0,,,,
40,09/06/20 06:00:00,5.655,0.0,,,,
