"Plot Title: MD_E6_Pel_29Jul20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Good Battery (LGR S/N: 10517216)","Coupler Attached (LGR S/N: 10517216)","Host Connected (LGR S/N: 10517216)","Stopped (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
1,07/29/20 12:00:00,24.351,19289.0,Logged,,,,
2,07/29/20 12:30:00,24.641,16533.4,,,,,
3,07/29/20 13:00:00,27.075,17911.2,,,,,
4,07/29/20 13:30:00,22.429,1980.6,,,,,
5,07/29/20 14:00:00,24.545,3788.9,,,,,
6,07/29/20 14:30:00,18.806,15155.7,,,,,
7,07/29/20 15:00:00,10.357,6200.0,,,,,
8,07/29/20 15:30:00,10.357,6200.0,,,,,
9,07/29/20 16:00:00,10.553,9300.1,,,,,
10,07/29/20 16:30:00,10.846,7233.4,,,,,
11,07/29/20 17:00:00,10.846,8611.2,,,,,
12,07/29/20 17:30:00,10.846,5511.1,,,,,
13,07/29/20 18:00:00,10.944,6200.0,,,,,
14,07/29/20 18:30:00,10.944,3788.9,,,,,
15,07/29/20 19:00:00,10.944,1636.1,,,,,
16,07/29/20 19:30:00,10.944,1722.2,,,,,
17,07/29/20 20:00:00,10.944,1980.6,,,,,
18,07/29/20 20:30:00,10.944,1636.1,,,,,
19,07/29/20 21:00:00,10.846,904.2,,,,,
20,07/29/20 21:30:00,10.748,581.3,,,,,
21,07/29/20 22:00:00,10.748,247.6,,,,,
22,07/29/20 22:30:00,10.651,86.1,,,,,
23,07/29/20 23:00:00,10.651,10.8,,,,,
24,07/29/20 23:30:00,10.651,0.0,,,,,
25,07/30/20 00:00:00,10.553,0.0,,,,,
26,07/30/20 00:30:00,10.553,0.0,,,,,
27,07/30/20 01:00:00,10.553,0.0,,,,,
28,07/30/20 01:30:00,10.553,0.0,,,,,
29,07/30/20 02:00:00,10.455,0.0,,,,,
30,07/30/20 02:30:00,10.455,0.0,,,,,
31,07/30/20 03:00:00,10.357,0.0,,,,,
32,07/30/20 03:30:00,10.161,10.8,,,,,
33,07/30/20 04:00:00,9.965,64.6,,,,,
34,07/30/20 04:30:00,9.866,204.5,,,,,
35,07/30/20 05:00:00,10.161,495.1,,,,,
36,07/30/20 05:30:00,10.357,613.5,,,,,
37,07/30/20 06:00:00,10.259,904.2,,,,,
38,07/30/20 06:30:00,10.161,1377.8,,,,,
39,07/30/20 07:00:00,10.063,2411.1,,,,,
40,07/30/20 07:30:00,10.161,3788.9,,,,,
41,07/30/20 08:00:00,10.063,4477.8,,,,,
42,07/30/20 08:30:00,10.259,4650.0,,,,,
43,07/30/20 09:00:00,10.259,5166.7,,,,,
44,07/30/20 09:30:00,10.357,5166.7,,,,,
45,07/30/20 10:00:00,10.357,3444.5,,,,,
46,07/30/20 10:30:00,9.965,5511.1,,,,,
47,07/30/20 11:00:00,10.161,9300.1,,,,,
48,07/30/20 11:30:00,10.259,9300.1,,,,,
49,07/30/20 12:00:00,10.748,10677.8,,,,,
50,07/30/20 12:30:00,10.651,16533.4,,,,,
51,07/30/20 13:00:00,10.748,15155.7,,,,,
52,07/30/20 13:30:00,11.819,9300.1,,,,,
53,07/30/20 14:00:00,11.528,13089.0,,,,,
54,07/30/20 14:30:00,12.110,4650.0,,,,,
55,07/30/20 15:00:00,12.304,3100.0,,,,,
56,07/30/20 15:30:00,12.304,2583.4,,,,,
57,07/30/20 16:00:00,12.497,1808.3,,,,,
58,07/30/20 16:30:00,12.594,1808.3,,,,,
59,07/30/20 17:00:00,12.304,2325.0,,,,,
60,07/30/20 17:30:00,12.401,2066.7,,,,,
61,07/30/20 18:00:00,12.207,1980.6,,,,,
62,07/30/20 18:30:00,12.110,2238.9,,,,,
63,07/30/20 19:00:00,12.207,1550.0,,,,,
64,07/30/20 19:30:00,12.110,1377.8,,,,,
65,07/30/20 20:00:00,11.916,828.8,,,,,
66,07/30/20 20:30:00,11.431,516.7,,,,,
67,07/30/20 21:00:00,11.528,495.1,,,,,
68,07/30/20 21:30:00,11.625,258.3,,,,,
69,07/30/20 22:00:00,11.625,129.2,,,,,
70,07/30/20 22:30:00,11.819,43.1,,,,,
71,07/30/20 23:00:00,11.819,0.0,,,,,
72,07/30/20 23:30:00,11.916,0.0,,,,,
73,07/31/20 00:00:00,12.013,0.0,,,,,
74,07/31/20 00:30:00,12.013,0.0,,,,,
75,07/31/20 01:00:00,11.916,0.0,,,,,
76,07/31/20 01:30:00,11.819,0.0,,,,,
