"Plot Title: MD_e6_5Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","Coupler Attached (LGR S/N: 10517215)","Host Connected (LGR S/N: 10517215)","Coupler Detached (LGR S/N: 10517215)","Stopped (LGR S/N: 10517215)","End Of File (LGR S/N: 10517215)"
1,06/05/21 15:30:00,21.473,10.8,,,,,
2,06/05/21 16:30:00,20.234,1550.0,,,,,
3,06/05/21 17:30:00,22.333,21.5,,,,,
4,06/05/21 18:30:00,21.664,10.8,,,,,
5,06/05/21 19:30:00,21.378,10.8,,,,,
6,06/05/21 20:30:00,21.378,10.8,,,,,
7,06/05/21 21:30:00,21.282,21.5,,,,,
8,06/05/21 22:30:00,21.282,21.5,,,,,
9,06/05/21 23:30:00,21.282,0.0,,,,,
10,06/06/21 00:30:00,21.282,0.0,,,,,
11,06/06/21 01:30:00,21.282,0.0,,,,,
12,06/06/21 02:30:00,21.282,0.0,,,,,
13,06/06/21 03:30:00,21.282,0.0,,,,,
14,06/06/21 04:30:00,21.282,0.0,,,,,
15,06/06/21 05:30:00,21.282,0.0,,,,,
16,06/06/21 06:30:00,21.282,0.0,,,,,
17,06/06/21 07:30:00,21.378,10.8,,,,,
18,06/06/21 08:30:00,21.378,10.8,,,,,
19,06/06/21 09:30:00,21.378,10.8,,,,,
20,06/06/21 10:30:00,21.378,21.5,,,,,
21,06/06/21 11:30:00,21.378,21.5,,,,,
22,06/06/21 12:30:00,21.378,21.5,,,,,
23,06/06/21 13:30:00,21.378,10.8,,,,,
24,06/06/21 14:30:00,21.378,10.8,,,,,
25,06/06/21 15:30:00,21.378,0.0,,,,,
26,06/06/21 16:30:00,21.378,0.0,,,,,
27,06/06/21 17:30:00,21.378,0.0,,,,,
28,06/06/21 18:30:00,21.378,0.0,,,,,
29,06/06/21 19:30:00,21.378,0.0,,,,,
30,06/06/21 20:30:00,21.473,0.0,,,,,
31,06/06/21 21:30:00,21.473,0.0,,,,,
32,06/06/21 22:30:00,21.473,0.0,,,,,
33,06/06/21 23:30:00,21.473,0.0,,,,,
34,06/07/21 00:30:00,21.473,0.0,,,,,
35,06/07/21 01:30:00,21.473,0.0,,,,,
36,06/07/21 02:30:00,21.473,0.0,,,,,
37,06/07/21 03:30:00,21.473,0.0,,,,,
38,06/07/21 04:30:00,21.473,0.0,,,,,
39,06/07/21 05:30:00,21.569,0.0,,,,,
40,06/07/21 06:30:00,21.569,0.0,,,,,
41,06/07/21 07:30:00,21.569,0.0,,,,,
42,06/07/21 08:30:00,21.569,0.0,,,,,
43,06/07/21 09:30:00,22.812,312.2,,,,,
44,06/07/21 09:39:19,,,Logged,Logged,,,
45,06/07/21 09:39:36,,,,,Logged,,
46,06/07/21 10:30:00,22.908,0.0,,,,,
47,06/07/21 11:30:00,22.238,0.0,,,,,
48,06/07/21 12:30:00,22.717,0.0,,,,,
49,06/07/21 13:30:00,23.100,0.0,,,,,
50,06/07/21 14:30:00,22.717,0.0,,,,,
51,06/07/21 15:30:00,22.525,0.0,,,,,
52,06/07/21 16:30:00,22.717,0.0,,,,,
53,06/07/21 17:30:00,22.525,0.0,,,,,
54,06/07/21 18:30:00,22.525,0.0,,,,,
55,06/07/21 19:30:00,22.621,0.0,,,,,
56,06/07/21 20:30:00,21.855,0.0,,,,,
57,06/07/21 21:30:00,21.569,0.0,,,,,
58,06/07/21 22:30:00,22.046,0.0,,,,,
59,06/07/21 23:30:00,21.760,0.0,,,,,
60,06/08/21 00:30:00,21.282,0.0,,,,,
61,06/08/21 01:30:00,20.615,0.0,,,,,
62,06/08/21 02:30:00,19.948,0.0,,,,,
63,06/08/21 03:30:00,19.662,0.0,,,,,
64,06/08/21 04:30:00,19.948,0.0,,,,,
65,06/08/21 05:30:00,20.138,0.0,,,,,
66,06/08/21 06:30:00,20.329,0.0,,,,,
67,06/08/21 07:30:00,20.329,0.0,,,,,
68,06/08/21 08:30:00,20.615,0.0,,,,,
69,06/08/21 09:30:00,21.091,0.0,,,,,
70,06/08/21 10:30:00,21.569,0.0,,,,,
71,06/08/21 11:30:00,17.950,473.6,,,,,
72,06/08/21 12:30:00,17.570,559.7,,,,,
73,06/08/21 13:30:00,23.581,301.4,,,,,
74,06/08/21 14:30:00,28.555,12400.1,,,,,
75,06/08/21 15:30:00,22.046,3100.0,,,,,
76,06/08/21 16:30:00,15.855,32.3,,,,,
77,06/08/21 17:30:00,12.110,107.6,,,,,
78,06/08/21 18:30:00,11.236,4822.3,,,,,
79,06/08/21 19:30:00,11.139,2325.0,,,,,
80,06/08/21 20:30:00,11.041,710.4,,,,,
81,06/08/21 21:30:00,11.041,775.0,,,,,
82,06/08/21 22:30:00,10.944,441.3,,,,,
83,06/08/21 23:30:00,10.944,75.3,,,,,
84,06/09/21 00:30:00,10.944,32.3,,,,,
85,06/09/21 01:30:00,10.944,21.5,,,,,
86,06/09/21 02:30:00,10.846,96.9,,,,,
87,06/09/21 03:30:00,10.846,344.4,,,,,
88,06/09/21 04:30:00,10.846,850.4,,,,,
89,06/09/21 05:30:00,10.846,2152.8,,,,,
90,06/09/21 06:30:00,10.944,947.2,,,,,
91,06/09/21 07:30:00,10.944,1722.2,,,,,
92,06/09/21 08:30:00,10.846,3788.9,,,,,
93,06/09/21 09:30:00,10.651,5511.1,,,,,
94,06/09/21 10:30:00,10.357,4477.8,,,,,
95,06/09/21 11:30:00,10.259,3444.5,,,,,
96,06/09/21 12:30:00,10.357,3100.0,,,,,
97,06/09/21 13:30:00,10.357,6200.0,,,,,
98,06/09/21 14:30:00,10.553,7233.4,,,,,
99,06/09/21 15:30:00,10.553,7233.4,,,,,
100,06/09/21 16:30:00,10.455,5511.1,,,,,
101,06/09/21 17:30:00,10.455,4477.8,,,,,
102,06/09/21 18:30:00,10.455,3444.5,,,,,
103,06/09/21 19:30:00,10.553,5166.7,,,,,
104,06/09/21 20:30:00,10.455,1894.5,,,,,
105,06/09/21 21:30:00,10.455,1119.5,,,,,
106,06/09/21 22:30:00,10.651,419.8,,,,,
107,06/09/21 23:30:00,10.651,409.0,,,,,
108,06/10/21 00:30:00,10.651,53.8,,,,,
109,06/10/21 01:30:00,10.651,43.1,,,,,
110,06/10/21 02:30:00,10.651,32.3,,,,,
111,06/10/21 03:30:00,10.651,236.8,,,,,
112,06/10/21 04:30:00,10.651,764.2,,,,,
113,06/10/21 05:30:00,10.651,2755.6,,,,,
