"Plot Title: MD_Grim_B_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Coupler Attached (LGR S/N: 10517216)","Host Connected (LGR S/N: 10517216)","Stopped (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
1,06/16/19 11:00:00,22.717,0.0,,,,
2,06/16/19 11:30:00,23.004,290.6,,,,
3,06/16/19 12:00:00,21.569,387.5,,,,
4,06/16/19 12:30:00,20.615,6544.5,,,,
5,06/16/19 13:00:00,20.901,12400.1,,,,
6,06/16/19 13:30:00,19.472,3444.5,,,,
7,06/16/19 14:00:00,20.138,5166.7,,,,
8,06/16/19 14:30:00,11.528,1550.0,,,,
9,06/16/19 15:00:00,10.846,1722.2,,,,
10,06/16/19 15:30:00,11.041,1636.1,,,,
11,06/16/19 16:00:00,10.846,602.8,,,,
12,06/16/19 16:30:00,10.846,602.8,,,,
13,06/16/19 17:00:00,11.041,581.3,,,,
14,06/16/19 17:30:00,11.041,613.5,,,,
15,06/16/19 18:00:00,10.944,570.5,,,,
16,06/16/19 18:30:00,10.846,355.2,,,,
17,06/16/19 19:00:00,10.944,495.1,,,,
18,06/16/19 19:30:00,11.139,430.6,,,,
19,06/16/19 20:00:00,11.236,279.9,,,,
20,06/16/19 20:30:00,10.944,86.1,,,,
21,06/16/19 21:00:00,11.041,75.3,,,,
22,06/16/19 21:30:00,11.041,96.9,,,,
23,06/16/19 22:00:00,11.139,43.1,,,,
24,06/16/19 22:30:00,11.139,32.3,,,,
25,06/16/19 23:00:00,11.041,21.5,,,,
26,06/16/19 23:30:00,11.041,0.0,,,,
27,06/17/19 00:00:00,10.944,0.0,,,,
28,06/17/19 00:30:00,10.944,0.0,,,,
29,06/17/19 01:00:00,10.944,0.0,,,,
30,06/17/19 01:30:00,10.944,0.0,,,,
31,06/17/19 02:00:00,10.944,0.0,,,,
32,06/17/19 02:30:00,10.944,0.0,,,,
33,06/17/19 03:00:00,10.944,10.8,,,,
34,06/17/19 03:30:00,10.944,32.3,,,,
35,06/17/19 04:00:00,11.041,43.1,,,,
36,06/17/19 04:30:00,10.944,75.3,,,,
37,06/17/19 05:00:00,10.944,118.4,,,,
38,06/17/19 05:30:00,11.041,204.5,,,,
39,06/17/19 06:00:00,10.944,139.9,,,,
40,06/17/19 06:30:00,10.944,172.2,,,,
41,06/17/19 07:00:00,10.944,333.7,,,,
42,06/17/19 07:30:00,10.944,269.1,,,,
43,06/17/19 08:00:00,10.944,398.3,,,,
44,06/17/19 08:30:00,10.944,613.5,,,,
45,06/17/19 09:00:00,10.944,753.5,,,,
46,06/17/19 09:30:00,10.846,678.1,,,,
47,06/17/19 10:00:00,10.944,258.3,,,,
48,06/17/19 10:30:00,10.846,236.8,,,,
49,06/17/19 11:00:00,10.846,269.1,,,,
50,06/17/19 11:30:00,11.041,484.4,,,,
51,06/17/19 12:00:00,10.846,398.3,,,,
52,06/17/19 12:30:00,11.041,279.9,,,,
53,06/17/19 13:00:00,10.944,322.9,,,,
54,06/17/19 13:30:00,10.846,204.5,,,,
55,06/17/19 14:00:00,10.944,226.0,,,,
56,06/17/19 14:30:00,10.944,53.8,,,,
57,06/17/19 15:00:00,10.944,86.1,,,,
58,06/17/19 15:30:00,10.944,53.8,,,,
59,06/17/19 16:00:00,10.944,96.9,,,,
60,06/17/19 16:30:00,10.944,86.1,,,,
61,06/17/19 17:00:00,10.944,53.8,,,,
62,06/17/19 17:30:00,11.041,107.6,,,,
63,06/17/19 18:00:00,10.944,118.4,,,,
64,06/17/19 18:30:00,10.944,53.8,,,,
65,06/17/19 19:00:00,10.944,53.8,,,,
66,06/17/19 19:30:00,11.041,32.3,,,,
67,06/17/19 20:00:00,11.041,21.5,,,,
68,06/17/19 20:30:00,11.041,21.5,,,,
69,06/17/19 21:00:00,11.041,0.0,,,,
70,06/17/19 21:30:00,11.041,0.0,,,,
71,06/17/19 22:00:00,11.041,0.0,,,,
72,06/17/19 22:30:00,11.041,0.0,,,,
73,06/17/19 23:00:00,11.041,0.0,,,,
74,06/17/19 23:30:00,11.041,0.0,,,,
75,06/18/19 00:00:00,11.041,0.0,,,,
76,06/18/19 00:30:00,10.944,0.0,,,,
77,06/18/19 01:00:00,10.944,0.0,,,,
78,06/18/19 01:30:00,10.944,0.0,,,,
79,06/18/19 02:00:00,10.944,0.0,,,,
80,06/18/19 02:30:00,11.041,0.0,,,,
81,06/18/19 03:00:00,11.041,0.0,,,,
82,06/18/19 03:30:00,11.041,0.0,,,,
83,06/18/19 04:00:00,11.041,0.0,,,,
84,06/18/19 04:30:00,11.041,0.0,,,,
85,06/18/19 05:00:00,10.944,0.0,,,,
86,06/18/19 05:30:00,11.041,10.8,,,,
87,06/18/19 06:00:00,11.139,32.3,,,,
88,06/18/19 06:30:00,10.944,53.8,,,,
89,06/18/19 07:00:00,11.041,64.6,,,,
90,06/18/19 07:30:00,11.041,75.3,,,,
91,06/18/19 08:00:00,11.041,96.9,,,,
92,06/18/19 08:30:00,11.041,118.4,,,,
93,06/18/19 09:00:00,11.041,118.4,,,,
94,06/18/19 09:30:00,10.944,129.2,,,,
95,06/18/19 10:00:00,11.041,86.1,,,,
96,06/18/19 10:30:00,11.041,96.9,,,,
97,06/18/19 11:00:00,10.944,129.2,,,,
98,06/18/19 11:30:00,11.236,86.1,,,,
99,06/18/19 12:00:00,11.916,139.9,,,,
100,06/18/19 12:30:00,11.916,161.5,,,,
101,06/18/19 13:00:00,11.722,204.5,,,,
102,06/18/19 13:30:00,11.819,129.2,,,,
103,06/18/19 14:00:00,11.625,64.6,,,,
104,06/18/19 14:30:00,11.916,53.8,,,,
105,06/18/19 15:00:00,12.110,43.1,,,,
106,06/18/19 15:30:00,12.013,86.1,,,,
107,06/18/19 16:00:00,12.304,86.1,,,,
108,06/18/19 16:30:00,12.304,107.6,,,,
109,06/18/19 17:00:00,12.304,118.4,,,,
110,06/18/19 17:30:00,12.304,53.8,,,,
111,06/18/19 18:00:00,12.304,32.3,,,,
112,06/18/19 18:30:00,12.207,21.5,,,,
113,06/18/19 19:00:00,12.207,21.5,,,,
114,06/18/19 19:30:00,12.207,10.8,,,,
115,06/18/19 20:00:00,12.207,10.8,,,,
116,06/18/19 20:30:00,12.207,10.8,,,,
117,06/18/19 21:00:00,12.207,10.8,,,,
118,06/18/19 21:30:00,12.110,0.0,,,,
119,06/18/19 22:00:00,12.110,0.0,,,,
120,06/18/19 22:30:00,12.110,0.0,,,,
121,06/18/19 23:00:00,12.110,0.0,,,,
122,06/18/19 23:30:00,12.013,0.0,,,,
123,06/19/19 00:00:00,12.013,0.0,,,,
124,06/19/19 00:30:00,11.916,0.0,,,,
125,06/19/19 01:00:00,11.916,0.0,,,,
126,06/19/19 01:30:00,11.916,0.0,,,,
127,06/19/19 02:00:00,11.916,0.0,,,,
128,06/19/19 02:30:00,11.819,0.0,,,,
129,06/19/19 03:00:00,11.819,0.0,,,,
130,06/19/19 03:30:00,11.722,0.0,,,,
131,06/19/19 04:00:00,11.722,0.0,,,,
132,06/19/19 04:30:00,11.722,0.0,,,,
133,06/19/19 05:00:00,11.722,0.0,,,,
134,06/19/19 05:30:00,11.625,0.0,,,,
135,06/19/19 06:00:00,11.625,0.0,,,,
136,06/19/19 06:30:00,11.625,10.8,,,,
137,06/19/19 07:00:00,11.625,10.8,,,,
138,06/19/19 07:30:00,11.625,10.8,,,,
139,06/19/19 08:00:00,11.625,10.8,,,,
140,06/19/19 08:30:00,11.528,53.8,,,,
141,06/19/19 09:00:00,11.625,96.9,,,,
142,06/19/19 09:30:00,11.528,43.1,,,,
143,06/19/19 10:00:00,11.528,53.8,,,,
144,06/19/19 10:30:00,11.528,53.8,,,,
145,06/19/19 11:00:00,11.528,75.3,,,,
146,06/19/19 11:30:00,11.528,64.6,,,,
147,06/19/19 12:00:00,11.528,53.8,,,,
148,06/19/19 12:30:00,11.528,86.1,,,,
149,06/19/19 13:00:00,11.528,43.1,,,,
150,06/19/19 13:30:00,11.528,53.8,,,,
151,06/19/19 14:00:00,11.528,32.3,,,,
152,06/19/19 14:30:00,11.528,21.5,,,,
153,06/19/19 15:00:00,11.528,32.3,,,,
154,06/19/19 15:30:00,11.528,53.8,,,,
155,06/19/19 16:00:00,11.528,53.8,,,,
156,06/19/19 16:30:00,11.528,43.1,,,,
157,06/19/19 17:00:00,11.528,43.1,,,,
158,06/19/19 17:30:00,11.528,43.1,,,,
159,06/19/19 18:00:00,11.528,32.3,,,,
160,06/19/19 18:30:00,11.528,10.8,,,,
161,06/19/19 19:00:00,11.528,21.5,,,,
162,06/19/19 19:30:00,11.528,10.8,,,,
163,06/19/19 20:00:00,11.528,10.8,,,,
164,06/19/19 20:30:00,11.528,10.8,,,,
165,06/19/19 21:00:00,11.528,0.0,,,,
166,06/19/19 21:30:00,11.431,0.0,,,,
167,06/19/19 22:00:00,11.431,0.0,,,,
168,06/19/19 22:30:00,11.431,0.0,,,,
169,06/19/19 23:00:00,11.431,0.0,,,,
170,06/19/19 23:30:00,11.431,0.0,,,,
171,06/20/19 00:00:00,11.431,0.0,,,,
172,06/20/19 00:30:00,11.334,0.0,,,,
173,06/20/19 01:00:00,11.334,0.0,,,,
174,06/20/19 01:30:00,11.334,0.0,,,,
175,06/20/19 02:00:00,11.334,0.0,,,,
176,06/20/19 02:30:00,11.334,0.0,,,,
177,06/20/19 03:00:00,11.334,0.0,,,,
178,06/20/19 03:30:00,11.334,0.0,,,,
179,06/20/19 04:00:00,11.236,0.0,,,,
180,06/20/19 04:30:00,11.236,0.0,,,,
181,06/20/19 05:00:00,11.236,0.0,,,,
182,06/20/19 05:30:00,11.236,0.0,,,,
183,06/20/19 06:00:00,11.236,0.0,,,,
184,06/20/19 06:30:00,11.236,0.0,,,,
185,06/20/19 07:00:00,11.139,0.0,,,,
186,06/20/19 07:30:00,11.139,0.0,,,,
187,06/20/19 08:00:00,11.139,0.0,,,,
188,06/20/19 08:30:00,11.139,10.8,,,,
189,06/20/19 09:00:00,11.139,21.5,,,,
190,06/20/19 09:30:00,11.139,21.5,,,,
191,06/20/19 10:00:00,11.139,32.3,,,,
192,06/20/19 10:30:00,11.139,43.1,,,,
193,06/20/19 11:00:00,11.139,32.3,,,,
194,06/20/19 11:30:00,11.139,32.3,,,,
195,06/20/19 12:00:00,11.139,32.3,,,,
196,06/20/19 12:30:00,11.139,10.8,,,,
197,06/20/19 13:00:00,11.139,10.8,,,,
198,06/20/19 13:30:00,11.139,32.3,,,,
199,06/20/19 14:00:00,11.041,21.5,,,,
200,06/20/19 14:30:00,11.139,32.3,,,,
201,06/20/19 15:00:00,11.139,43.1,,,,
202,06/20/19 15:30:00,11.139,43.1,,,,
203,06/20/19 16:00:00,11.139,43.1,,,,
204,06/20/19 16:30:00,11.139,10.8,,,,
205,06/20/19 17:00:00,11.139,10.8,,,,
206,06/20/19 17:30:00,11.139,10.8,,,,
207,06/20/19 18:00:00,11.139,21.5,,,,
208,06/20/19 18:30:00,11.139,10.8,,,,
209,06/20/19 19:00:00,11.139,0.0,,,,
210,06/20/19 19:30:00,11.139,0.0,,,,
211,06/20/19 20:00:00,11.139,0.0,,,,
212,06/20/19 20:30:00,11.139,0.0,,,,
213,06/20/19 21:00:00,11.041,0.0,,,,
214,06/20/19 21:30:00,11.041,0.0,,,,
215,06/20/19 22:00:00,11.041,0.0,,,,
216,06/20/19 22:30:00,11.041,0.0,,,,
217,06/20/19 23:00:00,11.041,0.0,,,,
218,06/20/19 23:30:00,11.041,0.0,,,,
219,06/21/19 00:00:00,11.041,0.0,,,,
220,06/21/19 00:30:00,11.041,0.0,,,,
221,06/21/19 01:00:00,11.041,0.0,,,,
222,06/21/19 01:30:00,11.041,0.0,,,,
223,06/21/19 02:00:00,10.944,0.0,,,,
224,06/21/19 02:30:00,10.944,0.0,,,,
225,06/21/19 03:00:00,10.944,0.0,,,,
226,06/21/19 03:30:00,10.944,0.0,,,,
227,06/21/19 04:00:00,10.944,0.0,,,,
228,06/21/19 04:30:00,10.944,0.0,,,,
229,06/21/19 05:00:00,10.944,0.0,,,,
230,06/21/19 05:30:00,10.944,0.0,,,,
231,06/21/19 06:00:00,10.944,0.0,,,,
232,06/21/19 06:30:00,10.944,0.0,,,,
233,06/21/19 07:00:00,10.944,0.0,,,,
234,06/21/19 07:30:00,10.944,0.0,,,,
235,06/21/19 08:00:00,10.846,10.8,,,,
236,06/21/19 08:30:00,10.846,10.8,,,,
237,06/21/19 09:00:00,10.846,10.8,,,,
238,06/21/19 09:30:00,10.846,21.5,,,,
239,06/21/19 10:00:00,10.846,21.5,,,,
240,06/21/19 10:30:00,10.748,21.5,,,,
241,06/21/19 11:00:00,10.748,21.5,,,,
242,06/21/19 11:30:00,10.748,21.5,,,,
243,06/21/19 12:00:00,10.748,21.5,,,,
244,06/21/19 12:30:00,10.748,21.5,,,,
245,06/21/19 13:00:00,10.748,32.3,,,,
246,06/21/19 13:30:00,10.846,64.6,,,,
247,06/21/19 14:00:00,10.846,32.3,,,,
248,06/21/19 14:30:00,10.846,32.3,,,,
249,06/21/19 15:00:00,10.846,21.5,,,,
250,06/21/19 15:30:00,10.846,32.3,,,,
251,06/21/19 16:00:00,10.846,10.8,,,,
252,06/21/19 16:30:00,10.846,53.8,,,,
253,06/21/19 17:00:00,10.944,21.5,,,,
254,06/21/19 17:30:00,11.236,10.8,,,,
255,06/21/19 18:00:00,11.236,0.0,,,,
256,06/21/19 18:30:00,11.236,10.8,,,,
257,06/21/19 19:00:00,11.236,10.8,,,,
258,06/21/19 19:30:00,11.236,0.0,,,,
259,06/21/19 20:00:00,11.236,0.0,,,,
260,06/21/19 20:30:00,11.236,0.0,,,,
261,06/21/19 21:00:00,11.236,0.0,,,,
262,06/21/19 21:30:00,11.236,0.0,,,,
263,06/21/19 22:00:00,11.236,0.0,,,,
264,06/21/19 22:30:00,11.236,0.0,,,,
265,06/21/19 23:00:00,11.236,0.0,,,,
266,06/21/19 23:30:00,11.236,0.0,,,,
267,06/22/19 00:00:00,11.236,0.0,,,,
268,06/22/19 00:30:00,11.139,0.0,,,,
269,06/22/19 01:00:00,11.139,0.0,,,,
270,06/22/19 01:30:00,11.139,0.0,,,,
271,06/22/19 02:00:00,11.041,0.0,,,,
272,06/22/19 02:30:00,11.041,0.0,,,,
273,06/22/19 03:00:00,11.041,0.0,,,,
274,06/22/19 03:30:00,11.041,0.0,,,,
275,06/22/19 04:00:00,11.041,0.0,,,,
276,06/22/19 04:30:00,11.041,0.0,,,,
277,06/22/19 05:00:00,11.041,0.0,,,,
278,06/22/19 05:30:00,11.041,0.0,,,,
279,06/22/19 06:00:00,11.041,0.0,,,,
280,06/22/19 06:30:00,11.041,0.0,,,,
281,06/22/19 07:00:00,11.041,0.0,,,,
282,06/22/19 07:30:00,11.041,0.0,,,,
283,06/22/19 08:00:00,11.041,0.0,,,,
284,06/22/19 08:30:00,10.944,10.8,,,,
285,06/22/19 09:00:00,10.944,10.8,,,,
286,06/22/19 09:30:00,10.846,10.8,,,,
