Plot Title: Grimstadir_Benthic_17Jul18							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)"	"Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)"	Coupler Attached (LGR S/N: 10517215)	Host Connected (LGR S/N: 10517215)	Stopped (LGR S/N: 10517215)	End Of File (LGR S/N: 10517215)
1	7/17/2018 11:00	22.046	0				
2	7/17/2018 11:15	21.378	0				
3	7/17/2018 11:30	20.71	0				
4	7/17/2018 11:45	19.948	0				
5	7/17/2018 12:00	19.187	0				
6	7/17/2018 12:15	18.521	0				
7	7/17/2018 12:30	17.95	0				
8	7/17/2018 12:45	17.379	0				
9	7/17/2018 13:00	16.999	0				
10	7/17/2018 13:15	16.618	0				
11	7/17/2018 13:30	16.237	0				
12	7/17/2018 13:45	15.951	0				
13	7/17/2018 14:00	15.76	0				
14	7/17/2018 14:15	15.473	0				
15	7/17/2018 14:30	15.282	0				
16	7/17/2018 14:45	14.996	0				
17	7/17/2018 15:00	14.804	0				
18	7/17/2018 15:15	14.709	0				
19	7/17/2018 15:30	14.613	0				
20	7/17/2018 15:45	14.517	0				
21	7/17/2018 16:00	14.517	0				
22	7/17/2018 16:15	14.421	0				
23	7/17/2018 16:30	14.421	0				
24	7/17/2018 16:45	14.325	0				
25	7/17/2018 17:00	14.23	0				
26	7/17/2018 17:15	14.134	0				
27	7/17/2018 17:30	14.038	0				
28	7/17/2018 17:45	13.942	0				
29	7/17/2018 18:00	13.846	0				
30	7/17/2018 18:15	13.75	0				
31	7/17/2018 18:30	13.558	0				
32	7/17/2018 18:45	15.569	527.4				
33	7/17/2018 19:00	21.091	12400.1				
34	7/17/2018 19:15	13.75	46844.8				
35	7/17/2018 19:30	13.365	0				
36	7/17/2018 19:45	10.259	0				
37	7/17/2018 20:00	9.077	0				
38	7/17/2018 20:15	8.779	0				
39	7/17/2018 20:30	8.978	0				
40	7/17/2018 20:45	9.077	0				
41	7/17/2018 21:00	9.176	0				
42	7/17/2018 21:15	8.978	0				
43	7/17/2018 21:30	8.978	0				
44	7/17/2018 21:45	9.176	0				
45	7/17/2018 22:00	9.176	0				
46	7/17/2018 22:15	8.978	0				
47	7/17/2018 22:30	8.879	0				
48	7/17/2018 22:45	8.978	0				
49	7/17/2018 23:00	9.077	0				
50	7/17/2018 23:15	9.077	0				
51	7/17/2018 23:30	9.077	0				
52	7/17/2018 23:45	9.077	0				
53	7/18/2018 0:00	8.978	0				
54	7/18/2018 0:15	9.077	0				
55	7/18/2018 0:30	9.077	0				
56	7/18/2018 0:45	8.978	0				
57	7/18/2018 1:00	8.978	0				
58	7/18/2018 1:15	8.879	0				
59	7/18/2018 1:30	8.978	0				
60	7/18/2018 1:45	8.978	0				
61	7/18/2018 2:00	8.978	0				
62	7/18/2018 2:15	8.978	0				
63	7/18/2018 2:30	8.879	0				
64	7/18/2018 2:45	8.779	0				
65	7/18/2018 3:00	8.879	0				
66	7/18/2018 3:15	8.978	0				
67	7/18/2018 3:30	8.779	0				
68	7/18/2018 3:45	8.978	0				
69	7/18/2018 4:00	9.176	0				
70	7/18/2018 4:15	9.176	0				
71	7/18/2018 4:30	8.779	0				
72	7/18/2018 4:45	8.779	0				
73	7/18/2018 5:00	8.978	0				
74	7/18/2018 5:15	9.077	0				
75	7/18/2018 5:30	8.879	0				
76	7/18/2018 5:45	8.879	0				
77	7/18/2018 6:00	8.879	0				
78	7/18/2018 6:15	8.879	0				
79	7/18/2018 6:30	8.978	0				
80	7/18/2018 6:45	8.879	0				
81	7/18/2018 7:00	8.779	0				
82	7/18/2018 7:15	8.779	0				
83	7/18/2018 7:30	8.879	0				
84	7/18/2018 7:45	8.779	0				
85	7/18/2018 8:00	8.779	0				
86	7/18/2018 8:15	8.879	0				
87	7/18/2018 8:30	8.879	0				
88	7/18/2018 8:45	8.879	10.8				
89	7/18/2018 9:00	8.978	32.3				
90	7/18/2018 9:15	9.176	32.3				
91	7/18/2018 9:30	9.373	64.6				
92	7/18/2018 9:45	9.275	86.1				
93	7/18/2018 10:00	8.779	86.1				
94	7/18/2018 10:15	8.581	86.1				
95	7/18/2018 10:30	8.581	150.7				
96	7/18/2018 10:45	8.581	75.3				
97	7/18/2018 11:00	8.68	107.6				
98	7/18/2018 11:15	8.779	96.9				
99	7/18/2018 11:30	8.779	96.9				
100	7/18/2018 11:45	8.879	75.3				
101	7/18/2018 12:00	8.879	96.9				
102	7/18/2018 12:15	8.779	43.1				
103	7/18/2018 12:30	8.879	64.6				
104	7/18/2018 12:45	8.978	96.9				
105	7/18/2018 13:00	8.879	64.6				
106	7/18/2018 13:15	8.779	53.8				
107	7/18/2018 13:30	8.68	43.1				
108	7/18/2018 13:45	8.68	43.1				
109	7/18/2018 14:00	8.68	10.8				
110	7/18/2018 14:15	8.779	0				
111	7/18/2018 14:30	8.879	0				
112	7/18/2018 14:45	8.879	10.8				
113	7/18/2018 15:00	8.879	10.8				
114	7/18/2018 15:15	8.978	0				
115	7/18/2018 15:30	9.077	10.8				
116	7/18/2018 15:45	9.077	0				
117	7/18/2018 16:00	9.275	0				
118	7/18/2018 16:15	8.978	10.8				
119	7/18/2018 16:30	8.68	10.8				
120	7/18/2018 16:45	8.68	21.5				
121	7/18/2018 17:00	8.68	0				
122	7/18/2018 17:15	8.581	0				
123	7/18/2018 17:30	8.581	10.8				
124	7/18/2018 17:45	8.581	10.8				
125	7/18/2018 18:00	8.68	0				
126	7/18/2018 18:15	8.779	0				
127	7/18/2018 18:30	8.779	0				
128	7/18/2018 18:45	8.879	0				
129	7/18/2018 19:00	8.879	0				
130	7/18/2018 19:15	8.978	0				
131	7/18/2018 19:30	9.176	0				
132	7/18/2018 19:45	9.275	0				
133	7/18/2018 20:00	8.779	10.8				
134	7/18/2018 20:15	8.481	10.8				
135	7/18/2018 20:30	8.481	0				
136	7/18/2018 20:45	8.68	0				
137	7/18/2018 21:00	9.373	0				
138	7/18/2018 21:15	8.779	0				
139	7/18/2018 21:30	8.581	0				
140	7/18/2018 21:45	9.373	0				
141	7/18/2018 22:00	8.978	0				
142	7/18/2018 22:15	8.382	0				
143	7/18/2018 22:30	8.68	0				
144	7/18/2018 22:45	8.879	0				
145	7/18/2018 23:00	8.978	0				
146	7/18/2018 23:15	9.176	0				
147	7/18/2018 23:30	9.373	0				
148	7/18/2018 23:45	8.978	0				
149	7/19/2018 0:00	8.978	0				
150	7/19/2018 0:15	9.077	0				
151	7/19/2018 0:30	9.373	0				
152	7/19/2018 0:45	9.373	0				
153	7/19/2018 1:00	9.373	0				
154	7/19/2018 1:15	9.373	0				
155	7/19/2018 1:30	8.978	0				
156	7/19/2018 1:45	8.978	0				
157	7/19/2018 2:00	8.978	0				
