Plot Title: miniDOT-Pelagic-Grimmstadir							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10517222, SEN S/N: 10517222, LBL: temp)"	"Intensity, Lux (LGR S/N: 10517222, SEN S/N: 10517222, LBL: light)"	Coupler Attached (LGR S/N: 10517222)	Host Connected (LGR S/N: 10517222)	Stopped (LGR S/N: 10517222)	End Of File (LGR S/N: 10517222)
1	6/13/2018 7:00	21.378	0				
2	6/13/2018 7:30	21.282	75.3				
3	6/13/2018 8:00	18.236	43.1				
4	6/13/2018 8:30	16.903	10.8				
5	6/13/2018 9:00	15.664	473.6				
6	6/13/2018 9:30	14.517	1636.1				
7	6/13/2018 10:00	13.654	3616.7				
8	6/13/2018 10:30	12.69	20666.8				
9	6/13/2018 11:00	12.98	947.2				
10	6/13/2018 11:30	15.378	6544.5				
11	6/13/2018 12:00	15.378	5166.7				
12	6/13/2018 12:30	15.378	3100				
13	6/13/2018 13:00	15.378	3616.7				
14	6/13/2018 13:30	15.378	4477.8				
15	6/13/2018 14:00	15.378	2583.4				
16	6/13/2018 14:30	15.378	3961.1				
17	6/13/2018 15:00	15.378	4133.4				
18	6/13/2018 15:30	15.378	4650				
19	6/13/2018 16:00	15.282	2497.2				
20	6/13/2018 16:30	15.282	2669.5				
21	6/13/2018 17:00	15.187	2152.8				
22	6/13/2018 17:30	15.187	1065.6				
23	6/13/2018 18:00	15.091	828.8				
24	6/13/2018 18:30	15.091	624.3				
25	6/13/2018 19:00	15.091	764.2				
26	6/13/2018 19:30	15.091	602.8				
27	6/13/2018 20:00	15.091	538.2				
28	6/13/2018 20:30	14.996	376.7				
29	6/13/2018 21:00	14.996	387.5				
30	6/13/2018 21:30	14.996	344.4				
31	6/13/2018 22:00	14.996	279.9				
32	6/13/2018 22:30	14.9	118.4				
33	6/13/2018 23:00	14.9	75.3				
34	6/13/2018 23:30	14.9	21.5				
35	6/14/2018 0:00	14.9	10.8				
36	6/14/2018 0:30	14.804	0				
37	6/14/2018 1:00	14.804	0				
38	6/14/2018 1:30	14.804	0				
39	6/14/2018 2:00	14.709	0				
40	6/14/2018 2:30	14.709	10.8				
41	6/14/2018 3:00	14.709	21.5				
42	6/14/2018 3:30	14.709	32.3				
43	6/14/2018 4:00	14.709	75.3				
44	6/14/2018 4:30	14.709	150.7				
45	6/14/2018 5:00	14.709	258.3				
46	6/14/2018 5:30	14.613	366				
47	6/14/2018 6:00	14.613	462.9				
48	6/14/2018 6:30	14.517	592				
49	6/14/2018 7:00	14.517	1011.8				
50	6/14/2018 7:30	14.421	1237.9				
51	6/14/2018 8:00	14.421	1550				
52	6/14/2018 8:30	14.325	2152.8				
53	6/14/2018 9:00	14.325	2755.6				
54	6/14/2018 9:30	14.23	3100				
55	6/14/2018 10:00	14.23	3961.1				
56	6/14/2018 10:30	14.134	3616.7				
57	6/14/2018 11:00	14.038	2755.6				
58	6/14/2018 11:30	14.038	2755.6				
59	6/14/2018 12:00	13.942	2325				
60	6/14/2018 12:30	13.942	2927.8				
61	6/14/2018 13:00	13.942	2583.4				
62	6/14/2018 13:30	13.942	2238.9				
63	6/14/2018 14:00	13.942	2238.9				
64	6/14/2018 14:30	13.942	1894.5				
65	6/14/2018 15:00	13.846	2066.7				
66	6/14/2018 15:30	13.846	1980.6				
67	6/14/2018 16:00	13.846	1377.8				
68	6/14/2018 16:30	13.846	1722.2				
69	6/14/2018 17:00	13.75	1550				
70	6/14/2018 17:30	13.75	1097.9				
71	6/14/2018 18:00	13.654	914.9				
72	6/14/2018 18:30	13.654	1033.3				
73	6/14/2018 19:00	13.75	1001				
74	6/14/2018 19:30	13.75	968.8				
75	6/14/2018 20:00	13.846	667.4				
76	6/14/2018 20:30	13.942	602.8				
77	6/14/2018 21:00	13.942	387.5				
78	6/14/2018 21:30	13.942	204.5				
79	6/14/2018 22:00	13.654	96.9				
80	6/14/2018 22:30	13.75	53.8				
81	6/14/2018 23:00	13.75	21.5				
82	6/14/2018 23:30	13.75	0				
83	6/15/2018 0:00	13.654	0				
84	6/15/2018 0:30	13.654	0				
85	6/15/2018 1:00	13.654	0				
86	6/15/2018 1:30	13.558	0				
87	6/15/2018 2:00	13.461	0				
88	6/15/2018 2:30	13.461	0				
89	6/15/2018 3:00	13.461	10.8				
90	6/15/2018 3:30	13.365	43.1				
91	6/15/2018 4:00	13.269	32.3				
92	6/15/2018 4:30	13.269	86.1				
93	6/15/2018 5:00	13.269	172.2				
94	6/15/2018 5:30	13.269	226				
95	6/15/2018 6:00	13.173	344.4				
96	6/15/2018 6:30	13.173	602.8				
97	6/15/2018 7:00	13.076	1248.6				
98	6/15/2018 7:30	13.076	882.6				
99	6/15/2018 8:00	13.076	1377.8				
100	6/15/2018 8:30	13.076	2669.5				
101	6/15/2018 9:00	13.076	2325				
102	6/15/2018 9:30	13.076	2755.6				
103	6/15/2018 10:00	13.076	2238.9				
104	6/15/2018 10:30	12.98	1894.5				
105	6/15/2018 11:00	12.98	3788.9				
106	6/15/2018 11:30	12.98	4305.6				
107	6/15/2018 12:00	12.883	3444.5				
108	6/15/2018 12:30	12.98	5166.7				
109	6/15/2018 13:00	12.883	3444.5				
110	6/15/2018 13:30	12.98	3616.7				
111	6/15/2018 14:00	12.883	5338.9				
112	6/15/2018 14:30	12.883	5511.1				
113	6/15/2018 15:00	12.883	2755.6				
114	6/15/2018 15:30	12.883	4305.6				
115	6/15/2018 16:00	12.883	3444.5				
116	6/15/2018 16:30	12.883	3616.7				
117	6/15/2018 17:00	12.883	3616.7				
118	6/15/2018 17:30	12.883	3444.5				
119	6/15/2018 18:00	12.787	3100				
120	6/15/2018 18:30	12.787	2152.8				
121	6/15/2018 19:00	12.69	2325				
122	6/15/2018 19:30	12.69	2066.7				
123	6/15/2018 20:00	12.69	1636.1				
