"Plot Title: MD_Grim_P_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)","Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)","Coupler Attached (LGR S/N: 10517221)","Host Connected (LGR S/N: 10517221)","Stopped (LGR S/N: 10517221)","End Of File (LGR S/N: 10517221)"
1,06/16/19 11:00:00,19.758,64.6,,,,
2,06/16/19 11:30:00,20.043,3616.7,,,,
3,06/16/19 12:00:00,19.187,9644.5,,,,
4,06/16/19 12:30:00,22.812,17911.2,,,,
5,06/16/19 13:00:00,24.062,20666.8,,,,
6,06/16/19 13:30:00,23.292,17911.2,,,,
7,06/16/19 14:00:00,24.738,34444.7,,,,
8,06/16/19 14:30:00,22.812,24800.2,,,,
9,06/16/19 15:00:00,15.187,10677.8,,,,
10,06/16/19 15:30:00,14.804,27555.7,,,,
11,06/16/19 16:00:00,14.421,7233.4,,,,
12,06/16/19 16:30:00,14.517,6200.0,,,,
13,06/16/19 17:00:00,14.613,7577.8,,,,
14,06/16/19 17:30:00,14.709,19977.9,,,,
15,06/16/19 18:00:00,14.613,6200.0,,,,
16,06/16/19 18:30:00,14.325,6200.0,,,,
17,06/16/19 19:00:00,14.421,4133.4,,,,
18,06/16/19 19:30:00,14.421,3616.7,,,,
19,06/16/19 20:00:00,14.325,2497.2,,,,
20,06/16/19 20:30:00,13.942,1550.0,,,,
21,06/16/19 21:00:00,13.846,1550.0,,,,
22,06/16/19 21:30:00,13.846,1334.7,,,,
23,06/16/19 22:00:00,13.846,710.4,,,,
24,06/16/19 22:30:00,13.750,592.0,,,,
25,06/16/19 23:00:00,13.750,398.3,,,,
26,06/16/19 23:30:00,13.654,236.8,,,,
27,06/17/19 00:00:00,13.654,161.5,,,,
28,06/17/19 00:30:00,13.654,107.6,,,,
29,06/17/19 01:00:00,13.654,86.1,,,,
30,06/17/19 01:30:00,13.654,86.1,,,,
31,06/17/19 02:00:00,13.654,118.4,,,,
32,06/17/19 02:30:00,13.654,226.0,,,,
33,06/17/19 03:00:00,13.558,473.6,,,,
34,06/17/19 03:30:00,13.558,958.0,,,,
35,06/17/19 04:00:00,13.558,1324.0,,,,
36,06/17/19 04:30:00,13.558,2066.7,,,,
37,06/17/19 05:00:00,13.558,2325.0,,,,
38,06/17/19 05:30:00,13.750,4133.4,,,,
39,06/17/19 06:00:00,13.558,2755.6,,,,
40,06/17/19 06:30:00,13.654,3272.2,,,,
41,06/17/19 07:00:00,13.750,6200.0,,,,
42,06/17/19 07:30:00,13.750,5166.7,,,,
43,06/17/19 08:00:00,13.846,8266.7,,,,
44,06/17/19 08:30:00,14.325,9300.1,,,,
45,06/17/19 09:00:00,14.325,23422.4,,,,
46,06/17/19 09:30:00,14.134,16533.4,,,,
47,06/17/19 10:00:00,13.654,4994.5,,,,
48,06/17/19 10:30:00,13.654,4650.0,,,,
49,06/17/19 11:00:00,13.654,5511.1,,,,
50,06/17/19 11:30:00,13.942,9300.1,,,,
