Plot Title: miniDOT-Benthic-Reykjahlid							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349964, SEN S/N: 10349964, LBL: temp)"	"Intensity, Lux (LGR S/N: 10349964, SEN S/N: 10349964, LBL: light)"	Coupler Attached (LGR S/N: 10349964)	Host Connected (LGR S/N: 10349964)	Stopped (LGR S/N: 10349964)	End Of File (LGR S/N: 10349964)
1	6/13/2018 7:00	20.138	129.2				
2	6/13/2018 7:30	19.662	41333.6				
3	6/13/2018 8:00	16.141	14466.8				
4	6/13/2018 8:30	15.187	10677.8				
5	6/13/2018 9:00	14.325	1377.8				
6	6/13/2018 9:30	15.473	2238.9				
7	6/13/2018 10:00	15.855	1980.6				
8	6/13/2018 10:30	15.76	861.1				
9	6/13/2018 11:00	15.76	635.1				
10	6/13/2018 11:30	15.951	3616.7				
11	6/13/2018 12:00	15.951	2755.6				
12	6/13/2018 12:30	15.855	1108.7				
13	6/13/2018 13:00	15.855	1463.9				
14	6/13/2018 13:30	15.951	1722.2				
15	6/13/2018 14:00	15.855	1356.3				
16	6/13/2018 14:30	15.951	2066.7				
17	6/13/2018 15:00	15.951	1980.6				
18	6/13/2018 15:30	15.855	2066.7				
19	6/13/2018 16:00	15.76	1463.9				
20	6/13/2018 16:30	15.76	1302.4				
21	6/13/2018 17:00	15.76	990.3				
22	6/13/2018 17:30	15.664	624.3				
23	6/13/2018 18:00	15.569	538.2				
24	6/13/2018 18:30	15.473	441.3				
25	6/13/2018 19:00	15.378	452.1				
26	6/13/2018 19:30	15.282	387.5				
27	6/13/2018 20:00	15.378	516.7				
28	6/13/2018 20:30	15.282	258.3				
29	6/13/2018 21:00	15.282	161.5				
30	6/13/2018 21:30	15.187	107.6				
31	6/13/2018 22:00	15.187	129.2				
32	6/13/2018 22:30	15.091	53.8				
33	6/13/2018 23:00	15.091	32.3				
34	6/13/2018 23:30	15.187	0				
35	6/14/2018 0:00	14.996	0				
36	6/14/2018 0:30	14.9	0				
37	6/14/2018 1:00	14.9	0				
38	6/14/2018 1:30	14.996	0				
39	6/14/2018 2:00	14.996	0				
40	6/14/2018 2:30	14.996	0				
41	6/14/2018 3:00	14.9	0				
42	6/14/2018 3:30	14.804	10.8				
43	6/14/2018 4:00	14.804	21.5				
44	6/14/2018 4:30	14.804	53.8				
45	6/14/2018 5:00	14.709	86.1				
46	6/14/2018 5:30	14.709	107.6				
47	6/14/2018 6:00	14.709	139.9				
48	6/14/2018 6:30	14.613	139.9				
49	6/14/2018 7:00	14.517	258.3				
50	6/14/2018 7:30	14.517	333.7				
51	6/14/2018 8:00	14.421	376.7				
52	6/14/2018 8:30	14.421	570.5				
53	6/14/2018 9:00	14.421	645.8				
54	6/14/2018 9:30	14.421	882.6				
55	6/14/2018 10:00	14.421	699.7				
56	6/14/2018 10:30	14.325	1097.9				
57	6/14/2018 11:00	14.421	936.5				
58	6/14/2018 11:30	14.517	775				
59	6/14/2018 12:00	14.517	645.8				
60	6/14/2018 12:30	14.517	721.2				
61	6/14/2018 13:00	14.325	764.2				
62	6/14/2018 13:30	14.23	645.8				
63	6/14/2018 14:00	14.134	516.7				
64	6/14/2018 14:30	13.942	387.5				
65	6/14/2018 15:00	14.134	366				
66	6/14/2018 15:30	14.134	613.5				
67	6/14/2018 16:00	14.038	452.1				
68	6/14/2018 16:30	14.038	624.3				
69	6/14/2018 17:00	14.038	430.6				
70	6/14/2018 17:30	13.942	333.7				
71	6/14/2018 18:00	13.846	226				
72	6/14/2018 18:30	13.75	236.8				
73	6/14/2018 19:00	13.75	215.3				
74	6/14/2018 19:30	13.846	204.5				
75	6/14/2018 20:00	13.75	172.2				
76	6/14/2018 20:30	13.558	139.9				
77	6/14/2018 21:00	13.558	86.1				
78	6/14/2018 21:30	13.365	43.1				
79	6/14/2018 22:00	13.269	10.8				
80	6/14/2018 22:30	13.365	0				
81	6/14/2018 23:00	13.269	0				
82	6/14/2018 23:30	13.076	0				
83	6/15/2018 0:00	12.883	0				
84	6/15/2018 0:30	12.883	0				
85	6/15/2018 1:00	12.883	0				
