"Plot Title: MD_Reyk_B_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Bad Battery (LGR S/N: 10517223)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
1,06/16/19 11:00:00,22.429,21.5,,,,,
2,06/16/19 11:30:00,22.142,75.3,,,,,
3,06/16/19 12:00:00,19.758,269.1,,,,,
4,06/16/19 12:30:00,28.159,198401.3,,,,,
5,06/16/19 13:00:00,28.456,209423.6,,,,,
6,06/16/19 13:30:00,14.038,27555.7,,,,,
7,06/16/19 14:00:00,13.461,3788.9,,,,,
8,06/16/19 14:30:00,13.461,3961.1,,,,,
9,06/16/19 15:00:00,13.461,3444.5,,,,,
10,06/16/19 15:30:00,13.558,3272.2,,,,,
11,06/16/19 16:00:00,13.558,1894.5,,,,,
12,06/16/19 16:30:00,13.461,1636.1,,,,,
13,06/16/19 17:00:00,13.558,1722.2,,,,,
14,06/16/19 17:30:00,13.654,2497.2,,,,,
15,06/16/19 18:00:00,13.942,2238.9,,,,,
16,06/16/19 18:30:00,14.134,1324.0,,,,,
17,06/16/19 19:00:00,14.230,1894.5,,,,,
18,06/16/19 19:30:00,14.134,1550.0,,,,,
19,06/16/19 20:00:00,14.134,1130.2,,,,,
20,06/16/19 20:30:00,14.134,333.7,,,,,
21,06/16/19 21:00:00,14.134,301.4,,,,,
22,06/16/19 21:30:00,14.134,387.5,,,,,
23,06/16/19 22:00:00,14.134,204.5,,,,,
24,06/16/19 22:30:00,14.038,161.5,,,,,
25,06/16/19 23:00:00,14.038,107.6,,,,,
26,06/16/19 23:30:00,14.038,43.1,,,,,
27,06/17/19 00:00:00,14.038,21.5,,,,,
28,06/17/19 00:30:00,14.038,10.8,,,,,
29,06/17/19 01:00:00,14.038,0.0,,,,,
30,06/17/19 01:30:00,14.038,0.0,,,,,
31,06/17/19 02:00:00,14.038,10.8,,,,,
32,06/17/19 02:30:00,14.038,32.3,,,,,
33,06/17/19 03:00:00,14.038,75.3,,,,,
34,06/17/19 03:30:00,14.038,129.2,,,,,
35,06/17/19 04:00:00,14.038,215.3,,,,,
36,06/17/19 04:30:00,13.942,430.6,,,,,
37,06/17/19 05:00:00,13.942,409.0,,,,,
38,06/17/19 05:30:00,13.942,688.9,,,,,
39,06/17/19 06:00:00,13.942,204.5,,,,,
40,06/17/19 06:30:00,13.942,473.6,,,,,
41,06/17/19 07:00:00,13.942,592.0,,,,,
42,06/17/19 07:30:00,13.942,1044.1,,,,,
43,06/17/19 08:00:00,14.038,1227.1,,,,,
44,06/17/19 08:30:00,14.038,2066.7,,,,,
45,06/17/19 09:00:00,14.038,2152.8,,,,,
46,06/17/19 09:30:00,14.038,1722.2,,,,,
47,06/17/19 10:00:00,14.038,990.3,,,,,
