"Plot Title: MD_REYKb_19August18"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Temp)","Intensity, Lux (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Light Intensity)","End Of File (LGR S/N: 10517217)"
1,08/20/18 01:00:00,11.722,0.0,
2,08/20/18 03:00:00,11.625,0.0,
3,08/20/18 05:00:00,11.625,0.0,
4,08/20/18 07:00:00,11.819,118.4,
5,08/20/18 09:00:00,11.916,172.2,
6,08/20/18 11:00:00,11.916,344.4,
7,08/20/18 13:00:00,12.013,775.0,
8,08/20/18 15:00:00,12.110,387.5,
9,08/20/18 17:00:00,12.304,150.7,
10,08/20/18 19:00:00,12.207,161.5,
11,08/20/18 21:00:00,12.207,0.0,
12,08/20/18 23:00:00,12.304,0.0,
13,08/21/18 01:00:00,12.110,0.0,
14,08/21/18 03:00:00,12.013,0.0,
15,08/21/18 05:00:00,11.916,0.0,
16,08/21/18 07:00:00,11.819,21.5,
17,08/21/18 09:00:00,11.916,75.3,
18,08/21/18 11:00:00,11.916,258.3,
19,08/21/18 13:00:00,12.013,96.9,
20,08/21/18 15:00:00,12.013,150.7,
21,08/21/18 17:00:00,11.916,43.1,
22,08/21/18 19:00:00,12.013,43.1,
23,08/21/18 21:00:00,12.013,0.0,
24,08/21/18 23:00:00,12.013,0.0,
25,08/22/18 01:00:00,11.916,0.0,
26,08/22/18 03:00:00,11.916,0.0,
27,08/22/18 05:00:00,11.916,0.0,
28,08/22/18 07:00:00,11.819,32.3,
29,08/22/18 09:00:00,11.819,96.9,
30,08/22/18 11:00:00,11.722,172.2,
31,08/22/18 13:00:00,11.819,398.3,
32,08/22/18 15:00:00,11.819,236.8,
33,08/22/18 17:00:00,11.819,183.0,
34,08/22/18 19:00:00,11.819,32.3,
35,08/22/18 21:00:00,11.625,0.0,
36,08/22/18 23:00:00,11.625,0.0,
37,08/23/18 01:00:00,11.625,0.0,
38,08/23/18 03:00:00,11.625,0.0,
39,08/23/18 05:00:00,11.528,0.0,
40,08/23/18 07:00:00,11.528,32.3,
41,08/23/18 09:00:00,11.528,64.6,
42,08/23/18 11:00:00,11.431,129.2,
43,08/23/18 13:00:00,11.431,688.9,
44,08/23/18 15:00:00,11.236,344.4,
45,08/23/18 17:00:00,11.236,183.0,
46,08/23/18 19:00:00,11.236,43.1,
47,08/23/18 21:00:00,11.139,0.0,
48,08/23/18 23:00:00,11.041,0.0,
49,08/24/18 01:00:00,10.944,0.0,
50,08/24/18 03:00:00,10.944,0.0,
51,08/24/18 05:00:00,10.846,0.0,
52,08/24/18 07:00:00,10.846,43.1,
53,08/24/18 09:00:00,10.846,236.8,
54,08/24/18 11:00:00,10.944,387.5,
55,08/24/18 13:00:00,10.944,215.3,
56,08/24/18 15:00:00,10.944,656.6,
57,08/24/18 17:00:00,10.944,215.3,
58,08/24/18 19:00:00,11.041,75.3,
59,08/24/18 21:00:00,10.944,0.0,
60,08/24/18 23:00:00,10.846,0.0,
61,08/25/18 01:00:00,10.748,0.0,
62,08/25/18 03:00:00,10.748,0.0,
63,08/25/18 05:00:00,10.748,0.0,
64,08/25/18 07:00:00,10.651,53.8,
65,08/25/18 09:00:00,10.651,150.7,
66,08/25/18 11:00:00,10.748,322.9,
67,08/25/18 13:00:00,10.748,139.9,
68,08/25/18 15:00:00,10.748,193.8,
69,08/25/18 17:00:00,10.846,118.4,
70,08/25/18 19:00:00,10.748,43.1,
71,08/25/18 21:00:00,10.748,0.0,
72,08/25/18 23:00:00,10.553,0.0,
73,08/26/18 01:00:00,10.455,0.0,
74,08/26/18 03:00:00,10.455,0.0,
75,08/26/18 05:00:00,10.357,0.0,
76,08/26/18 07:00:00,10.357,43.1,
77,08/26/18 09:00:00,10.259,129.2,
78,08/26/18 11:00:00,10.357,161.5,
79,08/26/18 13:00:00,10.357,236.8,
80,08/26/18 15:00:00,10.357,333.7,
81,08/26/18 17:00:00,10.357,129.2,
82,08/26/18 19:00:00,10.455,32.3,
83,08/26/18 21:00:00,10.553,0.0,
84,08/26/18 23:00:00,10.553,0.0,
85,08/27/18 01:00:00,10.455,0.0,
86,08/27/18 03:00:00,10.357,0.0,
87,08/27/18 05:00:00,10.259,0.0,
88,08/27/18 07:00:00,10.161,32.3,
89,08/27/18 09:00:00,10.161,118.4,
90,08/27/18 11:00:00,10.161,215.3,
91,08/27/18 13:00:00,10.161,366.0,
92,08/27/18 15:00:00,10.161,204.5,
93,08/27/18 17:00:00,10.651,53.8,
94,08/27/18 19:00:00,10.553,0.0,
95,08/27/18 21:00:00,10.553,0.0,
96,08/27/18 23:00:00,10.455,0.0,
97,08/28/18 01:00:00,10.357,0.0,
98,08/28/18 03:00:00,10.259,0.0,
99,08/28/18 05:00:00,10.259,0.0,
100,08/28/18 07:00:00,10.161,0.0,
101,08/28/18 09:00:00,10.161,172.2,
102,08/28/18 11:00:00,10.161,75.3,
103,08/28/18 13:00:00,10.259,118.4,
104,08/28/18 15:00:00,10.161,75.3,
105,08/28/18 17:00:00,10.161,75.3,
106,08/28/18 19:00:00,10.161,10.8,
107,08/28/18 21:00:00,10.161,0.0,
108,08/28/18 23:00:00,10.063,0.0,
109,08/29/18 01:00:00,9.965,0.0,
110,08/29/18 03:00:00,9.472,0.0,
111,08/29/18 05:00:00,9.472,0.0,
112,08/29/18 07:00:00,9.373,21.5,
113,08/29/18 09:00:00,9.275,64.6,
114,08/29/18 11:00:00,9.275,86.1,
115,08/29/18 13:00:00,9.275,376.7,
116,08/29/18 15:00:00,9.373,269.1,
117,08/29/18 17:00:00,9.571,193.8,
118,08/29/18 19:00:00,9.373,43.1,
119,08/29/18 21:00:00,8.978,0.0,
120,08/29/18 23:00:00,8.978,0.0,
121,08/30/18 01:00:00,9.077,0.0,
122,08/30/18 03:00:00,9.077,0.0,
123,08/30/18 05:00:00,8.978,0.0,
124,08/30/18 07:00:00,8.879,21.5,
125,08/30/18 09:00:00,8.879,107.6,
126,08/30/18 11:00:00,8.978,183.0,
127,08/30/18 13:00:00,9.077,279.9,
128,08/30/18 15:00:00,9.176,139.9,
129,08/30/18 17:00:00,9.176,96.9,
130,08/30/18 19:00:00,9.176,10.8,
131,08/30/18 21:00:00,9.176,0.0,
132,08/30/18 23:00:00,9.077,0.0,
133,08/31/18 01:00:00,9.077,0.0,
134,08/31/18 03:00:00,9.077,0.0,
135,08/31/18 05:00:00,8.978,0.0,
136,08/31/18 07:00:00,8.978,0.0,
137,08/31/18 09:00:00,8.879,10.8,
138,08/31/18 11:00:00,8.879,64.6,
139,08/31/18 13:00:00,8.879,53.8,
140,08/31/18 15:00:00,8.978,64.6,
141,08/31/18 17:00:00,8.978,21.5,
142,08/31/18 19:00:00,9.077,10.8,
143,08/31/18 21:00:00,9.077,0.0,
144,08/31/18 23:00:00,8.978,0.0,
145,09/01/18 01:00:00,8.779,0.0,
146,09/01/18 03:00:00,8.680,0.0,
147,09/01/18 05:00:00,8.581,0.0,
148,09/01/18 07:00:00,8.382,0.0,
149,09/01/18 09:00:00,8.182,21.5,
150,09/01/18 11:00:00,8.382,0.0,
151,09/01/18 13:00:00,8.581,0.0,
152,09/01/18 15:00:00,8.680,0.0,
153,09/01/18 17:00:00,8.879,10.8,
154,09/01/18 19:00:00,8.779,0.0,
155,09/01/18 21:00:00,8.481,0.0,
156,09/01/18 23:00:00,8.481,0.0,
157,09/02/18 01:00:00,8.282,0.0,
158,09/02/18 03:00:00,8.182,0.0,
159,09/02/18 05:00:00,8.082,0.0,
160,09/02/18 07:00:00,8.082,0.0,
161,09/02/18 09:00:00,8.082,0.0,
162,09/02/18 11:00:00,8.082,0.0,
163,09/02/18 13:00:00,8.282,21.5,
164,09/02/18 15:00:00,8.282,10.8,
165,09/02/18 17:00:00,8.282,10.8,
166,09/02/18 19:00:00,8.282,0.0,
167,09/02/18 21:00:00,8.382,0.0,
168,09/02/18 23:00:00,8.481,0.0,
169,09/03/18 01:00:00,8.581,0.0,
170,09/03/18 03:00:00,8.481,0.0,
171,09/03/18 05:00:00,8.481,0.0,
172,09/03/18 07:00:00,8.481,0.0,
173,09/03/18 09:00:00,8.382,86.1,
174,09/03/18 11:00:00,8.481,215.3,
175,09/03/18 13:00:00,8.581,312.2,
176,09/03/18 15:00:00,8.680,247.6,
177,09/03/18 17:00:00,9.077,139.9,
178,09/03/18 19:00:00,9.176,10.8,
179,09/03/18 21:00:00,9.176,0.0,
180,09/03/18 23:00:00,9.275,0.0,
181,09/04/18 01:00:00,8.978,0.0,
182,09/04/18 03:00:00,8.879,0.0,
183,09/04/18 05:00:00,9.077,0.0,
184,09/04/18 07:00:00,8.879,10.8,
185,09/04/18 09:00:00,8.978,43.1,
186,09/04/18 11:00:00,8.978,107.6,
187,09/04/18 13:00:00,8.978,86.1,
188,09/04/18 15:00:00,8.978,215.3,
189,09/04/18 17:00:00,9.077,21.5,
190,09/04/18 19:00:00,9.077,0.0,
191,09/04/18 21:00:00,8.978,0.0,
192,09/04/18 23:00:00,8.978,0.0,
193,09/05/18 01:00:00,8.978,0.0,
194,09/05/18 03:00:00,8.978,0.0,
195,09/05/18 05:00:00,8.978,0.0,
196,09/05/18 07:00:00,9.077,0.0,
197,09/05/18 09:00:00,9.275,172.2,
198,09/05/18 11:00:00,9.472,247.6,
199,09/05/18 13:00:00,9.571,312.2,
200,09/05/18 15:00:00,9.571,258.3,
201,09/05/18 17:00:00,9.669,129.2,
202,09/05/18 19:00:00,9.768,43.1,
203,09/05/18 21:00:00,9.669,0.0,
204,09/05/18 23:00:00,9.669,0.0,
205,09/06/18 01:00:00,9.571,0.0,
206,09/06/18 03:00:00,9.571,0.0,
207,09/06/18 05:00:00,9.571,0.0,
208,09/06/18 07:00:00,9.571,21.5,
209,09/06/18 09:00:00,9.669,86.1,
210,09/06/18 11:00:00,9.669,183.0,
211,09/06/18 13:00:00,9.768,279.9,
212,09/06/18 15:00:00,9.669,226.0,
213,09/06/18 17:00:00,9.669,86.1,
214,09/06/18 19:00:00,9.768,43.1,
215,09/06/18 21:00:00,9.768,0.0,
216,09/06/18 23:00:00,10.063,0.0,
217,09/07/18 01:00:00,10.259,0.0,
218,09/07/18 03:00:00,10.161,0.0,
219,09/07/18 05:00:00,9.866,0.0,
220,09/07/18 07:00:00,9.669,21.5,
221,09/07/18 09:00:00,9.571,161.5,
222,09/07/18 11:00:00,9.768,312.2,
223,09/07/18 13:00:00,9.768,376.7,
224,09/07/18 15:00:00,9.965,290.6,
225,09/07/18 17:00:00,10.455,150.7,
226,09/07/18 19:00:00,10.161,10.8,
227,09/07/18 21:00:00,10.063,0.0,
228,09/07/18 23:00:00,9.965,0.0,
229,09/08/18 01:00:00,9.965,0.0,
230,09/08/18 03:00:00,9.866,0.0,
231,09/08/18 05:00:00,9.866,0.0,
232,09/08/18 07:00:00,9.866,0.0,
233,09/08/18 09:00:00,9.768,21.5,
234,09/08/18 11:00:00,9.768,129.2,
235,09/08/18 13:00:00,9.866,53.8,
236,09/08/18 15:00:00,9.866,366.0,
237,09/08/18 17:00:00,10.063,107.6,
238,09/08/18 19:00:00,9.965,10.8,
239,09/08/18 21:00:00,9.965,0.0,
240,09/08/18 23:00:00,9.965,0.0,
241,09/09/18 01:00:00,9.866,0.0,
242,09/09/18 03:00:00,9.866,0.0,
243,09/09/18 05:00:00,9.768,0.0,
244,09/09/18 07:00:00,9.768,10.8,
245,09/09/18 09:00:00,9.768,139.9,
246,09/09/18 11:00:00,9.768,236.8,
247,09/09/18 13:00:00,9.866,301.4,
248,09/09/18 15:00:00,9.866,355.2,
249,09/09/18 17:00:00,9.866,107.6,
250,09/09/18 19:00:00,10.357,21.5,
251,09/09/18 21:00:00,10.357,0.0,
252,09/09/18 23:00:00,10.259,0.0,
253,09/10/18 01:00:00,10.259,0.0,
254,09/10/18 03:00:00,10.259,0.0,
255,09/10/18 05:00:00,10.259,0.0,
256,09/10/18 07:00:00,10.161,0.0,
257,09/10/18 09:00:00,10.161,64.6,
258,09/10/18 11:00:00,10.161,172.2,
259,09/10/18 13:00:00,10.161,279.9,
260,09/10/18 15:00:00,10.161,193.8,
261,09/10/18 17:00:00,10.161,107.6,
262,09/10/18 19:00:00,10.259,21.5,
263,09/10/18 21:00:00,10.161,0.0,
264,09/10/18 23:00:00,10.357,0.0,
265,09/11/18 01:00:00,10.161,0.0,
266,09/11/18 03:00:00,10.063,0.0,
267,09/11/18 05:00:00,10.161,0.0,
268,09/11/18 07:00:00,10.161,0.0,
269,09/11/18 09:00:00,10.161,64.6,
270,09/11/18 11:00:00,10.161,150.7,
271,09/11/18 13:00:00,10.161,183.0,
272,09/11/18 15:00:00,10.259,107.6,
273,09/11/18 17:00:00,10.259,32.3,
274,09/11/18 19:00:00,10.357,10.8,
275,09/11/18 21:00:00,10.357,0.0,
276,09/11/18 23:00:00,10.357,0.0,
277,09/12/18 01:00:00,10.357,0.0,
278,09/12/18 03:00:00,10.259,0.0,
279,09/12/18 05:00:00,10.259,0.0,
280,09/12/18 07:00:00,10.161,0.0,
281,09/12/18 09:00:00,10.063,43.1,
282,09/12/18 11:00:00,10.063,129.2,
283,09/12/18 13:00:00,10.063,226.0,
284,09/12/18 15:00:00,10.161,129.2,
285,09/12/18 17:00:00,10.259,43.1,
286,09/12/18 19:00:00,10.357,0.0,
287,09/12/18 21:00:00,10.357,0.0,
288,09/12/18 23:00:00,10.357,0.0,
289,09/13/18 01:00:00,10.357,0.0,
290,09/13/18 03:00:00,10.259,0.0,
291,09/13/18 05:00:00,10.357,0.0,
292,09/13/18 07:00:00,10.259,0.0,
293,09/13/18 09:00:00,10.161,10.8,
294,09/13/18 11:00:00,10.161,75.3,
295,09/13/18 13:00:00,10.259,86.1,
296,09/13/18 15:00:00,10.357,139.9,
297,09/13/18 17:00:00,10.259,43.1,
298,09/13/18 19:00:00,10.063,0.0,
299,09/13/18 21:00:00,9.965,0.0,
300,09/13/18 23:00:00,10.063,0.0,
301,09/14/18 01:00:00,9.965,0.0,
302,09/14/18 03:00:00,9.866,0.0,
303,09/14/18 05:00:00,9.768,0.0,
304,09/14/18 07:00:00,9.669,0.0,
305,09/14/18 09:00:00,9.373,53.8,
306,09/14/18 11:00:00,9.275,139.9,
307,09/14/18 13:00:00,9.275,139.9,
308,09/14/18 15:00:00,9.275,183.0,
309,09/14/18 17:00:00,8.978,43.1,
310,09/14/18 19:00:00,8.879,0.0,
311,09/14/18 21:00:00,8.779,0.0,
312,09/14/18 23:00:00,8.779,0.0,
313,09/15/18 01:00:00,8.680,0.0,
314,09/15/18 03:00:00,8.779,0.0,
315,09/15/18 05:00:00,8.779,0.0,
316,09/15/18 07:00:00,8.680,0.0,
317,09/15/18 09:00:00,8.680,96.9,
318,09/15/18 11:00:00,8.680,193.8,
319,09/15/18 13:00:00,8.680,333.7,
320,09/15/18 15:00:00,8.779,204.5,
321,09/15/18 17:00:00,8.879,53.8,
322,09/15/18 19:00:00,8.779,0.0,
323,09/15/18 21:00:00,8.680,0.0,
324,09/15/18 23:00:00,8.680,0.0,
325,09/16/18 01:00:00,8.581,0.0,
326,09/16/18 03:00:00,8.581,0.0,
327,09/16/18 05:00:00,8.481,0.0,
328,09/16/18 07:00:00,8.082,0.0,
329,09/16/18 09:00:00,7.682,64.6,
330,09/16/18 11:00:00,7.481,96.9,
331,09/16/18 13:00:00,7.682,64.6,
332,09/16/18 15:00:00,7.682,53.8,
333,09/16/18 17:00:00,7.782,107.6,
334,09/16/18 19:00:00,7.782,0.0,
335,09/16/18 21:00:00,7.983,0.0,
336,09/16/18 23:00:00,7.983,0.0,
337,09/17/18 01:00:00,7.882,0.0,
338,09/17/18 03:00:00,7.882,0.0,
339,09/17/18 05:00:00,7.782,0.0,
