Plot Title: miniDOT-Pelagic-Reykjahlid							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Temp)"	"Intensity, Lux (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Light Intensity)"	Coupler Attached (LGR S/N: 10517217)	Host Connected (LGR S/N: 10517217)	Stopped (LGR S/N: 10517217)	End Of File (LGR S/N: 10517217)
1	6/13/2018 7:00	21.473	0				
2	6/13/2018 7:30	21.282	1001				
3	6/13/2018 8:00	18.901	1722.2				
4	6/13/2018 8:30	17.284	387.5				
5	6/13/2018 9:00	15.569	3100				
6	6/13/2018 9:30	16.046	5511.1				
7	6/13/2018 10:00	16.141	4994.5				
8	6/13/2018 10:30	15.951	2497.2				
9	6/13/2018 11:00	15.855	1722.2				
10	6/13/2018 11:30	16.427	10333.4				
11	6/13/2018 12:00	16.427	8611.2				
12	6/13/2018 12:30	16.141	3788.9				
13	6/13/2018 13:00	16.141	5166.7				
14	6/13/2018 13:30	16.237	5166.7				
15	6/13/2018 14:00	16.046	4305.6				
16	6/13/2018 14:30	16.237	6544.5				
17	6/13/2018 15:00	16.332	6544.5				
18	6/13/2018 15:30	16.332	6544.5				
19	6/13/2018 16:00	16.141	4822.3				
20	6/13/2018 16:30	16.046	3788.9				
21	6/13/2018 17:00	15.951	3100				
22	6/13/2018 17:30	15.855	1980.6				
23	6/13/2018 18:00	15.76	1722.2				
24	6/13/2018 18:30	15.664	1463.9				
25	6/13/2018 19:00	15.664	1463.9				
26	6/13/2018 19:30	15.664	1324				
27	6/13/2018 20:00	15.664	1808.3				
28	6/13/2018 20:30	15.569	936.5				
29	6/13/2018 21:00	15.569	592				
30	6/13/2018 21:30	15.473	452.1				
31	6/13/2018 22:00	15.473	570.5				
32	6/13/2018 22:30	15.378	247.6				
33	6/13/2018 23:00	15.378	172.2				
34	6/13/2018 23:30	15.282	43.1				
35	6/14/2018 0:00	15.187	32.3				
36	6/14/2018 0:30	15.187	10.8				
37	6/14/2018 1:00	15.091	10.8				
38	6/14/2018 1:30	15.091	10.8				
39	6/14/2018 2:00	14.996	10.8				
40	6/14/2018 2:30	14.996	32.3				
41	6/14/2018 3:00	14.996	43.1				
42	6/14/2018 3:30	14.996	96.9				
43	6/14/2018 4:00	14.9	193.8				
44	6/14/2018 4:30	14.804	344.4				
45	6/14/2018 5:00	14.804	581.3				
46	6/14/2018 5:30	14.804	764.2				
47	6/14/2018 6:00	14.709	1011.8				
48	6/14/2018 6:30	14.613	1108.7				
49	6/14/2018 7:00	14.613	1980.6				
50	6/14/2018 7:30	14.613	2497.2				
51	6/14/2018 8:00	14.613	2755.6				
52	6/14/2018 8:30	14.613	4133.4				
53	6/14/2018 9:00	14.613	4994.5				
54	6/14/2018 9:30	14.9	6544.5				
55	6/14/2018 10:00	14.996	4994.5				
56	6/14/2018 10:30	15.091	7577.8				
57	6/14/2018 11:00	14.996	7233.4				
58	6/14/2018 11:30	14.9	5166.7				
59	6/14/2018 12:00	14.804	4305.6				
60	6/14/2018 12:30	14.804	5166.7				
61	6/14/2018 13:00	14.709	4994.5				
62	6/14/2018 13:30	14.517	4650				
63	6/14/2018 14:00	14.421	3788.9				
64	6/14/2018 14:30	14.325	2497.2				
65	6/14/2018 15:00	14.517	3272.2				
66	6/14/2018 15:30	14.517	3444.5				
67	6/14/2018 16:00	14.421	2755.6				
68	6/14/2018 16:30	14.421	3616.7				
69	6/14/2018 17:00	14.23	2669.5				
70	6/14/2018 17:30	14.134	2066.7				
71	6/14/2018 18:00	14.038	1377.8				
72	6/14/2018 18:30	14.134	1636.1				
73	6/14/2018 19:00	14.23	1550				
74	6/14/2018 19:30	14.23	1463.9				
75	6/14/2018 20:00	14.134	1227.1				
76	6/14/2018 20:30	14.038	1087.2				
77	6/14/2018 21:00	14.038	581.3				
78	6/14/2018 21:30	13.846	366				
79	6/14/2018 22:00	13.75	193.8				
80	6/14/2018 22:30	13.654	118.4				
81	6/14/2018 23:00	13.558	43.1				
82	6/14/2018 23:30	13.461	21.5				
83	6/15/2018 0:00	13.365	0				
84	6/15/2018 0:30	13.365	0				
85	6/15/2018 1:00	13.269	0				
86	6/15/2018 1:30	13.269	0				
87	6/15/2018 2:00	13.269	0				
88	6/15/2018 2:30	13.269	10.8				
89	6/15/2018 3:00	13.269	10.8				
90	6/15/2018 3:30	13.173	53.8				
91	6/15/2018 4:00	13.173	118.4				
92	6/15/2018 4:30	13.076	226				
93	6/15/2018 5:00	13.076	344.4				
94	6/15/2018 5:30	13.076	678.1				
95	6/15/2018 6:00	12.98	624.3				
96	6/15/2018 6:30	12.883	796.5				
97	6/15/2018 7:00	12.787	1011.8				
98	6/15/2018 7:30	12.787	2325				
99	6/15/2018 8:00	12.69	2755.6				
100	6/15/2018 8:30	12.69	4650				
101	6/15/2018 9:00	12.787	5511.1				
102	6/15/2018 9:30	12.787	3788.9				
103	6/15/2018 10:00	12.787	5166.7				
104	6/15/2018 10:30	12.69	5511.1				
105	6/15/2018 11:00	12.69	5511.1				
106	6/15/2018 11:30	12.69	6544.5				
107	6/15/2018 12:00	12.497	3444.5				
108	6/15/2018 12:30	12.69	8266.7				
109	6/15/2018 13:00	12.69	8611.2				
110	6/15/2018 13:30	12.69	8611.2				
111	6/15/2018 14:00	12.69	8611.2				
112	6/15/2018 14:30	12.787	6544.5				
113	6/15/2018 15:00	13.076	10333.4				
114	6/15/2018 15:30	13.076	7577.8				
115	6/15/2018 16:00	12.883	7577.8				
116	6/15/2018 16:30	12.883	7577.8				
117	6/15/2018 17:00	12.883	9300.1				
118	6/15/2018 17:30	12.787	5166.7				
119	6/15/2018 18:00	12.69	5166.7				
120	6/15/2018 18:30	12.497	4822.3				
121	6/15/2018 19:00	12.401	3444.5				
122	6/15/2018 19:30	12.304	2325				
123	6/15/2018 20:00	12.207	2497.2				
124	6/15/2018 20:30	12.207	2066.7				
125	6/15/2018 21:00	12.11	1636.1				
126	6/15/2018 21:30	12.013	1130.2				
127	6/15/2018 22:00	12.013	742.7				
128	6/15/2018 22:30	11.916	452.1				
129	6/15/2018 23:00	11.916	236.8				
130	6/15/2018 23:30	11.916	107.6				
131	6/16/2018 0:00	11.819	53.8				
132	6/16/2018 0:30	11.819	43.1				
133	6/16/2018 1:00	11.722	43.1				
134	6/16/2018 1:30	11.625	43.1				
135	6/16/2018 2:00	11.625	64.6				
136	6/16/2018 2:30	11.625	86.1				
137	6/16/2018 3:00	11.625	161.5				
138	6/16/2018 3:30	11.528	279.9				
139	6/16/2018 4:00	11.528	549				
140	6/16/2018 4:30	11.528	936.5				
141	6/16/2018 5:00	11.528	1151.7				
142	6/16/2018 5:30	11.528	1377.8				
143	6/16/2018 6:00	11.625	2583.4				
144	6/16/2018 6:30	11.722	4305.6				
145	6/16/2018 7:00	11.722	2927.8				
146	6/16/2018 7:30	11.722	3444.5				
147	6/16/2018 8:00	11.722	4133.4				
148	6/16/2018 8:30	11.916	4822.3				
149	6/16/2018 9:00	11.819	4822.3				
150	6/16/2018 9:30	12.013	5511.1				
151	6/16/2018 10:00	12.013	6544.5				
152	6/16/2018 10:30	12.013	5511.1				
153	6/16/2018 11:00	12.11	6200				
154	6/16/2018 11:30	12.304	6200				
155	6/16/2018 12:00	12.013	4822.3				
156	6/16/2018 12:30	12.207	7577.8				
157	6/16/2018 13:00	12.11	5511.1				
158	6/16/2018 13:30	12.207	7233.4				
159	6/16/2018 14:00	12.11	6200				
160	6/16/2018 14:30	12.013	5166.7				
161	6/16/2018 15:00	12.013	5338.9				
162	6/16/2018 15:30	12.013	4133.4				
163	6/16/2018 16:00	12.11	5338.9				
164	6/16/2018 16:30	12.883	13777.9				
165	6/16/2018 17:00	12.207	2755.6				
166	6/16/2018 17:30	12.207	3444.5				
167	6/16/2018 18:00	12.11	4822.3				
168	6/16/2018 18:30	12.11	3444.5				
