"Plot Title: MD_Reyk_P_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349964, SEN S/N: 10349964, LBL: temp)","Intensity, Lux (LGR S/N: 10349964, SEN S/N: 10349964, LBL: light)","Coupler Attached (LGR S/N: 10349964)","Host Connected (LGR S/N: 10349964)","Stopped (LGR S/N: 10349964)","End Of File (LGR S/N: 10349964)"
1,06/16/19 11:00:00,20.234,0.0,,,,
2,06/16/19 11:30:00,20.138,4133.4,,,,
3,06/16/19 12:00:00,22.525,24800.2,,,,
4,06/16/19 12:30:00,21.855,6200.0,,,,
5,06/16/19 13:00:00,18.996,0.0,,,,
6,06/16/19 13:30:00,18.521,28933.5,,,,
7,06/16/19 14:00:00,15.378,41333.6,,,,
8,06/16/19 14:30:00,14.996,49600.3,,,,
9,06/16/19 15:00:00,14.996,24800.2,,,,
10,06/16/19 15:30:00,15.091,44089.2,,,,
11,06/16/19 16:00:00,14.709,8266.7,,,,
12,06/16/19 16:30:00,14.613,9300.1,,,,
13,06/16/19 17:00:00,14.517,7233.4,,,,
14,06/16/19 17:30:00,14.709,6544.5,,,,
15,06/16/19 18:00:00,14.804,6200.0,,,,
16,06/16/19 18:30:00,14.613,3444.5,,,,
17,06/16/19 19:00:00,14.804,3272.2,,,,
18,06/16/19 19:30:00,14.804,3272.2,,,,
19,06/16/19 20:00:00,14.709,2066.7,,,,
20,06/16/19 20:30:00,14.325,1270.1,,,,
21,06/16/19 21:00:00,14.325,1151.7,,,,
22,06/16/19 21:30:00,14.230,1463.9,,,,
23,06/16/19 22:00:00,14.230,871.9,,,,
24,06/16/19 22:30:00,14.134,742.7,,,,
25,06/16/19 23:00:00,14.134,473.6,,,,
26,06/16/19 23:30:00,14.134,301.4,,,,
27,06/17/19 00:00:00,14.134,236.8,,,,
28,06/17/19 00:30:00,14.038,129.2,,,,
29,06/17/19 01:00:00,14.038,96.9,,,,
30,06/17/19 01:30:00,14.038,129.2,,,,
31,06/17/19 02:00:00,14.038,161.5,,,,
32,06/17/19 02:30:00,14.038,204.5,,,,
33,06/17/19 03:00:00,14.038,333.7,,,,
34,06/17/19 03:30:00,14.038,559.7,,,,
35,06/17/19 04:00:00,14.038,645.8,,,,
36,06/17/19 04:30:00,14.134,1377.8,,,,
37,06/17/19 05:00:00,14.038,1722.2,,,,
38,06/17/19 05:30:00,14.134,2411.1,,,,
39,06/17/19 06:00:00,14.038,1076.4,,,,
40,06/17/19 06:30:00,14.038,2152.8,,,,
41,06/17/19 07:00:00,14.134,2755.6,,,,
42,06/17/19 07:30:00,14.325,4305.6,,,,
43,06/17/19 08:00:00,14.325,4994.5,,,,
44,06/17/19 08:30:00,14.709,7577.8,,,,
45,06/17/19 09:00:00,14.709,17911.2,,,,
46,06/17/19 09:30:00,14.517,9644.5,,,,
47,06/17/19 10:00:00,14.325,5166.7,,,,
48,06/17/19 10:30:00,14.325,5338.9,,,,
49,06/17/19 11:00:00,14.325,5511.1,,,,
50,06/17/19 11:30:00,14.421,7233.4,,,,
51,06/17/19 12:00:00,14.517,8611.2,,,,
52,06/17/19 12:30:00,14.230,3788.9,,,,
53,06/17/19 13:00:00,14.325,4305.6,,,,
54,06/17/19 13:30:00,14.230,4305.6,,,,
55,06/17/19 14:00:00,14.421,5166.7,,,,
56,06/17/19 14:30:00,14.230,2927.8,,,,
57,06/17/19 15:00:00,14.230,1808.3,,,,
58,06/17/19 15:30:00,14.134,1377.8,,,,
59,06/17/19 16:00:00,14.038,1980.6,,,,
60,06/17/19 16:30:00,13.942,1722.2,,,,
61,06/17/19 17:00:00,13.846,1162.5,,,,
62,06/17/19 17:30:00,13.846,1248.6,,,,
63,06/17/19 18:00:00,13.846,2325.0,,,,
64,06/17/19 18:30:00,13.846,1463.9,,,,
65,06/17/19 19:00:00,13.750,2152.8,,,,
66,06/17/19 19:30:00,13.654,1377.8,,,,
67,06/17/19 20:00:00,13.654,1119.5,,,,
68,06/17/19 20:30:00,13.654,1033.3,,,,
69,06/17/19 21:00:00,13.654,505.9,,,,
70,06/17/19 21:30:00,13.558,452.1,,,,
71,06/17/19 22:00:00,13.461,398.3,,,,
72,06/17/19 22:30:00,13.461,409.0,,,,
73,06/17/19 23:00:00,13.461,96.9,,,,
74,06/17/19 23:30:00,13.461,43.1,,,,
75,06/18/19 00:00:00,13.461,32.3,,,,
76,06/18/19 00:30:00,13.365,32.3,,,,
77,06/18/19 01:00:00,13.365,32.3,,,,
78,06/18/19 01:30:00,13.365,10.8,,,,
79,06/18/19 02:00:00,13.365,43.1,,,,
80,06/18/19 02:30:00,13.269,75.3,,,,
81,06/18/19 03:00:00,13.269,64.6,,,,
82,06/18/19 03:30:00,13.173,64.6,,,,
83,06/18/19 04:00:00,13.173,75.3,,,,
84,06/18/19 04:30:00,13.173,129.2,,,,
85,06/18/19 05:00:00,13.173,279.9,,,,
86,06/18/19 05:30:00,13.173,613.5,,,,
87,06/18/19 06:00:00,13.173,1345.5,,,,
88,06/18/19 06:30:00,13.173,1808.3,,,,
89,06/18/19 07:00:00,13.173,2238.9,,,,
90,06/18/19 07:30:00,13.173,2927.8,,,,
91,06/18/19 08:00:00,13.269,3788.9,,,,
92,06/18/19 08:30:00,13.173,3788.9,,,,
93,06/18/19 09:00:00,13.173,4477.8,,,,
94,06/18/19 09:30:00,13.173,4650.0,,,,
95,06/18/19 10:00:00,13.076,4305.6,,,,
96,06/18/19 10:30:00,13.076,5166.7,,,,
97,06/18/19 11:00:00,13.173,6200.0,,,,
98,06/18/19 11:30:00,13.076,8266.7,,,,
99,06/18/19 12:00:00,12.883,5338.9,,,,
100,06/18/19 12:30:00,12.980,8611.2,,,,
101,06/18/19 13:00:00,12.883,7233.4,,,,
102,06/18/19 13:30:00,12.980,6200.0,,,,
103,06/18/19 14:00:00,12.787,4822.3,,,,
104,06/18/19 14:30:00,12.690,3272.2,,,,
105,06/18/19 15:00:00,12.690,4133.4,,,,
106,06/18/19 15:30:00,12.787,5338.9,,,,
107,06/18/19 16:00:00,12.690,4133.4,,,,
108,06/18/19 16:30:00,12.690,6544.5,,,,
109,06/18/19 17:00:00,12.690,9300.1,,,,
110,06/18/19 17:30:00,12.401,3444.5,,,,
111,06/18/19 18:00:00,12.207,2583.4,,,,
112,06/18/19 18:30:00,12.207,2755.6,,,,
113,06/18/19 19:00:00,12.207,3272.2,,,,
114,06/18/19 19:30:00,12.304,2411.1,,,,
115,06/18/19 20:00:00,12.304,2066.7,,,,
116,06/18/19 20:30:00,12.304,1894.5,,,,
117,06/18/19 21:00:00,12.304,1324.0,,,,
118,06/18/19 21:30:00,12.304,602.8,,,,
119,06/18/19 22:00:00,12.304,269.1,,,,
120,06/18/19 22:30:00,12.207,387.5,,,,
121,06/18/19 23:00:00,12.207,226.0,,,,
122,06/18/19 23:30:00,12.110,75.3,,,,
123,06/19/19 00:00:00,12.110,53.8,,,,
124,06/19/19 00:30:00,12.110,32.3,,,,
125,06/19/19 01:00:00,12.013,43.1,,,,
126,06/19/19 01:30:00,11.916,43.1,,,,
127,06/19/19 02:00:00,11.916,64.6,,,,
128,06/19/19 02:30:00,11.819,75.3,,,,
129,06/19/19 03:00:00,11.819,183.0,,,,
130,06/19/19 03:30:00,11.722,139.9,,,,
131,06/19/19 04:00:00,11.722,301.4,,,,
132,06/19/19 04:30:00,11.625,322.9,,,,
133,06/19/19 05:00:00,11.625,538.2,,,,
134,06/19/19 05:30:00,11.528,645.8,,,,
135,06/19/19 06:00:00,11.528,1313.2,,,,
136,06/19/19 06:30:00,11.431,1550.0,,,,
137,06/19/19 07:00:00,11.431,1377.8,,,,
138,06/19/19 07:30:00,11.334,1894.5,,,,
139,06/19/19 08:00:00,11.431,2927.8,,,,
140,06/19/19 08:30:00,11.625,6200.0,,,,
141,06/19/19 09:00:00,11.819,8266.7,,,,
142,06/19/19 09:30:00,11.528,3444.5,,,,
143,06/19/19 10:00:00,11.528,3616.7,,,,
144,06/19/19 10:30:00,11.722,6544.5,,,,
145,06/19/19 11:00:00,11.625,7233.4,,,,
146,06/19/19 11:30:00,11.916,5166.7,,,,
147,06/19/19 12:00:00,11.722,6544.5,,,,
148,06/19/19 12:30:00,11.625,6200.0,,,,
149,06/19/19 13:00:00,11.916,10333.4,,,,
150,06/19/19 13:30:00,11.625,6200.0,,,,
151,06/19/19 14:00:00,11.722,6544.5,,,,
152,06/19/19 14:30:00,11.625,4822.3,,,,
153,06/19/19 15:00:00,11.625,5166.7,,,,
154,06/19/19 15:30:00,11.625,5338.9,,,,
155,06/19/19 16:00:00,11.722,7577.8,,,,
156,06/19/19 16:30:00,11.722,7233.4,,,,
157,06/19/19 17:00:00,11.916,14466.8,,,,
158,06/19/19 17:30:00,11.819,9300.1,,,,
159,06/19/19 18:00:00,11.722,6544.5,,,,
160,06/19/19 18:30:00,11.722,4994.5,,,,
161,06/19/19 19:00:00,11.625,5166.7,,,,
162,06/19/19 19:30:00,11.625,4822.3,,,,
163,06/19/19 20:00:00,11.528,3616.7,,,,
164,06/19/19 20:30:00,11.431,2755.6,,,,
165,06/19/19 21:00:00,11.431,2411.1,,,,
166,06/19/19 21:30:00,11.334,1367.0,,,,
167,06/19/19 22:00:00,11.236,688.9,,,,
168,06/19/19 22:30:00,11.139,355.2,,,,
169,06/19/19 23:00:00,11.139,193.8,,,,
170,06/19/19 23:30:00,11.139,96.9,,,,
171,06/20/19 00:00:00,11.041,43.1,,,,
172,06/20/19 00:30:00,11.139,21.5,,,,
173,06/20/19 01:00:00,11.139,10.8,,,,
174,06/20/19 01:30:00,11.139,10.8,,,,
175,06/20/19 02:00:00,11.041,10.8,,,,
176,06/20/19 02:30:00,11.041,32.3,,,,
177,06/20/19 03:00:00,11.041,53.8,,,,
178,06/20/19 03:30:00,10.944,107.6,,,,
179,06/20/19 04:00:00,10.944,183.0,,,,
180,06/20/19 04:30:00,10.944,236.8,,,,
181,06/20/19 05:00:00,10.944,301.4,,,,
182,06/20/19 05:30:00,10.944,495.1,,,,
183,06/20/19 06:00:00,10.944,699.7,,,,
184,06/20/19 06:30:00,10.944,1097.9,,,,
185,06/20/19 07:00:00,10.846,1011.8,,,,
186,06/20/19 07:30:00,10.846,1722.2,,,,
187,06/20/19 08:00:00,10.846,2583.4,,,,
188,06/20/19 08:30:00,10.846,2755.6,,,,
189,06/20/19 09:00:00,10.944,3616.7,,,,
190,06/20/19 09:30:00,10.944,3272.2,,,,
191,06/20/19 10:00:00,10.944,4994.5,,,,
192,06/20/19 10:30:00,10.944,6200.0,,,,
193,06/20/19 11:00:00,11.236,8611.2,,,,
