Plot Title: Reyk_Pelagic_17Jul18								
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)"	"Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)"	Coupler Attached (LGR S/N: 10349970)	Coupler Detached (LGR S/N: 10349970)	Host Connected (LGR S/N: 10349970)	Stopped (LGR S/N: 10349970)	End Of File (LGR S/N: 10349970)
1	7/17/2018 11:00	20.519	53.8					
2	7/17/2018 11:15	20.043	0					
3	7/17/2018 11:30	18.806	0					
4	7/17/2018 11:45	17.76	0					
5	7/17/2018 12:00	16.903	0					
6	7/17/2018 12:15	16.427	0					
7	7/17/2018 12:30	16.046	0					
8	7/17/2018 12:45	15.664	0					
9	7/17/2018 13:00	15.473	0					
10	7/17/2018 13:15	15.378	0					
11	7/17/2018 13:30	15.282	0					
12	7/17/2018 13:45	15.187	0					
13	7/17/2018 14:00	14.996	0					
14	7/17/2018 14:15	14.9	0					
15	7/17/2018 14:30	14.804	0					
16	7/17/2018 14:45	14.804	0					
17	7/17/2018 15:00	14.9	0					
18	7/17/2018 15:15	14.9	0					
19	7/17/2018 15:30	14.996	0					
20	7/17/2018 15:45	15.091	0					
21	7/17/2018 16:00	15.187	0					
22	7/17/2018 16:15	15.091	0					
23	7/17/2018 16:30	14.9	0					
24	7/17/2018 16:45	14.613	0					
25	7/17/2018 17:00	14.038	0					
26	7/17/2018 17:15	13.942	0					
27	7/17/2018 17:30	13.846	0					
28	7/17/2018 17:45	13.654	0					
29	7/17/2018 18:00	13.461	0					
30	7/17/2018 18:15	13.365	0					
31	7/17/2018 18:30	13.173	0					
32	7/17/2018 18:45	15.187	2238.9					
33	7/17/2018 19:00	28.06	23422.4					
34	7/17/2018 19:15	23.004	17222.3					
35	7/17/2018 19:30	23.292	11022.3					
36	7/17/2018 19:45	22.812	23422.4					
37	7/17/2018 20:00	15.187	4477.8					
38	7/17/2018 20:15	12.401	30311.3					
39	7/17/2018 20:30	12.98	602.8					
40	7/17/2018 20:45	13.173	484.4					
41	7/17/2018 21:00	13.173	387.5					
42	7/17/2018 21:15	13.269	279.9					
43	7/17/2018 21:30	13.269	215.3					
44	7/17/2018 21:45	13.173	139.9					
45	7/17/2018 22:00	13.269	107.6					
46	7/17/2018 22:15	13.269	75.3					
47	7/17/2018 22:30	13.173	53.8					
48	7/17/2018 22:45	13.173	43.1					
49	7/17/2018 23:00	13.173	21.5					
50	7/17/2018 23:15	13.173	10.8					
51	7/17/2018 23:30	13.173	0					
52	7/17/2018 23:45	13.173	0					
53	7/18/2018 0:00	13.076	0					
54	7/18/2018 0:15	13.076	0					
55	7/18/2018 0:30	13.076	0					
56	7/18/2018 0:45	13.076	0					
57	7/18/2018 1:00	13.076	0					
58	7/18/2018 1:15	13.076	0					
59	7/18/2018 1:30	13.076	0					
60	7/18/2018 1:45	13.076	0					
61	7/18/2018 2:00	13.076	0					
62	7/18/2018 2:15	13.076	0					
63	7/18/2018 2:30	13.076	0					
