Plot Title: Sonde 2015_2,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)",Coupler Detached (LGR S/N: 10517223),Coupler Attached (LGR S/N: 10517223),Host Connected (LGR S/N: 10517223),Stopped (LGR S/N: 10517223),End Of File (LGR S/N: 10517223)
1,7/11/15 15:12,26.292,0,,,,,
2,7/11/15 15:13,,,Logged,,,,
3,7/11/15 15:42,25.513,150.7,,,,,
4,7/11/15 16:12,25.805,215.3,,,,,
5,7/11/15 16:42,26,161.5,,,,,
6,7/11/15 17:12,25.61,215.3,,,,,
7,7/11/15 17:42,25.125,107.6,,,,,
8,7/11/15 18:12,24.738,150.7,,,,,
9,7/11/15 18:42,24.641,193.8,,,,,
10,7/11/15 19:12,24.641,150.7,,,,,
11,7/11/15 19:42,24.641,86.1,,,,,
12,7/11/15 20:12,24.448,43.1,,,,,
13,7/11/15 20:42,24.448,10.8,,,,,
14,7/11/15 21:12,24.448,10.8,,,,,
15,7/11/15 21:42,24.448,21.5,,,,,
16,7/11/15 22:12,24.448,10.8,,,,,
17,7/11/15 22:42,24.351,10.8,,,,,
18,7/11/15 23:12,24.448,0,,,,,
19,7/11/15 23:42,24.448,0,,,,,
20,7/12/15 0:12,24.448,0,,,,,
21,7/12/15 0:42,24.448,0,,,,,
22,7/12/15 1:12,24.448,0,,,,,
23,7/12/15 1:42,24.448,0,,,,,
24,7/12/15 2:12,24.448,0,,,,,
25,7/12/15 2:42,24.448,0,,,,,
26,7/12/15 3:12,24.448,0,,,,,
27,7/12/15 3:42,24.545,10.8,,,,,
28,7/12/15 4:12,24.545,32.3,,,,,
29,7/12/15 4:42,24.641,64.6,,,,,
30,7/12/15 5:12,24.641,53.8,,,,,
31,7/12/15 5:42,24.641,75.3,,,,,
32,7/12/15 6:12,24.738,118.4,,,,,
33,7/12/15 6:42,24.738,32.3,,,,,
34,7/12/15 7:12,24.738,64.6,,,,,
35,7/12/15 7:42,24.738,118.4,,,,,
36,7/12/15 8:12,24.835,139.9,,,,,
37,7/12/15 8:42,24.931,193.8,,,,,
38,7/12/15 9:12,24.158,301.4,,,,,
39,7/12/15 9:42,17.95,871.9,,,,,
40,7/12/15 10:12,14.23,1097.9,,,,,
41,7/12/15 10:42,12.11,1248.6,,,,,
42,7/12/15 11:12,11.431,1550,,,,,
43,7/12/15 11:42,11.334,1033.3,,,,,
44,7/12/15 12:12,14.804,3788.9,,,,,
45,7/12/15 12:42,18.331,11022.3,,,,,
46,7/12/15 13:12,21.473,9644.5,,,,,
47,7/12/15 13:42,19.758,6544.5,,,,,
48,7/12/15 14:12,18.14,5166.7,,,,,
49,7/12/15 14:42,16.046,4305.6,,,,,
50,7/12/15 15:12,18.996,6544.5,,,,,
51,7/12/15 15:42,20.329,24800.2,,,,,
52,7/12/15 16:12,16.427,3961.1,,,,,
53,7/12/15 16:42,15.664,1894.5,,,,,
54,7/12/15 17:12,12.98,3788.9,,,,,
55,7/12/15 17:42,12.98,2325,,,,,
56,7/12/15 18:12,12.013,1377.8,,,,,
57,7/12/15 18:42,11.625,1636.1,,,,,
58,7/12/15 19:12,11.139,2927.8,,,,,
59,7/12/15 19:42,11.041,2325,,,,,
60,7/12/15 20:12,10.846,1808.3,,,,,
61,7/12/15 20:42,10.357,1108.7,,,,,
62,7/12/15 21:12,10.161,1291.7,,,,,
63,7/12/15 21:42,9.768,635.1,,,,,
64,7/12/15 22:12,9.669,376.7,,,,,
65,7/12/15 22:42,9.275,193.8,,,,,
66,7/12/15 23:12,9.077,64.6,,,,,
67,7/12/15 23:42,9.176,21.5,,,,,
68,7/13/15 0:12,8.978,0,,,,,
69,7/13/15 0:42,8.879,0,,,,,
70,7/13/15 1:12,8.68,0,,,,,
71,7/13/15 1:42,8.978,0,,,,,
72,7/13/15 2:12,8.978,0,,,,,
73,7/13/15 2:42,8.879,0,,,,,
74,7/13/15 3:12,8.879,21.5,,,,,
75,7/13/15 3:42,8.779,32.3,,,,,
76,7/13/15 4:12,8.779,43.1,,,,,
77,7/13/15 4:42,8.879,86.1,,,,,
78,7/13/15 5:12,8.978,258.3,,,,,
79,7/13/15 5:42,9.077,505.9,,,,,
80,7/13/15 6:12,9.275,947.2,,,,,
81,7/13/15 6:42,9.472,1334.7,,,,,
82,7/13/15 7:12,9.472,979.5,,,,,
83,7/13/15 7:42,9.965,3272.2,,,,,
84,7/13/15 8:12,9.669,1270.1,,,,,
85,7/13/15 8:42,10.063,2927.8,,,,,
86,7/13/15 9:12,11.139,2669.5,,,,,
87,7/13/15 9:42,11.819,2927.8,,,,,
88,7/13/15 10:12,11.236,2152.8,,,,,
89,7/13/15 10:42,12.11,4477.8,,,,,
90,7/13/15 11:12,10.553,2669.5,,,,,
91,7/13/15 11:42,11.041,1550,,,,,
92,7/13/15 12:12,10.748,1377.8,,,,,
93,7/13/15 12:42,11.916,3961.1,,,,,
94,7/13/15 13:12,11.334,2583.4,,,,,
95,7/13/15 13:42,12.401,4994.5,,,,,
96,7/13/15 14:12,12.207,3788.9,,,,,
97,7/13/15 14:42,12.594,4650,,,,,
98,7/13/15 15:12,11.722,4994.5,,,,,
99,7/13/15 15:42,11.431,3100,,,,,
100,7/13/15 16:12,11.236,4305.6,,,,,
101,7/13/15 16:42,10.553,1722.2,,,,,
102,7/13/15 17:12,10.944,2411.1,,,,,
103,7/13/15 17:42,10.553,1722.2,,,,,
104,7/13/15 18:12,10.161,1324,,,,,
105,7/13/15 18:42,9.965,1248.6,,,,,
106,7/13/15 19:12,9.176,699.7,,,,,
107,7/13/15 19:42,8.779,527.4,,,,,
108,7/13/15 20:12,8.68,527.4,,,,,
109,7/13/15 20:42,8.68,516.7,,,,,
110,7/13/15 21:12,8.581,710.4,,,,,
111,7/13/15 21:42,8.282,301.4,,,,,
112,7/13/15 22:12,7.983,215.3,,,,,
113,7/13/15 22:42,7.983,75.3,,,,,
114,7/13/15 23:12,7.582,32.3,,,,,
115,7/13/15 23:42,7.481,10.8,,,,,
116,7/14/15 0:12,7.28,0,,,,,
117,7/14/15 0:42,7.179,0,,,,,
118,7/14/15 1:12,6.877,0,,,,,
119,7/14/15 1:42,6.775,0,,,,,
120,7/14/15 2:12,6.775,0,,,,,
121,7/14/15 2:42,6.775,10.8,,,,,
122,7/14/15 3:12,6.674,21.5,,,,,
123,7/14/15 3:42,6.573,129.2,,,,,
124,7/14/15 4:12,6.674,269.1,,,,,
