Plot Title: Incubator_17July2017,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)",Host Connected (LGR S/N: 10517223),Coupler Detached (LGR S/N: 10517223),Coupler Attached (LGR S/N: 10517223),Stopped (LGR S/N: 10517223),End Of File (LGR S/N: 10517223)
1,7/17/17 9:16,21.951,10.8,,,,,
2,7/17/17 9:16,,,Logged,,,,
3,7/17/17 9:16,,,,Logged,,,
4,7/17/17 9:31,22.333,742.7,,,,,
5,7/17/17 9:46,22.046,139.9,,,,,
6,7/17/17 10:01,20.138,11022.3,,,,,
7,7/17/17 10:16,19.377,15155.7,,,,,
8,7/17/17 10:31,18.521,21.5,,,,,
9,7/17/17 10:46,18.901,38578,,,,,
10,7/17/17 11:01,23.1,19977.9,,,,,
11,7/17/17 11:16,26.488,44089.2,,,,,
12,7/17/17 11:31,25.222,1636.1,,,,,
13,7/17/17 11:46,20.901,1894.5,,,,,
14,7/17/17 12:01,17.95,2066.7,,,,,
15,7/17/17 12:16,16.427,11711.2,,,,,
16,7/17/17 12:31,16.808,2583.4,,,,,
17,7/17/17 12:46,15.473,1808.3,,,,,
18,7/17/17 13:01,17.094,15155.7,,,,,
19,7/17/17 13:16,22.142,35822.5,,,,,
20,7/17/17 13:31,22.429,11022.3,,,,,
21,7/17/17 13:46,21.664,49600.3,,,,,
22,7/17/17 14:01,24.641,27555.7,,,,,
23,7/17/17 14:16,29.853,44089.2,,,,,
24,7/17/17 14:31,22.046,49600.3,,,,,
25,7/17/17 14:46,24.641,137778.7,,,,,
26,7/17/17 15:01,32.6,143289.8,,,,,
27,7/17/17 15:16,24.835,132267.5,,,,,
28,7/17/17 15:31,29.752,170845.6,,,,,
29,7/17/17 15:46,27.468,121245.2,,,,,
30,7/17/17 16:01,24.448,99200.7,,,,,
31,7/17/17 16:16,22.621,77156.1,,,,,
32,7/17/17 16:31,21.855,77156.1,,,,,
33,7/17/17 16:46,20.519,71644.9,,,,,
34,7/17/17 17:01,20.424,88178.4,,,,,
35,7/17/17 17:16,19.472,57867,,,,,
36,7/17/17 17:31,18.045,35822.5,,,,,
37,7/17/17 17:46,18.996,35822.5,,,,,
38,7/17/17 18:01,19.567,38578,,,,,
39,7/17/17 18:16,18.426,26178,,,,,
40,7/17/17 18:31,17.855,30311.3,,,,,
41,7/17/17 18:46,16.713,26178,,,,,
42,7/17/17 19:01,15.855,22044.6,,,,,
43,7/17/17 19:16,15.378,17911.2,,,,,
44,7/17/17 19:31,15.569,26178,,,,,
45,7/17/17 19:46,15.187,13089,,,,,
46,7/17/17 20:01,14.996,11711.2,,,,,
47,7/17/17 20:16,14.9,9300.1,,,,,
48,7/17/17 20:31,13.558,9300.1,,,,,
49,7/17/17 20:46,13.269,11022.3,,,,,
50,7/17/17 21:01,13.269,10333.4,,,,,
51,7/17/17 21:16,12.497,5511.1,,,,,
52,7/17/17 21:31,12.207,3616.7,,,,,
53,7/17/17 21:46,12.013,4994.5,,,,,
54,7/17/17 22:01,11.916,3100,,,,,
55,7/17/17 22:16,11.334,2066.7,,,,,
56,7/17/17 22:31,10.651,1227.1,,,,,
57,7/17/17 22:46,10.651,785.8,,,,,
58,7/17/17 23:01,10.748,355.2,,,,,
59,7/17/17 23:16,10.651,107.6,,,,,
60,7/17/17 23:31,10.455,64.6,,,,,
61,7/17/17 23:46,10.455,53.8,,,,,
62,7/18/17 0:01,11.528,43.1,,,,,
63,7/18/17 0:16,12.594,32.3,,,,,
64,7/18/17 0:31,12.11,10.8,,,,,
65,7/18/17 0:46,12.013,10.8,,,,,
66,7/18/17 1:01,11.528,0,,,,,
67,7/18/17 1:16,11.041,0,,,,,
68,7/18/17 1:31,11.236,0,,,,,
69,7/18/17 1:46,11.334,10.8,,,,,
70,7/18/17 2:01,11.139,43.1,,,,,
71,7/18/17 2:16,11.041,53.8,,,,,
72,7/18/17 2:31,10.651,96.9,,,,,
73,7/18/17 2:46,10.748,150.7,,,,,
74,7/18/17 3:01,10.259,290.6,,,,,
75,7/18/17 3:16,10.455,516.7,,,,,
76,7/18/17 3:31,10.651,462.9,,,,,
77,7/18/17 3:46,10.357,613.5,,,,,
78,7/18/17 4:01,10.553,1356.3,,,,,
79,7/18/17 4:16,10.944,3272.2,,,,,
80,7/18/17 4:31,11.528,3272.2,,,,,
81,7/18/17 4:46,12.594,4822.3,,,,,
82,7/18/17 5:01,13.076,5166.7,,,,,
83,7/18/17 5:16,13.269,4477.8,,,,,
84,7/18/17 5:31,12.497,6544.5,,,,,
85,7/18/17 5:46,13.269,5166.7,,,,,
86,7/18/17 6:01,13.461,3961.1,,,,,
87,7/18/17 6:16,13.558,4650,,,,,
88,7/18/17 6:31,14.517,6200,,,,,
89,7/18/17 6:46,15.187,9644.5,,,,,
90,7/18/17 7:01,15.473,8266.7,,,,,
91,7/18/17 7:16,16.808,9644.5,,,,,
92,7/18/17 7:31,15.76,8266.7,,,,,
93,7/18/17 7:46,16.618,6544.5,,,,,
94,7/18/17 8:01,18.236,8266.7,,,,,
95,7/18/17 8:16,17.76,8266.7,,,,,
96,7/18/17 8:31,18.616,11711.2,,,,,
97,7/18/17 8:46,17.665,15155.7,,,,,
98,7/18/17 9:01,20.138,24800.2,,,,,
99,7/18/17 9:16,17.189,21355.7,,,,,
100,7/18/17 9:31,16.141,26178,,,,,
101,7/18/17 9:46,16.046,19289,,,,,
102,7/18/17 10:01,15.664,18600.1,,,,,
103,7/18/17 10:16,15.664,22044.6,,,,,
104,7/18/17 10:31,15.473,17222.3,,,,,
105,7/18/17 10:46,15.187,22044.6,,,,,
106,7/18/17 11:01,15.187,16533.4,,,,,
107,7/18/17 11:16,15.378,16533.4,,,,,
108,7/18/17 11:31,15.951,19977.9,,,,,
109,7/18/17 11:46,16.618,24800.2,,,,,
110,7/18/17 12:01,18.426,34444.7,,,,,
111,7/18/17 12:16,16.999,55111.5,,,,,
112,7/18/17 12:31,17.475,71644.9,,,,,
113,7/18/17 12:46,16.713,60622.6,,,,,
114,7/18/17 13:01,14.038,37200.2,,,,,
115,7/18/17 13:16,13.75,30311.3,,,,,
116,7/18/17 13:31,12.594,20666.8,,,,,
117,7/18/17 13:46,12.401,21355.7,,,,,
118,7/18/17 14:01,12.401,23422.4,,,,,
119,7/18/17 14:16,12.401,26178,,,,,
120,7/18/17 14:31,12.11,20666.8,,,,,
121,7/18/17 14:46,12.11,14466.8,,,,,
122,7/18/17 15:01,12.304,21355.7,,,,,
123,7/18/17 15:16,12.207,20666.8,,,,,
124,7/18/17 15:31,12.207,23422.4,,,,,
125,7/18/17 15:46,12.304,22044.6,,,,,
126,7/18/17 16:01,12.304,18600.1,,,,,
127,7/18/17 16:16,12.11,17911.2,,,,,
128,7/18/17 16:31,11.916,16533.4,,,,,
129,7/18/17 16:46,11.722,14466.8,,,,,
130,7/18/17 17:01,12.11,12400.1,,,,,
131,7/18/17 17:16,12.11,11022.3,,,,,
132,7/18/17 17:31,11.916,7577.8,,,,,
133,7/18/17 17:46,11.819,8266.7,,,,,
134,7/18/17 18:01,12.69,6544.5,,,,,
135,7/18/17 18:16,12.69,4650,,,,,
136,7/18/17 18:31,12.594,3788.9,,,,,
137,7/18/17 18:46,12.69,4994.5,,,,,
138,7/18/17 19:01,12.013,5511.1,,,,,
139,7/18/17 19:16,11.236,4822.3,,,,,
140,7/18/17 19:31,11.431,3272.2,,,,,
141,7/18/17 19:46,11.334,3616.7,,,,,
142,7/18/17 20:01,11.334,3100,,,,,
143,7/18/17 20:16,11.236,3444.5,,,,,
144,7/18/17 20:31,11.334,3961.1,,,,,
145,7/18/17 20:46,11.334,3961.1,,,,,
146,7/18/17 21:01,11.528,3272.2,,,,,
147,7/18/17 21:16,11.819,3100,,,,,
148,7/18/17 21:31,11.528,2066.7,,,,,
149,7/18/17 21:46,11.334,2066.7,,,,,
150,7/18/17 22:01,11.722,1550,,,,,
151,7/18/17 22:16,12.11,850.4,,,,,
152,7/18/17 22:31,12.207,882.6,,,,,
153,7/18/17 22:46,11.916,484.4,,,,,
154,7/18/17 23:01,11.625,150.7,,,,,
155,7/18/17 23:16,12.207,53.8,,,,,
156,7/18/17 23:31,12.497,21.5,,,,,
157,7/18/17 23:46,12.401,0,,,,,
158,7/19/17 0:01,12.69,0,,,,,
159,7/19/17 0:16,12.594,0,,,,,
160,7/19/17 0:31,12.594,0,,,,,
161,7/19/17 0:46,12.11,0,,,,,
162,7/19/17 1:01,12.11,0,,,,,
163,7/19/17 1:16,12.207,0,,,,,
164,7/19/17 1:31,12.304,0,,,,,
165,7/19/17 1:46,12.013,0,,,,,
166,7/19/17 2:01,12.11,10.8,,,,,
167,7/19/17 2:16,12.304,10.8,,,,,
168,7/19/17 2:31,12.401,21.5,,,,,
169,7/19/17 2:46,12.594,53.8,,,,,
170,7/19/17 3:01,12.401,64.6,,,,,
171,7/19/17 3:16,12.304,64.6,,,,,
172,7/19/17 3:31,12.69,193.8,,,,,
173,7/19/17 3:46,12.883,376.7,,,,,
174,7/19/17 4:01,12.883,656.6,,,,,
175,7/19/17 4:16,13.269,861.1,,,,,
176,7/19/17 4:31,13.558,1377.8,,,,,
177,7/19/17 4:46,13.365,1636.1,,,,,
178,7/19/17 5:01,13.558,1550,,,,,
179,7/19/17 5:16,13.654,3272.2,,,,,
180,7/19/17 5:31,13.654,4133.4,,,,,
181,7/19/17 5:46,13.75,3616.7,,,,,
182,7/19/17 6:01,13.461,5166.7,,,,,
183,7/19/17 6:16,13.846,6200,,,,,
184,7/19/17 6:31,13.558,5338.9,,,,,
185,7/19/17 6:46,13.076,6200,,,,,
186,7/19/17 7:01,13.269,5511.1,,,,,
187,7/19/17 7:16,13.076,8266.7,,,,,
188,7/19/17 7:31,13.076,11711.2,,,,,
189,7/19/17 7:46,13.654,13089,,,,,
190,7/19/17 8:01,13.75,11022.3,,,,,
191,7/19/17 8:16,13.846,10333.4,,,,,
192,7/19/17 8:31,13.75,19289,,,,,
193,7/19/17 8:46,13.654,11022.3,,,,,
194,7/19/17 9:01,13.75,13089,,,,,
195,7/19/17 9:16,14.134,10333.4,,,,,
196,7/19/17 9:31,14.613,17222.3,,,,,
197,7/19/17 9:46,14.613,26178,,,,,
198,7/19/17 10:01,15.187,31689.1,,,,,
199,7/19/17 10:16,15.282,30311.3,,,,,
200,7/19/17 10:31,15.951,30311.3,,,,,
201,7/19/17 10:46,15.569,33066.9,,,,,
202,7/19/17 11:01,16.808,33066.9,,,,,
203,7/19/17 11:16,17.284,39955.8,,,,,
204,7/19/17 11:31,16.332,24800.2,,,,,
205,7/19/17 11:46,16.427,34444.7,,,,,
206,7/19/17 12:01,16.332,38578,,,,,
207,7/19/17 12:16,16.046,41333.6,,,,,
208,7/19/17 12:31,15.378,42711.4,,,,,
209,7/19/17 12:46,14.9,38578,,,,,
210,7/19/17 13:01,15.569,44089.2,,,,,
211,7/19/17 13:16,16.237,66133.8,,,,,
212,7/19/17 13:31,18.331,34444.7,,,,,
213,7/19/17 13:46,19.472,143289.8,,,,,
214,7/19/17 14:01,23.388,198401.3,,,,,
215,7/19/17 14:16,19.377,38578,,,,,
216,7/19/17 14:31,18.521,26178,,,,,
217,7/19/17 14:46,18.14,20666.8,,,,,
218,7/19/17 15:01,17.57,26178,,,,,
219,7/19/17 15:16,16.237,39955.8,,,,,
220,7/19/17 15:31,15.855,37200.2,,,,,
221,7/19/17 15:46,15.76,27555.7,,,,,
222,7/19/17 16:01,16.618,27555.7,,,,,
223,7/19/17 16:16,16.237,16533.4,,,,,
224,7/19/17 16:31,15.187,21355.7,,,,,
225,7/19/17 16:46,15.091,16533.4,,,,,
226,7/19/17 17:01,15.282,10677.8,,,,,
227,7/19/17 17:16,15.187,11711.2,,,,,
228,7/19/17 17:31,15.282,10677.8,,,,,
229,7/19/17 17:46,15.378,10333.4,,,,,
230,7/19/17 18:01,15.378,8611.2,,,,,
231,7/19/17 18:16,15.091,7233.4,,,,,
232,7/19/17 18:31,14.421,5166.7,,,,,
233,7/19/17 18:46,14.421,3961.1,,,,,
234,7/19/17 19:01,14.325,4133.4,,,,,
235,7/19/17 19:16,14.325,4477.8,,,,,
236,7/19/17 19:31,14.325,4650,,,,,
237,7/19/17 19:46,14.421,5166.7,,,,,
238,7/19/17 20:01,15.091,5511.1,,,,,
239,7/19/17 20:16,14.9,8266.7,,,,,
240,7/19/17 20:31,15.187,6544.5,,,,,
241,7/19/17 20:46,14.996,5166.7,,,,,
242,7/19/17 21:01,14.9,5166.7,,,,,
243,7/19/17 21:16,14.709,6200,,,,,
244,7/19/17 21:31,13.846,5166.7,,,,,
245,7/19/17 21:46,13.558,5166.7,,,,,
246,7/19/17 22:01,13.558,3788.9,,,,,
247,7/19/17 22:16,12.11,2755.6,,,,,
248,7/19/17 22:31,11.916,1722.2,,,,,
249,7/19/17 22:46,11.431,1334.7,,,,,
250,7/19/17 23:01,11.431,409,,,,,
251,7/19/17 23:16,11.236,322.9,,,,,
252,7/19/17 23:31,11.041,204.5,,,,,
253,7/19/17 23:46,11.139,172.2,,,,,
254,7/20/17 0:01,11.139,107.6,,,,,
255,7/20/17 0:16,10.944,64.6,,,,,
256,7/20/17 0:31,10.846,53.8,,,,,
257,7/20/17 0:46,10.944,43.1,,,,,
258,7/20/17 1:01,10.748,43.1,,,,,
259,7/20/17 1:16,11.236,43.1,,,,,
260,7/20/17 1:31,11.431,43.1,,,,,
261,7/20/17 1:46,11.528,32.3,,,,,
262,7/20/17 2:01,11.236,75.3,,,,,
263,7/20/17 2:16,10.748,86.1,,,,,
264,7/20/17 2:31,10.651,129.2,,,,,
265,7/20/17 2:46,9.965,236.8,,,,,
266,7/20/17 3:01,10.553,473.6,,,,,
267,7/20/17 3:16,10.651,602.8,,,,,
268,7/20/17 3:31,10.846,785.8,,,,,
269,7/20/17 3:46,10.651,1550,,,,,
270,7/20/17 4:01,11.625,2325,,,,,
271,7/20/17 4:16,11.819,2497.2,,,,,
272,7/20/17 4:31,12.207,3444.5,,,,,
273,7/20/17 4:46,12.013,3961.1,,,,,
274,7/20/17 5:01,11.916,3961.1,,,,,
275,7/20/17 5:16,12.11,5511.1,,,,,
276,7/20/17 5:31,12.401,7233.4,,,,,
277,7/20/17 5:46,12.69,10677.8,,,,,
278,7/20/17 6:01,13.365,13089,,,,,
279,7/20/17 6:16,13.461,13777.9,,,,,
280,7/20/17 6:31,13.942,16533.4,,,,,
281,7/20/17 6:46,14.709,17911.2,,,,,
282,7/20/17 7:01,15.282,18600.1,,,,,
283,7/20/17 7:16,16.141,18600.1,,,,,
284,7/20/17 7:31,14.709,17222.3,,,,,
285,7/20/17 7:46,14.804,17911.2,,,,,
286,7/20/17 8:01,15.187,17222.3,,,,,
287,7/20/17 8:16,14.804,14466.8,,,,,
288,7/20/17 8:31,14.9,17222.3,,,,,
289,7/20/17 8:46,15.664,21355.7,,,,,
