"Plot Title: md_st33_benthic_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Temperature)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Light)","Coupler Attached (LGR S/N: 10349961)","Host Connected (LGR S/N: 10349961)","Stopped (LGR S/N: 10349961)","End Of File (LGR S/N: 10349961)"
1,06/13/19 14:00:00,22.812,688.9,,,,
2,06/13/19 14:30:00,26.488,32.3,,,,
3,06/13/19 15:00:00,22.238,32.3,,,,
4,06/13/19 15:30:00,13.942,2755.6,,,,
5,06/13/19 16:00:00,16.999,99200.7,,,,
6,06/13/19 16:30:00,20.996,110223.0,,,,
7,06/13/19 17:00:00,19.758,82667.2,,,,
8,06/13/19 17:30:00,23.004,936.5,,,,
9,06/13/19 18:00:00,23.773,731.9,,,,
10,06/13/19 18:30:00,23.773,990.3,,,,
11,06/13/19 19:00:00,23.966,893.4,,,,
12,06/13/19 19:30:00,23.773,688.9,,,,
13,06/13/19 20:00:00,23.581,559.7,,,,
14,06/13/19 20:30:00,23.388,527.4,,,,
15,06/13/19 21:00:00,23.292,398.3,,,,
16,06/13/19 21:30:00,23.100,279.9,,,,
17,06/13/19 22:00:00,22.908,172.2,,,,
18,06/13/19 22:30:00,22.525,86.1,,,,
19,06/13/19 23:00:00,22.238,43.1,,,,
20,06/13/19 23:30:00,22.046,10.8,,,,
21,06/14/19 00:00:00,22.142,0.0,,,,
22,06/14/19 00:30:00,22.238,0.0,,,,
23,06/14/19 01:00:00,22.046,0.0,,,,
24,06/14/19 01:30:00,21.760,0.0,,,,
25,06/14/19 02:00:00,21.569,0.0,,,,
26,06/14/19 02:30:00,21.378,0.0,,,,
27,06/14/19 03:00:00,21.187,10.8,,,,
28,06/14/19 03:30:00,21.187,10.8,,,,
29,06/14/19 04:00:00,20.996,21.5,,,,
30,06/14/19 04:30:00,21.187,32.3,,,,
31,06/14/19 05:00:00,21.091,43.1,,,,
32,06/14/19 05:30:00,20.996,32.3,,,,
33,06/14/19 06:00:00,20.901,32.3,,,,
34,06/14/19 06:30:00,20.996,96.9,,,,
35,06/14/19 07:00:00,20.710,64.6,,,,
36,06/14/19 07:30:00,20.710,75.3,,,,
37,06/14/19 08:00:00,20.805,64.6,,,,
38,06/14/19 08:30:00,21.091,172.2,,,,
39,06/14/19 09:00:00,21.091,96.9,,,,
40,06/14/19 09:30:00,20.805,139.9,,,,
41,06/14/19 10:00:00,20.901,129.2,,,,
42,06/14/19 10:30:00,20.901,86.1,,,,
43,06/14/19 11:00:00,20.805,96.9,,,,
44,06/14/19 11:30:00,20.805,86.1,,,,
45,06/14/19 12:00:00,20.710,118.4,,,,
46,06/14/19 12:30:00,20.996,139.9,,,,
47,06/14/19 13:00:00,20.996,161.5,,,,
48,06/14/19 13:30:00,20.901,129.2,,,,
