Plot Title: miniDOT-Benthic-St33							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)"	"Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)"	Coupler Attached (LGR S/N: 10517221)	Host Connected (LGR S/N: 10517221)	Stopped (LGR S/N: 10517221)	End Of File (LGR S/N: 10517221)
1	6/13/2018 7:00	20.424	10.8				
2	6/13/2018 7:30	19.853	16533.4				
3	6/13/2018 8:00	15.951	4133.4				
4	6/13/2018 8:30	14.804	3100				
5	6/13/2018 9:00	14.038	7233.4				
6	6/13/2018 9:30	14.134	7577.8				
7	6/13/2018 10:00	14.325	9644.5				
8	6/13/2018 10:30	12.594	4994.5				
9	6/13/2018 11:00	10.944	8611.2				
10	6/13/2018 11:30	13.654	79911.6				
11	6/13/2018 12:00	15.951	37200.2				
12	6/13/2018 12:30	15.282	4994.5				
13	6/13/2018 13:00	15.187	3272.2				
14	6/13/2018 13:30	15.187	3616.7				
15	6/13/2018 14:00	15.187	3272.2				
16	6/13/2018 14:30	15.187	5338.9				
17	6/13/2018 15:00	15.378	6544.5				
18	6/13/2018 15:30	15.282	3444.5				
19	6/13/2018 16:00	15.091	2497.2				
20	6/13/2018 16:30	15.091	2927.8				
21	6/13/2018 17:00	14.996	2152.8				
22	6/13/2018 17:30	14.996	1550				
23	6/13/2018 18:00	14.9	1377.8				
24	6/13/2018 18:30	14.9	925.7				
25	6/13/2018 19:00	14.804	818.1				
26	6/13/2018 19:30	14.804	570.5				
27	6/13/2018 20:00	14.709	333.7				
28	6/13/2018 20:30	14.709	721.2				
29	6/13/2018 21:00	14.709	602.8				
30	6/13/2018 21:30	14.613	344.4				
31	6/13/2018 22:00	14.613	312.2				
32	6/13/2018 22:30	14.517	86.1				
33	6/13/2018 23:00	14.517	96.9				
34	6/13/2018 23:30	14.517	32.3				
35	6/14/2018 0:00	14.421	21.5				
36	6/14/2018 0:30	14.421	0				
37	6/14/2018 1:00	14.325	0				
38	6/14/2018 1:30	14.325	0				
39	6/14/2018 2:00	14.325	0				
40	6/14/2018 2:30	14.23	10.8				
41	6/14/2018 3:00	14.23	21.5				
42	6/14/2018 3:30	14.134	53.8				
43	6/14/2018 4:00	14.134	118.4				
44	6/14/2018 4:30	14.134	172.2				
45	6/14/2018 5:00	14.038	215.3				
46	6/14/2018 5:30	14.038	312.2				
47	6/14/2018 6:00	14.038	602.8				
48	6/14/2018 6:30	13.942	624.3				
49	6/14/2018 7:00	13.942	1001				
50	6/14/2018 7:30	13.942	1011.8				
51	6/14/2018 8:00	13.942	1894.5				
52	6/14/2018 8:30	13.942	2238.9				
53	6/14/2018 9:00	13.942	2238.9				
54	6/14/2018 9:30	13.846	2066.7				
55	6/14/2018 10:00	13.942	3272.2				
56	6/14/2018 10:30	13.942	3272.2				
57	6/14/2018 11:00	13.75	2152.8				
58	6/14/2018 11:30	13.75	1894.5				
59	6/14/2018 12:00	13.75	1550				
60	6/14/2018 12:30	13.75	2669.5				
61	6/14/2018 13:00	13.75	2583.4				
62	6/14/2018 13:30	13.75	3616.7				
63	6/14/2018 14:00	13.75	2583.4				
64	6/14/2018 14:30	13.654	1722.2				
65	6/14/2018 15:00	13.654	2411.1				
66	6/14/2018 15:30	13.654	3100				
67	6/14/2018 16:00	13.558	1270.1				
68	6/14/2018 16:30	13.558	1722.2				
69	6/14/2018 17:00	13.461	1270.1				
70	6/14/2018 17:30	13.461	1022.6				
71	6/14/2018 18:00	13.365	527.4				
72	6/14/2018 18:30	13.269	602.8				
