"Plot Title: e3_benthic_19Jun21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10643694, SEN S/N: 10643694, LBL: temp)","Intensity, Lux (LGR S/N: 10643694, SEN S/N: 10643694, LBL: light)","Coupler Attached (LGR S/N: 10643694)","Host Connected (LGR S/N: 10643694)","Stopped (LGR S/N: 10643694)","End Of File (LGR S/N: 10643694)"
1,06/19/21 10:00:00,23.292,96.9,,,,
2,06/19/21 11:00:00,18.806,0.0,,,,
3,06/19/21 12:00:00,23.484,8266.7,,,,
4,06/19/21 13:00:00,12.304,176356.7,,,,
5,06/19/21 14:00:00,8.182,8266.7,,,,
6,06/19/21 15:00:00,8.082,1097.9,,,,
7,06/19/21 16:00:00,8.082,581.3,,,,
8,06/19/21 17:00:00,8.082,1463.9,,,,
9,06/19/21 18:00:00,8.082,1291.7,,,,
10,06/19/21 19:00:00,8.082,419.8,,,,
11,06/19/21 20:00:00,8.182,1463.9,,,,
12,06/19/21 21:00:00,8.182,290.6,,,,
13,06/19/21 22:00:00,8.082,215.3,,,,
14,06/19/21 23:00:00,8.082,118.4,,,,
15,06/20/21 00:00:00,8.082,10.8,,,,
16,06/20/21 01:00:00,7.983,10.8,,,,
17,06/20/21 02:00:00,7.882,32.3,,,,
18,06/20/21 03:00:00,7.882,75.3,,,,
19,06/20/21 04:00:00,7.882,107.6,,,,
20,06/20/21 05:00:00,7.882,344.4,,,,
21,06/20/21 06:00:00,7.882,527.4,,,,
22,06/20/21 07:00:00,7.882,1356.3,,,,
23,06/20/21 08:00:00,7.882,2066.7,,,,
24,06/20/21 09:00:00,7.882,1808.3,,,,
25,06/20/21 10:00:00,8.082,3616.7,,,,
26,06/20/21 11:00:00,8.082,3100.0,,,,
27,06/20/21 12:00:00,8.082,2583.4,,,,
28,06/20/21 13:00:00,8.182,2927.8,,,,
29,06/20/21 14:00:00,8.182,1980.6,,,,
30,06/20/21 15:00:00,8.182,2238.9,,,,
31,06/20/21 16:00:00,8.182,2238.9,,,,
32,06/20/21 17:00:00,8.282,2066.7,,,,
33,06/20/21 18:00:00,8.182,1108.7,,,,
34,06/20/21 19:00:00,8.382,1550.0,,,,
35,06/20/21 20:00:00,8.481,936.5,,,,
36,06/20/21 21:00:00,8.382,355.2,,,,
37,06/20/21 22:00:00,8.382,129.2,,,,
38,06/20/21 23:00:00,8.382,53.8,,,,
39,06/21/21 00:00:00,8.382,32.3,,,,
40,06/21/21 01:00:00,8.282,21.5,,,,
41,06/21/21 02:00:00,8.282,32.3,,,,
42,06/21/21 03:00:00,8.282,75.3,,,,
43,06/21/21 04:00:00,8.182,290.6,,,,
44,06/21/21 05:00:00,8.182,602.8,,,,
45,06/21/21 06:00:00,8.182,1022.6,,,,
46,06/21/21 07:00:00,8.182,1636.1,,,,
47,06/21/21 08:00:00,8.282,2669.5,,,,
48,06/21/21 09:00:00,8.282,3272.2,,,,
49,06/21/21 10:00:00,8.282,1808.3,,,,
50,06/21/21 11:00:00,8.282,2669.5,,,,
51,06/21/21 12:00:00,8.282,1119.5,,,,
52,06/21/21 13:00:00,8.382,3100.0,,,,
53,06/21/21 14:00:00,8.382,2152.8,,,,
54,06/21/21 15:00:00,8.382,947.2,,,,
55,06/21/21 16:00:00,8.382,893.4,,,,
56,06/21/21 17:00:00,8.382,850.4,,,,
57,06/21/21 18:00:00,8.481,441.3,,,,
58,06/21/21 19:00:00,8.481,409.0,,,,
59,06/21/21 20:00:00,8.382,279.9,,,,
60,06/21/21 21:00:00,8.382,86.1,,,,
61,06/21/21 22:00:00,8.481,32.3,,,,
62,06/21/21 23:00:00,8.481,0.0,,,,
63,06/22/21 00:00:00,8.481,0.0,,,,
64,06/22/21 01:00:00,8.481,0.0,,,,
65,06/22/21 02:00:00,8.481,0.0,,,,
66,06/22/21 03:00:00,8.481,10.8,,,,
67,06/22/21 04:00:00,8.382,43.1,,,,
68,06/22/21 05:00:00,8.382,75.3,,,,
69,06/22/21 06:00:00,8.382,226.0,,,,
70,06/22/21 07:00:00,8.382,419.8,,,,
71,06/22/21 08:00:00,8.382,656.6,,,,
72,06/22/21 09:00:00,8.481,559.7,,,,
73,06/22/21 10:00:00,8.581,462.9,,,,
74,06/22/21 11:00:00,8.680,1722.2,,,,
75,06/22/21 12:00:00,8.680,2497.2,,,,
76,06/22/21 13:00:00,8.779,3616.7,,,,
77,06/22/21 14:00:00,8.879,3100.0,,,,
78,06/22/21 15:00:00,8.978,3272.2,,,,
79,06/22/21 16:00:00,8.978,1894.5,,,,
80,06/22/21 17:00:00,9.176,6200.0,,,,
81,06/22/21 18:00:00,9.077,1894.5,,,,
82,06/22/21 19:00:00,9.077,678.1,,,,
83,06/22/21 20:00:00,9.077,344.4,,,,
84,06/22/21 21:00:00,8.978,301.4,,,,
85,06/22/21 22:00:00,8.978,75.3,,,,
86,06/22/21 23:00:00,8.978,0.0,,,,
