"Plot Title: MD_St33b_19August18"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","End Of File (LGR S/N: 10517223)"
1,08/20/18 01:00:00,10.651,0.0,
2,08/20/18 03:00:00,10.651,0.0,
3,08/20/18 05:00:00,11.139,0.0,
4,08/20/18 07:00:00,11.139,43.1,
5,08/20/18 09:00:00,11.041,215.3,
6,08/20/18 11:00:00,11.139,183.0,
7,08/20/18 13:00:00,11.139,355.2,
8,08/20/18 15:00:00,11.236,53.8,
9,08/20/18 17:00:00,11.236,10.8,
10,08/20/18 19:00:00,11.431,21.5,
11,08/20/18 21:00:00,11.431,0.0,
12,08/20/18 23:00:00,11.334,0.0,
13,08/21/18 01:00:00,11.236,0.0,
14,08/21/18 03:00:00,11.139,0.0,
15,08/21/18 05:00:00,11.041,0.0,
16,08/21/18 07:00:00,11.041,0.0,
17,08/21/18 09:00:00,11.041,0.0,
18,08/21/18 11:00:00,10.944,0.0,
19,08/21/18 13:00:00,11.139,0.0,
20,08/21/18 15:00:00,11.139,0.0,
21,08/21/18 17:00:00,11.139,0.0,
22,08/21/18 19:00:00,11.139,0.0,
23,08/21/18 21:00:00,11.041,0.0,
24,08/21/18 23:00:00,11.041,0.0,
25,08/22/18 01:00:00,10.944,0.0,
26,08/22/18 03:00:00,10.944,0.0,
27,08/22/18 05:00:00,10.846,0.0,
28,08/22/18 07:00:00,10.846,0.0,
29,08/22/18 09:00:00,10.846,0.0,
30,08/22/18 11:00:00,10.846,10.8,
31,08/22/18 13:00:00,10.846,0.0,
32,08/22/18 15:00:00,10.944,0.0,
33,08/22/18 17:00:00,10.944,10.8,
34,08/22/18 19:00:00,10.944,0.0,
35,08/22/18 21:00:00,10.944,0.0,
36,08/22/18 23:00:00,10.846,0.0,
37,08/23/18 01:00:00,10.846,0.0,
38,08/23/18 03:00:00,10.748,0.0,
39,08/23/18 05:00:00,10.748,0.0,
40,08/23/18 07:00:00,10.651,0.0,
41,08/23/18 09:00:00,10.651,0.0,
42,08/23/18 11:00:00,10.651,0.0,
43,08/23/18 13:00:00,10.651,86.1,
44,08/23/18 15:00:00,10.651,10.8,
45,08/23/18 17:00:00,10.651,0.0,
46,08/23/18 19:00:00,10.651,0.0,
47,08/23/18 21:00:00,10.553,0.0,
48,08/23/18 23:00:00,10.455,0.0,
49,08/24/18 01:00:00,10.357,0.0,
50,08/24/18 03:00:00,10.259,0.0,
51,08/24/18 05:00:00,10.161,0.0,
52,08/24/18 07:00:00,10.161,0.0,
53,08/24/18 09:00:00,10.161,0.0,
54,08/24/18 11:00:00,10.161,10.8,
55,08/24/18 13:00:00,10.259,0.0,
56,08/24/18 15:00:00,10.259,0.0,
57,08/24/18 17:00:00,10.357,0.0,
58,08/24/18 19:00:00,10.259,0.0,
59,08/24/18 21:00:00,10.063,0.0,
60,08/24/18 23:00:00,9.965,0.0,
61,08/25/18 01:00:00,9.768,0.0,
62,08/25/18 03:00:00,9.768,0.0,
63,08/25/18 05:00:00,9.768,0.0,
64,08/25/18 07:00:00,9.866,0.0,
65,08/25/18 09:00:00,9.866,0.0,
66,08/25/18 11:00:00,9.965,21.5,
67,08/25/18 13:00:00,10.063,0.0,
68,08/25/18 15:00:00,10.259,0.0,
69,08/25/18 17:00:00,10.357,0.0,
70,08/25/18 19:00:00,10.357,0.0,
71,08/25/18 21:00:00,10.259,0.0,
72,08/25/18 23:00:00,10.161,0.0,
73,08/26/18 01:00:00,10.063,0.0,
74,08/26/18 03:00:00,9.965,0.0,
75,08/26/18 05:00:00,9.965,0.0,
76,08/26/18 07:00:00,9.965,0.0,
77,08/26/18 09:00:00,9.965,0.0,
78,08/26/18 11:00:00,9.965,0.0,
79,08/26/18 13:00:00,10.063,10.8,
80,08/26/18 15:00:00,9.965,0.0,
81,08/26/18 17:00:00,9.768,0.0,
82,08/26/18 19:00:00,9.866,0.0,
83,08/26/18 21:00:00,10.259,0.0,
84,08/26/18 23:00:00,10.161,0.0,
85,08/27/18 01:00:00,10.161,0.0,
86,08/27/18 03:00:00,9.965,0.0,
87,08/27/18 05:00:00,9.965,0.0,
88,08/27/18 07:00:00,9.866,0.0,
89,08/27/18 09:00:00,9.866,0.0,
90,08/27/18 11:00:00,9.866,10.8,
91,08/27/18 13:00:00,9.866,21.5,
92,08/27/18 15:00:00,9.866,32.3,
93,08/27/18 17:00:00,10.259,0.0,
94,08/27/18 19:00:00,10.161,0.0,
95,08/27/18 21:00:00,9.965,0.0,
96,08/27/18 23:00:00,9.866,0.0,
97,08/28/18 01:00:00,9.866,0.0,
98,08/28/18 03:00:00,9.866,0.0,
99,08/28/18 05:00:00,9.866,0.0,
100,08/28/18 07:00:00,9.669,0.0,
101,08/28/18 09:00:00,9.669,0.0,
102,08/28/18 11:00:00,9.472,0.0,
103,08/28/18 13:00:00,9.472,10.8,
104,08/28/18 15:00:00,9.571,32.3,
105,08/28/18 17:00:00,9.472,0.0,
106,08/28/18 19:00:00,9.373,0.0,
107,08/28/18 21:00:00,9.373,0.0,
108,08/28/18 23:00:00,9.373,0.0,
109,08/29/18 01:00:00,9.275,0.0,
110,08/29/18 03:00:00,9.176,0.0,
111,08/29/18 05:00:00,9.176,0.0,
112,08/29/18 07:00:00,9.176,0.0,
113,08/29/18 09:00:00,9.077,0.0,
114,08/29/18 11:00:00,9.077,0.0,
115,08/29/18 13:00:00,9.077,0.0,
116,08/29/18 15:00:00,8.978,0.0,
117,08/29/18 17:00:00,9.077,0.0,
118,08/29/18 19:00:00,8.978,0.0,
119,08/29/18 21:00:00,8.680,0.0,
120,08/29/18 23:00:00,8.382,0.0,
121,08/30/18 01:00:00,8.282,0.0,
122,08/30/18 03:00:00,8.382,0.0,
123,08/30/18 05:00:00,8.182,0.0,
124,08/30/18 07:00:00,8.082,0.0,
125,08/30/18 09:00:00,7.983,21.5,
126,08/30/18 11:00:00,8.082,118.4,
127,08/30/18 13:00:00,8.182,75.3,
128,08/30/18 15:00:00,8.382,0.0,
129,08/30/18 17:00:00,8.680,0.0,
130,08/30/18 19:00:00,8.680,0.0,
131,08/30/18 21:00:00,8.680,0.0,
132,08/30/18 23:00:00,8.680,0.0,
133,08/31/18 01:00:00,8.581,0.0,
134,08/31/18 03:00:00,8.581,0.0,
135,08/31/18 05:00:00,8.581,0.0,
136,08/31/18 07:00:00,8.581,0.0,
137,08/31/18 09:00:00,8.382,0.0,
138,08/31/18 11:00:00,8.382,0.0,
139,08/31/18 13:00:00,8.382,0.0,
140,08/31/18 15:00:00,8.382,0.0,
141,08/31/18 17:00:00,8.779,0.0,
142,08/31/18 19:00:00,8.779,0.0,
143,08/31/18 21:00:00,8.680,0.0,
144,08/31/18 23:00:00,8.481,0.0,
145,09/01/18 01:00:00,7.882,0.0,
146,09/01/18 03:00:00,7.682,0.0,
147,09/01/18 05:00:00,7.983,0.0,
148,09/01/18 07:00:00,7.983,0.0,
149,09/01/18 09:00:00,7.983,0.0,
150,09/01/18 11:00:00,7.882,0.0,
151,09/01/18 13:00:00,8.082,0.0,
152,09/01/18 15:00:00,7.983,0.0,
153,09/01/18 17:00:00,8.082,0.0,
154,09/01/18 19:00:00,8.182,0.0,
155,09/01/18 21:00:00,8.082,0.0,
156,09/01/18 23:00:00,8.082,0.0,
157,09/02/18 01:00:00,7.983,0.0,
158,09/02/18 03:00:00,7.882,0.0,
159,09/02/18 05:00:00,7.782,0.0,
160,09/02/18 07:00:00,7.582,0.0,
161,09/02/18 09:00:00,7.682,0.0,
162,09/02/18 11:00:00,7.782,0.0,
163,09/02/18 13:00:00,7.782,0.0,
164,09/02/18 15:00:00,7.882,0.0,
165,09/02/18 17:00:00,8.082,0.0,
166,09/02/18 19:00:00,8.182,0.0,
167,09/02/18 21:00:00,8.282,0.0,
168,09/02/18 23:00:00,8.182,0.0,
169,09/03/18 01:00:00,8.182,0.0,
170,09/03/18 03:00:00,8.182,0.0,
171,09/03/18 05:00:00,8.082,0.0,
172,09/03/18 07:00:00,8.082,0.0,
173,09/03/18 09:00:00,8.082,0.0,
174,09/03/18 11:00:00,8.082,10.8,
175,09/03/18 13:00:00,8.282,21.5,
176,09/03/18 15:00:00,8.481,10.8,
177,09/03/18 17:00:00,8.680,0.0,
178,09/03/18 19:00:00,8.680,0.0,
179,09/03/18 21:00:00,8.581,0.0,
180,09/03/18 23:00:00,8.581,0.0,
181,09/04/18 01:00:00,8.481,0.0,
182,09/04/18 03:00:00,8.481,0.0,
183,09/04/18 05:00:00,8.481,0.0,
184,09/04/18 07:00:00,8.382,0.0,
185,09/04/18 09:00:00,8.382,0.0,
186,09/04/18 11:00:00,8.382,86.1,
187,09/04/18 13:00:00,8.382,53.8,
188,09/04/18 15:00:00,8.382,96.9,
189,09/04/18 17:00:00,8.382,32.3,
190,09/04/18 19:00:00,8.382,0.0,
191,09/04/18 21:00:00,8.382,0.0,
192,09/04/18 23:00:00,8.382,0.0,
193,09/05/18 01:00:00,8.481,0.0,
194,09/05/18 03:00:00,8.581,0.0,
195,09/05/18 05:00:00,8.581,0.0,
196,09/05/18 07:00:00,8.581,0.0,
197,09/05/18 09:00:00,8.581,53.8,
198,09/05/18 11:00:00,8.680,96.9,
199,09/05/18 13:00:00,8.779,366.0,
200,09/05/18 15:00:00,8.978,150.7,
201,09/05/18 17:00:00,8.978,86.1,
202,09/05/18 19:00:00,9.077,0.0,
203,09/05/18 21:00:00,9.077,0.0,
204,09/05/18 23:00:00,8.978,0.0,
205,09/06/18 01:00:00,8.978,0.0,
206,09/06/18 03:00:00,8.879,0.0,
207,09/06/18 05:00:00,8.879,0.0,
208,09/06/18 07:00:00,8.879,10.8,
209,09/06/18 09:00:00,8.879,86.1,
210,09/06/18 11:00:00,8.879,290.6,
211,09/06/18 13:00:00,8.879,107.6,
212,09/06/18 15:00:00,8.879,0.0,
213,09/06/18 17:00:00,8.879,183.0,
214,09/06/18 19:00:00,8.978,32.3,
215,09/06/18 21:00:00,9.275,0.0,
216,09/06/18 23:00:00,9.275,0.0,
217,09/07/18 01:00:00,9.176,0.0,
218,09/07/18 03:00:00,9.077,0.0,
219,09/07/18 05:00:00,8.879,0.0,
220,09/07/18 07:00:00,8.779,21.5,
221,09/07/18 09:00:00,8.879,139.9,
222,09/07/18 11:00:00,8.978,236.8,
223,09/07/18 13:00:00,9.176,366.0,
224,09/07/18 15:00:00,9.275,322.9,
225,09/07/18 17:00:00,9.373,53.8,
226,09/07/18 19:00:00,9.571,0.0,
227,09/07/18 21:00:00,9.472,0.0,
228,09/07/18 23:00:00,9.373,0.0,
229,09/08/18 01:00:00,9.176,0.0,
230,09/08/18 03:00:00,9.176,0.0,
231,09/08/18 05:00:00,9.176,0.0,
232,09/08/18 07:00:00,9.176,0.0,
233,09/08/18 09:00:00,9.176,0.0,
234,09/08/18 11:00:00,9.176,21.5,
235,09/08/18 13:00:00,9.176,53.8,
236,09/08/18 15:00:00,9.373,505.9,
237,09/08/18 17:00:00,9.472,0.0,
238,09/08/18 19:00:00,9.472,0.0,
239,09/08/18 21:00:00,9.373,0.0,
240,09/08/18 23:00:00,9.373,0.0,
241,09/09/18 01:00:00,9.275,0.0,
242,09/09/18 03:00:00,9.275,0.0,
243,09/09/18 05:00:00,9.176,0.0,
244,09/09/18 07:00:00,9.176,0.0,
245,09/09/18 09:00:00,9.176,64.6,
246,09/09/18 11:00:00,9.176,150.7,
247,09/09/18 13:00:00,9.275,204.5,
248,09/09/18 15:00:00,9.275,150.7,
249,09/09/18 17:00:00,9.669,75.3,
250,09/09/18 19:00:00,9.669,0.0,
251,09/09/18 21:00:00,9.669,0.0,
252,09/09/18 23:00:00,9.571,0.0,
253,09/10/18 01:00:00,9.571,0.0,
254,09/10/18 03:00:00,9.472,0.0,
255,09/10/18 05:00:00,9.472,0.0,
256,09/10/18 07:00:00,9.472,0.0,
257,09/10/18 09:00:00,9.472,53.8,
258,09/10/18 11:00:00,9.472,64.6,
259,09/10/18 13:00:00,9.472,236.8,
260,09/10/18 15:00:00,9.472,193.8,
261,09/10/18 17:00:00,9.472,161.5,
262,09/10/18 19:00:00,9.768,21.5,
263,09/10/18 21:00:00,9.669,0.0,
264,09/10/18 23:00:00,9.571,0.0,
265,09/11/18 01:00:00,9.571,0.0,
266,09/11/18 03:00:00,9.571,0.0,
267,09/11/18 05:00:00,9.571,0.0,
268,09/11/18 07:00:00,9.571,10.8,
269,09/11/18 09:00:00,9.472,139.9,
270,09/11/18 11:00:00,9.472,301.4,
271,09/11/18 13:00:00,9.472,462.9,
272,09/11/18 15:00:00,9.472,344.4,
273,09/11/18 17:00:00,9.669,118.4,
274,09/11/18 19:00:00,9.669,10.8,
275,09/11/18 21:00:00,9.669,0.0,
276,09/11/18 23:00:00,9.571,0.0,
277,09/12/18 01:00:00,9.571,0.0,
278,09/12/18 03:00:00,9.571,0.0,
279,09/12/18 05:00:00,9.472,0.0,
280,09/12/18 07:00:00,9.373,0.0,
281,09/12/18 09:00:00,9.373,279.9,
282,09/12/18 11:00:00,9.373,290.6,
283,09/12/18 13:00:00,9.472,355.2,
284,09/12/18 15:00:00,9.472,624.3,
285,09/12/18 17:00:00,9.768,150.7,
286,09/12/18 19:00:00,9.768,0.0,
287,09/12/18 21:00:00,9.768,0.0,
288,09/12/18 23:00:00,9.669,0.0,
289,09/13/18 01:00:00,9.571,0.0,
