Plot Title: JP_ICE_4_21Aug17							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349966, SEN S/N: 10349966, LBL: Temp)"	"Intensity, Lux (LGR S/N: 10349966, SEN S/N: 10349966, LBL: Light)"	Coupler Attached (LGR S/N: 10349966)	Host Connected (LGR S/N: 10349966)	Stopped (LGR S/N: 10349966)	End Of File (LGR S/N: 10349966)
1	8/22/2017 0:00	10.748	0				
2	8/22/2017 2:00	10.651	0				
3	8/22/2017 4:00	10.553	0				
4	8/22/2017 6:00	10.553	204.5				
5	8/22/2017 8:00	10.553	1237.9				
6	8/22/2017 10:00	10.748	2927.8				
7	8/22/2017 12:00	10.846	3616.7				
8	8/22/2017 14:00	11.041	4133.4				
9	8/22/2017 16:00	11.139	2497.2				
10	8/22/2017 18:00	11.139	2583.4				
11	8/22/2017 20:00	11.041	538.2				
12	8/22/2017 22:00	10.944	0				
13	8/23/2017 0:00	10.944	0				
14	8/23/2017 2:00	10.944	0				
15	8/23/2017 4:00	10.944	0				
16	8/23/2017 6:00	10.944	75.3				
17	8/23/2017 8:00	10.944	710.4				
18	8/23/2017 10:00	10.944	1280.9				
19	8/23/2017 12:00	11.041	2583.4				
20	8/23/2017 14:00	11.236	4822.3				
21	8/23/2017 16:00	11.041	4822.3				
22	8/23/2017 18:00	11.334	2411.1				
23	8/23/2017 20:00	11.334	527.4				
24	8/23/2017 22:00	11.236	0				
25	8/24/2017 0:00	11.334	0				
26	8/24/2017 2:00	11.236	0				
27	8/24/2017 4:00	11.041	0				
28	8/24/2017 6:00	11.041	183				
29	8/24/2017 8:00	11.041	1324				
30	8/24/2017 10:00	11.139	2755.6				
31	8/24/2017 12:00	11.236	3100				
32	8/24/2017 14:00	11.334	5166.7				
33	8/24/2017 16:00	11.625	5166.7				
34	8/24/2017 18:00	11.625	2927.8				
35	8/24/2017 20:00	11.528	355.2				
36	8/24/2017 22:00	11.528	0				
37	8/25/2017 0:00	11.431	0				
38	8/25/2017 2:00	11.334	0				
39	8/25/2017 4:00	11.334	0				
40	8/25/2017 6:00	11.236	172.2				
41	8/25/2017 8:00	11.236	1173.3				
42	8/25/2017 10:00	11.431	2669.5				
43	8/25/2017 12:00	11.528	4477.8				
44	8/25/2017 14:00	11.625	5166.7				
45	8/25/2017 16:00	12.013	7233.4				
46	8/25/2017 18:00	12.013	1980.6				
47	8/25/2017 20:00	11.916	236.8				
48	8/25/2017 22:00	11.916	0				
49	8/26/2017 0:00	11.819	0				
50	8/26/2017 2:00	11.819	0				
51	8/26/2017 4:00	11.722	0				
52	8/26/2017 6:00	11.625	161.5				
53	8/26/2017 8:00	11.722	968.8				
54	8/26/2017 10:00	11.722	1980.6				
55	8/26/2017 12:00	11.916	4305.6				
56	8/26/2017 14:00	12.013	3961.1				
57	8/26/2017 16:00	12.013	1011.8				
58	8/26/2017 18:00	12.013	344.4				
59	8/26/2017 20:00	12.013	43.1				
60	8/26/2017 22:00	12.013	0				
61	8/27/2017 0:00	11.916	0				
62	8/27/2017 2:00	11.819	0				
63	8/27/2017 4:00	11.722	0				
