Plot Title: JP_Ice_1_21Aug17							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349962, SEN S/N: 10349962)"	"Intensity, Lux (LGR S/N: 10349962, SEN S/N: 10349962)"	Coupler Attached (LGR S/N: 10349962)	Host Connected (LGR S/N: 10349962)	Stopped (LGR S/N: 10349962)	End Of File (LGR S/N: 10349962)
1	8/22/2017 0:00	10.944	0				
2	8/22/2017 2:00	10.846	0				
3	8/22/2017 4:00	10.846	0				
4	8/22/2017 6:00	10.748	301.4				
5	8/22/2017 8:00	10.846	1980.6				
6	8/22/2017 10:00	10.944	3961.1				
7	8/22/2017 12:00	11.236	4822.3				
8	8/22/2017 14:00	11.334	4994.5				
9	8/22/2017 16:00	11.431	2755.6				
10	8/22/2017 18:00	11.528	2497.2				
11	8/22/2017 20:00	11.431	592				
12	8/22/2017 22:00	11.334	0				
13	8/23/2017 0:00	11.236	0				
14	8/23/2017 2:00	11.139	0				
15	8/23/2017 4:00	11.139	0				
16	8/23/2017 6:00	11.139	107.6				
17	8/23/2017 8:00	11.139	753.5				
18	8/23/2017 10:00	11.139	1636.1				
19	8/23/2017 12:00	11.334	3100				
20	8/23/2017 14:00	11.528	4650				
21	8/23/2017 16:00	11.722	3788.9				
22	8/23/2017 18:00	11.722	2497.2				
23	8/23/2017 20:00	11.722	581.3				
24	8/23/2017 22:00	11.625	0				
25	8/24/2017 0:00	11.528	0				
26	8/24/2017 2:00	11.431	0				
27	8/24/2017 4:00	11.334	0				
28	8/24/2017 6:00	11.334	236.8				
29	8/24/2017 8:00	11.334	1463.9				
30	8/24/2017 10:00	11.528	3272.2				
31	8/24/2017 12:00	11.528	3272.2				
32	8/24/2017 14:00	11.722	6200				
33	8/24/2017 16:00	11.916	3616.7				
34	8/24/2017 18:00	11.916	1722.2				
35	8/24/2017 20:00	11.819	322.9				
36	8/24/2017 22:00	11.722	0				
37	8/25/2017 0:00	11.722	0				
38	8/25/2017 2:00	11.625	0				
39	8/25/2017 4:00	11.528	0				
40	8/25/2017 6:00	11.528	226				
41	8/25/2017 8:00	11.528	1463.9				
42	8/25/2017 10:00	11.722	3100				
43	8/25/2017 12:00	11.916	3961.1				
44	8/25/2017 14:00	12.207	4650				
45	8/25/2017 16:00	12.401	4477.8				
46	8/25/2017 18:00	12.497	1722.2				
47	8/25/2017 20:00	12.304	204.5				
48	8/25/2017 22:00	12.304	0				
49	8/26/2017 0:00	12.207	0				
50	8/26/2017 2:00	12.207	0				
51	8/26/2017 4:00	12.11	0				
52	8/26/2017 6:00	12.11	139.9				
53	8/26/2017 8:00	12.11	828.8				
54	8/26/2017 10:00	12.11	1894.5				
55	8/26/2017 12:00	12.304	3444.5				
56	8/26/2017 14:00	12.401	3100				
57	8/26/2017 16:00	12.304	1011.8				
58	8/26/2017 18:00	12.207	258.3				
59	8/26/2017 20:00	12.11	32.3				
60	8/26/2017 22:00	12.11	0				
61	8/27/2017 0:00	11.916	0				
62	8/27/2017 2:00	11.819	0				
63	8/27/2017 4:00	11.722	0				
64	8/27/2017 6:00	11.722	96.9				
65	8/27/2017 8:00	11.722	1097.9				
66	8/27/2017 10:00	11.819	1119.5				
67	8/27/2017 12:00	11.916	1808.3				
68	8/27/2017 14:00	11.916	2325				
69	8/27/2017 16:00	12.207	2669.5				
70	8/27/2017 18:00	12.11	2238.9				
71	8/27/2017 20:00	12.11	86.1				
72	8/27/2017 22:00	12.11	0				
73	8/28/2017 0:00	12.013	0				
74	8/28/2017 2:00	11.916	0				
75	8/28/2017 4:00	11.916	0				
76	8/28/2017 6:00	11.916	10.8				
77	8/28/2017 8:00	11.916	1216.3				
78	8/28/2017 10:00	11.916	1162.5				
79	8/28/2017 12:00	11.916	1550				
80	8/28/2017 14:00	11.916	893.4				
81	8/28/2017 16:00	11.916	968.8				
82	8/28/2017 18:00	11.916	290.6				
83	8/28/2017 20:00	11.819	21.5				
84	8/28/2017 22:00	11.722	0				
85	8/29/2017 0:00	11.625	0				
86	8/29/2017 2:00	11.528	0				
87	8/29/2017 4:00	11.431	0				
88	8/29/2017 6:00	11.334	32.3				
89	8/29/2017 8:00	11.334	215.3				
90	8/29/2017 10:00	11.236	1184				
91	8/29/2017 12:00	11.139	850.4				
92	8/29/2017 14:00	11.139	1345.5				
93	8/29/2017 16:00	11.041	1636.1				
94	8/29/2017 18:00	11.139	1463.9				
95	8/29/2017 20:00	11.041	204.5				
96	8/29/2017 22:00	10.944	0				
97	8/30/2017 0:00	10.748	0				
98	8/30/2017 2:00	10.651	0				
99	8/30/2017 4:00	10.553	0				
100	8/30/2017 6:00	10.455	118.4				
101	8/30/2017 8:00	10.455	1173.3				
102	8/30/2017 10:00	10.651	2583.4				
103	8/30/2017 12:00	10.846	3616.7				
104	8/30/2017 14:00	10.846	3616.7				
105	8/30/2017 16:00	10.748	2755.6				
106	8/30/2017 18:00	11.236	1722.2				
107	8/30/2017 20:00	11.236	398.3				
108	8/30/2017 22:00	11.139	0				
109	8/31/2017 0:00	11.041	0				
110	8/31/2017 2:00	10.944	0				
111	8/31/2017 4:00	10.748	0				
112	8/31/2017 6:00	10.651	129.2				
113	8/31/2017 8:00	10.748	1722.2				
114	8/31/2017 10:00	10.748	1722.2				
115	8/31/2017 12:00	10.846	3788.9				
116	8/31/2017 14:00	10.846	4477.8				
117	8/31/2017 16:00	11.041	3788.9				
118	8/31/2017 18:00	11.041	2152.8				
119	8/31/2017 20:00	11.041	183				
120	8/31/2017 22:00	10.944	0				
121	9/1/2017 0:00	10.846	0				
122	9/1/2017 2:00	10.748	0				
123	9/1/2017 4:00	10.651	0				
124	9/1/2017 6:00	10.455	86.1				
125	9/1/2017 8:00	10.455	990.3				
126	9/1/2017 10:00	10.651	2238.9				
127	9/1/2017 12:00	10.846	3100				
128	9/1/2017 14:00	11.139	3272.2				
129	9/1/2017 16:00	11.431	2755.6				
130	9/1/2017 18:00	11.431	1087.2				
131	9/1/2017 20:00	11.431	107.6				
132	9/1/2017 22:00	11.236	0				
133	9/2/2017 0:00	11.139	0				
134	9/2/2017 2:00	10.944	0				
135	9/2/2017 4:00	10.748	0				
136	9/2/2017 6:00	10.748	21.5				
137	9/2/2017 8:00	10.846	1162.5				
138	9/2/2017 10:00	10.944	2066.7				
139	9/2/2017 12:00	11.041	1227.1				
140	9/2/2017 14:00	10.944	710.4				
141	9/2/2017 16:00	11.041	871.9				
142	9/2/2017 18:00	11.041	355.2				
143	9/2/2017 20:00	10.944	21.5				
144	9/2/2017 22:00	10.944	0				
145	9/3/2017 0:00	10.944	0				
146	9/3/2017 2:00	10.944	0				
147	9/3/2017 4:00	10.846	0				
148	9/3/2017 6:00	10.846	21.5				
149	9/3/2017 8:00	10.846	699.7				
150	9/3/2017 10:00	10.944	2583.4				
151	9/3/2017 12:00	11.041	2411.1				
152	9/3/2017 14:00	11.139	2583.4				
153	9/3/2017 16:00	11.334	2583.4				
154	9/3/2017 18:00	11.236	764.2				
155	9/3/2017 20:00	11.236	21.5				
156	9/3/2017 22:00	11.236	0				
157	9/4/2017 0:00	11.334	0				
158	9/4/2017 2:00	11.236	0				
159	9/4/2017 4:00	11.236	0				
160	9/4/2017 6:00	11.236	0				
161	9/4/2017 8:00	11.236	301.4				
162	9/4/2017 10:00	11.334	1011.8				
163	9/4/2017 12:00	11.334	667.4				
164	9/4/2017 14:00	11.431	871.9				
165	9/4/2017 16:00	11.431	312.2				
166	9/4/2017 18:00	11.431	301.4				
167	9/4/2017 20:00	11.334	53.8				
168	9/4/2017 22:00	11.334	0				
169	9/5/2017 0:00	11.139	0				
170	9/5/2017 2:00	11.139	0				
171	9/5/2017 4:00	11.139	0				
172	9/5/2017 6:00	11.041	10.8				
173	9/5/2017 8:00	11.041	656.6				
174	9/5/2017 10:00	11.041	2497.2				
175	9/5/2017 12:00	11.139	2497.2				
176	9/5/2017 14:00	11.334	2755.6				
177	9/5/2017 16:00	11.431	1980.6				
178	9/5/2017 18:00	11.334	387.5				
179	9/5/2017 20:00	11.334	43.1				
180	9/5/2017 22:00	11.236	0				
181	9/6/2017 0:00	11.139	0				
182	9/6/2017 2:00	11.139	0				
183	9/6/2017 4:00	11.041	0				
184	9/6/2017 6:00	10.944	0				
185	9/6/2017 8:00	10.846	376.7				
186	9/6/2017 10:00	11.041	2066.7				
187	9/6/2017 12:00	11.139	2927.8				
188	9/6/2017 14:00	11.139	1280.9				
189	9/6/2017 16:00	11.139	1248.6				
190	9/6/2017 18:00	11.139	516.7				
191	9/6/2017 20:00	11.041	32.3				
192	9/6/2017 22:00	11.041	0				
193	9/7/2017 0:00	10.944	0				
194	9/7/2017 2:00	10.846	0				
195	9/7/2017 4:00	10.846	0				
196	9/7/2017 6:00	10.748	0				
197	9/7/2017 8:00	10.748	592				
198	9/7/2017 10:00	10.846	2066.7				
199	9/7/2017 12:00	10.944	2152.8				
200	9/7/2017 14:00	10.944	1808.3				
201	9/7/2017 16:00	10.944	753.5				
202	9/7/2017 18:00	10.944	376.7				
