"Plot Title: E3_90cm_22Aug21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)","Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)","Bad Battery (LGR S/N: 10349970)","Coupler Attached (LGR S/N: 10349970)","Host Connected (LGR S/N: 10349970)","Stopped (LGR S/N: 10349970)","End Of File (LGR S/N: 10349970)"
1,08/23/21 07:30:00 PM,14.996,193.8,,,,,
2,08/23/21 09:30:00 PM,14.900,0.0,,,,,
3,08/23/21 11:30:00 PM,14.900,0.0,,,,,
4,08/24/21 01:30:00 AM,14.804,0.0,,,,,
5,08/24/21 03:30:00 AM,14.709,0.0,,,,,
6,08/24/21 05:30:00 AM,14.709,0.0,,,,,
7,08/24/21 07:30:00 AM,14.709,107.6,,,,,
8,08/24/21 09:30:00 AM,14.709,796.5,,,,,
9,08/24/21 11:30:00 AM,14.804,731.9,,,,,
10,08/24/21 01:30:00 PM,14.900,1636.1,,,,,
11,08/24/21 03:30:00 PM,14.900,2411.1,,,,,
12,08/24/21 05:30:00 PM,14.996,947.2,,,,,
13,08/24/21 07:30:00 PM,15.282,247.6,,,,,
14,08/24/21 09:30:00 PM,15.187,0.0,,,,,
15,08/24/21 11:30:00 PM,15.473,0.0,,,,,
16,08/25/21 01:30:00 AM,15.569,0.0,,,,,
17,08/25/21 03:30:00 AM,15.473,0.0,,,,,
18,08/25/21 05:30:00 AM,15.473,10.8,,,,,
19,08/25/21 07:30:00 AM,15.473,549.0,,,,,
20,08/25/21 09:30:00 AM,15.569,1280.9,,,,,
21,08/25/21 11:30:00 AM,15.473,2755.6,,,,,
22,08/25/21 01:30:00 PM,15.664,3788.9,,,,,
23,08/25/21 03:30:00 PM,15.664,3100.0,,,,,
24,08/25/21 05:30:00 PM,15.951,1463.9,,,,,
25,08/25/21 07:30:00 PM,15.951,107.6,,,,,
26,08/25/21 09:30:00 PM,15.855,0.0,,,,,
27,08/25/21 11:30:00 PM,15.760,0.0,,,,,
28,08/26/21 01:30:00 AM,15.664,0.0,,,,,
29,08/26/21 03:30:00 AM,15.569,0.0,,,,,
30,08/26/21 05:30:00 AM,15.569,0.0,,,,,
31,08/26/21 07:30:00 AM,15.473,236.8,,,,,
32,08/26/21 09:30:00 AM,15.473,344.4,,,,,
33,08/26/21 11:30:00 AM,15.664,1291.7,,,,,
34,08/26/21 01:30:00 PM,15.855,419.8,,,,,
35,08/26/21 03:30:00 PM,15.855,355.2,,,,,
36,08/26/21 05:30:00 PM,15.951,236.8,,,,,
37,08/26/21 07:30:00 PM,15.760,96.9,,,,,
38,08/26/21 09:30:00 PM,15.569,0.0,,,,,
39,08/26/21 11:30:00 PM,15.569,0.0,,,,,
40,08/27/21 01:30:00 AM,15.473,0.0,,,,,
41,08/27/21 03:30:00 AM,15.378,0.0,,,,,
42,08/27/21 05:30:00 AM,15.282,0.0,,,,,
43,08/27/21 07:30:00 AM,15.282,366.0,,,,,
44,08/27/21 09:30:00 AM,15.187,1205.6,,,,,
45,08/27/21 11:30:00 AM,15.282,1636.1,,,,,
46,08/27/21 01:30:00 PM,15.282,161.5,,,,,
47,08/27/21 03:30:00 PM,15.282,32.3,,,,,
48,08/27/21 05:30:00 PM,15.091,333.7,,,,,
49,08/27/21 07:30:00 PM,15.091,129.2,,,,,
50,08/27/21 09:30:00 PM,14.996,0.0,,,,,
51,08/27/21 11:30:00 PM,14.900,0.0,,,,,
52,08/28/21 01:30:00 AM,14.804,0.0,,,,,
53,08/28/21 03:30:00 AM,14.709,0.0,,,,,
54,08/28/21 05:30:00 AM,14.421,0.0,,,,,
55,08/28/21 07:30:00 AM,14.230,236.8,,,,,
56,08/28/21 09:30:00 AM,14.230,1001.0,,,,,
57,08/28/21 11:30:00 AM,14.230,1894.5,,,,,
58,08/28/21 01:30:00 PM,14.421,2066.7,,,,,
59,08/28/21 03:30:00 PM,14.613,1722.2,,,,,
60,08/28/21 05:30:00 PM,14.421,538.2,,,,,
61,08/28/21 07:30:00 PM,14.230,43.1,,,,,
62,08/28/21 09:30:00 PM,14.134,0.0,,,,,
63,08/28/21 11:30:00 PM,14.038,0.0,,,,,
64,08/29/21 01:30:00 AM,13.846,0.0,,,,,
65,08/29/21 03:30:00 AM,13.654,0.0,,,,,
66,08/29/21 05:30:00 AM,13.461,0.0,,,,,
67,08/29/21 07:30:00 AM,13.365,43.1,,,,,
68,08/29/21 09:30:00 AM,13.269,21.5,,,,,
69,08/29/21 11:30:00 AM,13.076,43.1,,,,,
70,08/29/21 01:30:00 PM,13.076,183.0,,,,,
71,08/29/21 03:30:00 PM,12.980,86.1,,,,,
72,08/29/21 05:30:00 PM,12.883,53.8,,,,,
73,08/29/21 07:30:00 PM,12.883,10.8,,,,,
74,08/29/21 09:30:00 PM,12.690,0.0,,,,,
75,08/29/21 11:30:00 PM,12.594,0.0,,,,,
76,08/30/21 01:30:00 AM,12.497,0.0,,,,,
77,08/30/21 03:30:00 AM,12.497,0.0,,,,,
78,08/30/21 05:30:00 AM,12.401,0.0,,,,,
79,08/30/21 07:30:00 AM,12.401,43.1,,,,,
80,08/30/21 09:30:00 AM,12.401,96.9,,,,,
81,08/30/21 11:30:00 AM,12.497,247.6,,,,,
82,08/30/21 01:30:00 PM,12.690,269.1,,,,,
83,08/30/21 03:30:00 PM,12.787,473.6,,,,,
84,08/30/21 05:30:00 PM,12.883,96.9,,,,,
85,08/30/21 07:30:00 PM,12.883,53.8,,,,,
86,08/30/21 09:30:00 PM,12.883,0.0,,,,,
87,08/30/21 11:30:00 PM,12.690,0.0,,,,,
88,08/31/21 01:30:00 AM,12.690,0.0,,,,,
89,08/31/21 03:30:00 AM,12.690,0.0,,,,,
90,08/31/21 05:30:00 AM,12.594,0.0,,,,,
91,08/31/21 07:30:00 AM,12.497,193.8,,,,,
92,08/31/21 09:30:00 AM,12.497,667.4,,,,,
93,08/31/21 11:30:00 AM,12.594,1162.5,,,,,
94,08/31/21 01:30:00 PM,12.690,1636.1,,,,,
95,08/31/21 03:30:00 PM,12.883,882.6,,,,,
96,08/31/21 05:30:00 PM,12.980,269.1,,,,,
97,08/31/21 07:30:00 PM,12.980,86.1,,,,,
