"Plot Title: E3 benthic 28Jul20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517222, SEN S/N: 10517222, LBL: temp)","Intensity, Lux (LGR S/N: 10517222, SEN S/N: 10517222, LBL: light)","Coupler Attached (LGR S/N: 10517222)","Host Connected (LGR S/N: 10517222)","Stopped (LGR S/N: 10517222)","End Of File (LGR S/N: 10517222)"
1,07/28/20 12:00:00,16.332,968.8,,,,
2,07/28/20 12:30:00,15.569,376.7,,,,
3,07/28/20 13:00:00,15.473,139.9,,,,
4,07/28/20 13:30:00,9.571,43.1,,,,
5,07/28/20 14:00:00,9.472,0.0,,,,
6,07/28/20 14:30:00,9.472,129.2,,,,
7,07/28/20 15:00:00,9.472,538.2,,,,
8,07/28/20 15:30:00,9.472,559.7,,,,
9,07/28/20 16:00:00,9.373,183.0,,,,
10,07/28/20 16:30:00,9.373,1130.2,,,,
11,07/28/20 17:00:00,9.275,796.5,,,,
12,07/28/20 17:30:00,9.275,721.2,,,,
13,07/28/20 18:00:00,9.275,764.2,,,,
14,07/28/20 18:30:00,9.176,947.2,,,,
15,07/28/20 19:00:00,9.176,355.2,,,,
16,07/28/20 19:30:00,9.077,290.6,,,,
17,07/28/20 20:00:00,9.077,107.6,,,,
18,07/28/20 20:30:00,9.077,96.9,,,,
19,07/28/20 21:00:00,9.077,96.9,,,,
20,07/28/20 21:30:00,9.077,107.6,,,,
21,07/28/20 22:00:00,9.077,32.3,,,,
22,07/28/20 22:30:00,9.077,0.0,,,,
23,07/28/20 23:00:00,8.978,0.0,,,,
24,07/28/20 23:30:00,8.978,0.0,,,,
25,07/29/20 00:00:00,8.978,0.0,,,,
26,07/29/20 00:30:00,9.176,0.0,,,,
27,07/29/20 01:00:00,9.275,0.0,,,,
28,07/29/20 01:30:00,9.373,0.0,,,,
29,07/29/20 02:00:00,9.373,0.0,,,,
30,07/29/20 02:30:00,9.472,0.0,,,,
31,07/29/20 03:00:00,9.373,0.0,,,,
32,07/29/20 03:30:00,9.571,0.0,,,,
33,07/29/20 04:00:00,9.571,0.0,,,,
34,07/29/20 04:30:00,9.571,0.0,,,,
35,07/29/20 05:00:00,9.571,10.8,,,,
36,07/29/20 05:30:00,9.571,32.3,,,,
37,07/29/20 06:00:00,9.571,193.8,,,,
38,07/29/20 06:30:00,9.571,172.2,,,,
39,07/29/20 07:00:00,9.571,312.2,,,,
40,07/29/20 07:30:00,9.571,893.4,,,,
41,07/29/20 08:00:00,9.571,871.9,,,,
42,07/29/20 08:30:00,9.571,516.7,,,,
43,07/29/20 09:00:00,9.571,656.6,,,,
44,07/29/20 09:30:00,9.571,602.8,,,,
45,07/29/20 10:00:00,9.571,602.8,,,,
46,07/29/20 10:30:00,9.571,764.2,,,,
47,07/29/20 11:00:00,9.571,613.5,,,,
48,07/29/20 11:30:00,9.669,1377.8,,,,
49,07/29/20 12:00:00,9.571,796.5,,,,
50,07/29/20 12:30:00,9.571,925.7,,,,
51,07/29/20 13:00:00,9.571,1463.9,,,,
52,07/29/20 13:30:00,9.571,667.4,,,,
53,07/29/20 14:00:00,9.571,796.5,,,,
54,07/29/20 14:30:00,9.571,828.8,,,,
55,07/29/20 15:00:00,9.669,1001.0,,,,
56,07/29/20 15:30:00,9.669,904.2,,,,
57,07/29/20 16:00:00,9.669,613.5,,,,
58,07/29/20 16:30:00,9.669,893.4,,,,
59,07/29/20 17:00:00,9.669,484.4,,,,
60,07/29/20 17:30:00,9.669,979.5,,,,
61,07/29/20 18:00:00,9.669,742.7,,,,
62,07/29/20 18:30:00,9.669,602.8,,,,
63,07/29/20 19:00:00,9.669,258.3,,,,
64,07/29/20 19:30:00,9.669,322.9,,,,
65,07/29/20 20:00:00,9.669,96.9,,,,
66,07/29/20 20:30:00,9.669,75.3,,,,
67,07/29/20 21:00:00,9.669,53.8,,,,
68,07/29/20 21:30:00,9.669,53.8,,,,
69,07/29/20 22:00:00,9.669,10.8,,,,
70,07/29/20 22:30:00,9.669,0.0,,,,
71,07/29/20 23:00:00,9.669,0.0,,,,
72,07/29/20 23:30:00,9.669,0.0,,,,
73,07/30/20 00:00:00,9.669,0.0,,,,
74,07/30/20 00:30:00,9.768,0.0,,,,
75,07/30/20 01:00:00,9.768,0.0,,,,
76,07/30/20 01:30:00,9.768,0.0,,,,
77,07/30/20 02:00:00,9.768,0.0,,,,
78,07/30/20 02:30:00,9.768,0.0,,,,
79,07/30/20 03:00:00,9.768,0.0,,,,
80,07/30/20 03:30:00,9.669,0.0,,,,
81,07/30/20 04:00:00,9.866,10.8,,,,
82,07/30/20 04:30:00,9.866,53.8,,,,
83,07/30/20 05:00:00,9.965,139.9,,,,
84,07/30/20 05:30:00,10.063,150.7,,,,
85,07/30/20 06:00:00,10.063,247.6,,,,
86,07/30/20 06:30:00,10.063,409.0,,,,
87,07/30/20 07:00:00,10.063,667.4,,,,
88,07/30/20 07:30:00,10.161,1162.5,,,,
89,07/30/20 08:00:00,10.161,1377.8,,,,
90,07/30/20 08:30:00,10.161,1636.1,,,,
