"Plot Title: MD_st33_high_3Sep20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349963, SEN S/N: 10349963)","Intensity, Lux (LGR S/N: 10349963, SEN S/N: 10349963)","Coupler Attached (LGR S/N: 10349963)","Host Connected (LGR S/N: 10349963)","Stopped (LGR S/N: 10349963)","End Of File (LGR S/N: 10349963)"
1,09/03/20 00:00:00,16.237,0.0,,,,
2,09/03/20 02:00:00,16.141,0.0,,,,
3,09/03/20 04:00:00,16.141,0.0,,,,
4,09/03/20 06:00:00,16.141,0.0,,,,
5,09/03/20 08:00:00,16.237,53.8,,,,
6,09/03/20 10:00:00,16.427,215.3,,,,
7,09/03/20 12:00:00,16.903,290.6,,,,
8,09/03/20 14:00:00,20.138,129.2,,,,
9,09/03/20 16:00:00,20.996,161.5,,,,
10,09/03/20 18:00:00,20.424,247.6,,,,
11,09/03/20 20:00:00,19.567,0.0,,,,
12,09/03/20 22:00:00,19.758,0.0,,,,
13,09/04/20 00:00:00,19.377,0.0,,,,
14,09/04/20 02:00:00,19.377,0.0,,,,
15,09/04/20 04:00:00,19.377,0.0,,,,
16,09/04/20 06:00:00,19.472,0.0,,,,
17,09/04/20 08:00:00,19.092,53.8,,,,
18,09/04/20 10:00:00,19.662,193.8,,,,
19,09/04/20 12:00:00,20.138,290.6,,,,
20,09/04/20 14:00:00,20.234,193.8,,,,
21,09/04/20 16:00:00,18.711,118.4,,,,
22,09/04/20 18:00:00,19.853,0.0,,,,
23,09/04/20 20:00:00,19.662,0.0,,,,
24,09/04/20 22:00:00,19.758,0.0,,,,
25,09/05/20 00:00:00,18.521,0.0,,,,
26,09/05/20 02:00:00,18.331,0.0,,,,
27,09/05/20 04:00:00,18.521,0.0,,,,
28,09/05/20 06:00:00,18.996,0.0,,,,
29,09/05/20 08:00:00,17.950,21.5,,,,
30,09/05/20 10:00:00,19.282,10.8,,,,
31,09/05/20 12:00:00,19.092,0.0,,,,
32,09/05/20 14:00:00,19.092,0.0,,,,
