"Plot Title: MD_st33_frame_3Aug20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","Host Connected (LGR S/N: 10517215)","Coupler Attached (LGR S/N: 10517215)","Stopped (LGR S/N: 10517215)","End Of File (LGR S/N: 10517215)"
1,09/03/20 00:00:00,15.760,0.0,,,,
2,09/03/20 02:00:00,15.664,0.0,,,,
3,09/03/20 04:00:00,15.760,0.0,,,,
4,09/03/20 06:00:00,15.664,0.0,,,,
5,09/03/20 08:00:00,15.855,10.8,,,,
6,09/03/20 10:00:00,16.141,64.6,,,,
7,09/03/20 12:00:00,16.618,64.6,,,,
8,09/03/20 14:00:00,19.758,21.5,,,,
9,09/03/20 16:00:00,20.424,43.1,,,,
10,09/03/20 18:00:00,19.567,53.8,,,,
11,09/03/20 20:00:00,18.521,0.0,,,,
12,09/03/20 22:00:00,18.616,0.0,,,,
13,09/04/20 00:00:00,18.236,0.0,,,,
14,09/04/20 02:00:00,18.331,0.0,,,,
15,09/04/20 04:00:00,18.236,0.0,,,,
16,09/04/20 06:00:00,18.426,0.0,,,,
17,09/04/20 08:00:00,18.140,10.8,,,,
18,09/04/20 10:00:00,18.806,53.8,,,,
19,09/04/20 12:00:00,20.138,75.3,,,,
20,09/04/20 14:00:00,19.662,53.8,,,,
21,09/04/20 16:00:00,18.521,0.0,,,,
22,09/04/20 18:00:00,19.948,0.0,,,,
23,09/04/20 20:00:00,19.472,0.0,,,,
24,09/04/20 22:00:00,19.472,0.0,,,,
25,09/05/20 00:00:00,18.140,0.0,,,,
26,09/05/20 02:00:00,17.950,0.0,,,,
27,09/05/20 04:00:00,18.140,0.0,,,,
28,09/05/20 06:00:00,18.711,0.0,,,,
29,09/05/20 08:00:00,17.665,0.0,,,,
30,09/05/20 10:00:00,19.377,0.0,,,,
31,09/05/20 12:00:00,18.996,0.0,,,,
32,09/05/20 14:00:00,18.996,0.0,,,,
33,09/05/20 16:00:00,7.381,86.1,,,,
34,09/05/20 18:00:00,7.381,86.1,,,,
35,09/05/20 20:00:00,7.381,0.0,,,,
36,09/05/20 22:00:00,7.481,0.0,,,,
37,09/06/20 00:00:00,7.481,0.0,,,,
38,09/06/20 02:00:00,7.381,0.0,,,,
39,09/06/20 04:00:00,7.381,0.0,,,,
40,09/06/20 06:00:00,7.079,0.0,,,,
41,09/06/20 08:00:00,6.674,0.0,,,,
42,09/06/20 10:00:00,6.573,0.0,,,,
43,09/06/20 12:00:00,6.877,0.0,,,,
44,09/06/20 14:00:00,6.877,0.0,,,,
45,09/06/20 16:00:00,7.079,21.5,,,,
46,09/06/20 18:00:00,7.079,0.0,,,,
47,09/06/20 20:00:00,7.179,0.0,,,,
48,09/06/20 22:00:00,6.775,0.0,,,,
49,09/07/20 00:00:00,7.179,0.0,,,,
50,09/07/20 02:00:00,7.079,0.0,,,,
51,09/07/20 04:00:00,6.775,0.0,,,,
52,09/07/20 06:00:00,6.775,0.0,,,,
53,09/07/20 08:00:00,7.079,32.3,,,,
54,09/07/20 10:00:00,7.079,0.0,,,,
55,09/07/20 12:00:00,6.978,0.0,,,,
56,09/07/20 14:00:00,7.079,21.5,,,,
57,09/07/20 16:00:00,7.179,0.0,,,,
58,09/07/20 18:00:00,7.179,0.0,,,,
59,09/07/20 20:00:00,7.179,0.0,,,,
60,09/07/20 22:00:00,6.877,0.0,,,,
61,09/08/20 00:00:00,6.775,0.0,,,,
62,09/08/20 02:00:00,6.573,0.0,,,,
63,09/08/20 04:00:00,6.471,0.0,,,,
64,09/08/20 06:00:00,6.573,0.0,,,,
65,09/08/20 08:00:00,6.573,0.0,,,,
66,09/08/20 10:00:00,6.471,10.8,,,,
67,09/08/20 12:00:00,6.573,10.8,,,,
68,09/08/20 14:00:00,6.674,64.6,,,,
69,09/08/20 16:00:00,6.674,10.8,,,,
70,09/08/20 18:00:00,6.674,0.0,,,,
71,09/08/20 20:00:00,6.573,0.0,,,,
72,09/08/20 22:00:00,6.573,0.0,,,,
73,09/09/20 00:00:00,6.471,0.0,,,,
74,09/09/20 02:00:00,6.370,0.0,,,,
75,09/09/20 04:00:00,6.370,0.0,,,,
76,09/09/20 06:00:00,6.268,0.0,,,,
77,09/09/20 08:00:00,6.268,0.0,,,,
78,09/09/20 10:00:00,6.268,53.8,,,,
79,09/09/20 12:00:00,6.370,86.1,,,,
80,09/09/20 14:00:00,6.471,129.2,,,,
81,09/09/20 16:00:00,6.471,32.3,,,,
82,09/09/20 18:00:00,6.471,0.0,,,,
83,09/09/20 20:00:00,6.674,0.0,,,,
84,09/09/20 22:00:00,6.674,0.0,,,,
85,09/10/20 00:00:00,6.573,0.0,,,,
86,09/10/20 02:00:00,6.573,0.0,,,,
87,09/10/20 04:00:00,6.674,0.0,,,,
88,09/10/20 06:00:00,6.573,0.0,,,,
89,09/10/20 08:00:00,6.573,0.0,,,,
90,09/10/20 10:00:00,6.471,10.8,,,,
91,09/10/20 12:00:00,6.573,43.1,,,,
92,09/10/20 14:00:00,6.775,32.3,,,,
93,09/10/20 16:00:00,6.775,21.5,,,,
94,09/10/20 18:00:00,6.775,0.0,,,,
95,09/10/20 20:00:00,6.775,0.0,,,,
96,09/10/20 22:00:00,6.877,0.0,,,,
97,09/11/20 00:00:00,6.877,0.0,,,,
98,09/11/20 02:00:00,6.775,0.0,,,,
99,09/11/20 04:00:00,6.775,0.0,,,,
100,09/11/20 06:00:00,6.775,0.0,,,,
101,09/11/20 08:00:00,6.775,0.0,,,,
102,09/11/20 10:00:00,6.877,32.3,,,,
103,09/11/20 12:00:00,6.877,43.1,,,,
104,09/11/20 14:00:00,6.978,64.6,,,,
105,09/11/20 16:00:00,7.079,21.5,,,,
106,09/11/20 18:00:00,7.079,0.0,,,,
107,09/11/20 20:00:00,7.079,0.0,,,,
108,09/11/20 22:00:00,7.079,0.0,,,,
109,09/12/20 00:00:00,6.978,0.0,,,,
110,09/12/20 02:00:00,6.978,0.0,,,,
111,09/12/20 04:00:00,6.978,0.0,,,,
112,09/12/20 06:00:00,6.877,0.0,,,,
113,09/12/20 08:00:00,6.877,0.0,,,,
114,09/12/20 10:00:00,6.877,21.5,,,,
115,09/12/20 12:00:00,6.877,10.8,,,,
116,09/12/20 14:00:00,6.775,10.8,,,,
117,09/12/20 16:00:00,6.877,10.8,,,,
118,09/12/20 18:00:00,6.775,0.0,,,,
119,09/12/20 20:00:00,6.775,0.0,,,,
120,09/12/20 22:00:00,6.775,0.0,,,,
121,09/13/20 00:00:00,6.674,0.0,,,,
122,09/13/20 02:00:00,6.674,0.0,,,,
123,09/13/20 04:00:00,6.674,0.0,,,,
124,09/13/20 06:00:00,6.573,0.0,,,,
125,09/13/20 08:00:00,6.573,0.0,,,,
126,09/13/20 10:00:00,6.573,10.8,,,,
127,09/13/20 12:00:00,6.573,32.3,,,,
128,09/13/20 14:00:00,6.674,10.8,,,,
129,09/13/20 16:00:00,6.573,0.0,,,,
130,09/13/20 18:00:00,6.775,0.0,,,,
131,09/13/20 20:00:00,6.674,0.0,,,,
132,09/13/20 22:00:00,6.674,0.0,,,,
133,09/14/20 00:00:00,6.674,0.0,,,,
134,09/14/20 02:00:00,6.674,0.0,,,,
135,09/14/20 04:00:00,6.573,0.0,,,,
136,09/14/20 06:00:00,6.573,0.0,,,,
137,09/14/20 08:00:00,6.471,0.0,,,,
138,09/14/20 10:00:00,6.573,32.3,,,,
139,09/14/20 12:00:00,6.573,10.8,,,,
140,09/14/20 14:00:00,6.573,21.5,,,,
141,09/14/20 16:00:00,6.674,10.8,,,,
142,09/14/20 18:00:00,6.674,0.0,,,,
143,09/14/20 20:00:00,6.674,0.0,,,,
144,09/14/20 22:00:00,6.674,0.0,,,,
145,09/15/20 00:00:00,6.775,0.0,,,,
146,09/15/20 02:00:00,6.775,0.0,,,,
147,09/15/20 04:00:00,6.674,0.0,,,,
148,09/15/20 06:00:00,6.573,0.0,,,,
149,09/15/20 08:00:00,6.573,0.0,,,,
150,09/15/20 10:00:00,6.573,21.5,,,,
151,09/15/20 12:00:00,6.674,43.1,,,,
152,09/15/20 14:00:00,6.674,53.8,,,,
153,09/15/20 16:00:00,6.775,0.0,,,,
154,09/15/20 18:00:00,6.775,0.0,,,,
155,09/15/20 20:00:00,7.079,0.0,,,,
156,09/15/20 22:00:00,7.079,0.0,,,,
157,09/16/20 00:00:00,6.978,0.0,,,,
158,09/16/20 02:00:00,6.877,0.0,,,,
159,09/16/20 04:00:00,6.775,0.0,,,,
160,09/16/20 06:00:00,6.775,0.0,,,,
161,09/16/20 08:00:00,6.674,10.8,,,,
162,09/16/20 10:00:00,6.573,64.6,,,,
163,09/16/20 12:00:00,6.573,107.6,,,,
164,09/16/20 14:00:00,6.573,43.1,,,,
165,09/16/20 16:00:00,6.573,0.0,,,,
166,09/16/20 18:00:00,6.573,0.0,,,,
167,09/16/20 20:00:00,6.573,0.0,,,,
168,09/16/20 22:00:00,6.573,0.0,,,,
169,09/17/20 00:00:00,6.573,0.0,,,,
170,09/17/20 02:00:00,6.573,0.0,,,,
171,09/17/20 04:00:00,6.573,0.0,,,,
172,09/17/20 06:00:00,6.674,0.0,,,,
173,09/17/20 08:00:00,6.573,0.0,,,,
174,09/17/20 10:00:00,6.674,0.0,,,,
175,09/17/20 12:00:00,6.573,21.5,,,,
176,09/17/20 14:00:00,6.573,21.5,,,,
177,09/17/20 16:00:00,6.573,53.8,,,,
178,09/17/20 18:00:00,6.674,10.8,,,,
179,09/17/20 20:00:00,6.674,0.0,,,,
180,09/17/20 22:00:00,6.674,0.0,,,,
181,09/18/20 00:00:00,6.573,0.0,,,,
182,09/18/20 02:00:00,6.573,0.0,,,,
183,09/18/20 04:00:00,6.471,0.0,,,,
184,09/18/20 06:00:00,6.370,0.0,,,,
185,09/18/20 08:00:00,6.370,0.0,,,,
186,09/18/20 10:00:00,6.370,0.0,,,,
187,09/18/20 12:00:00,6.370,10.8,,,,
188,09/18/20 14:00:00,6.471,10.8,,,,
189,09/18/20 16:00:00,6.573,21.5,,,,
190,09/18/20 18:00:00,6.573,0.0,,,,
191,09/18/20 20:00:00,6.471,0.0,,,,
192,09/18/20 22:00:00,6.573,0.0,,,,
193,09/19/20 00:00:00,6.471,0.0,,,,
194,09/19/20 02:00:00,6.370,0.0,,,,
195,09/19/20 04:00:00,6.268,0.0,,,,
196,09/19/20 06:00:00,6.268,0.0,,,,
197,09/19/20 08:00:00,6.268,0.0,,,,
198,09/19/20 10:00:00,6.268,0.0,,,,
199,09/19/20 12:00:00,6.268,21.5,,,,
200,09/19/20 14:00:00,6.370,0.0,,,,
201,09/19/20 16:00:00,6.573,0.0,,,,
202,09/19/20 18:00:00,6.573,0.0,,,,
203,09/19/20 20:00:00,6.471,0.0,,,,
204,09/19/20 22:00:00,6.471,0.0,,,,
205,09/20/20 00:00:00,6.471,0.0,,,,
206,09/20/20 02:00:00,6.370,0.0,,,,
207,09/20/20 04:00:00,6.268,0.0,,,,
208,09/20/20 06:00:00,6.166,0.0,,,,
209,09/20/20 08:00:00,6.064,0.0,,,,
210,09/20/20 10:00:00,6.064,0.0,,,,
211,09/20/20 12:00:00,6.064,0.0,,,,
212,09/20/20 14:00:00,6.064,0.0,,,,
213,09/20/20 16:00:00,6.268,0.0,,,,
214,09/20/20 18:00:00,6.370,0.0,,,,
215,09/20/20 20:00:00,6.268,0.0,,,,
216,09/20/20 22:00:00,6.166,0.0,,,,
217,09/21/20 00:00:00,6.064,0.0,,,,
218,09/21/20 02:00:00,5.962,0.0,,,,
219,09/21/20 04:00:00,5.962,0.0,,,,
220,09/21/20 06:00:00,5.860,0.0,,,,
221,09/21/20 08:00:00,5.860,0.0,,,,
222,09/21/20 10:00:00,5.860,32.3,,,,
223,09/21/20 12:00:00,5.757,32.3,,,,
224,09/21/20 14:00:00,5.655,43.1,,,,
225,09/21/20 16:00:00,5.962,10.8,,,,
226,09/21/20 18:00:00,5.962,0.0,,,,
227,09/21/20 20:00:00,5.860,0.0,,,,
228,09/21/20 22:00:00,5.757,0.0,,,,
229,09/22/20 00:00:00,5.552,0.0,,,,
230,09/22/20 02:00:00,5.450,0.0,,,,
231,09/22/20 04:00:00,5.347,0.0,,,,
232,09/22/20 06:00:00,5.244,0.0,,,,
233,09/22/20 08:00:00,5.141,0.0,,,,
234,09/22/20 10:00:00,5.141,32.3,,,,
