"Plot Title: MD_st33_low_3Sep20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Temp)","Intensity, Lux (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Light)","Coupler Attached (LGR S/N: 10517219)","Host Connected (LGR S/N: 10517219)","Stopped (LGR S/N: 10517219)","End Of File (LGR S/N: 10517219)"
1,09/03/20 12:00:00,16.713,21.5,,,,
2,09/03/20 14:00:00,19.948,10.8,,,,
3,09/03/20 16:00:00,20.901,10.8,,,,
4,09/03/20 18:00:00,20.138,21.5,,,,
5,09/03/20 20:00:00,19.187,0.0,,,,
6,09/03/20 22:00:00,19.282,0.0,,,,
7,09/04/20 00:00:00,18.901,0.0,,,,
8,09/04/20 02:00:00,18.901,0.0,,,,
9,09/04/20 04:00:00,18.901,0.0,,,,
10,09/04/20 06:00:00,18.996,0.0,,,,
11,09/04/20 08:00:00,18.806,0.0,,,,
12,09/04/20 10:00:00,19.377,21.5,,,,
13,09/04/20 12:00:00,20.710,64.6,,,,
14,09/04/20 14:00:00,20.424,53.8,,,,
15,09/04/20 16:00:00,18.426,107.6,,,,
16,09/04/20 18:00:00,19.948,0.0,,,,
17,09/04/20 20:00:00,19.472,0.0,,,,
18,09/04/20 22:00:00,19.662,0.0,,,,
19,09/05/20 00:00:00,18.331,0.0,,,,
20,09/05/20 02:00:00,18.045,0.0,,,,
21,09/05/20 04:00:00,18.236,0.0,,,,
22,09/05/20 06:00:00,18.711,0.0,,,,
23,09/05/20 08:00:00,17.950,0.0,,,,
24,09/05/20 10:00:00,19.092,0.0,,,,
25,09/05/20 12:00:00,19.187,0.0,,,,
26,09/05/20 14:00:00,19.187,0.0,,,,
27,09/05/20 16:00:00,7.481,10.8,,,,
28,09/05/20 18:00:00,7.381,21.5,,,,
29,09/05/20 20:00:00,7.381,0.0,,,,
30,09/05/20 22:00:00,7.582,0.0,,,,
31,09/06/20 00:00:00,7.481,0.0,,,,
32,09/06/20 02:00:00,7.381,0.0,,,,
33,09/06/20 04:00:00,7.381,0.0,,,,
34,09/06/20 06:00:00,7.079,0.0,,,,
35,09/06/20 08:00:00,6.775,0.0,,,,
36,09/06/20 10:00:00,6.674,0.0,,,,
37,09/06/20 12:00:00,6.877,0.0,,,,
38,09/06/20 14:00:00,6.978,0.0,,,,
39,09/06/20 16:00:00,7.179,0.0,,,,
40,09/06/20 18:00:00,7.179,0.0,,,,
41,09/06/20 20:00:00,7.179,0.0,,,,
42,09/06/20 22:00:00,6.877,0.0,,,,
43,09/07/20 00:00:00,7.179,0.0,,,,
44,09/07/20 02:00:00,7.079,0.0,,,,
45,09/07/20 04:00:00,6.877,0.0,,,,
46,09/07/20 06:00:00,6.877,0.0,,,,
47,09/07/20 08:00:00,7.179,0.0,,,,
48,09/07/20 10:00:00,7.179,0.0,,,,
49,09/07/20 12:00:00,6.978,0.0,,,,
50,09/07/20 14:00:00,7.179,0.0,,,,
51,09/07/20 16:00:00,7.179,0.0,,,,
52,09/07/20 18:00:00,7.280,0.0,,,,
53,09/07/20 20:00:00,7.179,0.0,,,,
54,09/07/20 22:00:00,6.978,0.0,,,,
55,09/08/20 00:00:00,6.877,0.0,,,,
56,09/08/20 02:00:00,6.674,0.0,,,,
57,09/08/20 04:00:00,6.573,0.0,,,,
58,09/08/20 06:00:00,6.674,0.0,,,,
59,09/08/20 08:00:00,6.573,0.0,,,,
60,09/08/20 10:00:00,6.573,0.0,,,,
61,09/08/20 12:00:00,6.573,10.8,,,,
62,09/08/20 14:00:00,6.674,43.1,,,,
63,09/08/20 16:00:00,6.775,0.0,,,,
64,09/08/20 18:00:00,6.775,0.0,,,,
65,09/08/20 20:00:00,6.674,0.0,,,,
66,09/08/20 22:00:00,6.573,0.0,,,,
67,09/09/20 00:00:00,6.573,0.0,,,,
68,09/09/20 02:00:00,6.471,0.0,,,,
69,09/09/20 04:00:00,6.370,0.0,,,,
70,09/09/20 06:00:00,6.370,0.0,,,,
71,09/09/20 08:00:00,6.268,0.0,,,,
72,09/09/20 10:00:00,6.370,64.6,,,,
73,09/09/20 12:00:00,6.370,107.6,,,,
74,09/09/20 14:00:00,6.573,129.2,,,,
75,09/09/20 16:00:00,6.573,43.1,,,,
76,09/09/20 18:00:00,6.573,10.8,,,,
77,09/09/20 20:00:00,6.775,0.0,,,,
78,09/09/20 22:00:00,6.674,0.0,,,,
79,09/10/20 00:00:00,6.674,0.0,,,,
80,09/10/20 02:00:00,6.674,0.0,,,,
81,09/10/20 04:00:00,6.674,0.0,,,,
82,09/10/20 06:00:00,6.674,0.0,,,,
83,09/10/20 08:00:00,6.573,0.0,,,,
84,09/10/20 10:00:00,6.573,0.0,,,,
85,09/10/20 12:00:00,6.674,21.5,,,,
86,09/10/20 14:00:00,6.775,10.8,,,,
87,09/10/20 16:00:00,6.877,10.8,,,,
88,09/10/20 18:00:00,6.877,0.0,,,,
89,09/10/20 20:00:00,6.877,0.0,,,,
90,09/10/20 22:00:00,6.877,0.0,,,,
91,09/11/20 00:00:00,6.877,0.0,,,,
92,09/11/20 02:00:00,6.877,0.0,,,,
93,09/11/20 04:00:00,6.877,0.0,,,,
94,09/11/20 06:00:00,6.877,0.0,,,,
95,09/11/20 08:00:00,6.877,0.0,,,,
96,09/11/20 10:00:00,6.877,21.5,,,,
