"Plot Title: 10517223"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testT)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testL)","Coupler Detached (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
1,06/08/14 10:30:00,27.468,0.0,,
2,06/08/14 10:44:47,,,Logged,
3,06/08/14 11:00:00,24.351,1097.9,,
4,06/08/14 11:30:00,24.158,1550.0,,
5,06/08/14 12:00:00,21.760,3788.9,,
6,06/08/14 12:30:00,24.255,143289.8,,
7,06/08/14 13:00:00,23.677,165334.4,,
8,06/08/14 13:30:00,23.773,126756.4,,
9,06/08/14 14:00:00,21.378,159823.3,,
10,06/08/14 14:30:00,19.282,39955.8,,
11,06/08/14 15:00:00,19.092,31689.1,,
12,06/08/14 15:30:00,21.855,137778.7,,
13,06/08/14 16:00:00,20.519,46844.8,,
14,06/08/14 16:30:00,21.378,41333.6,,
15,06/08/14 17:00:00,24.545,60622.6,,
16,06/08/14 17:30:00,22.238,68889.3,,
17,06/08/14 18:00:00,20.710,52355.9,,
18,06/08/14 18:30:00,19.853,63378.2,,
19,06/08/14 19:00:00,19.567,34444.7,,
20,06/08/14 19:30:00,18.901,60622.6,,
21,06/08/14 20:00:00,17.950,22044.6,,
22,06/08/14 20:30:00,16.141,11022.3,,
23,06/08/14 21:00:00,15.951,15844.5,,
24,06/08/14 21:30:00,15.855,12400.1,,
25,06/08/14 22:00:00,13.750,4133.4,,
26,06/08/14 22:30:00,13.076,2755.6,,
27,06/08/14 23:00:00,12.304,1345.5,,
28,06/08/14 23:30:00,11.041,387.5,,
29,06/09/14 00:00:00,10.748,183.0,,
30,06/09/14 00:30:00,10.846,75.3,,
31,06/09/14 01:00:00,10.259,75.3,,
32,06/09/14 01:30:00,10.259,86.1,,
33,06/09/14 02:00:00,9.965,75.3,,
34,06/09/14 02:30:00,9.866,107.6,,
35,06/09/14 03:00:00,9.768,538.2,,
36,06/09/14 03:30:00,9.571,688.9,,
37,06/09/14 04:00:00,9.373,1054.9,,
38,06/09/14 04:30:00,9.472,2325.0,,
39,06/09/14 05:00:00,10.063,5338.9,,
40,06/09/14 05:30:00,10.748,7233.4,,
41,06/09/14 06:00:00,10.455,6544.5,,
42,06/09/14 06:30:00,12.690,19977.9,,
43,06/09/14 07:00:00,13.076,14466.8,,
44,06/09/14 07:30:00,16.046,27555.7,,
45,06/09/14 08:00:00,14.038,21355.7,,
46,06/09/14 08:30:00,17.760,24800.2,,
47,06/09/14 09:00:00,23.484,55111.5,,
48,06/09/14 09:30:00,21.951,46844.8,,
49,06/09/14 10:00:00,25.319,132267.5,,
50,06/09/14 10:30:00,30.154,99200.7,,
51,06/09/14 11:00:00,31.676,121245.2,,
52,06/09/14 11:30:00,32.704,77156.1,,
53,06/09/14 12:00:00,27.370,46844.8,,
54,06/09/14 12:30:00,22.525,41333.6,,
55,06/09/14 13:00:00,24.255,39955.8,,
56,06/09/14 13:30:00,18.616,33066.9,,
57,06/09/14 14:00:00,19.092,42711.4,,
58,06/09/14 14:30:00,20.996,63378.2,,
59,06/09/14 15:00:00,20.519,46844.8,,
60,06/09/14 15:30:00,21.760,68889.3,,
61,06/09/14 16:00:00,15.951,9300.1,,
62,06/09/14 16:30:00,18.996,37200.2,,
63,06/09/14 17:00:00,18.901,27555.7,,
64,06/09/14 17:30:00,22.525,63378.2,,
65,06/09/14 18:00:00,16.808,5511.1,,
66,06/09/14 18:30:00,13.942,14466.8,,
67,06/09/14 19:00:00,16.903,30311.3,,
68,06/09/14 19:30:00,16.332,19977.9,,
69,06/09/14 20:00:00,12.497,2755.6,,
70,06/09/14 20:30:00,13.846,5511.1,,
71,06/09/14 21:00:00,12.883,4477.8,,
72,06/09/14 21:30:00,19.187,9644.5,,
73,06/09/14 22:00:00,13.654,4305.6,,
74,06/09/14 22:30:00,13.942,4650.0,,
75,06/09/14 23:00:00,12.787,3272.2,,
76,06/09/14 23:30:00,11.722,1076.4,,
77,06/10/14 00:00:00,11.528,645.8,,
78,06/10/14 00:30:00,10.846,505.9,,
79,06/10/14 01:00:00,10.063,355.2,,
80,06/10/14 01:30:00,10.063,366.0,,
81,06/10/14 02:00:00,10.553,495.1,,
82,06/10/14 02:30:00,9.472,828.8,,
83,06/10/14 03:00:00,9.275,2669.5,,
84,06/10/14 03:30:00,10.357,8611.2,,
85,06/10/14 04:00:00,11.431,7577.8,,
86,06/10/14 04:30:00,12.980,19977.9,,
87,06/10/14 05:00:00,14.996,26178.0,,
88,06/10/14 05:30:00,15.760,60622.6,,
89,06/10/14 06:00:00,14.517,46844.8,,
90,06/10/14 06:30:00,18.616,41333.6,,
91,06/10/14 07:00:00,18.236,77156.1,,
92,06/10/14 07:30:00,20.043,74400.5,,
93,06/10/14 08:00:00,26.977,46844.8,,
94,06/10/14 08:30:00,28.655,88178.4,,
95,06/10/14 09:00:00,31.472,93689.5,,
96,06/10/14 09:30:00,35.435,104711.8,,
97,06/10/14 10:00:00,29.953,115734.1,,
98,06/10/14 10:30:00,26.000,126756.4,,
99,06/10/14 11:00:00,25.319,143289.8,,
100,06/10/14 11:30:00,21.091,39955.8,,
101,06/10/14 12:00:00,20.615,41333.6,,
102,06/10/14 12:30:00,20.519,35822.5,,
103,06/10/14 13:00:00,19.377,44089.2,,
104,06/10/14 13:30:00,20.710,38578.0,,
105,06/10/14 14:00:00,18.331,28933.5,,
106,06/10/14 14:30:00,18.711,34444.7,,
107,06/10/14 15:00:00,21.187,60622.6,,
108,06/10/14 15:30:00,17.475,38578.0,,
109,06/10/14 16:00:00,16.999,24800.2,,
110,06/10/14 16:30:00,15.951,18600.1,,
111,06/10/14 17:00:00,16.427,33066.9,,
112,06/10/14 17:30:00,19.472,57867.0,,
113,06/10/14 18:00:00,20.424,104711.8,,
114,06/10/14 18:30:00,19.567,26178.0,,
115,06/10/14 19:00:00,16.618,12400.1,,
116,06/10/14 19:30:00,15.951,10677.8,,
117,06/10/14 20:00:00,15.760,14466.8,,
118,06/10/14 20:30:00,16.332,6544.5,,
119,06/10/14 21:00:00,15.760,5511.1,,
120,06/10/14 21:30:00,15.760,6544.5,,
121,06/10/14 22:00:00,16.237,4650.0,,
122,06/10/14 22:30:00,14.421,5166.7,,
123,06/10/14 23:00:00,12.497,2325.0,,
124,06/10/14 23:30:00,12.013,1722.2,,
125,06/11/14 00:00:00,11.236,1184.0,,
126,06/11/14 00:30:00,10.651,871.9,,
127,06/11/14 01:00:00,10.748,247.6,,
128,06/11/14 01:30:00,10.455,236.8,,
129,06/11/14 02:00:00,10.161,247.6,,
130,06/11/14 02:30:00,10.259,430.6,,
131,06/11/14 03:00:00,10.259,581.3,,
132,06/11/14 03:30:00,10.357,1011.8,,
133,06/11/14 04:00:00,10.259,1808.3,,
134,06/11/14 04:30:00,10.259,1808.3,,
135,06/11/14 05:00:00,10.161,2066.7,,
136,06/11/14 05:30:00,10.161,1808.3,,
137,06/11/14 06:00:00,10.455,1722.2,,
138,06/11/14 06:30:00,10.259,2497.2,,
139,06/11/14 07:00:00,10.455,4822.3,,
140,06/11/14 07:30:00,11.041,8266.7,,
141,06/11/14 08:00:00,12.207,22044.6,,
142,06/11/14 08:30:00,12.110,19289.0,,
143,06/11/14 09:00:00,11.625,11022.3,,
144,06/11/14 09:30:00,11.819,19977.9,,
145,06/11/14 10:00:00,11.431,14466.8,,
146,06/11/14 10:30:00,12.110,26178.0,,
147,06/11/14 11:00:00,12.110,26178.0,,
148,06/11/14 11:30:00,12.787,27555.7,,
149,06/11/14 12:00:00,12.690,26178.0,,
150,06/11/14 12:30:00,12.690,26178.0,,
151,06/11/14 13:00:00,14.325,46844.8,,
152,06/11/14 13:30:00,13.846,44089.2,,
153,06/11/14 14:00:00,14.038,35822.5,,
154,06/11/14 14:30:00,14.134,38578.0,,
155,06/11/14 15:00:00,14.613,28933.5,,
156,06/11/14 15:30:00,13.846,37200.2,,
157,06/11/14 16:00:00,12.690,22044.6,,
158,06/11/14 16:30:00,12.594,22044.6,,
159,06/11/14 17:00:00,12.594,28933.5,,
