Plot Title: Sonde Light,,,,,,
#,"Date Time, GMT+00:00","Intensity, Lux (LGR S/N: 10349962, SEN S/N: 10349962)",Coupler Attached (LGR S/N: 10349962),Host Connected (LGR S/N: 10349962),Stopped (LGR S/N: 10349962),End Of File (LGR S/N: 10349962)
1,6/13/13 12:00,462.9,,,,
2,6/13/13 12:15,764.2,,,,
3,6/13/13 12:30,37200.2,,,,
4,6/13/13 12:45,38578,,,,
5,6/13/13 13:00,34444.7,,,,
6,6/13/13 13:15,88178.4,,,,
7,6/13/13 13:30,55111.5,,,,
8,6/13/13 13:45,71644.9,,,,
9,6/13/13 14:00,68889.3,,,,
10,6/13/13 14:15,55111.5,,,,
11,6/13/13 14:30,57867,,,,
12,6/13/13 14:45,55111.5,,,,
13,6/13/13 15:00,46844.8,,,,
14,6/13/13 15:15,33066.9,,,,
15,6/13/13 15:30,33066.9,,,,
16,6/13/13 15:45,79911.6,,,,
17,6/13/13 16:00,63378.2,,,,
18,6/13/13 16:15,88178.4,,,,
19,6/13/13 16:30,88178.4,,,,
20,6/13/13 16:45,77156.1,,,,
21,6/13/13 17:00,66133.8,,,,
22,6/13/13 17:15,46844.8,,,,
23,6/13/13 17:30,44089.2,,,,
24,6/13/13 17:45,46844.8,,,,
25,6/13/13 18:00,46844.8,,,,
26,6/13/13 18:15,35822.5,,,,
27,6/13/13 18:30,37200.2,,,,
28,6/13/13 18:45,33066.9,,,,
29,6/13/13 19:00,27555.7,,,,
30,6/13/13 19:15,28933.5,,,,
31,6/13/13 19:30,24800.2,,,,
32,6/13/13 19:45,27555.7,,,,
33,6/13/13 20:00,24800.2,,,,
34,6/13/13 20:15,22044.6,,,,
35,6/13/13 20:30,16533.4,,,,
36,6/13/13 20:45,17911.2,,,,
37,6/13/13 21:00,12400.1,,,,
38,6/13/13 21:15,11022.3,,,,
39,6/13/13 21:30,10333.4,,,,
40,6/13/13 21:45,9644.5,,,,
41,6/13/13 22:00,8611.2,,,,
42,6/13/13 22:15,6544.5,,,,
43,6/13/13 22:30,5166.7,,,,
44,6/13/13 22:45,8611.2,,,,
45,6/13/13 23:00,4650,,,,
46,6/13/13 23:15,3788.9,,,,
47,6/13/13 23:30,3100,,,,
48,6/13/13 23:45,3616.7,,,,
49,6/14/13 0:00,1463.9,,,,
50,6/14/13 0:15,1011.8,,,,
51,6/14/13 0:30,839.6,,,,
52,6/14/13 0:45,742.7,,,,
53,6/14/13 1:00,688.9,,,,
54,6/14/13 1:15,624.3,,,,
55,6/14/13 1:30,753.5,,,,
56,6/14/13 1:45,796.5,,,,
57,6/14/13 2:00,968.8,,,,
58,6/14/13 2:15,1463.9,,,,
59,6/14/13 2:30,1894.5,,,,
60,6/14/13 2:45,2669.5,,,,
61,6/14/13 3:00,8266.7,,,,
62,6/14/13 3:15,4477.8,,,,
63,6/14/13 3:30,4650,,,,
64,6/14/13 3:45,9644.5,,,,
65,6/14/13 4:00,18600.1,,,,
66,6/14/13 4:15,24800.2,,,,
67,6/14/13 4:30,18600.1,,,,
68,6/14/13 4:45,44089.2,,,,
69,6/14/13 5:00,33066.9,,,,
70,6/14/13 5:15,14466.8,,,,
71,6/14/13 5:30,6544.5,,,,
72,6/14/13 5:45,11022.3,,,,
73,6/14/13 6:00,13777.9,,,,
74,6/14/13 6:15,17222.3,,,,
75,6/14/13 6:30,18600.1,,,,
76,6/14/13 6:45,27555.7,,,,
77,6/14/13 7:00,24800.2,,,,
78,6/14/13 7:15,37200.2,,,,
79,6/14/13 7:30,34444.7,,,,
80,6/14/13 7:45,30311.3,,,,
81,6/14/13 8:00,44089.2,,,,
82,6/14/13 8:15,49600.3,,,,
83,6/14/13 8:30,37200.2,,,,
84,6/14/13 8:45,55111.5,,,,
85,6/14/13 9:00,57867,,,,
86,6/14/13 9:15,57867,,,,
87,6/14/13 9:30,71644.9,,,,
88,6/14/13 9:45,88178.4,,,,
89,6/14/13 10:00,77156.1,,,,
90,6/14/13 10:15,88178.4,,,,
91,6/14/13 10:30,85422.8,,,,
