"Plot Title: sonde_May21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10724105, SEN S/N: 10724105)","Intensity, Lux (LGR S/N: 10724105, SEN S/N: 10724105)","Coupler Detached (LGR S/N: 10724105)","Coupler Attached (LGR S/N: 10724105)","Host Connected (LGR S/N: 10724105)","Stopped (LGR S/N: 10724105)","End Of File (LGR S/N: 10724105)"
1,05/17/21 03:56:06 PM,25.610,10.8,,,,,
2,05/17/21 03:56:27 PM,,,Logged,,,,
3,05/17/21 04:26:06 PM,24.545,0.0,,,,,
4,05/17/21 04:56:06 PM,23.773,0.0,,,,,
5,05/17/21 05:26:06 PM,23.581,0.0,,,,,
6,05/17/21 05:56:06 PM,23.581,0.0,,,,,
7,05/17/21 06:26:06 PM,23.581,0.0,,,,,
8,05/17/21 06:56:06 PM,23.484,0.0,,,,,
9,05/17/21 07:26:06 PM,23.292,0.0,,,,,
10,05/17/21 07:56:06 PM,23.388,0.0,,,,,
11,05/17/21 08:26:06 PM,23.484,0.0,,,,,
12,05/17/21 08:56:06 PM,23.484,0.0,,,,,
13,05/17/21 09:26:06 PM,23.484,0.0,,,,,
14,05/17/21 09:56:06 PM,23.581,0.0,,,,,
15,05/17/21 10:26:06 PM,23.581,0.0,,,,,
16,05/17/21 10:56:06 PM,23.388,0.0,,,,,
17,05/17/21 11:26:06 PM,23.196,0.0,,,,,
18,05/17/21 11:56:06 PM,23.196,0.0,,,,,
19,05/18/21 12:26:06 AM,23.196,0.0,,,,,
20,05/18/21 12:56:06 AM,23.196,0.0,,,,,
21,05/18/21 01:26:06 AM,23.100,0.0,,,,,
22,05/18/21 01:56:06 AM,23.100,0.0,,,,,
23,05/18/21 02:26:06 AM,23.100,0.0,,,,,
24,05/18/21 02:56:06 AM,23.100,0.0,,,,,
25,05/18/21 03:26:06 AM,23.004,0.0,,,,,
26,05/18/21 03:56:06 AM,23.004,0.0,,,,,
27,05/18/21 04:26:06 AM,23.004,0.0,,,,,
28,05/18/21 04:56:06 AM,23.004,0.0,,,,,
29,05/18/21 05:26:06 AM,23.004,0.0,,,,,
30,05/18/21 05:56:06 AM,23.004,0.0,,,,,
31,05/18/21 06:26:06 AM,22.908,0.0,,,,,
32,05/18/21 06:56:06 AM,22.908,0.0,,,,,
33,05/18/21 07:26:06 AM,22.908,0.0,,,,,
34,05/18/21 07:56:06 AM,22.908,0.0,,,,,
35,05/18/21 08:26:06 AM,3.788,5511.1,,,,,
36,05/18/21 08:56:06 AM,1.656,1313.2,,,,,
37,05/18/21 09:26:06 AM,-0.213,2669.5,,,,,
38,05/18/21 09:56:06 AM,-0.325,3272.2,,,,,
39,05/18/21 10:26:06 AM,-1.001,2497.2,,,,,
40,05/18/21 10:56:06 AM,0.343,3788.9,,,,,
41,05/18/21 11:26:06 AM,3.155,37200.2,,,,,
42,05/18/21 11:56:06 AM,2.837,28933.5,,,,,
43,05/18/21 12:26:06 PM,3.261,33066.9,,,,,
44,05/18/21 12:56:06 PM,3.998,38578.0,,,,,
45,05/18/21 01:26:06 PM,3.367,27555.7,,,,,
46,05/18/21 01:56:06 PM,3.261,26178.0,,,,,
47,05/18/21 02:26:06 PM,3.155,27555.7,,,,,
48,05/18/21 02:56:06 PM,3.155,30311.3,,,,,
49,05/18/21 03:26:06 PM,2.730,26178.0,,,,,
50,05/18/21 03:56:06 PM,1.980,17911.2,,,,,
51,05/18/21 04:26:06 PM,1.872,17222.3,,,,,
52,05/18/21 04:56:06 PM,1.764,15155.7,,,,,
53,05/18/21 05:26:06 PM,1.330,12400.1,,,,,
54,05/18/21 05:56:06 PM,1.003,8266.7,,,,,
55,05/18/21 06:26:06 PM,0.893,8611.2,,,,,
