"Plot Title: St33_SONDE_18Jul21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 2409646, SEN S/N: 2409646)","Intensity, Lux (LGR S/N: 2409646, SEN S/N: 2409646)","Coupler Attached (LGR S/N: 2409646)","Host Connected (LGR S/N: 2409646)","Stopped (LGR S/N: 2409646)","End Of File (LGR S/N: 2409646)"
1,07/18/21 10:00:00,22.333,129.2,,,,
2,07/18/21 10:30:00,23.773,0.0,,,,
3,07/18/21 11:00:00,27.567,441.3,,,,
4,07/18/21 11:30:00,23.773,132267.5,,,,
5,07/18/21 12:00:00,27.468,176356.7,,,,
6,07/18/21 12:30:00,28.754,79911.6,,,,
7,07/18/21 13:00:00,34.903,93689.5,,,,
8,07/18/21 13:30:00,33.118,31689.1,,,,
9,07/18/21 14:00:00,34.903,23422.4,,,,
10,07/18/21 14:30:00,33.639,115734.1,,,,
11,07/18/21 15:00:00,27.468,60622.6,,,,
12,07/18/21 15:30:00,26.781,115734.1,,,,
13,07/18/21 16:00:00,27.764,35822.5,,,,
14,07/18/21 16:30:00,25.805,88178.4,,,,
15,07/18/21 17:00:00,22.429,115734.1,,,,
16,07/18/21 17:30:00,22.812,44089.2,,,,
17,07/18/21 18:00:00,19.758,99200.7,,,,
18,07/18/21 18:30:00,18.616,99200.7,,,,
19,07/18/21 19:00:00,17.379,23422.4,,,,
20,07/18/21 19:30:00,15.855,10333.4,,,,
21,07/18/21 20:00:00,16.523,15844.5,,,,
22,07/18/21 20:30:00,15.282,19977.9,,,,
23,07/18/21 21:00:00,14.613,14466.8,,,,
24,07/18/21 21:30:00,15.378,5511.1,,,,
25,07/18/21 22:00:00,13.942,6544.5,,,,
26,07/18/21 22:30:00,13.365,2411.1,,,,
27,07/18/21 23:00:00,12.594,731.9,,,,
28,07/18/21 23:30:00,12.497,183.0,,,,
29,07/19/21 00:00:00,11.722,86.1,,,,
30,07/19/21 00:30:00,12.304,43.1,,,,
31,07/19/21 01:00:00,13.173,10.8,,,,
32,07/19/21 01:30:00,14.325,21.5,,,,
33,07/19/21 02:00:00,14.517,43.1,,,,
34,07/19/21 02:30:00,13.750,129.2,,,,
35,07/19/21 03:00:00,14.134,355.2,,,,
36,07/19/21 03:30:00,14.325,807.3,,,,
37,07/19/21 04:00:00,14.230,2755.6,,,,
38,07/19/21 04:30:00,12.690,3961.1,,,,
39,07/19/21 05:00:00,12.690,2927.8,,,,
40,07/19/21 05:30:00,13.076,5166.7,,,,
41,07/19/21 06:00:00,13.076,4477.8,,,,
42,07/19/21 06:30:00,12.690,4305.6,,,,
43,07/19/21 07:00:00,12.594,10677.8,,,,
44,07/19/21 07:30:00,12.787,6544.5,,,,
45,07/19/21 08:00:00,12.690,6200.0,,,,
46,07/19/21 08:30:00,13.461,15155.7,,,,
47,07/19/21 09:00:00,14.613,28933.5,,,,
48,07/19/21 09:30:00,15.091,28933.5,,,,
49,07/19/21 10:00:00,14.709,15155.7,,,,
50,07/19/21 10:30:00,15.473,22044.6,,,,
51,07/19/21 11:00:00,16.713,33066.9,,,,
52,07/19/21 11:30:00,19.282,55111.5,,,,
53,07/19/21 12:00:00,17.379,41333.6,,,,
54,07/19/21 12:30:00,16.046,33066.9,,,,
55,07/19/21 13:00:00,14.804,30311.3,,,,
56,07/19/21 13:30:00,15.187,49600.3,,,,
57,07/19/21 14:00:00,14.709,19289.0,,,,
58,07/19/21 14:30:00,15.378,49600.3,,,,
59,07/19/21 15:00:00,16.427,82667.2,,,,
60,07/19/21 15:30:00,16.237,57867.0,,,,
61,07/19/21 16:00:00,15.187,41333.6,,,,
62,07/19/21 16:30:00,14.325,19289.0,,,,
63,07/19/21 17:00:00,14.325,18600.1,,,,
64,07/19/21 17:30:00,13.750,15155.7,,,,
65,07/19/21 18:00:00,13.942,11022.3,,,,
66,07/19/21 18:30:00,14.325,24800.2,,,,
67,07/19/21 19:00:00,14.421,23422.4,,,,
68,07/19/21 19:30:00,18.616,17222.3,,,,
69,07/19/21 20:00:00,15.282,22044.6,,,,
70,07/19/21 20:30:00,14.325,8266.7,,,,
71,07/19/21 21:00:00,14.325,4650.0,,,,
72,07/19/21 21:30:00,13.654,3444.5,,,,
73,07/19/21 22:00:00,15.091,11022.3,,,,
74,07/19/21 22:30:00,13.654,4477.8,,,,
75,07/19/21 23:00:00,12.401,1130.2,,,,
76,07/19/21 23:30:00,12.594,441.3,,,,
77,07/20/21 00:00:00,12.207,161.5,,,,
78,07/20/21 00:30:00,12.497,64.6,,,,
79,07/20/21 01:00:00,12.690,21.5,,,,
80,07/20/21 01:30:00,12.207,10.8,,,,
81,07/20/21 02:00:00,12.110,32.3,,,,
82,07/20/21 02:30:00,11.625,172.2,,,,
83,07/20/21 03:00:00,11.819,602.8,,,,
84,07/20/21 03:30:00,11.819,2152.8,,,,
85,07/20/21 04:00:00,11.916,3444.5,,,,
86,07/20/21 04:30:00,13.173,6200.0,,,,
87,07/20/21 05:00:00,15.664,13089.0,,,,
88,07/20/21 05:30:00,16.713,8266.7,,,,
89,07/20/21 06:00:00,14.996,8611.2,,,,
90,07/20/21 06:30:00,15.378,28933.5,,,,
91,07/20/21 07:00:00,15.951,79911.6,,,,
92,07/20/21 07:30:00,15.569,46844.8,,,,
93,07/20/21 08:00:00,16.332,99200.7,,,,
94,07/20/21 08:30:00,16.808,71644.9,,,,
95,07/20/21 09:00:00,16.903,39955.8,,,,
96,07/20/21 09:30:00,19.282,99200.7,,,,
97,07/20/21 10:00:00,22.333,71644.9,,,,
98,07/20/21 10:30:00,27.173,68889.3,,,,
99,07/20/21 11:00:00,32.394,115734.1,,,,
100,07/20/21 11:30:00,36.946,143289.8,,,,
101,07/20/21 12:00:00,37.494,79911.6,,,,
102,07/20/21 12:30:00,39.729,115734.1,,,,
103,07/20/21 13:00:00,36.620,115734.1,,,,
104,07/20/21 13:30:00,37.935,115734.1,,,,
105,07/20/21 14:00:00,39.729,126756.4,,,,
106,07/20/21 14:30:00,46.850,33066.9,,,,
107,07/20/21 15:00:00,30.054,126756.4,,,,
108,07/20/21 15:30:00,25.708,82667.2,,,,
109,07/20/21 16:00:00,23.773,88178.4,,,,
110,07/20/21 16:30:00,22.812,82667.2,,,,
111,07/20/21 17:00:00,24.738,126756.4,,,,
112,07/20/21 17:30:00,25.416,19289.0,,,,
113,07/20/21 18:00:00,20.424,63378.2,,,,
114,07/20/21 18:30:00,21.760,10333.4,,,,
115,07/20/21 19:00:00,23.869,42711.4,,,,
116,07/20/21 19:30:00,18.901,8266.7,,,,
117,07/20/21 20:00:00,20.138,23422.4,,,,
118,07/20/21 20:30:00,21.282,17911.2,,,,
119,07/20/21 21:00:00,22.142,11022.3,,,,
120,07/20/21 21:30:00,20.805,7233.4,,,,
121,07/20/21 22:00:00,17.855,3100.0,,,,
122,07/20/21 22:30:00,16.332,1808.3,,,,
123,07/20/21 23:00:00,16.332,968.8,,,,
124,07/20/21 23:30:00,15.473,344.4,,,,
125,07/21/21 00:00:00,15.664,129.2,,,,
126,07/21/21 00:30:00,15.091,96.9,,,,
127,07/21/21 01:00:00,15.378,21.5,,,,
128,07/21/21 01:30:00,15.473,10.8,,,,
129,07/21/21 02:00:00,15.473,32.3,,,,
130,07/21/21 02:30:00,15.282,344.4,,,,
131,07/21/21 03:00:00,15.378,366.0,,,,
132,07/21/21 03:30:00,14.804,688.9,,,,
133,07/21/21 04:00:00,14.804,1377.8,,,,
134,07/21/21 04:30:00,15.091,4133.4,,,,
135,07/21/21 05:00:00,15.378,3961.1,,,,
