Plot Title: St33_Sonde_20Aug2017,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)",Coupler Detached (LGR S/N: 10517216),Coupler Attached (LGR S/N: 10517216),Host Connected (LGR S/N: 10517216),Stopped (LGR S/N: 10517216),End Of File (LGR S/N: 10517216)
1,8/20/17 9:24,19.092,0,,,,,
2,8/20/17 9:24,,,Logged,,,,
3,8/20/17 9:54,18.045,0,,,,,
4,8/20/17 10:24,14.996,355.2,,,,,
5,8/20/17 10:54,12.11,1636.1,,,,,
6,8/20/17 11:24,12.013,473.6,,,,,
7,8/20/17 11:54,10.455,30311.3,,,,,
8,8/20/17 12:24,12.11,46844.8,,,,,
9,8/20/17 12:54,13.654,49600.3,,,,,
10,8/20/17 13:24,12.98,38578,,,,,
11,8/20/17 13:54,12.013,31689.1,,,,,
12,8/20/17 14:24,14.134,55111.5,,,,,
13,8/20/17 14:54,13.173,41333.6,,,,,
14,8/20/17 15:24,12.98,41333.6,,,,,
15,8/20/17 15:54,13.461,41333.6,,,,,
16,8/20/17 16:24,14.804,46844.8,,,,,
17,8/20/17 16:54,14.517,38578,,,,,
18,8/20/17 17:24,17.094,44089.2,,,,,
19,8/20/17 17:54,21.378,24800.2,,,,,
20,8/20/17 18:24,21.855,11711.2,,,,,
21,8/20/17 18:54,25.125,15844.5,,,,,
22,8/20/17 19:24,13.654,5166.7,,,,,
23,8/20/17 19:54,10.944,5166.7,,,,,
24,8/20/17 20:24,8.581,2325,,,,,
25,8/20/17 20:54,6.978,828.8,,,,,
26,8/20/17 21:24,6.064,183,,,,,
27,8/20/17 21:54,5.655,10.8,,,,,
28,8/20/17 22:24,5.757,0,,,,,
29,8/20/17 22:54,4.727,0,,,,,
30,8/20/17 23:24,4.102,0,,,,,
31,8/20/17 23:54,4.519,0,,,,,
32,8/21/17 0:24,3.472,0,,,,,
33,8/21/17 0:54,4.207,0,,,,,
34,8/21/17 1:24,3.998,0,,,,,
35,8/21/17 1:54,3.683,0,,,,,
36,8/21/17 2:24,3.893,0,,,,,
37,8/21/17 2:54,4.102,0,,,,,
38,8/21/17 3:24,4.311,0,,,,,
39,8/21/17 3:54,4.519,0,,,,,
40,8/21/17 4:24,3.683,10.8,,,,,
41,8/21/17 4:54,3.367,398.3,,,,,
42,8/21/17 5:24,5.347,968.8,,,,,
43,8/21/17 5:54,5.141,2927.8,,,,,
44,8/21/17 6:24,5.552,6200,,,,,
45,8/21/17 6:54,6.37,8611.2,,,,,
46,8/21/17 7:24,7.381,17222.3,,,,,
47,8/21/17 7:54,8.182,19289,,,,,
48,8/21/17 8:24,10.063,31689.1,,,,,
49,8/21/17 8:54,11.236,30311.3,,,,,
50,8/21/17 9:24,11.819,33066.9,,,,,
51,8/21/17 9:54,14.804,44089.2,,,,,
52,8/21/17 10:24,17.094,93689.5,,,,,
53,8/21/17 10:54,19.948,121245.2,,,,,
54,8/21/17 11:24,20.71,115734.1,,,,,
55,8/21/17 11:54,21.282,93689.5,,,,,
56,8/21/17 12:24,22.908,74400.5,,,,,
57,8/21/17 12:54,25.416,93689.5,,,,,
58,8/21/17 13:24,30.457,93689.5,,,,,
59,8/21/17 13:54,36.295,99200.7,,,,,
60,8/21/17 14:24,27.862,30311.3,,,,,
61,8/21/17 14:54,33.639,104711.8,,,,,
62,8/21/17 15:24,27.272,85422.8,,,,,
63,8/21/17 15:54,28.06,55111.5,,,,,
64,8/21/17 16:24,25.902,49600.3,,,,,
65,8/21/17 16:54,21.951,33066.9,,,,,
66,8/21/17 17:24,20.615,27555.7,,,,,
67,8/21/17 17:54,18.806,16533.4,,,,,
68,8/21/17 18:24,14.23,21355.7,,,,,
69,8/21/17 18:54,12.98,14466.8,,,,,
70,8/21/17 19:24,13.461,16533.4,,,,,
71,8/21/17 19:54,11.236,5511.1,,,,,
72,8/21/17 20:24,10.063,3272.2,,,,,
73,8/21/17 20:54,9.077,731.9,,,,,
74,8/21/17 21:24,8.68,139.9,,,,,
75,8/21/17 21:54,8.382,0,,,,,
76,8/21/17 22:24,7.381,0,,,,,
77,8/21/17 22:54,7.28,0,,,,,
78,8/21/17 23:24,7.28,0,,,,,
79,8/21/17 23:54,6.573,0,,,,,
80,8/22/17 0:24,6.166,0,,,,,
81,8/22/17 0:54,6.573,0,,,,,
82,8/22/17 1:24,6.064,0,,,,,
83,8/22/17 1:54,5.552,0,,,,,
84,8/22/17 2:24,6.268,0,,,,,
85,8/22/17 2:54,6.877,0,,,,,
86,8/22/17 3:24,7.079,0,,,,,
87,8/22/17 3:54,7.983,0,,,,,
88,8/22/17 4:24,7.782,0,,,,,
89,8/22/17 4:54,7.682,107.6,,,,,
90,8/22/17 5:24,7.28,807.3,,,,,
91,8/22/17 5:54,7.481,2583.4,,,,,
92,8/22/17 6:24,7.882,6200,,,,,
93,8/22/17 6:54,10.455,9300.1,,,,,
94,8/22/17 7:24,14.804,10677.8,,,,,
95,8/22/17 7:54,14.325,10677.8,,,,,
96,8/22/17 8:24,14.421,30311.3,,,,,
97,8/22/17 8:54,16.141,57867,,,,,
98,8/22/17 9:24,17.665,79911.6,,,,,
99,8/22/17 9:54,19.758,77156.1,,,,,
100,8/22/17 10:24,26.977,82667.2,,,,,
101,8/22/17 10:54,34.058,99200.7,,,,,
102,8/22/17 11:24,30.054,66133.8,,,,,
103,8/22/17 11:54,23.966,82667.2,,,,,
104,8/22/17 12:24,28.953,132267.5,,,,,
105,8/22/17 12:54,26.39,79911.6,,,,,
106,8/22/17 13:24,24.931,93689.5,,,,,
107,8/22/17 13:54,28.853,115734.1,,,,,
108,8/22/17 14:24,24.448,143289.8,,,,,
109,8/22/17 14:54,19.853,88178.4,,,,,
110,8/22/17 15:24,16.523,55111.5,,,,,
111,8/22/17 15:54,14.804,39955.8,,,,,
112,8/22/17 16:24,17.094,44089.2,,,,,
