Plot Title: SONDE_20July20,,,,,,,
#,"Date Time, ADJUSTED","Temp, °C (LGR S/N: 10349963, SEN S/N: 10349963)","Intensity, Lux (LGR S/N: 10349963, SEN S/N: 10349963)",Host Connected (LGR S/N: 10349963),Coupler Attached (LGR S/N: 10349963),Stopped (LGR S/N: 10349963),End Of File (LGR S/N: 10349963)
1,7/20/2020 14:00,25.61,231468.2,,,,
2,7/20/2020 14:30,21.282,104711.8,,,,
3,7/20/2020 15:00,14.134,46844.8,,,,
4,7/20/2020 15:30,12.207,39955.8,,,,
5,7/20/2020 16:00,12.207,49600.3,,,,
6,7/20/2020 16:30,13.846,57867,,,,
7,7/20/2020 17:00,12.401,37200.2,,,,
8,7/20/2020 17:30,13.076,55111.5,,,,
9,7/20/2020 18:00,13.076,33066.9,,,,
10,7/20/2020 18:30,11.722,30311.3,,,,
11,7/20/2020 19:00,10.651,24800.2,,,,
12,7/20/2020 19:30,10.161,19289,,,,
13,7/20/2020 20:00,10.553,20666.8,,,,
14,7/20/2020 20:30,9.077,6200,,,,
15,7/20/2020 21:00,8.879,15844.5,,,,
16,7/20/2020 21:30,8.779,5166.7,,,,
17,7/20/2020 22:00,7.782,3444.5,,,,
18,7/20/2020 22:30,7.481,1248.6,,,,
19,7/20/2020 23:00,7.381,516.7,,,,
20,7/20/2020 23:30,7.381,226,,,,
21,7/21/2020 0:00,7.179,118.4,,,,
22,7/21/2020 0:30,6.775,53.8,,,,
23,7/21/2020 1:00,6.877,21.5,,,,
24,7/21/2020 1:30,6.775,21.5,,,,
25,7/21/2020 2:00,6.573,21.5,,,,
26,7/21/2020 2:30,6.268,75.3,,,,
27,7/21/2020 3:00,6.166,312.2,,,,
28,7/21/2020 3:30,6.064,656.6,,,,
29,7/21/2020 4:00,6.064,1377.8,,,,
30,7/21/2020 4:30,6.268,1808.3,,,,
31,7/21/2020 5:00,6.268,3961.1,,,,
32,7/21/2020 5:30,6.775,8266.7,,,,
