Plot Title: Sonde_21Jul18,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)",Coupler Attached (LGR S/N: 10517223),Host Connected (LGR S/N: 10517223),Stopped (LGR S/N: 10517223),End Of File (LGR S/N: 10517223)
1,7/21/18 9:45,23.004,398.3,,,,
2,7/21/18 10:00,22.621,279.9,,,,
3,7/21/18 10:15,22.142,10.8,,,,
4,7/21/18 10:30,21.664,118.4,,,,
5,7/21/18 10:45,21.569,64.6,,,,
6,7/21/18 11:00,21.282,2325,,,,
7,7/21/18 11:15,23.1,57867,,,,
8,7/21/18 11:30,20.805,57867,,,,
9,7/21/18 11:45,18.426,34444.7,,,,
10,7/21/18 12:00,18.045,44089.2,,,,
11,7/21/18 12:15,18.14,38578,,,,
12,7/21/18 12:30,18.521,66133.8,,,,
13,7/21/18 12:45,18.426,42711.4,,,,
14,7/21/18 13:00,17.665,46844.8,,,,
15,7/21/18 13:15,16.808,30311.3,,,,
16,7/21/18 13:30,16.427,30311.3,,,,
17,7/21/18 13:45,17.379,44089.2,,,,
18,7/21/18 14:00,18.616,46844.8,,,,
19,7/21/18 14:15,18.711,52355.9,,,,
20,7/21/18 14:30,19.282,52355.9,,,,
21,7/21/18 14:45,20.234,68889.3,,,,
22,7/21/18 15:00,19.948,55111.5,,,,
23,7/21/18 15:15,18.901,34444.7,,,,
24,7/21/18 15:30,18.806,52355.9,,,,
25,7/21/18 15:45,17.665,49600.3,,,,
26,7/21/18 16:00,17.094,37200.2,,,,
27,7/21/18 16:15,17.76,68889.3,,,,
28,7/21/18 16:30,17.95,57867,,,,
29,7/21/18 16:45,16.618,33066.9,,,,
30,7/21/18 17:00,16.046,33066.9,,,,
31,7/21/18 17:15,14.9,17911.2,,,,
32,7/21/18 17:30,15.091,20666.8,,,,
33,7/21/18 17:45,14.421,12400.1,,,,
34,7/21/18 18:00,13.846,12400.1,,,,
35,7/21/18 18:15,13.75,9300.1,,,,
36,7/21/18 18:30,13.461,8266.7,,,,
37,7/21/18 18:45,13.654,16533.4,,,,
38,7/21/18 19:00,13.558,10333.4,,,,
39,7/21/18 19:15,13.558,9300.1,,,,
40,7/21/18 19:30,13.846,18600.1,,,,
41,7/21/18 19:45,13.461,10333.4,,,,
42,7/21/18 20:00,13.365,10677.8,,,,
43,7/21/18 20:15,12.883,9644.5,,,,
44,7/21/18 20:30,12.497,7233.4,,,,
45,7/21/18 20:45,12.497,5511.1,,,,
46,7/21/18 21:00,12.013,2755.6,,,,
47,7/21/18 21:15,11.528,1550,,,,
48,7/21/18 21:30,11.431,1636.1,,,,
49,7/21/18 21:45,11.236,2583.4,,,,
50,7/21/18 22:00,10.944,1894.5,,,,
51,7/21/18 22:15,10.944,1377.8,,,,
52,7/21/18 22:30,10.846,656.6,,,,
53,7/21/18 22:45,10.846,376.7,,,,
54,7/21/18 23:00,10.651,236.8,,,,
55,7/21/18 23:15,10.553,172.2,,,,
56,7/21/18 23:30,10.553,96.9,,,,
57,7/21/18 23:45,10.553,43.1,,,,
58,7/22/18 0:00,10.553,43.1,,,,
59,7/22/18 0:15,10.455,21.5,,,,
60,7/22/18 0:30,10.455,10.8,,,,
61,7/22/18 0:45,10.455,0,,,,
62,7/22/18 1:00,10.259,0,,,,
63,7/22/18 1:15,10.161,0,,,,
