Plot Title: Sonde_MAY_2018,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961)",Host Connected (LGR S/N: 10349961),Coupler Attached (LGR S/N: 10349961),Stopped (LGR S/N: 10349961),End Of File (LGR S/N: 10349961)
1,5/21/18 15:00,24.545,301.4,,,,
2,5/21/18 15:30,22.812,21.5,,,,
3,5/21/18 16:00,19.948,64.6,,,,
4,5/21/18 16:30,19.472,32.3,,,,
5,5/21/18 17:00,15.569,236.8,,,,
6,5/21/18 17:30,7.983,18600.1,,,,
7,5/21/18 18:00,7.079,3272.2,,,,
8,5/21/18 18:30,4.727,1808.3,,,,
9,5/21/18 19:00,5.347,6544.5,,,,
10,5/21/18 19:30,7.682,925.7,,,,
11,5/21/18 20:00,7.882,430.6,,,,
12,5/21/18 20:30,7.983,710.4,,,,
13,5/21/18 21:00,7.983,559.7,,,,
14,5/21/18 21:30,6.978,247.6,,,,
15,5/21/18 22:00,6.268,269.1,,,,
16,5/21/18 22:30,6.775,215.3,,,,
17,5/21/18 23:00,6.674,64.6,,,,
18,5/21/18 23:30,5.86,32.3,,,,
19,5/22/18 0:00,5.45,0,,,,
20,5/22/18 0:30,5.141,0,,,,
21,5/22/18 1:00,5.347,0,,,,
22,5/22/18 1:30,5.347,0,,,,
23,5/22/18 2:00,5.552,0,,,,
24,5/22/18 2:30,5.45,10.8,,,,
25,5/22/18 3:00,5.655,43.1,,,,
26,5/22/18 3:30,5.655,32.3,,,,
27,5/22/18 4:00,5.962,64.6,,,,
28,5/22/18 4:30,6.37,172.2,,,,
29,5/22/18 5:00,6.166,301.4,,,,
30,5/22/18 5:30,6.877,376.7,,,,
31,5/22/18 6:00,7.179,366,,,,
32,5/22/18 6:30,7.28,624.3,,,,
33,5/22/18 7:00,8.182,968.8,,,,
34,5/22/18 7:30,9.275,516.7,,,,
35,5/22/18 8:00,9.571,936.5,,,,
36,5/22/18 8:30,10.161,1463.9,,,,
37,5/22/18 9:00,10.455,1270.1,,,,
38,5/22/18 9:30,10.944,1367,,,,
39,5/22/18 10:00,11.625,1894.5,,,,
40,5/22/18 10:30,12.11,2066.7,,,,
41,5/22/18 11:00,13.076,2497.2,,,,
42,5/22/18 11:30,13.365,2411.1,,,,
43,5/22/18 12:00,13.558,1980.6,,,,
44,5/22/18 12:30,13.461,2583.4,,,,
45,5/22/18 13:00,12.787,2238.9,,,,
46,5/22/18 13:30,11.819,1980.6,,,,
47,5/22/18 14:00,11.528,1550,,,,
48,5/22/18 14:30,11.139,1141,,,,
49,5/22/18 15:00,10.748,979.5,,,,
50,5/22/18 15:30,10.063,958,,,,
51,5/22/18 16:00,10.259,1162.5,,,,
