Plot Title: Sonde_St33_JULY_2019								
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)"	"Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)"	Coupler Attached (LGR S/N: 10517215)	Host Connected (LGR S/N: 10517215)	Coupler Detached (LGR S/N: 10517215)	Stopped (LGR S/N: 10517215)	End Of File (LGR S/N: 10517215)
1	7/22/2019 10:30	14.709	1463.9					
2	7/22/2019 11:00	11.431	26178					
3	7/22/2019 11:30	12.207	27555.7					
4	7/22/2019 12:00	12.883	22044.6					
5	7/22/2019 12:30	11.819	16533.4					
6	7/22/2019 13:00	13.461	34444.7					
7	7/22/2019 13:30	16.332	35822.5					
8	7/22/2019 14:00	15.664	31689.1					
9	7/22/2019 14:30	14.134	17911.2					
10	7/22/2019 15:00	12.69	14466.8					
11	7/22/2019 15:30	13.076	10333.4					
12	7/22/2019 16:00	11.722	16533.4					
13	7/22/2019 16:30	11.916	16533.4					
14	7/22/2019 17:00	15.473	22044.6					
15	7/22/2019 17:30	14.038	16533.4					
16	7/22/2019 18:00	12.98	23422.4					
17	7/22/2019 18:30	14.613	16533.4					
18	7/22/2019 19:00	10.944	5511.1					
19	7/22/2019 19:30	10.651	4477.8					
20	7/22/2019 20:00	11.236	8266.7					
21	7/22/2019 20:30	10.063	2927.8					
22	7/22/2019 21:00	9.669	3444.5					
23	7/22/2019 21:30	9.669	2238.9					
24	7/22/2019 22:00	9.275	1205.6					
25	7/22/2019 22:30	9.275	775					
26	7/22/2019 23:00	9.275	269.1					
27	7/22/2019 23:30	9.077	150.7					
28	7/23/2019 0:00	9.077	43.1					
29	7/23/2019 0:30	9.176	0					
30	7/23/2019 1:00	9.176	0					
31	7/23/2019 1:30	9.077	0					
32	7/23/2019 2:00	8.978	0					
33	7/23/2019 2:30	8.779	21.5					
34	7/23/2019 3:00	8.879	43.1					
35	7/23/2019 3:30	8.879	183					
36	7/23/2019 4:00	9.077	678.1					
37	7/23/2019 4:30	9.077	1270.1					
38	7/23/2019 5:00	9.176	1097.9					
39	7/23/2019 5:30	9.077	1377.8					
40	7/23/2019 6:00	9.077	2669.5					
41	7/23/2019 6:30	9.077	2755.6					
42	7/23/2019 7:00	9.176	2927.8					
43	7/23/2019 7:30	9.275	3444.5					
44	7/23/2019 8:00	9.472	6200					
45	7/23/2019 8:30	9.669	5166.7					
46	7/23/2019 9:00	9.965	10333.4					
47	7/23/2019 9:30	10.553	13089					
48	7/23/2019 10:00	10.748	15844.5					
49	7/23/2019 10:30	11.236	19977.9					
50	7/23/2019 11:00	12.11	22044.6					
51	7/23/2019 11:30	12.207	16533.4					
52	7/23/2019 12:00	12.497	14466.8					
53	7/23/2019 12:30	12.401	22044.6					
54	7/23/2019 13:00	14.134	31689.1					
55	7/23/2019 13:30	14.9	41333.6					
56	7/23/2019 14:00	12.883	18600.1					
57	7/23/2019 14:30	12.497	33066.9					
58	7/23/2019 15:00	12.207	30311.3					
59	7/23/2019 15:30	12.497	28933.5					
60	7/23/2019 16:00	12.98	27555.7					
61	7/23/2019 16:30	12.883	31689.1					
62	7/23/2019 17:00	12.207	16533.4					
63	7/23/2019 17:30	13.269	41333.6					
64	7/23/2019 18:00	12.207	19289					
65	7/23/2019 18:30	11.139	13089					
66	7/23/2019 19:00	11.139	14466.8					
67	7/23/2019 19:30	10.846	8611.2					
68	7/23/2019 20:00	10.455	5166.7					
69	7/23/2019 20:30	9.965	3616.7					
70	7/23/2019 21:00	9.571	1334.7					
71	7/23/2019 21:30	9.571	1550					
72	7/23/2019 22:00	9.176	968.8					
73	7/23/2019 22:30	8.68	290.6					
74	7/23/2019 23:00	8.382	236.8					
75	7/23/2019 23:30	8.581	86.1					
76	7/24/2019 0:00	8.581	21.5					
77	7/24/2019 0:30	8.779	0					
78	7/24/2019 1:00	8.481	0					
79	7/24/2019 1:30	8.481	0					
80	7/24/2019 2:00	8.382	0					
81	7/24/2019 2:30	8.282	10.8					
82	7/24/2019 3:00	8.779	64.6					
83	7/24/2019 3:30	8.581	226					
84	7/24/2019 4:00	8.282	387.5					
85	7/24/2019 4:30	8.082	1033.3					
86	7/24/2019 5:00	7.983	1722.2					
87	7/24/2019 5:30	7.983	2755.6					
88	7/24/2019 6:00	8.182	4477.8					
89	7/24/2019 6:30	8.68	9300.1					
90	7/24/2019 7:00	8.68	7577.8					
91	7/24/2019 7:30	9.373	18600.1					
92	7/24/2019 8:00	9.077	8266.7					
93	7/24/2019 8:30	9.077	6200					
94	7/24/2019 9:00	9.768	23422.4					
95	7/24/2019 9:30	10.748	22044.6					
96	7/24/2019 10:00	10.651	16533.4					
97	7/24/2019 10:30	10.357	17911.2					
98	7/24/2019 11:00	9.965	12400.1					
99	7/24/2019 11:30	10.063	12400.1					
100	7/24/2019 12:00	11.236	34444.7					
101	7/24/2019 12:30	9.768	13777.9					
102	7/24/2019 13:00	10.063	16533.4					
103	7/24/2019 13:30	11.041	24800.2					
104	7/24/2019 14:00	11.334	30311.3					
105	7/24/2019 14:30	10.455	11711.2					
106	7/24/2019 15:00	10.259	22044.6					
107	7/24/2019 15:30	9.768	13777.9					
108	7/24/2019 16:00	9.768	17911.2					
109	7/24/2019 16:30	9.669	16533.4					
110	7/24/2019 17:00	9.472	10333.4					
111	7/24/2019 17:30	9.373	9300.1					
112	7/24/2019 18:00	9.275	6544.5					
113	7/24/2019 18:30	9.275	7577.8					
114	7/24/2019 19:00	9.176	4133.4					
115	7/24/2019 19:30	9.373	5166.7					
116	7/24/2019 20:00	9.275	5511.1					
117	7/24/2019 20:30	9.176	2497.2					
118	7/24/2019 21:00	8.978	1808.3					
119	7/24/2019 21:30	8.779	1377.8					
120	7/24/2019 22:00	8.68	850.4					
121	7/24/2019 22:30	8.481	527.4					
122	7/24/2019 23:00	8.382	183					
123	7/24/2019 23:30	8.382	43.1					
124	7/25/2019 0:00	8.082	0					
125	7/25/2019 0:30	8.082	0					
126	7/25/2019 1:00	7.983	0					
127	7/25/2019 1:30	7.983	0					
128	7/25/2019 2:00	7.983	0					
129	7/25/2019 2:30	7.983	0					
130	7/25/2019 3:00	7.882	96.9					
131	7/25/2019 3:30	7.782	387.5					
132	7/25/2019 4:00	7.882	1044.1					
133	7/25/2019 4:30	8.082	1894.5					
134	7/25/2019 5:00	8.082	2755.6					
135	7/25/2019 5:30	8.282	5166.7					
136	7/25/2019 6:00	8.581	6544.5					
137	7/25/2019 6:30	8.68	8266.7					
138	7/25/2019 7:00	9.176	11711.2					
139	7/25/2019 7:30	10.063	20666.8					
140	7/25/2019 8:00	11.236	26178					
141	7/25/2019 8:30	12.497	33066.9					
142	7/25/2019 9:00	17.475	42711.4					
143	7/25/2019 9:30	28.06	63378.2					
144	7/25/2019 10:00	24.641	38578					
145	7/25/2019 10:30	28.853	85422.8					
146	7/25/2019 11:00	25.902	52355.9					
147	7/25/2019 11:30	18.14	57867					
148	7/25/2019 12:00	23.869	66133.8					
149	7/25/2019 12:30	30.356	104711.8					
150	7/25/2019 13:00	36.62	93689.5					
151	7/25/2019 13:30	25.125	93689.5					
152	7/25/2019 14:00	27.468	176356.7					
153	7/25/2019 14:30	33.639	159823.3					
154	7/25/2019 15:00	35.649	82667.2					
155	7/25/2019 15:30	23.773	55111.5					
156	7/25/2019 16:00	19.662	66133.8					
157	7/25/2019 16:30	17.95	57867					
158	7/25/2019 17:00	18.045	63378.2					
159	7/25/2019 17:30	15.664	30311.3					
160	7/25/2019 18:00	14.9	23422.4					
161	7/25/2019 18:30	14.325	20666.8					
162	7/25/2019 19:00	14.517	28933.5					
163	7/25/2019 19:30	13.654	19977.9					
164	7/25/2019 20:00	12.207	12400.1					
165	7/25/2019 20:30	11.139	5166.7					
166	7/25/2019 21:00	10.651	3272.2					
167	7/25/2019 21:30	10.357	2755.6					
168	7/25/2019 22:00	10.161	2497.2					
169	7/25/2019 22:30	9.965	914.9					
170	7/25/2019 23:00	9.768	355.2					
171	7/25/2019 23:30	9.669	118.4					
172	7/26/2019 0:00	9.373	21.5					
173	7/26/2019 0:30	9.176	0					
174	7/26/2019 1:00	9.176	0					
175	7/26/2019 1:30	8.879	0					
176	7/26/2019 2:00	8.978	0					
177	7/26/2019 2:30	8.978	10.8					
178	7/26/2019 3:00	8.978	43.1					
179	7/26/2019 3:30	9.077	107.6					
180	7/26/2019 4:00	9.373	344.4					
181	7/26/2019 4:30	9.373	624.3					
182	7/26/2019 5:00	9.373	1162.5					
183	7/26/2019 5:30	9.669	1636.1					
184	7/26/2019 6:00	9.669	2238.9					
185	7/26/2019 6:30	9.472	2927.8					
186	7/26/2019 7:00	9.768	5166.7					
187	7/26/2019 7:30	9.866	6200					
188	7/26/2019 8:00	9.866	5511.1					
189	7/26/2019 8:30	9.669	3616.7					
190	7/26/2019 9:00	9.965	6200					
191	7/26/2019 9:30	10.651	19289					
192	7/26/2019 10:00	10.748	12400.1					
193	7/26/2019 10:30	11.236	23422.4					
194	7/26/2019 11:00	10.748	13089					
195	7/26/2019 11:30	10.553	9300.1					
196	7/26/2019 12:00	10.846	9300.1					
197	7/26/2019 12:30	10.748	6544.5					
198	7/26/2019 13:00	10.651	7577.8					
199	7/26/2019 13:30	10.455	7233.4					
200	7/26/2019 14:00	10.553	8266.7					
201	7/26/2019 14:30	10.553	6544.5					
202	7/26/2019 15:00	10.846	11022.3					
203	7/26/2019 15:30	11.139	13777.9					
204	7/26/2019 16:00	11.139	10677.8					
205	7/26/2019 16:30	11.139	17222.3					
206	7/26/2019 17:00	11.041	15155.7					
207	7/26/2019 17:30	10.748	9644.5					
208	7/26/2019 18:00	10.651	7233.4					
209	7/26/2019 18:30	10.553	4822.3					
210	7/26/2019 19:00	10.357	7577.8					
211	7/26/2019 19:30	9.866	1550					
212	7/26/2019 20:00	10.063	2755.6					
213	7/26/2019 20:30	9.768	2669.5					
214	7/26/2019 21:00	9.768	2497.2					
215	7/26/2019 21:30	9.373	775					
216	7/26/2019 22:00	9.176	559.7					
217	7/26/2019 22:30	9.077	118.4					
218	7/26/2019 23:00	8.978	86.1					
219	7/26/2019 23:30	8.879	10.8					
220	7/27/2019 0:00	8.978	0					
221	7/27/2019 0:30	8.978	0					
222	7/27/2019 1:00	8.978	0					
223	7/27/2019 1:30	8.978	0					
224	7/27/2019 2:00	8.978	0					
225	7/27/2019 2:30	8.879	0					
226	7/27/2019 3:00	9.077	53.8					
227	7/27/2019 3:30	9.077	183					
228	7/27/2019 4:00	9.176	753.5					
229	7/27/2019 4:30	9.077	1550					
230	7/27/2019 5:00	9.275	3444.5					
231	7/27/2019 5:30	9.176	3444.5					
232	7/27/2019 6:00	9.373	7233.4					
233	7/27/2019 6:30	11.334	22044.6					
234	7/27/2019 7:00	11.625	18600.1					
235	7/27/2019 7:30	10.748	10677.8					
236	7/27/2019 8:00	12.207	15155.7					
237	7/27/2019 8:30	14.517	30311.3					
238	7/27/2019 9:00	18.426	39955.8					
239	7/27/2019 9:30	24.931	34444.7					
240	7/27/2019 10:00	22.046	49600.3					
241	7/27/2019 10:30	21.855	60622.6					
242	7/27/2019 11:00	28.357	88178.4					
243	7/27/2019 11:30	29.053	71644.9					
244	7/27/2019 12:00	29.352	46844.8					
245	7/27/2019 12:30	31.983	52355.9					
246	7/27/2019 13:00	27.075	39955.8					
247	7/27/2019 13:30	26.781	52355.9					
248	7/27/2019 14:00	20.519	28933.5					
249	7/27/2019 14:30	20.901	60622.6					
250	7/27/2019 15:00	19.948	38578					
251	7/27/2019 15:30	18.711	24800.2					
252	7/27/2019 16:00	17.189	23422.4					
253	7/27/2019 16:30	17.189	23422.4					
254	7/27/2019 17:00	16.999	11022.3					
255	7/27/2019 17:30	15.951	6544.5					
256	7/27/2019 18:00	15.473	5166.7					
257	7/27/2019 18:30	15.091	2755.6					
258	7/27/2019 19:00	14.9	4477.8					
259	7/27/2019 19:30	14.804	1291.7					
260	7/27/2019 20:00	14.325	2497.2					
261	7/27/2019 20:30	14.804	2152.8					
262	7/27/2019 21:00	13.846	1980.6					
263	7/27/2019 21:30	14.9	559.7					
264	7/27/2019 22:00	14.613	226					
265	7/27/2019 22:30	14.134	43.1					
266	7/27/2019 23:00	14.038	10.8					
267	7/27/2019 23:30	13.846	0					
268	7/28/2019 0:00	14.038	0					
269	7/28/2019 0:30	14.325	0					
270	7/28/2019 1:00	14.038	0					
271	7/28/2019 1:30	13.846	0					
272	7/28/2019 2:00	14.23	0					
