Plot Title: Sonde 2015,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Temp)","Intensity, Lux (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Light Intensity)",Coupler Attached (LGR S/N: 10517217),Host Connected (LGR S/N: 10517217),Stopped (LGR S/N: 10517217),End Of File (LGR S/N: 10517217)
1,5/24/15 12:12,12.787,13777.9,,,,
2,5/24/15 12:42,13.269,8611.2,,,,
3,5/24/15 13:12,15.282,5166.7,,,,
4,5/24/15 13:42,18.045,4822.3,,,,
5,5/24/15 14:12,18.996,4822.3,,,,
6,5/24/15 14:42,19.092,2927.8,,,,
7,5/24/15 15:12,19.377,1636.1,,,,
8,5/24/15 15:42,20.996,2497.2,,,,
9,5/24/15 16:12,21.664,1377.8,,,,
10,5/24/15 16:42,19.662,1980.6,,,,
11,5/24/15 17:12,18.996,1162.5,,,,
12,5/24/15 17:42,17.379,678.1,,,,
13,5/24/15 18:12,15.378,549,,,,
14,5/24/15 18:42,14.038,549,,,,
15,5/24/15 19:12,13.269,430.6,,,,
16,5/24/15 19:42,12.304,559.7,,,,
17,5/24/15 20:12,11.528,355.2,,,,
18,5/24/15 20:42,10.846,322.9,,,,
19,5/24/15 21:12,9.965,258.3,,,,
20,5/24/15 21:42,9.077,226,,,,
21,5/24/15 22:12,7.983,75.3,,,,
22,5/24/15 22:42,7.079,32.3,,,,
23,5/24/15 23:12,6.268,0,,,,
24,5/24/15 23:42,5.552,0,,,,
25,5/25/15 0:12,5.141,0,,,,
26,5/25/15 0:42,4.831,0,,,,
27,5/25/15 1:12,4.623,0,,,,
28,5/25/15 1:42,4.311,0,,,,
29,5/25/15 2:12,4.102,0,,,,
30,5/25/15 2:42,3.893,0,,,,
31,5/25/15 3:12,3.578,0,,,,
32,5/25/15 3:42,3.472,32.3,,,,
33,5/25/15 4:12,3.472,96.9,,,,
34,5/25/15 4:42,3.683,193.8,,,,
35,5/25/15 5:12,4.207,290.6,,,,
36,5/25/15 5:42,4.831,398.3,,,,
37,5/25/15 6:12,5.45,430.6,,,,
38,5/25/15 6:42,6.268,570.5,,,,
39,5/25/15 7:12,7.582,904.2,,,,
40,5/25/15 7:42,9.669,947.2,,,,
41,5/25/15 8:12,11.334,1151.7,,,,
42,5/25/15 8:42,12.497,1463.9,,,,
43,5/25/15 9:12,12.98,2238.9,,,,
44,5/25/15 9:42,15.76,13777.9,,,,
45,5/25/15 10:12,13.654,37200.2,,,,
46,5/25/15 10:42,14.421,38578,,,,
47,5/25/15 11:12,16.523,419.8,,,,
48,5/25/15 11:42,17.95,68889.3,,,,
49,5/25/15 12:12,15.569,38578,,,,
50,5/25/15 12:42,14.613,52355.9,,,,
51,5/25/15 13:12,12.69,49600.3,,,,
52,5/25/15 13:42,12.69,71644.9,,,,
53,5/25/15 14:12,16.332,121245.2,,,,
54,5/25/15 14:42,10.651,42711.4,,,,
55,5/25/15 15:12,16.046,104711.8,,,,
56,5/25/15 15:42,14.421,231468.2,,,,
57,5/25/15 16:12,23.484,264535.1,,,,
58,5/25/15 16:42,15.855,154312.1,,,,
59,5/25/15 17:12,13.461,82667.2,,,,
60,5/25/15 17:42,13.846,74400.5,,,,
61,5/25/15 18:12,12.883,93689.5,,,,
62,5/25/15 18:42,8.182,22044.6,,,,
63,5/25/15 19:12,8.779,20666.8,,,,
64,5/25/15 19:42,15.473,24800.2,,,,
65,5/25/15 20:12,8.481,6544.5,,,,
66,5/25/15 20:42,6.674,5511.1,,,,
67,5/25/15 21:12,8.182,12400.1,,,,
68,5/25/15 21:42,6.775,4994.5,,,,
69,5/25/15 22:12,5.552,1550,,,,
70,5/25/15 22:42,5.141,914.9,,,,
71,5/25/15 23:12,5.244,258.3,,,,
72,5/25/15 23:42,5.45,75.3,,,,
73,5/26/15 0:12,5.347,32.3,,,,
74,5/26/15 0:42,4.934,10.8,,,,
75,5/26/15 1:12,4.831,21.5,,,,
76,5/26/15 1:42,4.623,53.8,,,,
77,5/26/15 2:12,4.311,86.1,,,,
78,5/26/15 2:42,4.311,215.3,,,,
79,5/26/15 3:12,4.207,398.3,,,,
80,5/26/15 3:42,3.998,1011.8,,,,
81,5/26/15 4:12,4.207,3100,,,,
82,5/26/15 4:42,5.244,5511.1,,,,
83,5/26/15 5:12,5.037,5338.9,,,,
84,5/26/15 5:42,5.037,5511.1,,,,
85,5/26/15 6:12,6.268,11022.3,,,,
86,5/26/15 6:42,9.669,19977.9,,,,
87,5/26/15 7:12,10.161,24800.2,,,,
88,5/26/15 7:42,6.268,22044.6,,,,
89,5/26/15 8:12,6.471,22044.6,,,,
90,5/26/15 8:42,7.682,22044.6,,,,
91,5/26/15 9:12,7.682,27555.7,,,,
92,5/26/15 9:42,10.846,79911.6,,,,
93,5/26/15 10:12,13.558,39955.8,,,,
94,5/26/15 10:42,11.139,104711.8,,,,
95,5/26/15 11:12,12.207,49600.3,,,,
96,5/26/15 11:42,12.401,159823.3,,,,
97,5/26/15 12:12,8.978,42711.4,,,,
98,5/26/15 12:42,8.978,38578,,,,
99,5/26/15 13:12,10.063,35822.5,,,,
100,5/26/15 13:42,13.75,66133.8,,,,
101,5/26/15 14:12,16.427,55111.5,,,,
102,5/26/15 14:42,16.332,286579.7,,,,
103,5/26/15 15:12,12.497,52355.9,,,,
104,5/26/15 15:42,17.189,41333.6,,,,
105,5/26/15 16:12,10.161,20666.8,,,,
106,5/26/15 16:42,10.161,34444.7,,,,
107,5/26/15 17:12,10.357,27555.7,,,,
108,5/26/15 17:42,8.382,12400.1,,,,
109,5/26/15 18:12,7.782,9300.1,,,,
110,5/26/15 18:42,6.166,8611.2,,,,
111,5/26/15 19:12,6.471,12400.1,,,,
112,5/26/15 19:42,6.573,15155.7,,,,
113,5/26/15 20:12,5.962,6200,,,,
