Plot Title: Myvatn_sonde_24May17,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Temp)","Intensity, Lux (LGR S/N: 10517217, SEN S/N: 10517217, LBL: Light Intensity)",Coupler Attached (LGR S/N: 10517217),Coupler Detached (LGR S/N: 10517217),Host Connected (LGR S/N: 10517217),Stopped (LGR S/N: 10517217),End Of File (LGR S/N: 10517217)
1,5/24/17 9:00,25.513,53.8,,,,,
2,5/24/17 9:30,27.075,581.3,,,,,
3,5/24/17 10:00,13.942,258.3,,,,,
4,5/24/17 10:30,16.332,936.5,,,,,
5,5/24/17 11:00,12.69,17222.3,,,,,
6,5/24/17 11:30,11.528,14466.8,,,,,
7,5/24/17 12:00,12.207,24800.2,,,,,
8,5/24/17 12:30,10.063,10677.8,,,,,
9,5/24/17 13:00,10.553,17911.2,,,,,
10,5/24/17 13:30,12.013,30311.3,,,,,
11,5/24/17 14:00,11.916,34444.7,,,,,
12,5/24/17 14:30,12.594,37200.2,,,,,
13,5/24/17 15:00,13.942,52355.9,,,,,
14,5/24/17 15:30,13.942,39955.8,,,,,
15,5/24/17 16:00,12.304,19289,,,,,
16,5/24/17 16:30,11.722,14466.8,,,,,
17,5/24/17 17:00,11.041,13089,,,,,
18,5/24/17 17:30,10.651,12400.1,,,,,
19,5/24/17 18:00,10.944,20666.8,,,,,
20,5/24/17 18:30,10.748,11022.3,,,,,
21,5/24/17 19:00,10.161,15155.7,,,,,
22,5/24/17 19:30,9.472,5511.1,,,,,
23,5/24/17 20:00,9.077,4133.4,,,,,
24,5/24/17 20:30,8.978,2927.8,,,,,
25,5/24/17 21:00,8.481,1463.9,,,,,
26,5/24/17 21:30,8.481,1291.7,,,,,
27,5/24/17 22:00,8.282,893.4,,,,,
28,5/24/17 22:30,7.983,764.2,,,,,
29,5/24/17 23:00,7.882,979.5,,,,,
30,5/24/17 23:30,7.582,183,,,,,
31,5/25/17 0:00,7.28,10.8,,,,,
32,5/25/17 0:30,6.978,0,,,,,
33,5/25/17 1:00,7.079,0,,,,,
34,5/25/17 1:30,6.775,10.8,,,,,
35,5/25/17 2:00,6.674,10.8,,,,,
36,5/25/17 2:30,6.674,32.3,,,,,
37,5/25/17 3:00,6.471,75.3,,,,,
38,5/25/17 3:30,6.471,172.2,,,,,
39,5/25/17 4:00,6.471,398.3,,,,,
40,5/25/17 4:30,6.37,1033.3,,,,,
41,5/25/17 5:00,6.471,2411.1,,,,,
42,5/25/17 5:30,6.674,4133.4,,,,,
43,5/25/17 6:00,6.775,4477.8,,,,,
44,5/25/17 6:30,7.079,4305.6,,,,,
45,5/25/17 7:00,7.28,5166.7,,,,,
46,5/25/17 7:30,7.882,9644.5,,,,,
47,5/25/17 8:00,7.983,8611.2,,,,,
48,5/25/17 8:30,11.041,33066.9,,,,,
49,5/25/17 9:00,12.304,30311.3,,,,,
50,5/25/17 9:30,12.787,39955.8,,,,,
51,5/25/17 10:00,14.134,52355.9,,,,,
52,5/25/17 10:30,14.9,38578,,,,,
53,5/25/17 11:00,17.76,52355.9,,,,,
54,5/25/17 11:30,22.238,68889.3,,,,,
55,5/25/17 12:00,20.329,66133.8,,,,,
56,5/25/17 12:30,16.141,121245.2,,,,,
57,5/25/17 13:00,17.57,71644.9,,,,,
